"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00419717","1976","28.6314","-98.2775","63.4","WHITSETT, TX US","        37","0","        36","0","        13","0","        0","","         0","0","","","","","","","","","","","","","","","","","     0"," ,0,1231,+","     0"," ,0,1231,+","  80.0"," ,0,1005, ","","","","","","","","","","","","","    927.5"," ,0","        0"," ,0","","","",""
"USC00419717","1977","28.6314","-98.2775","63.4","WHITSETT, TX US","        31","0","        30","0","         5","0","        0","","         0","0","","","","","","","","","","","","","","","","","     0"," ,0,1231,+","     0"," ,0,1231,+"," 114.3"," ,0,0414, ","","","","","","","","","","","","","    619.1"," ,0","        0"," ,0","","","",""
"USC00419717","1978","28.6314","-98.2775","63.4","WHITSETT, TX US","","","","","","","        0","","         0","0","","","","","","","","","","","","","","","","","     0"," ,0,1231,+","     0"," ,0,1231,+","","","","","","","","","","","","","","","","","        0"," ,0","","","",""
"USC00419717","1979","28.6314","-98.2775","63.4","WHITSETT, TX US","","","","","","","","","","","","","","","","","","","","","","","        30"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USC00419717","1980","28.6314","-98.2775","63.4","WHITSETT, TX US","        66","0","        34","0","         9","0","        0","","         0","0","","","","","","","","","","","","","        42"," ","","","     0"," ,0,1231,+","     0"," ,0,1231,+"," 177.8"," ,0,0811, ","","","","","","","","","","","","","    799.5"," ,0","        0"," ,0","","","",""
"USC00419717","1981","28.6314","-98.2775","63.4","WHITSETT, TX US","        68","0","        42","0","        10","0","        0","","         0","0","","","","","","","","","","","","","        46"," ","","","     0"," ,0,1231,+","     0"," ,0,1231,+","  92.7"," ,0,0830, ","","","","","","","","","","","","","    770.6"," ,0","        0"," ,0","","","",""
"USC00419717","1982","28.6314","-98.2775","63.4","WHITSETT, TX US","        66","0","        39","0","         4","0","        0","","         0","0","","","","","","","","","","","        76"," ","        23"," ","","","     0"," ,0,1231,+","     0"," ,0,1231,+","  62.2"," ,0,0913, ","","","","","","","","","","","","","    597.0"," ,0","        0"," ,0","","","",""
"USC00419717","1983","28.6314","-98.2775","63.4","WHITSETT, TX US","        60","0","        37","0","         8","0","        0","","         0","0","","","","","","","","","","","        61"," ","        36"," ","","","     0"," ,0,1231,+","     0"," ,0,1231,+","  74.4"," ,0,0616, ","","","","","","","","","","","","","    690.9"," ,0","        0"," ,0","","","",""
"USC00419717","1984","28.6314","-98.2775","63.4","WHITSETT, TX US","        62","0","        39","0","         3","0","","","         0","0","","","","","","","","","","","        38"," ","        34"," ","","","","","     0"," ,0,1231,+","  50.8"," ,0,0108, ","","","","","","","","","","","","","    466.4"," ,0","        0"," ,0","","","",""
"USC00419717","1985","28.6314","-98.2775","63.4","WHITSETT, TX US","        80","0","        51","0","        13","0","","","         1","0","","","","","","","","","","","        32"," ","        39"," ","","","","","    25"," ,0,0102, "," 101.6"," ,0,0410, ","","","","","","","","","","","","","    985.4"," ,0","       25"," ,0","","","",""
"USC00419717","1986","28.6314","-98.2775","63.4","WHITSETT, TX US","        81","0","        60","0","         9","0","        0","","         0","0","","","","","","","","","","","        35"," ","        54"," ","","","     0"," ,0,1231,+","     0"," ,0,1231,+","  61.0"," ,0,0611, ","","","","","","","","","","","","","    821.9"," ,0","        0"," ,0","","","",""
"USC00419717","1987","28.6314","-98.2775","63.4","WHITSETT, TX US","        62","0","        45","0","         8","0","        0","","         0","0","","","","","","","","","","","        35"," ","        38"," ","","","     0"," ,0,1231,+","     0"," ,0,1231,+"," 101.6"," ,0,0828, ","","","","","","","","","","","","","    707.7"," ,0","        0"," ,0","","","",""
"USC00419717","1988","28.6314","-98.2775","63.4","WHITSETT, TX US","        51","0","        31","0","         6","0","        0","","         0","0","","","","","","","","","","","        22"," ","        41"," ","","","     0"," ,0,1231,+","     0"," ,0,1231,+","  55.9"," ,0,0511, ","","","","","","","","","","","","","    444.0"," ,0","        0"," ,0","","","",""
"USC00419717","1989","28.6314","-98.2775","63.4","WHITSETT, TX US","        73","0","        40","0","         7","0","        0","","         0","0","","","","","","","","","","","        85"," ","        39"," ","","","     0","T,0,0204, ","     0","T,0,0206,+","  37.3"," ,0,0429, ","","","","","","","","","","","","","    495.8"," ,0","        0","T,0","","","",""
"USC00419717","1990","28.6314","-98.2775","63.4","WHITSETT, TX US","        66","0","        38","0","         6","0","        0","","         0","0","","","","","","","","","","","        81"," ","        43"," ","","","     0","T,0,1226,+","     0","T,0,1226,+"," 128.3"," ,0,0716, ","","","","","","","","","","","","","    701.5"," ,0","        0","T,0","","","",""
"USC00419717","1991","28.6314","-98.2775","63.4","WHITSETT, TX US","        95","0","        66","0","        10","0","        0","","         0","0","","","","","","","","","","","        63"," ","        70"," ","","","     0"," ,0,1231,+","     0"," ,0,1231,+","  67.3"," ,0,1221, ","","","","","","","","","","","","","   1010.7"," ,0","        0"," ,0","","","",""
"USC00419717","1992","28.6314","-98.2775","63.4","WHITSETT, TX US","        76","0","        50","0","         9","0","        0","","         0","0","","","","","","","","","","","        65"," ","        42"," ","","","     0"," ,0,1231,+","     0"," ,0,1231,+","  80.0"," ,0,0516, ","","","","","","","","","","","","","    822.8"," ,0","        0"," ,0","","","",""
"USC00419717","1993","28.6314","-98.2775","63.4","WHITSETT, TX US","        74","0","        46","0","         4","0","        0","","         0","0","","","","","","","","","","","        52"," ","        34"," ","","","     0"," ,0,1231,+","     0","T,0,1030, ","  73.7"," ,0,0429, ","","","","","","","","","","","","","    503.4"," ,0","        0","T,0","","","",""
"USC00419717","1994","28.6314","-98.2775","63.4","WHITSETT, TX US","","","","","","","        0","","         0","0","","","","","","","","","","","        95"," ","        41"," ","","","     0","T,0,0210,+","     0","T,0,0209,+","","","","","","","","","","","","","","","","","        0","T,0","","","",""
"USC00419717","1995","28.6314","-98.2775","63.4","WHITSETT, TX US","","","","","","","        0","","         0","0","","","","","","","","","","","        42"," ","        17"," ","","","     0"," ,0,1231,+","     0"," ,0,1231,+","","","","","","","","","","","","","","","","","        0"," ,0","","","",""
"USC00419717","1996","28.6314","-98.2775","63.4","WHITSETT, TX US","        57","0","        37","0","         4","0","        0","","         0","0","","","","","","","","","","","        44"," ","        28"," ","","","     0"," ,0,1231,+","     0"," ,0,1231,+","  39.4"," ,0,1124, ","","","","","","","","","","","","","    385.6"," ,0","        0"," ,0","","","",""
"USC00419717","1997","28.6314","-98.2775","63.4","WHITSETT, TX US","","","","","","","        0","","         0","0","","","","","","","","","","","        33"," ","        15"," ","","","     0","T,0,0803, ","     0"," ,0,1231,+","","","","","","","","","","","","","","","","","        0"," ,0","","","",""
"USC00419717","1998","28.6314","-98.2775","63.4","WHITSETT, TX US","        45","0","        39","0","        12","0","","","         0","0","","","","","","","","","","","        50"," ","         3"," ","","","","","     0"," ,0,1231,+"," 167.6"," ,0,1017, ","","","","","","","","","","","","","   1016.2"," ,0","        0"," ,0","","","",""
"USC00419717","1999","28.6314","-98.2775","63.4","WHITSETT, TX US","        36","0","        33","0","         8","0","        0","","         0","0","","","","","","","","","","","        32"," ","","","","","     0"," ,0,1231,+","     0"," ,0,1231,+","  58.4"," ,0,0824, ","","","","","","","","","","","","","    556.4"," ,0","        0"," ,0","","","",""
"USC00419717","2000","28.6314","-98.2775","63.4","WHITSETT, TX US","        42","0","        33","0","         8","0","        0","","         0","0","","","","","","","","","","","        11"," ","        13"," ","","","     0"," ,0,1231,+","     0"," ,0,1231,+","  53.8"," ,0,0925, ","","","","","","","","","","","","","    567.6"," ,0","        0"," ,0","","","",""
"USC00419717","2001","28.6314","-98.2775","63.4","WHITSETT, TX US","        57","0","        43","0","         6","0","","","         0","0","         0","0","        14","0","","","","","","","        10"," ","         4"," ","   -2.2","0,0120, ","","","     0"," ,0,1231,+"," 227.3"," ,0,1115, ","","","0.0","0,1129","0.0","0,0218","-2.2","0,0120","","","","","    793.7"," ,0","        0"," ,0","","","     15.17","0"
"USC00419717","2002","28.6314","-98.2775","63.4","WHITSETT, TX US","        53","0","        43","0","        11","0","","","","","         0","0","         9","0","","","","","","","         3"," ","","","   -8.3","0,0227, ","","","",""," 171.5"," ,0,0909, ","","","0.0","0,1206","-7.2","0,0304","-7.2","0,0304","-7.2","0,0304","-7.2","0,0304","    982.0"," ,0","","","","","     14.95","0"
"USC00419717","2003","28.6314","-98.2775","63.4","WHITSETT, TX US","","","","","","","","","","","","","","","","","","","","","        20"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USC00419717","2004","28.6314","-98.2775","63.4","WHITSETT, TX US","","","","","","","        1","","         1","0","","","","","         0","0","       297","0","       141","0","         1"," ","","","","","   178"," ,0,1225, ","   178"," ,0,1225, ","","","   38.3","0,0821, ","","","","","","","","","","","","","      178"," ,0","     27.69","0","",""
"USC00419717","2006","28.6314","-98.2775","63.4","WHITSETT, TX US","        36","0","        24","0","         4","0","        0","","         0","0","","","","","","","","","","","","","","","","","     0"," ,0,1231,+","     0"," ,0,1231,+","  90.2"," ,0,0924, ","","","","","","","","","","","","","    394.5"," ,0","        0"," ,0","","","",""
"USC00419717","2007","28.6314","-98.2775","63.4","WHITSETT, TX US","        63","0","        57","0","        17","0","        0","","         0","0","","","","","","","","","","","","","","","","","     0"," ,0,1231,+","     0"," ,0,1231,+"," 100.8"," ,0,0314, ","","","","","","","","","","","","","   1181.5"," ,0","        0"," ,0","","","",""
"USC00419717","2008","28.6314","-98.2775","63.4","WHITSETT, TX US","        29","0","        27","0","         5","0","        0","","         0","0","","","","","","","","","","","","","","","","","     0"," ,0,1231,+","     0"," ,0,1231,+","  74.9"," ,0,0725, ","","","","","","","","","","","","","    458.2"," ,0","        0"," ,0","","","",""
"USC00419717","2009","28.6314","-98.2775","63.4","WHITSETT, TX US","        41","0","        38","0","         6","0","        0","","         0","0","","","","","","","","","","","","","","","","","     0"," ,0,1231,+","     0"," ,0,1231,+","  99.1"," ,0,0911, ","","","","","","","","","","","","","    702.0"," ,0","        0"," ,0","","","",""
"USC00419717","2010","28.6314","-98.2775","63.4","WHITSETT, TX US","        35","0","        34","0","        14","0","        0","","         0","0","","","","","","","","","","","","","","","","","     0"," ,0,1231,+","     0"," ,0,1231,+"," 137.2"," ,0,0515, ","","","","","","","","","","","","","   1000.2"," ,0","        0"," ,0","","","",""
"USC00419717","2011","28.6314","-98.2775","63.4","WHITSETT, TX US","        19","7","        14","7","         6","7","","","","","","","","","","","","","","","","","","","","","","","","","  72.4"," ,7,1009, ","","","","","","","","","","","","","    382.8"," ,7","","","","","",""
"USC00419717","2012","28.6314","-98.2775","63.4","WHITSETT, TX US","        30","7","        28","7","         4","7","","","","","","","","","","","","","","","","","","","","","","","",""," 129.5"," ,7,0511, ","","","","","","","","","","","","","    442.1"," ,7","","","","","",""
"USC00419717","2013","28.6314","-98.2775","63.4","WHITSETT, TX US","        29","7","        29","7","         6","7","","","","","","","","","","","","","","","","","","","","","","","",""," 182.9"," ,7,0525, ","","","","","","","","","","","","","    671.5"," ,7","","","","","",""
"USC00419717","2014","28.6314","-98.2775","63.4","WHITSETT, TX US","        29","7","        28","7","         7","7","","","","","","","","","","","","","","","","","","","","","","","",""," 100.8"," ,7,0626, ","","","","","","","","","","","","","    614.5"," ,7","","","","","",""
"USC00419717","2022","28.6314","-98.2775","63.4","WHITSETT, TX US","        86","7","        37","7","         5","7","","","","","","","","","","","","","","","","","","","","","","","","","  49.3"," ,7,0824, ","","","","","","","","","","","","","    459.1"," ,7","","","","","",""
"USC00419717","2023","28.6314","-98.2775","63.4","WHITSETT, TX US","        76","7","        36","7","         9","7","","","","","","","","","","","","","","","","","","","","","","","","","  86.4"," ,7,0406, ","","","","","","","","","","","","","    685.6"," ,7","","","","","",""
