"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES"
"USC00055717","1918","38.48333","-107.88333","1763.6","MONTROSE 1, CO US","","","","","        89","6","        43","6","         0","6","","","        13","6","       161","6","","","","","","","  -28.9","6,0111, ","","","  21.6"," ,6,0814, ","","","","","-0.6","6,1023","-2.2","6,1025","-6.1","6,1026","-8.3","6,1108","-8.9","6,1123","-2.8","6,0512","-2.8","6,0512","-4.4","6,0421","-7.8","6,0318","-8.9","6,0315","","","","","    279.6"," ,6","","","","","","","      0.82","6","",""
"USC00055717","1919","38.48333","-107.88333","1763.6","MONTROSE 1, CO US","    375.2","","     375.2","6","        78","6","        35","6","         0","6","","","        20","6","       169","6","        32","6","       153","6","        50","6","  -29.4","6,0102, ","","","  22.4"," ,6,1127, ","   35.6","6,0824,+","","","0.0","6,0923","-2.2","6,1005","-4.4","6,1019","-8.3","6,1028","-10.6","6,1101","-1.7","6,0602","-2.8","6,0601","-4.4","6,0416","-7.2","6,0410","-10.0","6,0311","    3737.1","1","    3737.1","6","    253.0"," ,6","","","      8.79","6","     17.01","6","      0.57","6","",""
"USC00055717","1920","38.48333","-107.88333","1763.6","MONTROSE 1, CO US","    233.1","","     233.1","6","","","","","","","","","         4","6","       176","6","        18","6","       153","6","        26","6","  -21.7","6,1223, ","","","","","   35.6","6,0721, ","","","0.0","6,0925","-2.2","6,0926","-4.4","6,1021","-6.7","6,1115","-9.4","6,1129","-2.8","6,0427","-2.8","6,0427","-6.1","6,0422","-7.2","6,0419","-12.2","6,0404","    3668.6","6","    3668.6","6","","","","","      8.82","6","     16.53","6","      1.11","6","",""
"USC00055717","1921","38.48333","-107.88333","1763.6","MONTROSE 1, CO US","    272.0","","     272.0","6","","","","","","","","","         0","6","       153","6","         6","6","       176","6","        36","6","  -16.7","6,0101, ","","","","","   36.1","6,0628, ","","","-0.6","6,0921","-3.3","6,1026","-5.0","6,1028","-6.7","6,1110","-11.1","6,1118","-0.6","6,0519","-2.2","6,0426","-4.4","6,0416","-8.3","6,0408","-10.6","6,0309","    3222.7","7","    3222.7","6","","","","","     10.80","6","     18.96","6","      2.64","6","",""
"USC00055717","1922","38.48333","-107.88333","1763.6","MONTROSE 1, CO US","    340.3","","     340.3","6","","","","","","","","","         2","6","       175","6","        20","6","       155","6","        38","6","  -17.8","6,0309,+","","","","","   36.7","6,0716,+","","","0.0","6,1008","-3.9","6,1022","-6.7","6,1031","-6.7","6,1031","-9.4","6,1106","-0.6","6,0513","-3.3","6,0421","-5.0","6,0419","-7.2","6,0418","-13.3","6,0310","    3313.0","0","    3313.0","6","","","","","      9.57","6","     17.67","6","      1.47","6","",""
"USC00055717","1923","38.48333","-107.88333","1763.6","MONTROSE 1, CO US","    233.6","","     233.6","6","        70","6","        32","6","         0","6","","","         3","6","       177","6","        11","6","       146","6","        23","6","  -22.2","6,1231, ","","","  21.3"," ,6,1208, ","   36.7","6,0730, ","","","0.0","6,0929","-4.4","6,1014","-4.4","6,1014","-6.7","6,1116","-10.0","6,1128","0.0","6,0502","-3.9","6,0424","-5.0","6,0327","-7.8","6,0326","-10.0","6,0323","    3319.1","1","    3319.1","6","    229.9"," ,6","","","      9.14","6","     17.39","6","      0.88","6","",""
"USC00055717","1924","38.48333","-107.88333","1763.6","MONTROSE 1, CO US","    256.8","","     256.8","6","        58","6","        32","6","         1","6","","","        20","6","       180","6","        43","6","       145","6","        30","6","  -29.4","6,1225, ","","","  25.4"," ,6,0710, ","   33.9","6,0630,+","","","-2.2","6,0919","-2.2","6,0919","-4.4","6,1012","-10.6","6,1107","-10.6","6,1107","-1.1","6,0507","-2.2","6,0428","-7.2","6,0417","-7.2","6,0417","-11.7","6,0331","    3897.5","5","    3897.5","6","    232.5"," ,6","","","      8.18","6","     16.12","6","      0.24","6","",""
"USC00055717","1925","38.48333","-107.88333","1763.6","MONTROSE 1, CO US","    284.0","","     284.0","6","        79","6","        35","6","         0","6","","","        16","6","       159","6","        27","6","       159","6","        20","6","  -25.6","6,0111, ","","","  22.4"," ,6,0823, ","   38.9","6,0715, ","","","0.0","6,1015","-3.9","6,1024","-5.0","6,1025","-7.2","6,1105","-10.0","6,1115","-1.1","6,0425","-2.8","6,0408","-5.6","6,0319","-7.8","6,0314","-8.9","6,0219","    3679.8","8","    3679.8","6","    254.4"," ,6","","","      9.26","6","     16.95","6","      1.57","6","",""
"USC00055717","1926","38.48333","-107.88333","1763.6","MONTROSE 1, CO US","    265.3","","     265.3","6","","","","","","","","","         6","6","       147","6","        18","6","       154","6","        29","6","  -22.2","6,1225, ","","","","","   36.7","6,0719,+","","","0.0","6,0925","-2.2","6,1030","-6.1","6,1031","-6.7","6,1108","-9.4","6,1117","0.0","6,0511","-3.9","6,0331","-11.1","6,0330","-11.1","6,0330","-11.1","6,0330","    3422.4","4","    3422.4","6","","","","","      9.62","6","     17.05","6","      2.19","6","",""
"USC00055717","1927","38.48333","-107.88333","1763.6","MONTROSE 1, CO US","    219.5","","     219.5","6","        74","6","        39","6","         0","6","","","         6","6","       149","6","        15","6","       165","6","        17","6","  -22.8","6,1218, ","","","  20.8"," ,6,0628, ","   36.7","6,0625, ","","","0.0","6,0929","-2.2","6,1009","-4.4","6,1012","-7.8","6,1124","-10.0","6,1201","-0.6","6,0510","-4.4","6,0421","-4.4","6,0421","-8.9","6,0322","-8.9","6,0322","    3362.2","2","    3362.2","6","    323.0"," ,6","","","      9.54","6","     17.09","6","      1.99","6","",""
"USC00055717","1928","38.48333","-107.88333","1763.6","MONTROSE 1, CO US","    234.4","","     234.4","6","        65","6","        30","6","         0","6","","","         1","6","       159","6","        21","6","       150","6","        29","6","  -17.8","6,1218, ","","","  21.3"," ,6,1031, ","   35.6","6,0715, ","","","-1.7","6,1017","-2.2","6,1023","-4.4","6,1111","-7.8","6,1118","-11.7","6,1119","-0.6","6,0504","-3.3","6,0419","-4.4","6,0413","-11.1","6,0409","-11.1","6,0409","    3403.8","8","    3403.8","6","    286.7"," ,6","","","      9.23","6","     16.89","6","      1.58","6","",""
"USC00055717","1929","38.48333","-107.88333","1763.6","MONTROSE 1, CO US","    269.5","","     269.5","6","        74","6","        34","6","         0","6","","","        12","6","       168","6","        44","6","       135","6","        18","6","  -25.6","6,0209, ","","","  20.8"," ,6,0906, ","   36.7","6,0628, ","","","0.0","6,1012","-6.1","6,1023","-6.1","6,1023","-6.7","6,1101","-10.0","6,1112","0.0","6,0512","-2.8","6,0502","-7.2","6,0411","-7.2","6,0411","-9.4","6,0303","    3656.7","7","    3656.7","6","    264.2"," ,6","","","      8.01","6","     15.25","6","      0.78","6","",""
"USC00055717","1930","38.48333","-107.88333","1763.6","MONTROSE 1, CO US","    279.0","","     279.0","6","        66","6","        29","6","         1","6","        10","6","        11","6","       167","6","        46","6","       153","6","        30","6","  -25.0","6,0122,+","   457"," ,6,0306, ","  25.4"," ,6,0814, ","   36.7","6,0703, ","","","-1.1","6,0926","-2.2","6,1017","-4.4","6,1027","-7.2","6,1120","-14.4","6,1121","-2.2","6,0523","-2.2","6,0523","-6.1","6,0329","-9.4","6,0328","-9.4","6,0328","    3702.5","5","    3702.5","6","    228.4"," ,6","     1325"," ,6","      8.51","6","     16.52","6","      0.49","6","",""
"USC00055717","1931","38.48333","-107.88333","1763.6","MONTROSE 1, CO US","    432.5","","     432.5","6","        68","6","        28","6","         0","6","","","        11","6","       162","6","        29","6","       158","6","        56","6","  -21.1","6,1206, ","","","  13.7"," ,6,0731, ","   39.4","6,0725,+","","","-4.4","6,1026","-4.4","6,1026","-4.4","6,1026","-6.7","6,1119","-10.0","6,1122","-0.6","6,0521","-2.8","6,0511","-5.0","6,0421","-7.8","6,0404","-10.6","6,0327","    3636.6","6","    3636.6","6","    193.9"," ,6","","","      9.54","6","     17.50","6","      1.57","6","",""
"USC00055717","1932","38.48333","-107.88333","1763.6","MONTROSE 1, CO US","","","","","        61","6","        28","6","         0","6","        16","6","","","","","        41","6","       163","6","        44","6","","","   152"," ,6,1024, ","  14.5"," ,6,0730, ","   36.1","6,0707, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    225.9"," ,6","     1115"," ,6","","","     17.06","6","","","",""
"USC00055717","1933","38.48333","-107.88333","1763.6","MONTROSE 1, CO US","","","","","        60","6","        22","6","         1","6","         6","6","","","","","","","","","","","","","    76"," ,6,1105, ","  30.2"," ,6,1005, ","","","","","","","","","","","","","","","","","","","","","","","","","    3859.4","4","    3859.4","6","    189.9"," ,6","      403"," ,6","","","","","","","",""
"USC00055717","1934","38.48333","-107.88333","1763.6","MONTROSE 1, CO US","    456.0","","     456.0","6","        52","6","        24","6","         0","6","         4","6","         0","6","       147","6","         5","6","       184","6","        58","6","  -14.4","6,1204, ","   152"," ,6,0403, ","  19.3"," ,6,0925, ","   38.3","6,0730,+","","","-1.1","6,0927","-2.8","6,1020","-7.2","6,1103","-7.2","6,1103","-11.1","6,1127","-1.7","6,0407","-4.4","6,0406","-4.4","6,0406","-8.3","6,0318","-8.9","6,0308","","","","","    201.7"," ,6","      304"," ,6","     11.80","6","     20.33","6","      3.27","6","",""
"USC00055717","1935","38.48333","-107.88333","1763.6","MONTROSE 1, CO US","    398.2","","     398.2","6","","","","","","","         6","6","         1","6","       167","6","         6","6","       156","6","        60","6","  -20.6","6,0121, ","    81"," ,6,0225,+","","","   37.8","6,0727,+","","","-2.8","6,1017","-2.8","6,1017","-5.0","6,1022","-8.9","6,1031","-8.9","6,1031","-1.7","6,0505","-2.8","6,0426","-6.1","6,0411","-7.2","6,0328","-9.4","6,0311","    3174.5","5","    3174.5","6","","","      373"," ,6","     10.27","6","     18.52","6","      2.02","6","",""
"USC00055717","1936","38.48333","-107.88333","1763.6","MONTROSE 1, CO US","    411.0","","     411.0","6","        60","6","        30","6","         0","6","        11","6","         0","6","       156","6","        20","6","       162","6","        50","6","  -17.2","6,0204, ","   152"," ,6,0203, ","  13.7"," ,6,0507, ","   38.9","6,0619, ","","","0.0","6,0927","-3.3","6,1024","-11.1","6,1103","-11.1","6,1103","-11.1","6,1103","-0.6","6,0507","-3.9","6,0409","-5.6","6,0407","-10.6","6,0406","-10.6","6,0406","    3261.0","0","    3261.0","6","    192.5"," ,6","      779"," ,6","      9.97","6","     17.80","6","      2.13","6","",""
"USC00055717","1937","38.48333","-107.88333","1763.6","MONTROSE 1, CO US","    271.4","","     271.4","6","        48","6","        24","6","         0","6","        11","6","        14","6","       155","6","        38","6","       141","6","        34","6","  -23.9","6,0122, ","   203"," ,6,1213, ","  19.1"," ,6,1213, ","   35.6","6,0724,+","","","-2.8","6,1019","-2.8","6,1019","-4.4","6,1109","-12.8","6,1127","-12.8","6,1127","-0.6","6,0502","-2.2","6,0429","-5.6","6,0418","-7.8","6,0223","-10.6","6,0222","    3734.2","2","    3734.2","6","    178.8"," ,6","      740"," ,6","      8.62","6","     15.72","6","      1.51","6","",""
"USC00055717","1938","38.48333","-107.88333","1763.6","MONTROSE 1, CO US","    253.8","","     253.8","6","        63","6","        32","6","         2","6","        16","6","         1","6","       161","6","        26","6","       140","6","        21","6","  -20.0","6,1218, ","   127"," ,6,1216, ","  35.3"," ,6,0904, ","   37.8","6,0801, ","","","0.0","6,1009","-3.3","6,1018","-8.3","6,1106","-8.3","6,1106","-12.8","6,1107","-3.9","6,0508","-3.9","6,0508","-4.4","6,0409","-7.2","6,0407","-8.9","6,0402","    3257.2","2","    3257.2","6","    337.6"," ,6","      973"," ,6","      8.96","6","     15.93","6","      1.99","6","",""
"USC00055717","1939","38.48333","-107.88333","1763.6","MONTROSE 1, CO US","    364.1","","     364.1","6","        48","6","        16","6","         0","6","         7","6","         6","6","       163","6","        20","6","       170","6","        46","6","  -20.0","6,1228, ","   114"," ,6,1223, ","  20.3"," ,6,0807, ","   37.8","6,0713, ","","","0.0","6,1005","-2.8","6,1010","-5.0","6,1028","-6.7","6,1116","-9.4","6,1213","-0.6","6,0420","-3.3","6,0418","-5.6","6,0417","-7.8","6,0307","-15.6","6,0306","    3504.5","5","    3504.5","6","    163.5"," ,6","      512"," ,6","      9.74","6","     18.10","6","      1.37","6","",""
"USC00055717","1940","38.48333","-107.88333","1763.6","MONTROSE 1, CO US","","","","","        72","6","        29","6","         0","6","        17","6","","","","","        19","6","       173","6","        59","6","","","   203"," ,6,1211, ","  24.4"," ,6,1001, ","   38.3","6,0725, ","","","","","","","","","","","","","","","","","","","","","","","    3040.2","2","    3040.2","6","    258.1"," ,6","     1087"," ,6","","","     18.26","6","","","",""
"USC00055717","1941","38.48333","-107.88333","1763.6","MONTROSE 1, CO US","","","","","       107","6","        48","6","         1","6","","","","","","","","","","","","","","","","","  25.4"," ,6,0922, ","","","   13306.8","6","","","","","","","","","","","","","","","","","","","","","","","","","    417.4"," ,6","","","","","","","","","      9739","6"
"USC00055717","1944","38.48333","-107.88333","1763.6","MONTROSE 1, CO US","","","","","        76","6","        37","6","         1","6","","","","","","","","","","","","","","","","","  29.7"," ,6,0428, ","","","   14550.6","6","","","","","","","","","","","","","","","","","","","","","","","","","    273.9"," ,6","","","","","","","","","      8606","6"
"USC00055717","1945","38.48333","-107.88333","1763.6","MONTROSE 1, CO US","","","","","        69","6","        35","6","         0","6","","","","","","","","","","","","","","","","","  17.3"," ,6,0403, ","","","   13851.5","6","","","","","","","","","","","","","","","","","","","","","","","","","    212.2"," ,6","","","","","","","","","",""
"USC00055717","1946","38.48333","-107.88333","1763.6","MONTROSE 1, CO US","","","","","        69","6","        30","6","         0","6","","","","","","","","","","","","","","","","","  21.1"," ,6,0511, ","","","   14719.7","6","","","","","","","","","","","","","","","","","","","","","","","","","    233.6"," ,6","","","","","","","","","",""
"USC00055717","1947","38.48333","-107.88333","1763.6","MONTROSE 1, CO US","","","","","        82","6","        35","6","         1","6","","","","","","","","","","","","","","","","","  39.1"," ,6,1014, ","","","   13738.0","6","","","","","","","","","","","","","","","","","","","","","","","","","    306.7"," ,6","","","","","","","","","",""
"USC00055717","1948","38.48333","-107.88333","1763.6","MONTROSE 1, CO US","","","","","        79","0","        34","0","         1","0","","","","","","","","","","","","","","","","","  30.5"," ,0,0411, ","","","    9779.5","0","","","","","","","","","","","","","","","","","","","","","","","","","    277.1"," ,0","","","","","","","","","      9868","0"
"USC00055717","1949","38.48333","-107.88333","1763.6","MONTROSE 1, CO US","","","","","        85","0","        29","0","         0","0","","","","","","","","","","","","","","","","","  12.4"," ,0,0823, ","","","    1292.7","0","","","","","","","","","","","","","","","","","","","","","","","","","    219.9"," ,0","","","","","","","","","     10394","0"
"USC00055717","1950","38.48333","-107.88333","1763.6","MONTROSE 1, CO US","","","","","        44","0","        23","0","         0","0","         7","0","","","","","","","","","","","","","   203"," ,0,0312,+","  20.1"," ,0,0312, ","","","    1462.6","0","","","","","","","","","","","","","","","","","","","","","","","","","    175.8"," ,0","      914"," ,0","","","","","","","     10719","0"
"USC00055717","1951","38.48333","-107.88333","1763.6","MONTROSE 1, CO US","","","","","        52","0","        18","0","         0","0","","","","","","","","","","","","","","","","","  13.2"," ,0,0129, ","","","    1543.1","0","","","","","","","","","","","","","","","","","","","","","","","","","    139.0"," ,0","","","","","","","","","",""
"USC00055717","1952","38.48333","-107.88333","1763.6","MONTROSE 1, CO US","","","","","        81","0","        36","0","         0","0","","","","","","","","","","","","","","","","","  14.7"," ,0,0706, ","","","    1540.0","0","","","","","","","","","","","","","","","","","","","","","","","","","    239.5"," ,0","","","","","","","","","     19927","0"
"USC00055717","1953","38.48333","-107.88333","1763.6","MONTROSE 1, CO US","","","","","        59","0","        31","0","         0","0","         2","0","","","","","","","","","","","","","    51"," ,0,0102, ","  23.6"," ,0,1023, ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    275.4"," ,0","       76"," ,0","","","","","","","",""
"USC00055717","1954","38.48333","-107.88333","1763.6","MONTROSE 1, CO US","","","","","        69","0","        26","0","         0","0","","","","","","","","","","","","","","","","","  17.0"," ,0,0912, ","","","    1629.3","0","","","","","","","","","","","","","","","","","","","","","","","","","    206.5"," ,0","","","","","","","","","     16273","0"
"USC00055717","1955","38.48333","-107.88333","1763.6","MONTROSE 1, CO US","","","","","        61","0","        24","0","         0","0","","","","","","","","","","","","","","","","","  22.9"," ,0,0804, ","","","    1561.2","0","","","","","","","","","","","","","","","","","","","","","","","","","    197.0"," ,0","","","","","","","","","     18765","0"
"USC00055717","1956","38.48333","-107.88333","1763.6","MONTROSE 1, CO US","","","","","        60","0","        24","0","         0","0","","","","","","","","","","","","","","","","","  19.6"," ,0,0815, ","","","    1671.4","0","","","","","","","","","","","","","","","","","","","","","","","","","    172.1"," ,0","","","","","","","","","     19348","0"
"USC00055717","1957","38.48333","-107.88333","1763.6","MONTROSE 1, CO US","","","","","       111","0","        51","0","         1","0","","","","","","","","","","","","","","","","","  29.2"," ,0,1013, ","","","    1238.6","0","","","","","","","","","","","","","","","","","","","","","","","","","    387.9"," ,0","","","","","","","","","     15329","0"
"USC00055717","1958","38.48333","-107.88333","1763.6","MONTROSE 1, CO US","","","","","        52","0","        26","0","         0","0","","","","","","","","","","","","","","","","","  15.2"," ,0,0913, ","","","    1600.0","0","","","","","","","","","","","","","","","","","","","","","","","","","    155.1"," ,0","","","","","","","","","     17376","0"
"USC00055717","1959","38.48333","-107.88333","1763.6","MONTROSE 1, CO US","","","","","        67","0","        29","0","         0","0","","","","","","","","","","","","","","","","","  21.6"," ,0,1001, ","","","    1571.4","0","","","","","","","","","","","","","","","","","","","","","","","","","    225.7"," ,0","","","","","","","","","     17826","0"
"USC00055717","1960","38.48333","-107.88333","1763.6","MONTROSE 1, CO US","","","","","        65","0","        25","0","         1","0","","","","","","","","","","","","","","","","","  36.1"," ,0,0114, ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    242.5"," ,0","","","","","","","","","     16475","0"
"USC00055717","1961","38.48333","-107.88333","1763.6","MONTROSE 1, CO US","","","","","        75","0","        33","0","         0","0","","","","","","","","","","","","","","","","","  23.4"," ,0,0903, ","","","    1553.8","0","","","","","","","","","","","","","","","","","","","","","","","","","    284.8"," ,0","","","","","","","","","     17449","0"
"USC00055717","1962","38.48333","-107.88333","1763.6","MONTROSE 1, CO US","","","","","        54","0","        24","0","         0","0","         0","0","","","","","","","","","","","","","     0"," ,0,1231,+","  19.8"," ,0,1219, ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    208.6"," ,0","        0"," ,0","","","","","","","",""
"USC00055717","1963","38.48333","-107.88333","1763.6","MONTROSE 1, CO US","","","","","        60","0","        28","0","         1","0","","","","","","","","","","","","","","","","","  40.6"," ,0,1020, ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    211.4"," ,0","","","","","","","","","",""
"USC00055717","1964","38.48333","-107.88333","1763.6","MONTROSE 1, CO US","","","","","        79","0","        37","0","         1","0","","","","","","","","","","","","","","","","","  26.2"," ,0,0801, ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    275.1"," ,0","","","","","","","","","     16756","0"
"USC00055717","1965","38.48333","-107.88333","1763.6","MONTROSE 1, CO US","","","","","        81","0","        38","0","         2","0","","","","","","","","","","","","","","","","","  32.5"," ,0,1018, ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    344.2"," ,0","","","","","","","","","",""
"USC00055717","1966","38.48333","-107.88333","1763.6","MONTROSE 1, CO US","","","","","        58","0","        22","0","         0","0","","","","","","","","","","","","","","","","","  13.0"," ,0,1003, ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    160.0"," ,0","","","","","","","","","",""
"USC00055717","1967","38.48333","-107.88333","1763.6","MONTROSE 1, CO US","","","","","        60","0","        34","0","         0","0","","","","","","","","","","","","","","","","","  20.3"," ,0,0807, ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    249.5"," ,0","","","","","","","","","",""
