"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","MXPN","MXPN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES"
"USC00416499","1986","31.45389","-100.49333","598.6","O C FISHER DAM, TX US","   1296.3","","    1296.3","0","        79","0","        48","0","        10","0","","","","","         0","0","        51","0","         3","0","       265","0","        88","0","   -6.7","0,0212,+","","","","","  77.5"," ,0,0902, ","   42.2","0,0821, ","-0.6","0,1111","-6.1","0,1113","-6.1","0,1113","","","","","0.0","0,0320","-2.2","0,0221","-6.7","0,0212","-6.7","0,0212","","","    1173.4","4","    1173.4","0","","","    794.3"," ,0","","","     18.32","0","     25.30","0","     11.34","0","",""
"USC00416499","1987","31.45389","-100.49333","598.6","O C FISHER DAM, TX US","    958.9","","     958.9","0","        75","0","        48","0","        10","0","","","         0","0","         0","0","        77","0","         3","0","       250","0","        80","0","  -10.0","0,1227,+","","","     0"," ,0,1231,+"," 109.7"," ,0,0907, ","   38.3","0,0819,+","-2.8","0,1110","-2.8","0,1110","-7.8","0,1111","-7.8","0,1111","-10.0","0,1215","-0.6","0,0408","-2.8","0,0403","-5.6","0,0331","-6.7","0,0330","-8.9","0,0119","    1636.1","1","    1636.1","0","","","    873.1"," ,0","        0"," ,0","     16.51","0","     24.27","0","      8.75","0","",""
"USC00416499","1988","31.45389","-100.49333","598.6","O C FISHER DAM, TX US","    993.2","","     993.2","0","        55","0","        29","0","         4","0","","","         2","0","         0","0","       100","0","         1","0","       269","0","       104","0","  -10.6","0,0212,+","","","    76"," ,0,0206, ","  45.0"," ,0,0720, ","   40.0","0,0609, ","0.0","0,1106","-3.9","0,1117","-6.1","0,1120","-6.7","0,1121","-10.0","0,1228","-0.6","0,0412","-2.8","0,0320","-6.7","0,0319","-6.7","0,0319","-10.6","0,0212","    1632.7","7","    1632.7","0","","","    394.5"," ,0","      114"," ,0","     16.61","0","     25.68","0","      7.53","0","",""
"USC00416499","1989","31.45389","-100.49333","598.6","O C FISHER DAM, TX US","   1225.0","","    1225.0","0","        60","0","        28","0","         7","0","","","         1","0","         2","0","        76","0","        11","0","       263","0","       119","0","  -18.9","0,1223, ","","","    25"," ,0,0305, ","  71.4"," ,0,0611, ","   42.2","0,0703, ","-2.8","0,1019","-2.8","0,1019","-4.4","0,1103","-11.1","0,1212","-11.1","0,1212","0.0","0,0411","-6.7","0,0323","-6.7","0,0323","-6.7","0,0323","-8.9","0,0322","    1469.1","1","    1469.1","0","","","    466.3"," ,0","       25"," ,0","     17.04","0","     25.63","0","      8.46","0","     48857","0"
"USC00416499","1990","31.45389","-100.49333","598.6","O C FISHER DAM, TX US","   1151.5","","    1151.5","0","        80","0","        52","0","        15","0","        0","","         0","0","         0","0","        65","0","         2","0","       264","0","        90","0","  -15.0","0,1223, ","     0","T,0,1223,+","     0","T,0,1223,+","  56.6"," ,0,0723, ","   40.0","0,0628,+","0.0","0,1010","-3.3","0,1105","-7.2","0,1204","-7.2","0,1204","-14.4","0,1222","-1.7","0,0326","-2.8","0,0325","-5.0","0,0205","","","","","    1499.7","7","    1499.7","0","","","    900.4"," ,0","        0","T,0","     17.52","0","     25.24","0","      9.81","0","",""
"USC00416499","1991","31.45389","-100.49333","598.6","O C FISHER DAM, TX US","   1233.5","","    1233.5","0","        88","0","        47","0","        10","0","        1","","         1","0","         0","0","        50","0","         1","0","       252","0","       104","0","  -10.0","0,0101, ","    25"," ,0,0121, ","    25"," ,0,0121, ","  64.8"," ,0,0604, ","   37.8","0,0720, ","-1.7","0,1031","-2.2","0,1101","-4.4","0,1103","-6.7","0,1104","","","-0.6","0,0227","-2.8","0,0221","-5.0","0,0201","-10.0","0,0101","-10.0","0,0101","    1425.2","2","    1425.2","0","","","    782.2"," ,0","       25"," ,0","     17.85","0","     24.91","0","     10.79","0","     43953","0"
"USC00416499","1992","31.45389","-100.49333","598.6","O C FISHER DAM, TX US","   1148.1","","    1148.1","0","        75","0","        41","0","         7","0","        0","","         0","0","         0","0","        50","0","         0","0","       253","0","        91","0","   -9.4","0,0116, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  83.8"," ,0,0728, ","   40.0","0,0702, ","-3.3","0,1105","-3.3","0,1105","-5.0","0,1127","","","","","0.0","0,0403","-2.2","0,0124","-5.6","0,0119","-7.8","0,0117","-9.4","0,0116","    1355.6","6","    1355.6","0","","","    704.4"," ,0","        0"," ,0","     18.01","0","     25.13","0","     10.89","0","     42368","0"
"USC00416499","1993","31.45389","-100.49333","598.6","O C FISHER DAM, TX US","   1293.7","","    1293.7","0","        65","0","        34","0","         5","0","        0","","         0","0","         0","0","        57","0","         0","0","       244","0","       108","0","  -10.0","0,1126, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  49.5"," ,0,0530, ","   40.0","0,0726,+","0.0","0,1022","-3.3","0,1031","-10.0","0,1126","-10.0","0,1126","-10.0","0,1126","-3.9","0,0314","-3.9","0,0314","-7.8","0,0313","-7.8","0,0313","","","    1350.4","4","    1350.4","0","     24.73","0","    491.1"," ,0","        0"," ,0","     17.89","0","     25.29","0","     10.49","0","     52917","0"
"USC00416499","1994","31.45389","-100.49333","598.6","O C FISHER DAM, TX US","   1434.9","","    1434.9","0","        71","0","        42","0","         4","0","        0","","         2","0","         0","0","        51","0","         0","0","       249","0","       118","0","  -11.1","0,0201, ","     0"," ,0,1231,+","    51"," ,0,0131, ","  63.5"," ,0,0512, ","   43.9","0,0629, ","-0.6","0,1128","-5.6","0,1130","-5.6","0,1130","","","","","-1.7","0,0406","-4.4","0,0310","-4.4","0,0310","-6.7","0,0210","-9.4","0,0202","    1357.5","5","    1357.5","0","     25.36","0","    606.6"," ,0","       76"," ,0","     18.68","0","     26.23","0","     11.13","0","     51875","0"
"USC00416499","1996","31.45389","-100.49333","598.6","O C FISHER DAM, TX US","   1521.4","","    1521.4","0","        55","0","        37","0","        10","0","        0","","         0","0","         0","0","        68","0","         4","0","       285","0","       124","0","  -13.9","0,0204, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  48.5"," ,0,1028, ","   44.4","0,0726, ","-0.6","0,1108","-7.2","0,1125","-7.2","0,1125","-7.2","0,1125","-11.7","0,1219","-0.6","0,0406","-2.2","0,0327","-7.8","0,0309","-7.8","0,0309","-12.2","0,0205","    1291.2","2","    1291.2","0","","","    622.9"," ,0","        0"," ,0","     18.74","0","     26.67","0","     10.81","0","     55059","0"
"USC00416499","1997","31.45389","-100.49333","598.6","O C FISHER DAM, TX US","   1318.9","","    1318.9","0","","","","","","","        0","","         0","0","         0","0","        65","0","         2","0","       250","0","       112","0","  -11.1","0,0129,+","     0"," ,0,1231,+","     0"," ,0,1231,+","","","   38.9","0,0817, ","-2.2","0,1027","-2.2","0,1027","-5.6","0,1116","-7.8","0,1213","","","0.0","0,0414","-2.2","0,0306","-6.7","0,0215","-6.7","0,0215","-10.6","0,0130","    1437.7","7","    1437.7","0","","","","","        0"," ,0","     17.66","0","     24.77","0","     10.54","0","     49814","0"
"USC00416499","1998","31.45389","-100.49333","598.6","O C FISHER DAM, TX US","","","","","","","","","","","","","         0","0","","","","","","","","","","","","","","","     0"," ,0,1231,+","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    359.5"," ,0","        0"," ,0","","","","","","","",""
"USC00416499","1999","31.45389","-100.49333","598.6","O C FISHER DAM, TX US","","","","","","","","","","","        0","","         0","0","","","","","","","","","","","","","     0"," ,0,1231,+","     0"," ,0,1231,+","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","        0"," ,0","","","","","","","",""
"USC00416499","2000","31.45389","-100.49333","598.6","O C FISHER DAM, TX US","","","","","","","","","","","","","         1","0","","","","","","","","","","","","","","","    66"," ,0,1108, ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","       66"," ,0","","","","","","","",""
"USC00416499","2001","31.45389","-100.49333","598.6","O C FISHER DAM, TX US","","","","","","","","","","","        1","","         1","0","","","","","","","","","","","","","    25"," ,0,0102, ","    89"," ,0,1129, ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","      102"," ,0","","","","","","","",""
