"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00515260","1996","20.013","-155.6686","797.1","LALAMILO FIELD OF 191.1, HI US","","","","","        0","","         0","0","","","","","","","","","","","","","","","","","     0"," ,0,1231,+","     0"," ,0,1231,+","","","","","","","","","    616.6"," ,0","        0"," ,0","","","","","",""
"USC00515260","1997","20.013","-155.6686","797.1","LALAMILO FIELD OF 191.1, HI US","","","","","        0","","         0","0","","","","","","","","","","","","","","","","","     0"," ,0,1231,+","     0"," ,0,1231,+","","","","","","","","","    441.0"," ,0","        0"," ,0","","","","","",""
"USC00515260","1998","20.013","-155.6686","797.1","LALAMILO FIELD OF 191.1, HI US","","","","","","","         0","0","","","","","","","","","","","","","","","","","","","     0"," ,0,1231,+","","","","","","","","","    223.4"," ,0","        0"," ,0","","","","","",""
"USC00515260","1999","20.013","-155.6686","797.1","LALAMILO FIELD OF 191.1, HI US","","","","","        0","","         0","0","","","","","","","","","","","","","","","","","     0"," ,0,1231,+","     0"," ,0,1231,+","","","","","","","","","    200.7"," ,0","        0"," ,0","","","","","",""
"USC00515260","2000","20.013","-155.6686","797.1","LALAMILO FIELD OF 191.1, HI US","","","","","        0","","         0","0","","","","","","","","","","","","","","","","","     0"," ,0,1231,+","     0"," ,0,1231,+","","","","","","","","","    162.2"," ,0","        0"," ,0","","","","","",""
"USC00515260","2001","20.013","-155.6686","797.1","LALAMILO FIELD OF 191.1, HI US","","","","","        0","","         0","0","","","","","","","","","","","","","","","","","     0"," ,0,1231,+","     0"," ,0,1231,+","","","","","","","","","    217.9"," ,0","        0"," ,0","","","","","",""
"USC00515260","2002","20.013","-155.6686","797.1","LALAMILO FIELD OF 191.1, HI US","","","","","        0","","         0","0","","","","","","","","","","","","","","","","","     0"," ,0,1231,+","     0"," ,0,1231,+","","","","","","","","","    452.9"," ,0","        0"," ,0","","","","","",""
"USC00515260","2004","20.013","-155.6686","797.1","LALAMILO FIELD OF 191.1, HI US","","","","","        0","","         0","0","","","","","","","","","","","","","","","","","     0"," ,0,1231,+","     0"," ,0,1231,+","","","","","","","","","    660.5"," ,0","        0"," ,0","","","","","",""
"USC00515260","2005","20.013","-155.6686","797.1","LALAMILO FIELD OF 191.1, HI US","","","","","        0","","         0","0","","","","","","","","","","","","","","","","","     0"," ,0,1231,+","     0"," ,0,1231,+","","","","","","","","","    313.0"," ,0","        0"," ,0","","","","","",""
"USC00515260","2006","20.013","-155.6686","797.1","LALAMILO FIELD OF 191.1, HI US","","","","","        0","","         0","0","","","","","","","","","","","","","","","","","     0"," ,0,1231,+","     0"," ,0,1231,+","","","","","","","","","    269.8"," ,0","        0"," ,0","","","","","",""
"USC00515260","2007","20.013","-155.6686","797.1","LALAMILO FIELD OF 191.1, HI US","","","","","        0","","         0","0","","","","","","","","","","","","","","","","","     0"," ,0,1231,+","     0"," ,0,1231,+","","","","","","","","","    414.9"," ,0","        0"," ,0","","","","","",""
"USC00515260","2008","20.013","-155.6686","797.1","LALAMILO FIELD OF 191.1, HI US","","","","","        0","","         0","0","","","","","","","","","","","","","","","","","     0"," ,0,1231,+","     0"," ,0,1231,+","","","","","","","","","    189.7"," ,0","        0"," ,0","","","","","",""
"USC00515260","2010","20.013","-155.6686","797.1","LALAMILO FIELD OF 191.1, HI US","","","","","        0","","         0","0","","","","","","","","","","","","","","","","","     0"," ,0,1231,+","     0"," ,0,1231,+","","","","","","","","","","","        0"," ,0","","","","","",""
"USC00515260","2016","20.013","-155.6686","797.1","LALAMILO FIELD OF 191.1, HI US","","","","","","","","","","","","","","","","","","","         1"," ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USC00515260","2018","20.013","-155.6686","797.1","LALAMILO FIELD OF 191.1, HI US","","","","","","","","","","","","","","","","","","","        21"," ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USC00515260","2019","20.013","-155.6686","797.1","LALAMILO FIELD OF 191.1, HI US","","","","","","","","","","","","","","","","","","","        11"," ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USC00515260","2021","20.013","-155.6686","797.1","LALAMILO FIELD OF 191.1, HI US","","","","","","","","","","","","","","","","","","","         1"," ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USC00515260","2022","20.013","-155.6686","797.1","LALAMILO FIELD OF 191.1, HI US","","","","","","","","","","","","","","","","","","","         2"," ","         1"," ","","","","","","","","","","","","","","","","","","","","","","","",""
