"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00120550","1957","38.8396","-86.5216","177.1","BEDFORD 4 SW, IN US","       129","0","        87","0","        12","0","       10","","         3","0","","","","","","","","","","","    51"," ,0,0115,+","    64"," ,0,0130,+","  70.6"," ,0,0612, ","","","","","","","","","","","","","","","","","","","","","","","","","   1230.8"," ,0","      226"," ,0","",""
"USC00120550","1958","38.8396","-86.5216","177.1","BEDFORD 4 SW, IN US","       117","0","        91","0","        14","0","       13","","         7","0","","","","","","","","","","","   178"," ,0,1129, ","   127"," ,0,1128,+","  72.9"," ,0,0724, ","","","","","","","","","","","","","","","","","","","","","","","","","   1338.0"," ,0","      562"," ,0","",""
"USC00120550","1959","38.8396","-86.5216","177.1","BEDFORD 4 SW, IN US","       117","0","        73","0","         5","0","       10","","         7","0","","","","","","","","","","","   102"," ,0,0127, ","   102"," ,0,0312, ","  69.6"," ,0,0927, ","","","","","","","","","","","","","","","","","","","","","","","","","    926.3"," ,0","      442"," ,0","",""
"USC00120550","1960","38.8396","-86.5216","177.1","BEDFORD 4 SW, IN US","       106","0","        67","0","         6","0","       31","","        10","0","","","","","","","","","","","   178"," ,0,0309,+","   102"," ,0,1221, ","  70.1"," ,0,0623, ","","","","","","","","","","","","","","","","","","","","","","","","","    898.3"," ,0","      640"," ,0","",""
"USC00120550","1961","38.8396","-86.5216","177.1","BEDFORD 4 SW, IN US","       118","0","        76","0","        11","0","       28","","        13","0","","","","","","","","","","","   127"," ,0,1209,+","   152"," ,0,0226, ","  79.8"," ,0,0508, ","","","","","","","","","","","","","","","","","","","","","","","","","   1169.0"," ,0","      845"," ,0","",""
"USC00120550","1962","38.8396","-86.5216","177.1","BEDFORD 4 SW, IN US","       104","0","        69","0","        12","0","       19","","         9","0","","","","","","","","","","","    76"," ,0,0120,+","    76"," ,0,0221, ","  82.8"," ,0,0831, ","","","","","","","","","","","","","","","","","","","","","","","","","    968.1"," ,0","      392"," ,0","",""
"USC00120550","1963","38.8396","-86.5216","177.1","BEDFORD 4 SW, IN US","        61","0","        51","0","         6","0","       43","","        11","0","","","","","","","         1"," ","","","   127"," ,0,1224, ","   102"," ,0,0123, ","  64.0"," ,0,0305, ","","","","","","","","","","","","","","","","","","","","","","","","","    705.5"," ,0","      521"," ,0","",""
"USC00120550","1964","38.8396","-86.5216","177.1","BEDFORD 4 SW, IN US","        80","0","        64","0","        11","0","       19","","         9","0","","","","","","","","","","","   127"," ,0,0115,+","   102"," ,0,0113, ","  85.3"," ,0,0310, ","","","","","","","","","","","","","","","","","","","","","","","","","    960.7"," ,0","      380"," ,0","",""
"USC00120550","1965","38.8396","-86.5216","177.1","BEDFORD 4 SW, IN US","        93","0","        65","0","         9","0","       21","","         9","0","","","","","","","","","","","   203"," ,0,0227,+","   203"," ,0,0225, ","  75.4"," ,0,0210, ","","","","","","","","","","","","","","","","","","","","","","","","","    904.3"," ,0","      571"," ,0","",""
"USC00120550","1966","38.8396","-86.5216","177.1","BEDFORD 4 SW, IN US","        87","0","        75","0","        10","0","       21","","         5","0","","","","","","","","","","","   279"," ,0,0202, ","   165"," ,0,0202, ","  76.2"," ,0,0729, ","","","","","","","","","","","","","","","","","","","","","","","","","    983.5"," ,0","      533"," ,0","",""
"USC00120550","1967","38.8396","-86.5216","177.1","BEDFORD 4 SW, IN US","        97","0","        75","0","        12","0","        8","","         3","0","","","","","","","","","","","   127"," ,0,0307, ","   127"," ,0,0307, ","  55.1"," ,0,0725, ","","","","","","","","","","","","","","","","","","","","","","","","","   1023.9"," ,0","      203"," ,0","",""
"USC00120550","1968","38.8396","-86.5216","177.1","BEDFORD 4 SW, IN US","        95","0","        77","0","        13","0","       26","","        12","0","","","","","","","","","","","   178"," ,0,0115, ","   127"," ,0,0323, ","  46.0"," ,0,0801, ","","","","","","","","","","","","","","","","","","","","","","","","","   1082.5"," ,0","      659"," ,0","",""
"USC00120550","1969","38.8396","-86.5216","177.1","BEDFORD 4 SW, IN US","        92","0","        71","0","         9","0","       18","","         9","0","","","","","","","","","","","   152"," ,0,1231,+","   127"," ,0,1222, ","  52.1"," ,0,1119, ","","","","","","","","","","","","","","","","","","","","","","","","","    949.3"," ,0","      610"," ,0","",""
"USC00120550","1970","38.8396","-86.5216","177.1","BEDFORD 4 SW, IN US","        97","0","        83","0","         7","0","       40","","        13","0","","","","","","","","","","","   152"," ,0,0112,+","   127"," ,0,0313, ","  54.6"," ,0,0606, ","","","","","","","","","","","","","","","","","","","","","","","","","    978.2"," ,0","      671"," ,0","",""
"USC00120550","1972","38.8396","-86.5216","177.1","BEDFORD 4 SW, IN US","        91","0","        81","0","        12","0","        6","","         5","0","","","","","","","","","","","    25"," ,0,0303,+","    25"," ,0,0303,+","  50.8"," ,0,1101, ","","","","","","","","","","","","","","","","","","","","","","","","","   1108.6"," ,0","      125"," ,0","",""
"USC00120550","1973","38.8396","-86.5216","177.1","BEDFORD 4 SW, IN US","        99","0","        90","0","        14","0","       13","","         7","0","","","","","","","","","","","   127"," ,0,1223,+","   127"," ,0,1220, "," 152.4"," ,0,0721, ","","","","","","","","","","","","","","","","","","","","","","","","","   1324.8"," ,0","      328"," ,0","",""
"USC00120550","1974","38.8396","-86.5216","177.1","BEDFORD 4 SW, IN US","        94","0","        85","0","         8","0","        9","","","","","","","","","","","","","","   102"," ,0,0223, ","","","  73.7"," ,0,0803, ","","","","","","","","","","","","","","","","","","","","","","","","","   1035.0"," ,0","","","",""
"USC00120550","1975","38.8396","-86.5216","177.1","BEDFORD 4 SW, IN US","        95","0","        82","0","        15","0","        8","","         7","0","","","","","","","","","","","   102"," ,0,0314,+","   102"," ,0,0314,+","  78.7"," ,0,0804, ","","","","","","","","","","","","","","","","","","","","","","","","","   1229.8"," ,0","      355"," ,0","",""
"USC00120550","1977","38.8396","-86.5216","177.1","BEDFORD 4 SW, IN US","        81","0","        75","0","        10","0","       46","","","","","","","","","","","","","","   229"," ,0,0127, ","","","  68.6"," ,0,1001, ","","","","","","","","","","","","","","","","","","","","","","","","","   1080.8"," ,0","","","",""
"USC00120550","1978","38.8396","-86.5216","177.1","BEDFORD 4 SW, IN US","        83","0","        75","0","        13","0","       56","","         8","0","","","","","","","","","","","   305"," ,0,0128,+","   165"," ,0,0126, "," 101.6"," ,0,1013, ","","","","","","","","","","","","","","","","","","","","","","","","","   1129.1"," ,0","      737"," ,0","",""
"USC00120550","1979","38.8396","-86.5216","177.1","BEDFORD 4 SW, IN US","        88","0","        85","0","        15","0","","","","","","","","","","","","","","","","","","","  81.3"," ,0,0713, ","","","","","","","","","","","","","","","","","","","","","","","","","   1480.6"," ,0","","","",""
"USC00120550","1980","38.8396","-86.5216","177.1","BEDFORD 4 SW, IN US","        68","0","        65","0","         6","0","","","         5","0","","","","","","","","","","","","","   102"," ,0,0131, ","  48.3"," ,0,0321, ","","","","","","","","","","","","","","","","","","","","","","","","","    785.2"," ,0","      292"," ,0","",""
"USC00120550","1982","38.8396","-86.5216","177.1","BEDFORD 4 SW, IN US","","","","","","","","","","","","","","","        29"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USC00120550","1983","38.8396","-86.5216","177.1","BEDFORD 4 SW, IN US","        78","0","        70","0","        10","0","","","","","","","","","         4"," ","         1"," ","","","","","",""," 137.2"," ,0,1020, ","","","","","","","","","","","","","","","","","","","","","","","","","   1081.5"," ,0","","","",""
"USC00120550","1984","38.8396","-86.5216","177.1","BEDFORD 4 SW, IN US","       129","0","        93","0","        14","0","","","         4","0","","","","","        16"," ","         9"," ","","","","","    76"," ,0,1205,+","  72.1"," ,0,0703, ","","","","","","","","","","","","","","","","","","","","","","","","","   1256.7"," ,0","      228"," ,0","",""
"USC00120550","1985","38.8396","-86.5216","177.1","BEDFORD 4 SW, IN US","       115","0","        83","0","        14","0","","","","","","","","","","","         3"," ","","","","","","","  68.6"," ,0,0329, ","","","","","","","","","","","","","","","","","","","","","","","","","   1368.2"," ,0","","","",""
"USC00120550","1986","38.8396","-86.5216","177.1","BEDFORD 4 SW, IN US","       125","0","        89","0","        14","0","","","         2","0","","","","","         5"," ","         1"," ","","","","","   127"," ,0,0214, ","  50.3"," ,0,0630, ","","","","","","","","","","","","","","","","","","","","","","","","","   1152.4"," ,0","      165"," ,0","",""
"USC00120550","1987","38.8396","-86.5216","177.1","BEDFORD 4 SW, IN US","       111","0","        73","0","         6","0","","","         3","0","","","","","","","","","","","","","    51"," ,0,0330,+","  54.9"," ,0,0612, ","","","","","","","","","","","","","","","","","","","","","","","","","    932.5"," ,0","      127"," ,0","",""
"USC00120550","1988","38.8396","-86.5216","177.1","BEDFORD 4 SW, IN US","        88","0","        74","0","         6","0","","","","","","","","","","","","","","","","","","","  61.5"," ,0,0201, ","","","","","","","","","","","","","","","","","","","","","","","","","    879.0"," ,0","","","",""
"USC00120550","1989","38.8396","-86.5216","177.1","BEDFORD 4 SW, IN US","       126","0","       104","0","        16","0","       20","","         5","0","","","","","         7"," ","         7"," ","","","   102"," ,0,1216,+","   102"," ,0,1214, ","  65.0"," ,0,0329, ","","","","","","","","","","","","","","","","","","","","","","","","","   1512.8"," ,0","      253"," ,0","",""
"USC00120550","1990","38.8396","-86.5216","177.1","BEDFORD 4 SW, IN US","       125","0","       100","0","        12","0","        6","","         4","0","","","","","         1"," ","         3"," ","","","   178"," ,0,1228, ","   173"," ,0,1227, ","  62.2"," ,0,0515, ","","","","","","","","","","","","","","","","","","","","","","","","","   1396.2"," ,0","      427"," ,0","",""
"USC00120550","1991","38.8396","-86.5216","177.1","BEDFORD 4 SW, IN US","       106","0","        79","0","         7","0","        0","","         0","0","","","","","         3"," ","","","","","     0","T,0,1104,+","     0","T,0,1203,+","  38.1"," ,0,0205, ","","","","","","","","","","","","","","","","","","","","","","","","","    926.0"," ,0","        0","T,0","",""
"USC00120550","1992","38.8396","-86.5216","177.1","BEDFORD 4 SW, IN US","       112","0","        81","0","        10","0","","","","","","","","","         2"," ","         1"," ","","","","","","","  62.2"," ,0,0827, ","","","","","","","","","","","","","","","","","","","","","","","","","   1009.1"," ,0","","","",""
"USC00120550","1993","38.8396","-86.5216","177.1","BEDFORD 4 SW, IN US","       130","0","        92","0","        13","0","","","","","","","","","","","","","","","","","","","  87.1"," ,0,1114, ","","","","","","","","","","","","","","","","","","","","","","","","","   1382.7"," ,0","","","",""
"USC00120550","1994","38.8396","-86.5216","177.1","BEDFORD 4 SW, IN US","","","","","","","","","","","","","","","","","         1"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USC00120550","1995","38.8396","-86.5216","177.1","BEDFORD 4 SW, IN US","","","","","","","","","         3","0","","","","","","","","","","","","","    51"," ,0,1208,+","","","","","","","","","","","","","","","","","","","","","","","","","","","","","      153"," ,0","",""
"USC00120550","1998","38.8396","-86.5216","177.1","BEDFORD 4 SW, IN US","       128","0","        80","0","        10","0","","","         1","0","","","","","","","","","","","","","    51"," ,0,1230, "," 110.7"," ,0,0415, ","","","","","","","","","","","","","","","","","","","","","","","","","   1208.4"," ,0","       51"," ,0","",""
"USC00120550","1999","38.8396","-86.5216","177.1","BEDFORD 4 SW, IN US","       105","0","        77","0","        13","0","        7","","         3","0","","","","","","","","","","","    76"," ,0,0110,+","    76"," ,0,0314, ","  53.3"," ,0,0701, ","","","","","","","","","","","","","","","","","","","","","","","","","    997.1"," ,0","      165"," ,0","",""
"USC00120550","2000","38.8396","-86.5216","177.1","BEDFORD 4 SW, IN US","       114","0","        80","0","        16","0","","","         6","0","","","","","","","","","","","","","   102"," ,0,1213, ","  73.2"," ,0,0806, ","","","","","","","","","","","","","","","","","","","","","","","","","   1454.3"," ,0","      292"," ,0","",""
"USC00120550","2001","38.8396","-86.5216","177.1","BEDFORD 4 SW, IN US","        98","0","        72","0","        14","0","","","         2","0","","","","","","","","","","","","","    51"," ,0,0119, ","  63.8"," ,0,1216, ","","","","","","","","","","","","","","","","","","","","","","","","","   1117.3"," ,0","       76"," ,0","",""
"USC00120550","2002","38.8396","-86.5216","177.1","BEDFORD 4 SW, IN US","","","","","","","","","","","","","","","         3"," ","         3"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USC00120550","2003","38.8396","-86.5216","177.1","BEDFORD 4 SW, IN US","       133","0","        94","0","        12","0","","","","","","","","","        33"," ","","","","","","","","","  63.2"," ,0,0829, ","","","","","","","","","","","","","","","","","","","","","","","","","   1239.7"," ,0","","","",""
"USC00120550","2004","38.8396","-86.5216","177.1","BEDFORD 4 SW, IN US","       128","0","        90","0","        14","0","","","         5","0","","","","","         3"," ","","","","","","","   229"," ,0,1223, ","  71.1"," ,0,0526, ","","","","","","","","","","","","","","","","","","","","","","","","","   1402.1"," ,0","      609"," ,0","",""
"USC00120550","2005","38.8396","-86.5216","177.1","BEDFORD 4 SW, IN US","       125","0","        79","0","        16","0","","","         5","0","","","","","","","","","","","","","   114"," ,0,1208, ","  68.8"," ,0,0830, ","","","","","","","","","","","","","","","","","","","","","","","","","   1156.9"," ,0","      240"," ,0","",""
"USC00120550","2006","38.8396","-86.5216","177.1","BEDFORD 4 SW, IN US","       133","0","        94","0","        17","0","        0","","         0","0","","","","","         9"," ","","","","","     0"," ,0,1231,+","    13"," ,0,0217, ","  68.6"," ,0,0912, ","","","","","","","","","","","","","","","","","","","","","","","","","   1571.0"," ,0","       13"," ,0","",""
"USC00120550","2007","38.8396","-86.5216","177.1","BEDFORD 4 SW, IN US","       112","0","        81","0","         7","0","        2","","         3","0","","","","","        13"," ","         1"," ","","","    51"," ,0,1214, ","    51"," ,0,1214, ","  35.3"," ,0,0114, ","","","","","","","","","","","","","","","","","","","","","","","","","    996.2"," ,0","      127"," ,0","",""
"USC00120550","2008","38.8396","-86.5216","177.1","BEDFORD 4 SW, IN US","       136","0","        87","0","        21","0","","","","","","","","","        15"," ","","","","","","","","","  84.6"," ,0,0318, ","","","","","","","","","","","","","","","","","","","","","","","","","   1519.0"," ,0","","","",""
"USC00120550","2009","38.8396","-86.5216","177.1","BEDFORD 4 SW, IN US","       135","0","        85","0","        10","0","","","         4","0","","","","","        15"," ","","","","","","","   152"," ,0,0128, ","  91.4"," ,0,0513, ","","","","","","","","","","","","","","","","","","","","","","","","","   1345.5"," ,0","      350"," ,0","",""
"USC00120550","2010","38.8396","-86.5216","177.1","BEDFORD 4 SW, IN US","       109","0","        75","0","        10","0","","","        13","0","","","","","        20"," ","","","","","","","   102"," ,0,0214, ","  69.3"," ,0,0628, ","","","","","","","","","","","","","","","","","","","","","","","","","   1043.5"," ,0","      588"," ,0","",""
"USC00120550","2011","38.8396","-86.5216","177.1","BEDFORD 4 SW, IN US","       133","7","        99","7","        23","7","","","","","","","","","        16"," ","","","","","","","","","  82.5"," ,7,0807, ","","","","","","","","","","","","","","","","","","","","","","","","","   1682.9"," ,7","","","",""
"USC00120550","2012","38.8396","-86.5216","177.1","BEDFORD 4 SW, IN US","       108","7","        74","7","         6","7","","","","","         0","7","       115","7","        14"," ","","","  -12.2","7,1231,+","","","","","  42.7"," ,7,0906, ","-0.6","7,1008","-2.2","7,1104","-4.4","7,1113","-6.7","7,1129","-9.4","7,1222","0.0","7,0414","-2.2","7,0411","-7.2","7,0227","-7.2","7,0227","-8.9","7,0213","    2203.7","7","    2203.7","7","    879.6"," ,7","","","      6.91","7"
"USC00120550","2013","38.8396","-86.5216","177.1","BEDFORD 4 SW, IN US","       124","7","        83","7","        10","7","       26","","         6","7","","","","","        16"," ","","","","","   203"," ,7,0101, ","   140"," ,7,1207, ","  95.8"," ,7,1222, ","","","","","","","","","","","","","","","","","","","","","","","","","   1307.1"," ,7","      356"," ,7","",""
"USC00120550","2014","38.8396","-86.5216","177.1","BEDFORD 4 SW, IN US","       125","7","        87","7","        11","7","       27","","         8","7","","","","","        12"," ","","","","","   102"," ,7,0216,+","    76"," ,7,1117,+"," 116.1"," ,7,0403, ","","","","","","","","","","","","","","","","","","","","","","","","","   1360.1"," ,7","      419"," ,7","",""
"USC00120550","2015","38.8396","-86.5216","177.1","BEDFORD 4 SW, IN US","       113","7","        79","7","        10","7","       22","","         9","7","","","","","         4"," ","","","","","   203"," ,7,0301,+","   102"," ,7,0221,+","  76.5"," ,7,0314, ","","","","","","","","","","","","","","","","","","","","","","","","","   1131.1"," ,7","      506"," ,7","",""
"USC00120550","2016","38.8396","-86.5216","177.1","BEDFORD 4 SW, IN US","       118","7","        95","7","         9","7","       10","","         4","7","","","","","        18"," ","","","","","   102"," ,7,0114,+","    76"," ,7,0120, ","  67.3"," ,7,0814, ","","","","","","","","","","","","","","","","","","","","","","","","","   1257.4"," ,7","      229"," ,7","",""
"USC00120550","2017","38.8396","-86.5216","177.1","BEDFORD 4 SW, IN US","","","","","","","","","","","","","","","         2"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
