"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYHF","DYHF_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HN01","HN01_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","HX01","HX01_ATTRIBUTES","LN01","LN01_ATTRIBUTES","LX01","LX01_ATTRIBUTES","MN01","MN01_ATTRIBUTES","MX01","MX01_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","PSUN","PSUN_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF1","WDF1_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WDFM","WDFM_ATTRIBUTES","WSF1","WSF1_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES","WSFM","WSFM_ATTRIBUTES"
"USW00013967","1958","35.38843","-97.60035","389.9","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","","","    998.0","","     998.0","0","        88","0","        47","0","         8","0","       10","","         6","0","         0","0","        87","0","        13","0","       197","0","        68","0","        88"," ","","","        48"," ","  -14.4","0,1214,+","   127"," ,0,1231,+","   163"," ,0,0312, ","  57.9"," ,0,0620, ","   38.3","0,0812, ","0.0","0,1117","-2.2","0,1118","-6.1","0,1128","-8.3","0,1209","-11.1","0,1212","0.0","0,0326","-2.8","0,0319","-5.0","0,0314","-8.3","0,0217","-9.4","0,0215","    2324.5","5","","","    2324.5","0","","","","","","","","","","","    741.3"," ,0","","","      465"," ,0","     14.68","0","     20.33","0","      9.03","0","","","","","","","","","","","","","","","","","","","","","",""
"USW00013967","1959","35.38843","-97.60035","389.9","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","","","    942.4","","     942.4","0","        80","0","        53","0","        19","0","       11","","         3","0","         2","0","        82","0","        11","0","       195","0","        50","0","        75"," ","","","        53"," ","  -20.0","0,0104, ","   127"," ,0,0101, ","    36"," ,0,0121, ","  98.3"," ,0,0924, ","   37.2","0,0803, ","-3.9","0,1105","-3.9","0,1105","-6.7","0,1106","-6.7","0,1106","-9.4","0,1114","0.0","0,0414","-3.9","0,0322","-4.4","0,0221","-6.7","0,0211","-9.4","0,0202","    2190.1","1","","","    2190.1","0","","","","","","","","","","","   1180.1"," ,0","","","      135"," ,0","     14.77","0","     20.71","0","      8.83","0","","","","","","","","","","","","","","","","","","","","","",""
"USW00013967","1960","35.38843","-97.60035","389.9","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","","","    970.8","","     970.8","0","        95","0","        56","0","        13","0","       21","","         9","0","         0","0","        99","0","        18","0","       207","0","        54","0","        79"," ","","","        52"," ","  -16.1","0,0303, ","   127"," ,0,0303,+","   132"," ,0,0105, ","  76.7"," ,0,0723, ","   37.8","0,0621, ","0.0","0,1107","-2.8","0,1109","-5.0","0,1110","-6.7","0,1213","","","-2.2","0,0323","-2.2","0,0323","-4.4","0,0312","-12.2","0,0305","-12.2","0,0305","    2395.8","8","","","    2395.8","0","","","","","","","","","","","   1003.6"," ,0","","","      637"," ,0","     14.66","0","     20.26","0","      9.06","0","","","","","","","","","","","","","","","","","","","","","",""
"USW00013967","1961","35.38843","-97.60035","389.9","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","","","    889.2","","     889.2","0","        90","0","        64","0","         7","0","       10","","         4","0","         0","0","        78","0","         9","0","       206","0","        46","0","        88"," ","","","        54"," ","  -13.9","0,1212, ","   127"," ,0,0208,+","    61"," ,0,0206, ","  77.0"," ,0,0912, ","   37.2","0,0803, ","-1.7","0,1103","-2.2","0,1117","-6.7","0,1210","-6.7","0,1210","-11.1","0,1211","-0.6","0,0410","-2.8","0,0228","-5.0","0,0209","-7.8","0,0203","-10.0","0,0129","    1997.6","6","","","    1997.6","0","","","","","","","","","","","    884.5"," ,0","","","      270"," ,0","     14.92","0","     20.78","0","      9.07","0","","","","","","","","","","","","","","","","","","","","","",""
"USW00013967","1962","35.38843","-97.60035","389.9","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","","","   1146.2","","    1146.2","0","        83","0","        46","0","         5","0","        8","","         3","0","         1","0","        75","0","        10","0","       205","0","        68","0","        82"," ","","","        51"," ","  -18.3","0,0111, ","   127"," ,0,0106, ","   155"," ,0,0105, ","  85.6"," ,0,0601, ","   41.1","0,0811,+","0.0","0,1108","-2.8","0,1209","-9.4","0,1211","-9.4","0,1211","-9.4","0,1211","-2.2","0,0402","-2.2","0,0402","-5.6","0,0314","-6.7","0,0302","-12.2","0,0301","    2187.1","1","","","    2187.1","0","","","","","","","","","","","    698.6"," ,0","","","      268"," ,0","     15.75","0","     21.78","0","      9.72","0","","","","","","","","","","","","","","","","","","","","","",""
"USW00013967","1963","35.38843","-97.60035","389.9","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","","","   1318.1","","    1318.1","0","        70","0","        38","0","         8","0","        3","","         2","0","         4","0","        88","0","        20","0","       226","0","        96","0","        86"," ","","","        46"," ","  -19.4","0,0112, ","    25"," ,0,1223,+","    33"," ,0,1222,+","  53.3"," ,0,0713, ","   40.6","0,0824, ","0.0","0,1113","-2.8","0,1114","-4.4","0,1209","-9.4","0,1211","-9.4","0,1211","0.0","0,0322","-2.8","0,0307","-5.6","0,0301","-11.7","0,0222","-11.7","0,0222","    2083.7","7","","","    2083.7","0","","","","","","","","","","","    654.6"," ,0","","","      118"," ,0","     16.13","0","     22.72","0","      9.53","0","","","","","","","","","","","","","","","","","","","","","",""
"USW00013967","1964","35.38843","-97.60035","389.9","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","","","   1129.5","","    1129.5","0","        76","0","        51","0","         7","0","        0","","         0","0","         0","0","        92","0","         7","0","       214","0","        83","0","        86"," ","","","        53"," ","  -15.0","0,1218, ","     0","T,0,1219,+","    20"," ,0,0309, ","  63.0"," ,0,0510, ","   41.1","0,0806,+","-1.7","0,1119","-3.9","0,1120","-6.7","0,1121","-6.7","0,1121","-9.4","0,1130","-0.6","0,0408","-4.4","0,0330","-4.4","0,0330","-7.8","0,0326","-9.4","0,0115","    2034.4","4","","","    2034.4","0","","","","","","","","","","","    739.4"," ,0","","","       53"," ,0","     15.72","0","     22.14","0","      9.30","0","","","","","","","","","","","","","","","","","","","","","",""
"USW00013967","1965","35.38843","-97.60035","389.9","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","","","   1186.4","","    1186.4","0","        78","0","        46","0","         5","0","        2","","         1","0","         0","0","        77","0","         5","0","       220","0","        77","0","        77"," ","        15"," ","        53"," ","  -13.9","0,0224, ","    51"," ,0,0110, ","    51"," ,0,0109, ","  35.3"," ,0,0919, ","   40.0","0,0724, ","-0.6","0,1127","-2.8","0,1130","","","","","","","-2.2","0,0327","-2.2","0,0327","-6.1","0,0326","-11.1","0,0320","-11.1","0,0320","    2133.2","2","","","    2133.2","0","","","","","","","","","","","    614.2"," ,0","      67.4","X","       77"," ,0","     16.51","0","     22.70","0","     10.32","0","   181146","X","","","","","","","","","       315","X","","","","","","","","","      24.1","X"
"USW00013967","1966","35.38843","-97.60035","389.9","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","","","   1067.1","","    1067.1","0","        69","0","        40","0","         8","0","       13","","         4","0","         0","0","        83","0","        18","0","       210","0","        78","0","        85"," ","        18"," ","        47"," ","  -16.7","0,0130,+","   102"," ,0,0120, ","    97"," ,0,0119, ","  72.9"," ,0,0818, ","   42.2","0,0719, ","-1.7","0,1101","-5.6","0,1102","-5.6","0,1102","-7.8","0,1210","-11.1","0,1211","-1.1","0,0325","-3.9","0,0324","-5.6","0,0306","-8.9","0,0223","-8.9","0,0223","    1851.0","0","","","    1851.0","0","","","","","","","","","","","    649.3"," ,0","      67.7","X","      220"," ,0","     15.46","0","     21.94","0","      8.99","0","   181062","X","","","","","","","","","       225","X","","","","","","","","","      18.8","X"
"USW00013967","1967","35.38843","-97.60035","389.9","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","","","   1013.5","","    1013.5","0","        80","0","        48","0","         6","0","        1","","         1","0","         0","0","        70","0","         2","0","       214","0","        54","0","        75"," ","        13"," ","        46"," ","  -12.8","0,0308, ","    25"," ,0,1230, ","    25"," ,0,1102, ","  79.0"," ,0,0412, ","   39.4","0,0802,+","-2.2","0,1104","-2.2","0,1104","-7.2","0,1203","-7.2","0,1203","-8.9","0,1226","-3.3","0,0309","-3.3","0,0309","-12.8","0,0308","-12.8","0,0308","-12.8","0,0308","    1780.4","4","","","    1780.4","0","","","","","","","","","","","    656.3"," ,0","      67.5","X","       75"," ,0","     16.06","0","     22.33","0","      9.80","0","   179430","X","","","","","","","","","       315","X","","","","","","","","","      20.1","X"
"USW00013967","1968","35.38843","-97.60035","389.9","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","","","    854.6","","     854.6","0","        92","0","        65","0","        11","0","       11","","         9","0","         0","0","        92","0","        11","0","       196","0","        53","0","       111"," ","        15"," ","        52"," ","  -17.2","0,1231, ","   152"," ,0,0312, ","   160"," ,0,0320, ","  46.7"," ,0,0815, ","   39.4","0,0810,+","-1.1","0,1108","-2.2","0,1111","-4.4","0,1206","-7.2","0,1208","-8.9","0,1214","-2.2","0,0405","-2.2","0,0405","-5.0","0,0323","-8.9","0,0304","-8.9","0,0304","    2165.9","9","","","    2165.9","0","","","","","","","","","","","    902.6"," ,0","      62.3","X","      630"," ,0","     14.52","0","     20.52","0","      8.52","0","   168972","X","","","","","","","","","        45","X","","","","","","","","","      21.0","X"
"USW00013967","1969","35.38843","-97.60035","389.9","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","","","   1002.0","","    1002.0","0","        84","0","        46","0","         9","0","        5","","         5","0","         0","0","        85","0","         5","0","       200","0","        64","0","       106"," ","        21"," ","        45"," ","  -13.3","0,1231, ","   102"," ,0,1231,+","    86"," ,0,0302, ","  68.1"," ,0,0614, ","   40.6","0,0813, ","0.0","0,1014","-5.6","0,1114","-5.6","0,1114","-8.3","0,1128","-11.7","0,1230","-3.3","0,0326","-3.3","0,0326","-6.7","0,0313","-6.7","0,0313","-11.7","0,0124","    2188.7","7","","","    2188.7","0","","","","","","","","","","","    740.0"," ,0","      62.8","X","      348"," ,0","     15.09","0","     21.12","0","      9.06","0","   170736","X","","","","","","","","","       315","X","","","","","","","","","      21.5","X"
"USW00013967","1970","35.38843","-97.60035","389.9","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","","","   1124.0","","    1124.0","0","        66","0","        41","0","         6","0","        5","","         1","0","         0","0","        85","0","         8","0","       196","0","        80","0","        83"," ","        22"," ","        47"," ","  -14.4","0,0108, ","    51"," ,0,0101, ","    43"," ,0,0328, "," 191.3"," ,0,0922, ","   41.1","0,0808, ","0.0","0,1028","-5.0","0,1115","-5.0","0,1115","-8.3","0,1124","","","-3.3","0,0405","-3.3","0,0405","-5.0","0,0402","-7.8","0,0216","-10.6","0,0203","    2233.1","1","","","    2233.1","0","","","","","","","","","","","    847.1"," ,0","      65.6","X","       68"," ,0","     15.27","0","     21.57","0","      8.97","0","   178086","X","","","","","","","       360","X","       248","X","","","","","","","      32.4","X","      20.6","X"
"USW00013967","1971","35.38843","-97.60035","389.9","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","","","    981.7","","     981.7","0","        91","0","        45","0","         9","0","        6","","         2","0","         0","0","        75","0","         7","0","       208","0","        67","0","        93"," ","        37"," ","        52"," ","  -16.1","0,0208, ","   127"," ,0,1203,+","   124"," ,0,1202, ","  51.1"," ,0,0701, ","   40.6","0,0718, ","-2.2","0,1107","-2.2","0,1107","","","","","","","-1.1","0,0407","-7.2","0,0320","-7.2","0,0320","-7.2","0,0320","-13.3","0,0209","    2113.6","6","","","    2113.6","0","","","","","","","","","","","    697.1"," ,0","      66.4","X","      292"," ,0","     15.41","0","     21.75","0","      9.07","0","   179604","X","","","","","","","        45","X","       360","X","","","","","","","      30.8","X","      23.2","X"
"USW00013967","1972","35.38843","-97.60035","389.9","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","","","   1133.3","","    1133.3","0","        72","0","        44","0","         7","0","        9","","         4","0","         0","0","        85","0","        14","0","       208","0","        89","0","        94"," ","        27"," ","        52"," ","  -17.2","0,0115, ","   102"," ,0,0212, ","   140"," ,0,1118, ","  94.0"," ,0,1021, ","   38.9","0,0627,+","0.0","0,1019","-2.8","0,1122","-5.6","0,1203","-7.2","0,1204","-10.0","0,1205","-0.6","0,0404","-2.2","0,0401","-6.7","0,0302","-6.7","0,0302","-9.4","0,0212","    1937.2","2","","","    1937.2","0","","","","","","","","","","","    702.3"," ,0","      63.3","X","      372"," ,0","     15.32","0","     21.61","0","      9.03","0","   173160","X","","","","","","","       360","X","       315","X","","","","","","","      26.2","X","      20.6","X"
"USW00013967","1973","35.38843","-97.60035","389.9","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","","","    913.9","","     913.9","0","       103","0","        70","0","        15","0","       10","","         3","0","         2","0","        68","0","        12","0","       195","0","        53","0","       109"," ","        21"," ","        64"," ","  -18.3","0,0112, ","   152"," ,0,0108, ","    89"," ,0,0107, ","  44.2"," ,0,0926, ","   37.8","0,0824, ","-0.6","0,1029","-2.8","0,1205","-6.1","0,1207","-7.2","0,1216","-10.0","0,1220","-2.2","0,0410","-2.2","0,0410","-6.7","0,0216","-6.7","0,0216","-9.4","0,0113","    2374.8","8","","","    2374.8","0","","","","","","","","","","","   1061.5"," ,0","      58.6","X","      233"," ,0","     15.10","0","     20.75","0","      9.44","0","   158382","X","","","","","","","       315","X","       270","X","","","","","","","      25.2","X","      21.5","X"
"USW00013967","1974","35.38843","-97.60035","389.9","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","","","    894.6","","     894.6","0","        71","0","        50","0","        13","0","        2","","         3","0","         0","0","        74","0","         8","0","       220","0","        61","0","       101"," ","        29"," ","        41"," ","  -15.0","0,0112, ","    51"," ,0,1211, ","    51"," ,0,1211, ","  72.9"," ,0,0429, ","   41.7","0,0722, ","-0.6","0,1114","-6.7","0,1129","-6.7","0,1129","-6.7","0,1129","-8.9","0,1208","0.0","0,0405","-4.4","0,0325","-4.4","0,0325","-8.3","0,0321","-15.0","0,0112","    1852.9","9","","","    1852.9","0","","","","","","","","","","","   1002.3"," ,0","      65.3","X","      132"," ,0","     15.49","0","     21.97","0","      9.01","0","   174132","X","","","","","","","       315","X","        45","X","","","","","","","      29.3","X","      19.7","X"
"USW00013967","1975","35.38843","-97.60035","389.9","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","","","    873.4","","     873.4","0","        87","0","        57","0","        10","0","        3","","         1","0","         0","0","        78","0","         5","0","       206","0","        42","0","        96"," ","        20"," ","        61"," ","  -13.9","0,1218, ","    25"," ,0,1225,+","    58"," ,0,1224, ","  74.2"," ,0,0724, ","   35.6","0,0831,+","0.0","0,1112","-3.3","0,1113","-4.4","0,1122","-10.6","0,1126","-10.6","0,1126","0.0","0,0404","-6.1","0,0403","-6.1","0,0403","-7.8","0,0314","-11.1","0,0209","    2132.6","6","","","    2132.6","0","","","","","","","","","","","    895.6"," ,0","      63.6","X","      159"," ,0","     14.90","0","     20.96","0","      8.85","0","   168324","X","","","","","","","       225","X","       360","X","","","","","","","      32.9","X","      21.9","X"
"USW00013967","1976","35.38843","-97.60035","389.9","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","","","    923.6","","     923.6","0","        64","0","        35","0","         3","0","        0","","         0","0","         0","0","        85","0","         5","0","       212","0","        63","0","        76"," ","         9"," ","        45"," ","  -16.1","0,0108, ","     0","T,0,1128,+","     8"," ,0,0205, ","  32.5"," ,0,0526, ","   39.4","0,0813, ","-0.6","0,1019","-3.3","0,1020","-5.6","0,1112","-6.7","0,1122","-8.9","0,1127","-2.2","0,0316","-2.2","0,0316","-6.1","0,0313","-6.7","0,0305","-11.1","0,0207","    1769.4","4","","","    1769.4","0","","","","","","","","","","","    459.2"," ,0","","","       16"," ,0","     15.38","0","     22.48","0","      8.27","0","","","","","","","","","       360","X","        45","X","","","","","","","      24.7","X","      18.3","X"
