"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYHF","DYHF_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HN01","HN01_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","HX01","HX01_ATTRIBUTES","LN01","LN01_ATTRIBUTES","LX01","LX01_ATTRIBUTES","MN01","MN01_ATTRIBUTES","MX01","MX01_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDF1","WDF1_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WSF1","WSF1_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES"
"USW00023034","1951","31.35172","-100.4948","582.4","SAN ANGELO MATHIS FIELD AIRPORT, TX US","","","   1570.2","","    1570.2","0","        41","0","        23","0","         3","0","        1","","         2","0","         0","0","        53","0","         5","0","       272","0","       127","0","        13"," ","","","        37"," ","  -17.2","0,0202, ","    25"," ,0,0214, ","    43"," ,0,0213, ","  52.1"," ,0,0812, ","   40.6","0,0719, ","-3.9","0,1102","-3.9","0,1102","-4.4","0,1103","-7.2","0,1215","-8.9","0,1221","-0.6","0,0412","-3.3","0,0319","-7.2","0,0313","-7.2","0,0313","-17.2","0,0202","    1255.0","0","","","    1255.0","0","","","","","","","","","","","    304.6"," ,0","       81"," ,0","     19.11","0","     26.38","0","     11.84","0","","","","","","","","","","","","","","","",""
"USW00023034","1952","31.35172","-100.4948","582.4","SAN ANGELO MATHIS FIELD AIRPORT, TX US","","","   1430.1","","    1430.1","0","        45","0","        25","0","         1","0","        0","","         0","0","         0","0","        33","0","         1","0","       263","0","       122","0","        21"," ","","","        31"," ","   -5.6","0,0226,+","     0","T,0,0225,+","     0","T,0,1110,+","  27.2"," ,0,0527, ","   41.7","0,0901, ","-1.7","0,1111","-3.3","0,1205","-4.4","0,1215","","","","","-4.4","0,0323","-4.4","0,0323","-4.4","0,0323","","","","","    1114.6","6","","","    1114.6","0","","","","","","","","","","","    228.9"," ,0","        0","T,0","     18.98","0","     25.93","0","     12.04","0","","","","","","","","","","","","","","","",""
"USW00023034","1953","31.35172","-100.4948","582.4","SAN ANGELO MATHIS FIELD AIRPORT, TX US","","","   1516.6","","    1516.6","0","        46","0","        29","0","         4","0","        0","","         0","0","         0","0","        35","0","         2","0","       261","0","       116","0","        22"," ","","","        34"," ","  -13.3","0,1224, ","     0","T,0,1223, ","     8"," ,0,0116, ","  98.3"," ,0,0308, ","   41.1","0,0522, ","-1.1","0,1109","-2.2","0,1122","-9.4","0,1223","-9.4","0,1223","-9.4","0,1223","0.0","0,0304","-5.0","0,0222","-5.0","0,0222","-6.7","0,0117","","","    1133.0","0","","","    1133.0","0","","","","","","","","","","","    535.0"," ,0","        8"," ,0","     19.29","0","     26.21","0","     12.37","0","","","","","","","","","","","","","","","",""
"USW00023034","1954","31.35172","-100.4948","582.4","SAN ANGELO MATHIS FIELD AIRPORT, TX US","","","   1544.8","","    1544.8","0","        41","0","        19","0","         4","0","        0","","         1","0","         0","0","        32","0","         0","0","       272","0","       122","0","        14"," ","","","        28"," ","   -7.8","0,0111, ","     0","T,0,1228,+","    64"," ,0,0121, ","  46.5"," ,0,0523, ","   40.6","0,0726, ","-2.2","0,1105","-2.2","0,1105","-4.4","0,1213","","","","","-1.7","0,0315","-2.2","0,0306","-7.2","0,0122","-7.2","0,0122","","","    1203.9","9","","","    1203.9","0","","","","","","","","","","","    252.1"," ,0","       67"," ,0","     19.62","0","     26.60","0","     12.63","0","","","","","","","","","","","","","","","",""
"USW00023034","1955","31.35172","-100.4948","582.4","SAN ANGELO MATHIS FIELD AIRPORT, TX US","","","   1504.2","","    1504.2","0","        43","0","        21","0","         3","0","        0","","         1","0","         0","0","        45","0","         0","0","       263","0","       116","0","        19"," ","","","        43"," ","   -6.7","0,0222,+","     0","T,0,1108,+","    38"," ,0,1108, ","  66.5"," ,0,0628, ","   39.4","0,0809, ","-0.6","0,1025","-2.2","0,1117","-4.4","0,1128","","","","","-4.4","0,0328","-4.4","0,0328","-4.4","0,0328","-6.7","0,0222","","","    1168.9","9","","","    1168.9","0","","","","","","","","","","","    326.9"," ,0","       38"," ,0","     19.04","0","     25.92","0","     12.16","0","","","","","","","","","","","","","","","",""
"USW00023034","1956","31.35172","-100.4948","582.4","SAN ANGELO MATHIS FIELD AIRPORT, TX US","","","   1620.2","","    1620.2","0","        38","0","        18","0","         0","0","        2","","         1","0","         0","0","        42","0","         3","0","       265","0","       139","0","        26"," ","","","        29"," ","  -11.1","0,0119, ","    76"," ,0,0118, ","    79"," ,0,0118, ","  24.9"," ,0,1017, ","   40.0","0,0615, ","-1.7","0,1117","-2.2","0,1127","","","","","","","-3.3","0,0316","-3.3","0,0316","-4.4","0,0206","-8.3","0,0204","-11.1","0,0119","    1272.9","9","","","    1272.9","0","","","","","","","","","","","    188.4"," ,0","      105"," ,0","     19.28","0","     26.36","0","     12.19","0","","","","","","","","","","","","","","","",""
"USW00023034","1957","31.35172","-100.4948","582.4","SAN ANGELO MATHIS FIELD AIRPORT, TX US","","","   1251.0","","    1251.0","0","        78","0","        48","0","         3","0","        1","","         2","0","         0","0","        32","0","         3","0","       235","0","        91","0","        55"," ","","","        42"," ","   -9.4","0,0117, ","   102"," ,0,1124, ","   102"," ,0,1124, ","  59.7"," ,0,0426, ","   40.6","0,0730, ","-1.7","0,1027","-2.8","0,1123","","","","","","","-1.1","0,0413","-5.0","0,0127","-5.0","0,0127","-8.9","0,0118","-8.9","0,0118","    1223.7","7","","","    1223.7","0","","","","","","","","","","","    563.3"," ,0","      138"," ,0","     18.16","0","     24.31","0","     12.01","0","","","","","","","","","","","","","","","",""
"USW00023034","1958","31.35172","-100.4948","582.4","SAN ANGELO MATHIS FIELD AIRPORT, TX US","","","   1286.5","","    1286.5","0","        67","0","        42","0","         5","0","        0","","         1","0","         0","0","        48","0","         1","0","       223","0","       100","0","        44"," ","","","        30"," ","  -10.0","0,1215, ","     0","T,0,1231,+","    25"," ,0,1230, ","  53.8"," ,0,0513, ","   40.0","0,0610, ","-3.3","0,1119","-3.3","0,1119","-5.0","0,1128","-7.2","0,1129","-9.4","0,1214","0.0","0,0320","-2.2","0,0314","-5.6","0,0216","","","","","    1590.0","0","","","    1590.0","0","","","","","","","","","","","    466.3"," ,0","       51"," ,0","     17.39","0","     23.54","0","     11.24","0","","","","","","","","","","","","","","","",""
"USW00023034","1959","31.35172","-100.4948","582.4","SAN ANGELO MATHIS FIELD AIRPORT, TX US","","","   1305.5","","    1305.5","0","        60","0","        35","0","        11","0","        1","","         0","0","         0","0","        57","0","         4","0","       235","0","        98","0","        25"," ","","","        37"," ","  -12.8","0,0104, ","    25"," ,0,1114, ","     0","T,0,1114,+"," 126.2"," ,0,1003, ","   41.1","0,0830, ","-4.4","0,1106","-4.4","0,1106","-4.4","0,1106","-6.7","0,1117","","","-0.6","0,0413","-2.2","0,0312","-5.0","0,0206","-9.4","0,0122","-9.4","0,0122","    1445.7","7","","","    1445.7","0","","","","","","","","","","","    859.9"," ,0","        0","T,0","     17.83","0","     24.52","0","     11.13","0","","","","","","","","","","","","","","","",""
"USW00023034","1960","31.35172","-100.4948","582.4","SAN ANGELO MATHIS FIELD AIRPORT, TX US","","","   1665.9","","    1665.9","0","        61","0","        35","0","         1","0","        1","","         1","0","         0","0","        55","0","         2","0","       246","0","       143","0","        45"," ","","","        33"," ","  -11.7","0,0225, ","    25"," ,0,0212, ","    25"," ,0,0211, ","  60.7"," ,0,1016, ","   43.9","0,0729, ","-0.6","0,1110","-5.6","0,1130","-5.6","0,1130","-6.7","0,1221","","","-0.6","0,0318","-3.3","0,0305","-6.7","0,0303","-6.7","0,0303","-11.7","0,0225","    1563.7","7","","","    1563.7","0","","","","","","","","","","","    375.1"," ,0","       38"," ,0","     18.85","0","     25.98","0","     11.72","0","","","","","","","","","","","","","","","",""
