"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HN01","HN01_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","HX01","HX01_ATTRIBUTES","LN01","LN01_ATTRIBUTES","LX01","LX01_ATTRIBUTES","MN01","MN01_ATTRIBUTES","MX01","MX01_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00419361","2009","28.8608","-97.0181","30.8","VICTORIA FIRE DEPARTMENT NUMBER 5, TX US","   1853.9","","    1853.9","0","        95","0","        47","0","         9","0","        0","","         0","0","         0","0","        20","0","         0","0","       299","0","       128","0","        15"," ","         3"," ","   -3.9","0,1206,+","     0"," ,0,1231,+","     0"," ,0,1231,+","  61.0"," ,0,0517, ","   38.9","0,0814, ","-3.9","0,1205","-3.9","0,1205","-0.6","0,0302","-2.2","0,0203","","","","","     646.9","9","","","     646.9","0","","","","","","","","","","","    803.9"," ,0","        0"," ,0","     21.37","0","     27.54","0","     15.20","0"
"USC00419361","2010","28.8608","-97.0181","30.8","VICTORIA FIRE DEPARTMENT NUMBER 5, TX US","","","","","        84","0","        58","0","        16","0","        0","","         0","0","","","","","","","","","","","        21"," ","         5"," ","","","     0"," ,0,1231,+","     0"," ,0,1231,+"," 101.6"," ,0,0709, ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","   1115.2"," ,0","        0"," ,0","","","","","",""
"USC00419361","2011","28.8608","-97.0181","30.8","VICTORIA FIRE DEPARTMENT NUMBER 5, TX US","","","","","","","","","","","","","","","","","","","","","","","","","        10"," ","         2"," ","","","","","","","","","","","","","","","","","","","","","","","     699.6","6","","","     699.6","7","","","","","","","","","","","","","","","","","","","",""
"USC00419361","2012","28.8608","-97.0181","30.8","VICTORIA FIRE DEPARTMENT NUMBER 5, TX US","","","","","","","","","","","","","","","","","","","","","","","","","        24"," ","         6"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USC00419361","2013","28.8608","-97.0181","30.8","VICTORIA FIRE DEPARTMENT NUMBER 5, TX US","","","","","        79","7","        41","7","         8","7","","","","","","","","","","","","","","","        18"," ","         6"," ","","","","","","","  59.9"," ,7,0827, ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    623.7"," ,7","","","","","","","",""
"USC00419361","2014","28.8608","-97.0181","30.8","VICTORIA FIRE DEPARTMENT NUMBER 5, TX US","","","","","        97","7","        46","7","         4","7","","","","","","","","","","","","","","","        13"," ","         3"," ","","","","","",""," 164.6"," ,7,0527, ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    752.4"," ,7","","","","","","","",""
"USC00419361","2015","28.8608","-97.0181","30.8","VICTORIA FIRE DEPARTMENT NUMBER 5, TX US","","","","","       104","7","        65","7","        16","7","","","","","","","","","","","","","","","        12"," ","         8"," ","","","","","",""," 114.3"," ,7,1025, ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","   1306.0"," ,7","","","","","","","",""
"USC00419361","2016","28.8608","-97.0181","30.8","VICTORIA FIRE DEPARTMENT NUMBER 5, TX US","","","","","","","","","","","        0","","         0","7","","","","","","","","","","","        21"," ","         3"," ","","","     0"," ,7,1231,+","     0"," ,7,1231,+","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","        0"," ,7","","","","","",""
"USC00419361","2017","28.8608","-97.0181","30.8","VICTORIA FIRE DEPARTMENT NUMBER 5, TX US","   1954.7","","    1954.7","7","        84","7","        53","7","        12","7","        1","","         1","7","         0","7","         6","7","         0","7","       314","7","       112","7","        28"," ","         6"," ","   -6.7","7,0108,+","    51"," ,7,1208, ","    51"," ,7,1208, ","  63.5"," ,7,0220, ","   38.9","7,0801,+","-1.1","7,1208","","","-6.1","7,0109","-6.1","7,0109","-6.1","7,0109","-6.7","7,0108","","","      33.3","7,5,2","","","      35.0","7,5,2","      15.6","7,5,2","      15.6","7,5,2","      25.4","7,5,2","      26.6","7,5,2","   1156.3"," ,7","       51"," ,7","     22.45","7","     28.34","7","     16.56","7"
"USC00419361","2018","28.8608","-97.0181","30.8","VICTORIA FIRE DEPARTMENT NUMBER 5, TX US","","","","","","","","","","","        0","","         0","7","","","","","","","","","","","        24"," ","        12"," ","","","     0"," ,7,1231,+","     0","T,7,0116, ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    892.2"," ,7","        0","T,7","","","","","",""
"USC00419361","2019","28.8608","-97.0181","30.8","VICTORIA FIRE DEPARTMENT NUMBER 5, TX US","","","","","        88","7","        44","7","         6","7","        0","","         0","7","","","","","","","","","","","        23"," ","         6"," ","","","     0"," ,7,1231,+","     0"," ,7,1231,+","  53.3"," ,7,1016, ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    607.9"," ,7","        0"," ,7","","","","","",""
"USC00419361","2020","28.8608","-97.0181","30.8","VICTORIA FIRE DEPARTMENT NUMBER 5, TX US","   1926.2","","    1926.2","7","        91","7","        52","7","         9","7","        0","","         0","7","         0","7","         2","7","         0","7","       314","7","       122","7","        23"," ","         8"," ","   -1.7","7,0227, ","     0"," ,7,1231,+","     0","T,7,0206, ","  81.3"," ,7,1128, ","   37.8","7,0820,+","-1.1","7,1201","","","-1.7","7,0227","","","","","","","","","","","","","","","","","","","","","","","    765.3"," ,7","        0","T,7","     22.10","7","     27.94","7","     16.25","7"
"USC00419361","2021","28.8608","-97.0181","30.8","VICTORIA FIRE DEPARTMENT NUMBER 5, TX US","","","","","","","","","","","","","","","","","","","","","","","","","         5"," ","        16"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
