"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","MNPN","MNPN_ATTRIBUTES","MXPN","MXPN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES"
"USC00044712","1998","38.492","-122.0039","57.0","LAKE SOLANO, CA US","    743.8","","     743.8","0","       104","0","        69","0","        11","0","","","         0","0","         0","0","        17","0","         0","0","       188","0","        77","0","","","   -7.8","0,1223, ","","","     0"," ,0,1231,+"," 122.2"," ,0,0203, ","   43.3","0,0805, ","    1313.3","0","-0.6","0,1204","-2.2","0,1221","-5.0","0,1222","-7.8","0,1223","","","","","","","","","","","    1428.0","0","    1428.0","0","     11.48","0","     21.52","0","    978.4"," ,0","        0"," ,0","     16.16","0","     22.91","0","      9.43","0","     15169","0"
"USC00044712","1999","38.492","-122.0039","57.0","LAKE SOLANO, CA US","    813.4","","     813.4","0","        55","0","        29","0","         4","0","        0","","         0","0","         0","0","        16","0","         0","0","       214","0","       109","0","","","   -3.9","0,0105, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  68.1"," ,0,0207, ","   43.3","0,0713, ","    1526.4","0","0.0","0,1229","","","","","","","","","-1.1","0,0211","-2.8","0,0130","","","","","    1502.9","9","    1502.9","0","","","","","    427.9"," ,0","        0"," ,0","     16.72","0","     24.63","0","      8.80","0","     19450","0"
"USC00044712","2000","38.492","-122.0039","57.0","LAKE SOLANO, CA US","    819.7","","     819.7","0","        72","0","        49","0","         6","0","        0","","         0","0","         0","0","         5","0","         0","0","       215","0","        95","0","         5"," ","   -1.7","0,1113, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  58.4"," ,0,0124, ","   43.9","0,0615, ","    1511.6","0","-1.7","0,1113","","","","","","","","","0.0","0,0106","","","","","","","    1181.0","0","    1181.0","0","","","","","    674.2"," ,0","        0"," ,0","     16.85","0","     24.26","0","      9.45","0","     17769","0"
"USC00044712","2001","38.492","-122.0039","57.0","LAKE SOLANO, CA US","   1034.3","","    1034.3","0","        61","0","        47","0","         8","0","        0","","         0","0","         0","0","         4","0","         0","0","       232","0","       115","0","","","   -1.7","0,0201,+","     0"," ,0,1231,+","     0"," ,0,1231,+","  79.8"," ,0,1202, ","   43.3","0,0809, ","    1628.8","0","","","","","","","","","","","-1.7","0,0201","","","","","","","    1393.9","9","    1393.9","0","     11.42","0","     22.33","0","    801.9"," ,0","        0"," ,0","     17.72","0","     25.23","0","     10.21","0","     19385","0"
"USC00044712","2002","38.492","-122.0039","57.0","LAKE SOLANO, CA US","    842.8","","     842.8","0","        48","0","        35","0","         7","0","        0","","         0","0","         0","0","        15","0","         0","0","       226","0","       111","0","","","   -3.3","0,0131,+","     0"," ,0,1231,+","     0"," ,0,1231,+"," 102.1"," ,0,1214, ","   44.4","0,0711, ","    1754.2","0","-1.1","0,1106","","","","","","","","","-0.6","0,0308","-3.3","0,0131","","","","","    1207.8","8","    1207.8","0","","","","","    656.7"," ,0","        0"," ,0","     16.85","0","     25.00","0","      8.71","0","     18147","0"
"USC00044712","2003","38.492","-122.0039","57.0","LAKE SOLANO, CA US","    966.1","","     966.1","0","        62","0","        38","0","         6","0","        0","","         0","0","         0","0","         8","0","         0","0","       197","0","       107","0","","","   -1.7","0,1227, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  70.4"," ,0,1230, ","   42.2","0,0730, ","","","-0.6","0,1125","","","","","","","","","-0.6","0,0210","","","","","","","    1360.0","0","    1360.0","0","","","","","    533.1"," ,0","        0"," ,0","     17.23","0","     24.67","0","      9.78","0","     20796","0"
"USC00044712","2004","38.492","-122.0039","57.0","LAKE SOLANO, CA US","    948.6","","     948.6","0","        59","0","        39","0","         9","0","        0","","         0","0","         0","0","        13","0","         0","0","       217","0","       107","0","","","   -2.8","0,1204, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  50.5"," ,0,0217, ","   41.1","0,0812, ","","","-1.1","0,1130","-2.8","0,1204","","","","","","","-1.1","0,0123","","","","","","","    1228.9","9","    1228.9","0","","","","","    690.1"," ,0","        0"," ,0","     17.46","0","     24.82","0","     10.08","0","",""
"USC00044712","2005","38.492","-122.0039","57.0","LAKE SOLANO, CA US","    871.6","","     871.6","0","        76","0","        47","0","         8","0","        0","","         0","0","         0","0","         5","0","         0","0","       226","0","        87","0","","","   -0.6","0,1215,+","     0"," ,0,1231,+","     0"," ,0,1231,+"," 129.5"," ,0,1231, ","   42.2","0,0717, ","    1726.7","0","0.0","0,1206","","","","","","","","","-0.6","0,0114","","","","","","","    1371.2","2","    1371.2","0","","","","","    863.2"," ,0","        0"," ,0","     17.38","0","     24.47","0","     10.29","0","     21482","0"
"USC00044712","2006","38.492","-122.0039","57.0","LAKE SOLANO, CA US","    888.7","","     888.7","0","        70","0","        43","0","         8","0","        0","","         0","0","         0","0","        15","0","         0","0","       207","0","       100","0","","","   -3.3","0,1130, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  56.6"," ,0,0228, ","   44.4","0,0725,+","    1756.4","0","-3.3","0,1130","-3.3","0,1130","","","","","","","-1.1","0,0311","","","","","","","    1243.0","0","    1243.0","0","     10.98","0","     24.11","0","    677.9"," ,0","        0"," ,0","     16.96","0","     24.22","0","      9.71","0","     22408","0"
"USC00044712","2007","38.492","-122.0039","57.0","LAKE SOLANO, CA US","    866.1","","     866.1","0","        44","0","        27","0","         2","0","        0","","         0","0","         0","0","        16","0","         0","0","       232","0","       101","0","","","   -6.1","0,0114, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  42.9"," ,0,1207, ","   43.3","0,0706, ","    1987.2","0","-1.1","0,1213","","","","","","","","","0.0","0,0301","-2.8","0,0122","-4.4","0,0116","","","    1232.4","4","    1232.4","0","     10.93","0","     24.35","0","    340.9"," ,0","        0"," ,0","     17.33","0","     25.14","0","      9.51","0","     26307","0"
