"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"IN023420800","1948","29.467","79.65","2311.0","MUKTESHWAR KUMAON, IN","","","","","       116","I","        81","I","        10","I","","","","","","","","","","","",""," 203.7"," ,I,0824, ","","","","","","","   1231.2"," ,I","","","","","",""
"IN023420800","1949","29.467","79.65","2311.0","MUKTESHWAR KUMAON, IN","","","","","        98","I","        75","I","        19","I","","","","","","","","","","","",""," 121.2"," ,I,0713, ","","","","","","","   1472.9"," ,I","","","","","",""
"IN023420800","1950","29.467","79.65","2311.0","MUKTESHWAR KUMAON, IN","","","","","       123","I","        91","I","        12","I","","","","","","","","","","","","","  74.7"," ,I,0629, ","","","","","","","   1391.1"," ,I","","","","","",""
"IN023420800","1951","29.467","79.65","2311.0","MUKTESHWAR KUMAON, IN","","","","","        98","I","        73","I","        13","I","","","","","","","","","","","",""," 123.4"," ,I,0914, ","","","","","","","   1025.5"," ,I","","","","","",""
"IN023420800","1952","29.467","79.65","2311.0","MUKTESHWAR KUMAON, IN","","","","","       106","I","        75","I","         8","I","","","","","","","","","","","","","  69.1"," ,I,0516, ","","","","","","","   1079.5"," ,I","","","","","",""
"IN023420800","1953","29.467","79.65","2311.0","MUKTESHWAR KUMAON, IN","","","","","        94","I","        70","I","        11","I","","","","","","","","","","","",""," 109.2"," ,I,0715, ","","","","","","","   1148.6"," ,I","","","","","",""
"IN023420800","1954","29.467","79.65","2311.0","MUKTESHWAR KUMAON, IN","","","","","       102","I","        75","I","        16","I","","","","","","","","","","","",""," 170.2"," ,I,1002, ","","","","","","","   1509.3"," ,I","","","","","",""
"IN023420800","1955","29.467","79.65","2311.0","MUKTESHWAR KUMAON, IN","","","","","       117","I","        85","I","        20","I","","","","","","","","","","","",""," 100.3"," ,I,1012, ","","","","","","","   1711.4"," ,I","","","","","",""
"IN023420800","1956","29.467","79.65","2311.0","MUKTESHWAR KUMAON, IN","","","","","       112","I","        83","I","        17","I","","","","","","","","","","","",""," 167.1"," ,I,1009, ","","","","","","","   1471.7"," ,I","","","","","",""
"IN023420800","1957","29.467","79.65","2311.0","MUKTESHWAR KUMAON, IN","","","","","       105","I","        78","I","        14","I","","","","","","","","","","","",""," 207.0"," ,I,0915, ","","","","","","","   1357.3"," ,I","","","","","",""
"IN023420800","1958","29.467","79.65","2311.0","MUKTESHWAR KUMAON, IN","","","","","       108","I","        86","I","        12","I","","","","","","","","","","","","","  96.6"," ,I,1001, ","","","","","","","   1425.6"," ,I","","","","","",""
"IN023420800","1959","29.467","79.65","2311.0","MUKTESHWAR KUMAON, IN","","","","","       110","I","        86","I","        11","I","","","","","","","","","","","","","  99.0"," ,I,0707, ","","","","","","","   1201.6"," ,I","","","","","",""
"IN023420800","1960","29.467","79.65","2311.0","MUKTESHWAR KUMAON, IN","","","","","       110","I","        78","I","        12","I","","","","","","","","","","","","","  70.0"," ,I,1006, ","","","","","","","   1189.2"," ,I","","","","","",""
"IN023420800","1961","29.467","79.65","2311.0","MUKTESHWAR KUMAON, IN","","","","","       122","I","        83","I","        20","I","","","","","","","","","","","","","  76.0"," ,I,0821, ","","","","","","","   1567.2"," ,I","","","","","",""
"IN023420800","1962","29.467","79.65","2311.0","MUKTESHWAR KUMAON, IN","","","","","       109","I","        84","I","        15","I","","","","","","","","","","","",""," 134.0"," ,I,0922, ","","","","","","","   1443.5"," ,I","","","","","",""
"IN023420800","1963","29.467","79.65","2311.0","MUKTESHWAR KUMAON, IN","","","","","       112","I","        81","I","        15","I","","","","","","","","","","","","","  99.6"," ,I,0821, ","","","","","","","   1468.2"," ,I","","","","","",""
"IN023420800","1964","29.467","79.65","2311.0","MUKTESHWAR KUMAON, IN","","","","","       108","I","        78","I","        11","I","","","","","","","","","","","",""," 123.6"," ,I,0925, ","","","","","","","   1216.2"," ,I","","","","","",""
"IN023420800","1965","29.467","79.65","2311.0","MUKTESHWAR KUMAON, IN","","","","","        87","I","        64","I","         6","I","","","","","","","","","","","","","  81.0"," ,I,0822, ","","","","","","","    858.5"," ,I","","","","","",""
"IN023420800","1966","29.467","79.65","2311.0","MUKTESHWAR KUMAON, IN","","","","","       104","I","        69","I","        17","I","","","","","","","","","","","",""," 112.6"," ,I,0725, ","","","","","","","   1332.2"," ,I","","","","","",""
"IN023420800","1967","29.467","79.65","2311.0","MUKTESHWAR KUMAON, IN","","","","","       113","I","        79","I","        15","I","","","","","","","","","","","","","  79.6"," ,I,0326, ","","","","","","","   1270.3"," ,I","","","","","",""
"IN023420800","1968","29.467","79.65","2311.0","MUKTESHWAR KUMAON, IN","","","","","        99","I","        68","I","         9","I","","","","","","","","","","","","","  73.2"," ,I,0919, ","","","","","","","   1031.5"," ,I","","","","","",""
"IN023420800","1969","29.467","79.65","2311.0","MUKTESHWAR KUMAON, IN","","","","","       118","I","        87","I","        19","I","","","","","","","","","","","",""," 126.0"," ,I,0924, ","","","","","","","   1550.2"," ,I","","","","","",""
"IN023420800","1970","29.467","79.65","2311.0","MUKTESHWAR KUMAON, IN","","","","","       109","I","        74","I","         9","I","","","","","","","","","","","","","  68.0"," ,I,0616,+","","","","","","","   1052.1"," ,I","","","","","",""
"IN023420800","2016","29.467","79.65","2311.0","MUKTESHWAR KUMAON, IN","    151.3","","     151.3","S","","","","","","","         0","S","         8","S","         0","S","       190","S","         0","S","   -2.0","S,0120, ","","","   29.3","S,0518, ","0.0","S,0126","","","","","     15.63","S","     21.12","S","     10.13","S"
"IN023420800","2020","29.467","79.65","2311.0","MUKTESHWAR KUMAON, IN","","","","","","","","","","","         0","S","        23","S","","","","","","","   -2.9","S,0202, ","","","","","-1.0","S,0315","-2.3","S,0208","","","","","","","      9.17","S"
"IN023420800","2022","29.467","79.65","2311.0","MUKTESHWAR KUMAON, IN","","","","","","","","","","","         0","S","        18","S","","","","","","","   -4.3","S,0205, ","","","","","-0.1","S,0227","-4.3","S,0205","","","","","","","      9.86","S"
"IN023420800","2023","29.467","79.65","2311.0","MUKTESHWAR KUMAON, IN","    120.7","","     120.7","S","","","","","","","         0","S","         3","S","         0","S","       156","S","         0","S","   -0.3","S,0103, ","","","   28.8","S,0614,+","0.0","S,0213","","","","","     14.88","S","     20.14","S","      9.63","S"
