"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","MNPN","MNPN_ATTRIBUTES","MXPN","MXPN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES"
"USC00047846","1973","37.05333","-121.05778","84.4","SAN LUIS DAM, CA US","    790.9","","     790.9","0","        60","0","        36","0","         0","0","        0","","         0","0","         0","0","         9","0","         0","0","       200","0","        63","0","","","   -3.9","0,0107, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  22.4"," ,0,0211, ","   41.1","0,0628, ","    2684.8","0","","","","","","","","","","","0.0","0,0127","-2.2","0,0108","","","    1571.3","3","    1571.3","0","     10.45","0","     23.52","0","    309.8"," ,0","        0"," ,0","     16.57","0","     22.46","0","     10.69","0","     77709","0"
"USC00047846","1974","37.05333","-121.05778","84.4","SAN LUIS DAM, CA US","    835.6","","     835.6","0","        48","0","        19","0","         1","0","        0","","         0","0","         0","0","        16","0","         0","0","       197","0","        73","0","","","   -3.9","0,0103, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  39.4"," ,0,1203, ","   38.9","0,0725, ","    2793.9","0","-2.2","0,1224","-2.2","0,1224","","","","","","","0.0","0,0310","-3.9","0,0103","","","    1454.9","9","    1454.9","0","     10.27","0","     24.02","0","    205.0"," ,0","        0"," ,0","     16.54","0","     22.80","0","     10.28","0","     82073","0"
"USC00047846","1975","37.05333","-121.05778","84.4","SAN LUIS DAM, CA US","    714.9","","     714.9","0","        59","0","        19","0","         0","0","        0","","         0","0","         0","0","        18","0","         0","0","       179","0","        52","0","","","   -4.4","0,0102, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  23.9"," ,0,0202, ","   40.0","0,0727,+","","","-1.1","0,1215","-3.3","0,1216","","","","","","","-2.2","0,0222","-2.2","0,0222","-4.4","0,0102","    1626.8","8","    1626.8","0","      8.65","0","     22.78","0","    183.0"," ,0","        0"," ,0","     15.73","0","     21.98","0","      9.48","0","     84379","0"
"USC00047846","1976","37.05333","-121.05778","84.4","SAN LUIS DAM, CA US","    745.3","","     745.3","0","        39","0","        20","0","         1","0","        0","","         0","0","         0","0","        15","0","         0","0","       213","0","        56","0","","","   -3.9","0,0102, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  43.4"," ,0,0929, ","   40.0","0,0629,+","    2815.2","0","0.0","0,1128","","","","","","","","","-0.6","0,0110","-2.8","0,0104","","","    1461.4","4","    1461.4","0","","","     22.70","0","    194.2"," ,0","        0"," ,0","     16.61","0","     22.98","0","     10.24","0","     82035","0"
"USC00047846","1977","37.05333","-121.05778","84.4","SAN LUIS DAM, CA US","    782.4","","     782.4","0","        40","0","        19","0","         0","0","        0","","         0","0","         0","0","         4","0","         0","0","       207","0","        62","0","","","   -1.1","0,0110,+","     0"," ,0,1231,+","     0"," ,0,1231,+","  21.6"," ,0,1217, ","   40.0","0,0907,+","    2862.7","0","","","","","","","","","","","0.0","0,0111","","","","","    1412.9","9","    1412.9","0","      9.45","0","     22.81","0","    159.1"," ,0","        0"," ,0","     16.87","0","     23.01","0","     10.74","0","     79591","0"
"USC00047846","1978","37.05333","-121.05778","84.4","SAN LUIS DAM, CA US","    814.2","","     814.2","0","        59","0","        38","0","         3","0","        0","","         0","0","         0","0","        14","0","         0","0","       201","0","        66","0","","","   -8.3","0,1209, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  39.6"," ,0,0331, ","   41.1","0,0807, ","","","-1.7","0,1115","-2.8","0,1208","-8.3","0,1209","-8.3","0,1209","","","","","","","","","    1127.6","6","    1127.6","0","","","     22.51","0","    428.5"," ,0","        0"," ,0","     16.74","0","     22.69","0","     10.79","0","     68770","0"
"USC00047846","1979","37.05333","-121.05778","84.4","SAN LUIS DAM, CA US","    862.2","","     862.2","0","        55","0","        30","0","         0","0","        0","","         0","0","         0","0","        11","0","         0","0","       195","0","        68","0","","","   -5.6","0,0102, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  22.1"," ,0,0221, ","   40.6","0,0801, ","","","-0.6","0,1121","","","","","","","","","0.0","0,0204","-3.3","0,0130","-5.6","0,0102","    1523.9","9","    1523.9","0","      9.19","0","     22.94","0","    271.3"," ,0","        0"," ,0","     16.96","0","     23.21","0","     10.70","0","     68155","0"
"USC00047846","1980","37.05333","-121.05778","84.4","SAN LUIS DAM, CA US","    651.1","","     651.1","0","        57","0","        30","0","         1","0","        0","","         0","0","         0","0","         9","0","         0","0","       193","0","        54","0","","","   -1.7","0,1208, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  29.2"," ,0,0111, ","   40.6","0,0730,+","","","-1.7","0,1208","","","","","","","","","0.0","0,0130","","","","","    1331.4","4","    1331.4","0","      9.18","0","     22.46","0","    254.5"," ,0","        0"," ,0","     16.45","0","     22.62","0","     10.27","0","     76780","0"
"USC00047846","1981","37.05333","-121.05778","84.4","SAN LUIS DAM, CA US","    933.4","","     933.4","0","        60","0","        22","0","         2","0","        0","","         0","0","         0","0","         0","0","         0","0","       204","0","        78","0","","","    0.6","0,1205,+","     0"," ,0,1231,+","     0"," ,0,1231,+","  30.7"," ,0,1113, ","   40.0","0,0606, ","    2708.5","0","","","","","","","","","","","","","","","","","    1258.1","1","    1258.1","0","      9.67","0","     23.22","0","    295.5"," ,0","        0"," ,0","     17.50","0","     23.57","0","     11.42","0","",""
"USC00047846","1982","37.05333","-121.05778","84.4","SAN LUIS DAM, CA US","    598.1","","     598.1","0","        71","0","        35","0","         0","0","","","         0","0","         0","0","        13","0","         0","0","       186","0","        50","0","","","   -3.9","0,0107, ","","","     0","T,0,0130, ","  21.6"," ,0,1119, ","   38.3","0,0801,+","    2315.1","0","0.0","0,1211","-2.8","0,1230","","","","","","","-0.6","0,0205","-2.2","0,0108","","","    1421.5","5","    1421.5","0","      8.51","0","     21.67","0","    373.3"," ,0","        0","T,0","     15.68","0","     21.60","0","      9.76","0","     72970","0"
"USC00047846","1983","37.05333","-121.05778","84.4","SAN LUIS DAM, CA US","    740.3","","     740.3","0","        89","0","        56","0","         0","0","        0","","         0","0","         0","0","         7","0","         0","0","       190","0","        55","0","","","   -2.2","0,0101, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  23.9"," ,0,1111,+","   41.1","0,0714, ","    2239.3","0","-1.1","0,1121","","","","","","","","","0.0","0,0111","-2.2","0,0101","","","    1516.0","0","    1516.0","0","      9.35","0","     21.75","0","    531.7"," ,0","        0"," ,0","     16.57","0","     22.33","0","     10.82","0","     66233","0"
"USC00047846","1984","37.05333","-121.05778","84.4","SAN LUIS DAM, CA US","    964.0","","     964.0","0","        37","0","        18","0","         0","0","        0","","         0","0","         0","0","         8","0","         0","0","       208","0","        84","0","","","   -2.2","0,1217, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  20.3"," ,0,1017, ","   40.6","0,0810, ","    2793.1","0","-2.2","0,1217","-2.2","0,1217","","","","","","","0.0","0,0117","","","","","    1225.4","4","    1225.4","0","      8.56","0","     22.54","0","    149.6"," ,0","        0"," ,0","     17.14","0","     23.56","0","     10.72","0","     70384","0"
"USC00047846","1985","37.05333","-121.05778","84.4","SAN LUIS DAM, CA US","    831.8","","     831.8","0","        59","0","        21","0","         0","0","","","         0","0","         0","0","        36","0","         0","0","       210","0","        70","0","","","   -3.3","0,1212, ","","","     0"," ,0,1231,+","  16.0"," ,0,1125,+","   40.6","0,0616, ","","","0.0","0,1113","-3.3","0,1212","","","","","","","-0.6","0,0308","-2.2","0,0101","","","    1486.6","6","    1486.6","0","","","     21.77","0","    189.0"," ,0","        0"," ,0","     16.45","0","     22.36","0","     10.55","0","     73185","0"
"USC00047846","1986","37.05333","-121.05778","84.4","SAN LUIS DAM, CA US","    731.1","","     731.1","0","        56","0","        25","0","         1","0","        0","","         0","0","         0","0","         4","0","         0","0","       221","0","        61","0","","","   -0.6","0,0210, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  27.2"," ,0,0213, ","   38.9","0,0805, ","    2536.6","0","0.0","0,1210","","","","","","","","","0.0","0,0211","","","","","    1269.1","1","    1269.1","0","      9.02","0","     22.33","0","    244.5"," ,0","        0"," ,0","     17.29","0","     23.37","0","     11.21","0","     65637","0"
"USC00047846","1987","37.05333","-121.05778","84.4","SAN LUIS DAM, CA US","    776.4","","     776.4","0","        57","0","        24","0","         1","0","        0","","         0","0","         0","0","        20","0","         0","0","       209","0","        65","0","","","   -5.0","0,1226, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  46.0"," ,0,0213, ","   38.9","0,0806,+","","","-1.1","0,1214","-3.9","0,1225","-5.0","0,1226","","","","","0.0","0,0225","-2.2","0,0119","","","    1219.8","8","    1219.8","0","","","     21.82","0","    241.0"," ,0","        0"," ,0","     17.06","0","     23.31","0","     10.81","0","     72994","0"
"USC00047846","1988","37.05333","-121.05778","84.4","SAN LUIS DAM, CA US","","","","","        49","0","        27","0","         0","0","        0","","         0","0","","","","","         0","0","       221","0","        66","0","","","","","     0"," ,0,1231,+","     0"," ,0,1231,+","  20.6"," ,0,0415, ","   41.7","0,0730, ","","","","","","","","","","","","","","","","","","","    1168.0","0","    1168.0","0","","","     22.98","0","    199.1"," ,0","        0"," ,0","","","     23.79","0","","","",""
"USC00047846","1989","37.05333","-121.05778","84.4","SAN LUIS DAM, CA US","    794.8","","     794.8","0","        43","0","        12","0","         0","0","        0","","         0","0","         0","0","        28","0","         0","0","       226","0","        65","0","","","   -5.6","0,0207,+","     0"," ,0,1231,+","     0"," ,0,1231,+","  21.6"," ,0,0929, ","   41.7","0,0708, ","","","0.0","0,1211","","","","","","","","","-4.4","0,0208","-4.4","0,0208","-4.4","0,0208","","","","","","","     23.44","0","    124.7"," ,0","        0"," ,0","     16.61","0","     22.97","0","     10.24","0","     63162","0"
"USC00047846","1990","37.05333","-121.05778","84.4","SAN LUIS DAM, CA US","    931.0","","     931.0","0","        41","0","        13","0","         1","0","        0","","         0","0","         0","0","        25","0","         0","0","       223","0","        71","0","","","  -10.0","0,1222, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  29.5"," ,0,0528, ","   42.2","0,0713, ","","","-0.6","0,1217","-2.2","0,1221","-10.0","0,1222","-10.0","0,1222","-10.0","0,1222","-0.6","0,0220","-2.2","0,0216","","","    1351.1","1","    1351.1","0","      9.63","0","     23.70","0","    134.7"," ,0","        0"," ,0","     17.26","0","     23.77","0","     10.75","0","     71095","0"
"USC00047846","1991","37.05333","-121.05778","84.4","SAN LUIS DAM, CA US","    810.9","","     810.9","0","        53","0","        24","0","         1","0","        0","","         0","0","         0","0","        11","0","         0","0","       201","0","        85","0","","","   -1.7","0,0106,+","     0"," ,0,1231,+","     0"," ,0,1231,+","  27.9"," ,0,0228, ","   41.7","0,0704,+","    2728.5","0","-0.6","0,1201","","","","","","","","","-1.1","0,0203","","","","","    1369.5","5","    1369.5","0","      9.56","0","     23.27","0","    237.1"," ,0","        0"," ,0","     16.97","0","     23.41","0","     10.53","0","",""
"USC00047846","1992","37.05333","-121.05778","84.4","SAN LUIS DAM, CA US","    978.9","","     978.9","0","        55","0","        27","0","         0","0","        0","","         0","0","         0","0","        14","0","         0","0","       231","0","        81","0","","","   -1.7","0,1221,+","     0"," ,0,1231,+","     0"," ,0,1231,+","  16.3"," ,0,0215, ","   41.1","0,0818, ","    2714.0","0","0.0","0,1214","","","","","","","","","0.0","0,0203","","","","","    1179.6","6","    1179.6","0","     10.42","0","     24.14","0","    225.8"," ,0","        0"," ,0","     17.76","0","     24.03","0","     11.50","0","",""
"USC00047846","1993","37.05333","-121.05778","84.4","SAN LUIS DAM, CA US","    752.7","","     752.7","0","        58","0","        31","0","         3","0","        0","","         0","0","         0","0","        21","0","         0","0","       216","0","        63","0","","","   -3.3","0,0105,+","     0"," ,0,1231,+","     0"," ,0,1231,+","  36.8"," ,0,0326, ","   41.1","0,0626, ","","","-1.1","0,1124","-2.2","0,1125","","","","","","","-0.6","0,0228","-3.3","0,0105","","","    1266.1","1","    1266.1","0","      9.74","0","     23.48","0","    348.4"," ,0","        0"," ,0","     16.58","0","     22.99","0","     10.17","0","     68488","0"
"USC00047846","1994","37.05333","-121.05778","84.4","SAN LUIS DAM, CA US","    740.3","","     740.3","0","        56","0","        21","0","         0","0","        0","","         0","0","         0","0","        26","0","         0","0","       215","0","        70","0","","","   -3.9","0,1211, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  24.9"," ,0,0220, ","   40.0","0,0611, ","    2775.7","0","-0.6","0,1114","-3.3","0,1210","","","","","","","0.0","0,0219","-2.2","0,0131","","","    1394.1","1","    1394.1","0","      8.91","0","     23.00","0","    213.0"," ,0","        0"," ,0","     16.21","0","     22.78","0","      9.63","0","     77182","0"
"USC00047846","1995","37.05333","-121.05778","84.4","SAN LUIS DAM, CA US","    780.2","","     780.2","0","        71","0","        35","0","         2","0","        0","","         0","0","         0","0","         0","0","         0","0","       206","0","        63","0","","","    0.6","0,1222,+","     0"," ,0,1231,+","     0"," ,0,1231,+","  47.2"," ,0,0311, ","   41.1","0,0626, ","    2485.3","0","","","","","","","","","","","","","","","","","    1444.0","0","    1444.0","0","     10.42","0","     23.70","0","    361.9"," ,0","        0"," ,0","     17.33","0","     23.49","0","     11.18","0","     66000","0"
"USC00047846","1996","37.05333","-121.05778","84.4","SAN LUIS DAM, CA US","    929.7","","     929.7","0","        73","0","        36","0","         3","0","        0","","         0","0","         0","0","         0","0","         0","0","       210","0","        79","0","","","    0.6","0,1226,+","     0"," ,0,1231,+","     0"," ,0,1231,+","  36.8"," ,0,1222, ","   41.7","0,0814,+","    2785.4","0","","","","","","","","","","","","","","","","","    1039.6","6","    1039.6","0","      9.56","0","     23.31","0","    409.5"," ,0","        0"," ,0","     17.70","0","     23.97","0","     11.42","0","     69357","0"
"USC00047846","1997","37.05333","-121.05778","84.4","SAN LUIS DAM, CA US","    945.3","","     945.3","0","        59","0","        28","0","         0","0","        0","","         0","0","         0","0","        19","0","         0","0","       234","0","        82","0","","","   -4.4","0,0114, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  25.1"," ,0,0103, ","   41.1","0,0808, ","","","0.0","0,1211","-2.8","0,1225","","","","","","","0.0","0,0209","-3.3","0,0115","-4.4","0,0114","    1138.8","8","    1138.8","0","     10.13","0","     24.01","0","    289.3"," ,0","        0"," ,0","     17.77","0","     24.27","0","     11.27","0","     71154","0"
"USC00047846","1998","37.05333","-121.05778","84.4","SAN LUIS DAM, CA US","    721.4","","     721.4","0","        89","0","        54","0","         4","0","","","         0","0","         0","0","        14","0","         0","0","       180","0","        58","0","","","   -6.7","0,1223,+","","","     0"," ,0,1231,+","  94.0"," ,0,0506, ","   41.7","0,0805, ","","","0.0","0,1204","-4.4","0,1221","-4.4","0,1221","-6.7","0,1222","","","0.0","0,0106","","","","","    1408.3","3","    1408.3","0","","","","","    636.8"," ,0","        0"," ,0","     16.30","0","     22.07","0","     10.52","0","     67080","0"
"USC00047846","1999","37.05333","-121.05778","84.4","SAN LUIS DAM, CA US","    732.5","","     732.5","0","        47","0","        21","0","         1","0","        0","","         0","0","         0","0","        16","0","         0","0","       205","0","        57","0","","","   -2.2","0,0113, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  28.2"," ,0,0320, ","   42.2","0,0713, ","    2697.4","0","-0.6","0,1205","","","","","","","","","-1.1","0,0211","-2.2","0,0113","","","    1531.2","2","    1531.2","0","      8.64","0","     23.01","0","    168.1"," ,0","        0"," ,0","     16.51","0","     23.03","0","      9.98","0","     75148","0"
"USC00047846","2000","37.05333","-121.05778","84.4","SAN LUIS DAM, CA US","    870.2","","     870.2","0","        67","0","        26","0","         2","0","        0","","         0","0","         0","0","         8","0","         0","0","       208","0","        75","0","","","   -1.1","0,0106, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  29.5"," ,0,1027, ","   40.0","0,0802,+","","","-0.6","0,1123","","","","","","","","","-0.6","0,0110","","","","","    1075.7","7","    1075.7","0","      9.84","0","     23.83","0","    278.9"," ,0","        0"," ,0","     17.35","0","     23.73","0","     10.96","0","     68775","0"
"USC00047846","2001","37.05333","-121.05778","84.4","SAN LUIS DAM, CA US","   1055.5","","    1055.5","0","        56","0","        34","0","         1","0","        0","","         1","0","         0","0","        11","0","         0","0","       225","0","        88","0","","","   -2.8","0,0118,+","     0"," ,0,1231,+","    30"," ,0,0109, ","  26.9"," ,0,0305, ","   41.7","0,0704, ","    2953.6","0","0.0","0,1216","","","","","","","","","-0.6","0,0201","-2.8","0,0118","","","    1391.2","2","    1391.2","0","      9.44","0","     23.47","0","    296.1"," ,0","       30"," ,0","     17.80","0","     24.35","0","     11.26","0","     75063","0"
"USC00047846","2002","37.05333","-121.05778","84.4","SAN LUIS DAM, CA US","    869.5","","     869.5","0","        41","0","        19","0","         1","0","        0","","         0","0","         0","0","        16","0","         0","0","       207","0","        74","0","","","   -3.3","0,0131,+","     0"," ,0,1231,+","     0"," ,0,1231,+","  34.3"," ,0,1108, ","   41.7","0,0711, ","","","0.0","0,1223","","","","","","","","","0.0","0,0319","-3.3","0,0131","","","    1278.4","4","    1278.4","0","","","","","    192.1"," ,0","        0"," ,0","     17.16","0","     23.72","0","     10.60","0","     75925","0"
"USC00047846","2003","37.05333","-121.05778","84.4","SAN LUIS DAM, CA US","   1002.5","","    1002.5","0","        55","0","        25","0","         1","0","        0","","         0","0","         0","0","         4","0","         0","0","       202","0","        86","0","","","    0.0","0,1229,+","     0"," ,0,1231,+","     0"," ,0,1231,+","  30.5"," ,0,1230, ","   41.1","0,0721, ","    2689.1","0","0.0","0,1123","","","","","","","","","0.0","0,0209","","","","","    1259.0","0","    1259.0","0","      9.53","0","     23.59","0","    222.3"," ,0","        0"," ,0","     17.64","0","     23.93","0","     11.35","0","     67211","0"
"USC00047846","2004","37.05333","-121.05778","84.4","SAN LUIS DAM, CA US","    871.0","","     871.0","0","        59","0","        24","0","         0","0","        0","","         0","0","         0","0","        14","0","         0","0","       215","0","        78","0","","","   -2.2","0,1204, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  22.4"," ,0,1228, ","   38.3","0,0909,+","","","-1.7","0,1129","-2.2","0,1204","","","","","","","-0.6","0,0124","","","","","    1092.2","2","    1092.2","0","      9.24","0","     22.96","0","    242.9"," ,0","        0"," ,0","     17.41","0","     23.61","0","     11.21","0","     68252","0"
"USC00047846","2005","37.05333","-121.05778","84.4","SAN LUIS DAM, CA US","    856.2","","     856.2","0","        69","0","        34","0","         1","0","        0","","         0","0","         0","0","         0","0","         0","0","       226","0","        73","0","","","    1.1","0,1207,+","     0"," ,0,1231,+","     0"," ,0,1231,+","  34.0"," ,0,0216, ","   42.2","0,0717, ","","","","","","","","","","","","","","","","","","","    1270.7","7","    1270.7","0","","","","","    305.9"," ,0","        0"," ,0","     17.80","0","     23.98","0","     11.62","0","",""
"USC00047846","2006","37.05333","-121.05778","84.4","SAN LUIS DAM, CA US","","","","","        66","0","        31","0","         2","0","        0","","         0","0","","","","","         0","0","       200","0","        82","0","","","","","     0"," ,0,1231,+","     0"," ,0,1231,+","  32.0"," ,0,0102, ","   43.3","0,0726,+","    2733.2","0","","","","","","","","","","","","","","","","","    1146.9","9","    1146.9"," ","","","     23.46","0","    266.3"," ,0","        0"," ,0","","","     23.86","0","","","",""
