"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"MXN00012015","1983","18.5333","-99.6333","1661.8","CACALOTENANGO, MX","        82","m","        64","m","        10","m","","","","","","","  85.3"," ,m,0617, ","","","","","   1064.0"," ,m","",""
"MXN00012015","1984","18.5333","-99.6333","1661.8","CACALOTENANGO, MX","       102","m","        79","m","        16","m","","","","","","","  50.8"," ,m,0626, ","","","","","   1281.3"," ,m","",""
"MXN00012015","1985","18.5333","-99.6333","1661.8","CACALOTENANGO, MX","       110","m","        85","m","        11","m","","","","","","","  57.9"," ,m,0816, ","","","","","   1300.8"," ,m","",""
"MXN00012015","1986","18.5333","-99.6333","1661.8","CACALOTENANGO, MX","        95","m","        64","m","        12","m","","","","","","","  56.9"," ,m,0627, ","","","","","    963.1"," ,m","",""
"MXN00012015","1987","18.5333","-99.6333","1661.8","CACALOTENANGO, MX","        64","m","        53","m","        10","m","","","","","","","  56.9"," ,m,0627, ","","","","","    834.0"," ,m","",""
"MXN00012015","1991","18.5333","-99.6333","1661.8","CACALOTENANGO, MX","       105","m","        93","m","        17","m","","","","","","","  78.5"," ,m,0612, ","","","","","   1640.3"," ,m","",""
"MXN00012015","1994","18.5333","-99.6333","1661.8","CACALOTENANGO, MX","        84","m","        74","m","        13","m","","","","","","","  67.8"," ,m,0815, ","","","","","   1107.2"," ,m","",""
"MXN00012015","1995","18.5333","-99.6333","1661.8","CACALOTENANGO, MX","        92","m","        77","m","        20","m","","","","","","","  78.5"," ,m,0630, ","","","","","   1516.0"," ,m","",""
"MXN00012015","1996","18.5333","-99.6333","1661.8","CACALOTENANGO, MX","        87","m","        76","m","        10","m","","","","","","","  78.0"," ,m,0806, ","","","","","   1066.6"," ,m","",""
"MXN00012015","1998","18.5333","-99.6333","1661.8","CACALOTENANGO, MX","        95","m","        81","m","        16","m","         0","m","         0","m","    6.7","m,0203,+","  65.8"," ,m,0803, ","","","","","   1341.4"," ,m","     14.24","m"
"MXN00012015","1999","18.5333","-99.6333","1661.8","CACALOTENANGO, MX","","","","","","","","","","","","","","","      45.0","0","      45.0","m","","","",""
"MXN00012015","2003","18.5333","-99.6333","1661.8","CACALOTENANGO, MX","","","","","","","         0","m","         0","m","    6.7","m,1130, ","","","       0.5","5","       0.5","m","","","     15.88","m"
"MXN00012015","2007","18.5333","-99.6333","1661.8","CACALOTENANGO, MX","        56","m","        51","m","         0","m","","","","","","","  22.1"," ,m,0823,+","","","","","    463.0"," ,m","",""
"MXN00012015","2008","18.5333","-99.6333","1661.8","CACALOTENANGO, MX","        30","m","        28","m","         0","m","","","","","","","  21.3"," ,m,0629, ","       0.0","0","       0.0"," ","    278.1"," ,m","",""
"MXN00012015","2011","18.5333","-99.6333","1661.8","CACALOTENANGO, MX","        45","m","        45","m","         5","m","","","","","","","  40.6"," ,m,0824, ","","","","","    627.4"," ,m","",""
