"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HN01","HN01_ATTRIBUTES","HN02","HN02_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","HX01","HX01_ATTRIBUTES","HX02","HX02_ATTRIBUTES","HX03","HX03_ATTRIBUTES","LN01","LN01_ATTRIBUTES","LN02","LN02_ATTRIBUTES","LX01","LX01_ATTRIBUTES","LX02","LX02_ATTRIBUTES","LX03","LX03_ATTRIBUTES","MN01","MN01_ATTRIBUTES","MN02","MN02_ATTRIBUTES","MX01","MX01_ATTRIBUTES","MX02","MX02_ATTRIBUTES","MX03","MX03_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES"
"USC00488160","1930","44.8405","-106.8383","1143.0","SHERIDAN FIELD STATION, WY US","","","","","        71","0","        27","0","         1","0","","","         8","0","        26","0","       178","0","        42","0","       145","0","        39","0","","","","","  -38.3","0,0117, ","","","   114"," ,0,0313, ","  31.0"," ,0,0601, ","   40.6","0,0706, ","-1.7","0,0920","-2.8","0,0924","-8.9","0,1016","-8.9","0,1016","-8.9","0,1016","-1.1","0,0614","-3.3","0,0418","-7.2","0,0401","-7.2","0,0401","-9.4","0,0331","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    223.8"," ,0","      546"," ,0","      7.48","0","     15.64","0","     -0.69","0","",""
"USC00488160","1931","44.8405","-106.8383","1143.0","SHERIDAN FIELD STATION, WY US","    412.0","","     412.0","0","        69","0","        36","0","         1","0","","","        11","0","        13","0","       185","0","        28","0","       147","0","        47","0","         2"," ","","","  -22.2","0,1127,+","","","   127"," ,0,0117, ","  28.2"," ,0,0920, ","   41.1","0,0727, ","0.0","0,1011","-2.8","0,1013","-5.6","0,1030","-6.7","0,1112","-8.9","0,1119","-2.8","0,0522","-2.8","0,0522","-5.0","0,0521","-6.7","0,0426","-9.4","0,0421","    3787.5","5","","","","","    3787.5","0","","","","","","","","","","","","","","","","","","","","","","","","","","","    373.7"," ,0","      650"," ,0","      8.52","0","     16.86","0","      0.18","0","",""
"USC00488160","1932","44.8405","-106.8383","1143.0","SHERIDAN FIELD STATION, WY US","    283.1","","     283.1","0","       100","0","        53","0","         1","0","","","        25","0","        48","0","       178","0","        61","0","       137","0","        39","0","         1"," ","         2"," ","  -34.4","0,1209, ","","","   203"," ,0,1019, ","  52.6"," ,0,0424, ","   38.3","0,0809, ","0.0","0,0927","-6.7","0,1010","-6.7","0,1010","-6.7","0,1010","-11.1","0,1020","-1.1","0,0527","-5.6","0,0426","-5.6","0,0426","-7.2","0,0321","-12.2","0,0314","    4295.5","5","","","","","    4295.5","0","","","","","","","","","","","","","","","","","","","","","","","","","","","    490.2"," ,0","     1715"," ,0","      6.18","0","     13.94","0","     -1.59","0","",""
"USC00488160","1933","44.8405","-106.8383","1143.0","SHERIDAN FIELD STATION, WY US","    341.9","","     341.9","0","        84","0","        36","0","         3","0","","","        14","0","        22","0","       178","0","        41","0","       141","0","        42","0","         1"," ","         5"," ","  -36.7","0,0207, ","","","   330"," ,0,0322, ","  37.8"," ,0,0420, ","   40.0","0,0725, ","0.0","0,0916","-2.2","0,0926","-4.4","0,1021","-11.1","0,1104","-11.1","0,1104","-0.6","0,0513","-3.3","0,0423","-10.0","0,0414","-10.0","0,0414","-10.0","0,0414","    4306.8","8","","","","","    4306.8","0","","","","","","","","","","","","","","","","","","","","","","","","","","","    403.2"," ,0","     1413"," ,0","      7.48","0","     15.53","0","     -0.57","0","",""
"USC00488160","1934","44.8405","-106.8383","1143.0","SHERIDAN FIELD STATION, WY US","    365.1","","     365.1","0","        60","0","        26","0","         1","0","","","        12","0","         8","0","       175","0","        19","0","       149","0","        50","0","         3"," ","","","  -31.1","0,0226, ","","","   267"," ,0,0405, ","  26.7"," ,0,0405, ","   40.6","0,0719, ","-1.7","0,0915","-2.2","0,0920","-4.4","0,0925","-6.7","0,1117","-9.4","0,1122","-2.8","0,0513","-2.8","0,0513","-4.4","0,0420","-6.7","0,0326","-8.9","0,0325","    3426.5","5","","","","","    3426.5","0","","","","","","","","","","","","","","","","","","","","","","","","","","","    263.3"," ,0","     1129"," ,0","      9.55","0","     17.87","0","      1.22","0","",""
"USC00488160","1935","44.8405","-106.8383","1143.0","SHERIDAN FIELD STATION, WY US","","","","","","","","","","","","","","","","","","","","","","","","","         2"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USC00488160","1936","44.8405","-106.8383","1143.0","SHERIDAN FIELD STATION, WY US","    560.7","","     560.7","0","        77","0","        30","0","         0","0","","","        22","0","        40","0","       171","0","        58","0","       150","0","        68","0","         1"," ","","","  -38.9","0,0217, ","","","   152"," ,0,0322, ","  23.6"," ,0,0602, ","   41.7","0,0705, ","-1.1","0,0915","-3.9","0,0916","-8.9","0,1022","-8.9","0,1022","-8.9","0,1022","-1.7","0,0508","-2.2","0,0409","-6.1","0,0407","-16.7","0,0406","-16.7","0,0406","    4107.3","3","","","","","    4107.3","0","","","","","","","","","","","","","","","","","","","","","","","","","","","    249.2"," ,0","     1267"," ,0","      7.46","0","     15.65","0","     -0.73","0","",""
"USC00488160","1937","44.8405","-106.8383","1143.0","SHERIDAN FIELD STATION, WY US","    307.9","","     307.9","0","        80","0","        41","0","         3","0","","","        18","0","        54","0","       180","0","        58","0","       135","0","        37","0","","","","","  -33.3","0,0208, ","","","   178"," ,0,0324, ","  30.0"," ,0,0530, ","   40.6","0,0705, ","-2.2","0,0925","-2.2","0,0925","-5.0","0,1102","-6.7","0,1108","-14.4","0,1118","0.0","0,0604","-3.3","0,0425","-5.0","0,0404","-8.9","0,0330","-8.9","0,0330","    4280.4","4","","","","","    4280.4","0","","","","","","","","","","","","","","","","","","","","","","","","","","","    431.6"," ,0","     1676"," ,0","      6.21","0","     14.02","0","     -1.60","0","",""
"USC00488160","1938","44.8405","-106.8383","1143.0","SHERIDAN FIELD STATION, WY US","    219.2","","     219.2","0","        74","0","        39","0","         4","0","","","        17","0","        19","0","       173","0","        34","0","       139","0","        35","0","","","         1"," ","  -29.4","0,0130, ","","","   152"," ,0,0406, ","  46.0"," ,0,0520, ","   38.9","0,0812, ","-0.6","0,0918","-7.8","0,1019","-7.8","0,1019","-7.8","0,1019","-12.2","0,1106","0.0","0,0611","-2.2","0,0507","-4.4","0,0409","-15.0","0,0407","-15.0","0,0407","    3736.6","6","","","","","    3736.6","0","","","","","","","","","","","","","","","","","","","","","","","","","","","    450.5"," ,0","     1032"," ,0","      7.76","0","     15.71","0","     -0.20","0","",""
"USC00488160","1939","44.8405","-106.8383","1143.0","SHERIDAN FIELD STATION, WY US","    256.5","","     256.5","0","        74","0","        47","0","         2","0","","","        17","0","        22","0","       174","0","        31","0","       144","0","        39","0","","","         2"," ","  -34.4","0,0208, ","","","   127"," ,0,0405, ","  40.6"," ,0,0703, ","   40.0","0,0710, ","-1.7","0,0926","-2.8","0,1008","-5.6","0,1101","-7.8","0,1105","-9.4","0,1110","-1.1","0,0513","-3.3","0,0421","-6.7","0,0418","-6.7","0,0418","-9.4","0,0407","    3918.1","1","","","","","    3918.1","0","","","","","","","","","","","","","","","","","","","","","","","","","","","    443.2"," ,0","     1101"," ,0","      8.00","0","     16.69","0","     -0.69","0","",""
"USC00488160","1940","44.8405","-106.8383","1143.0","SHERIDAN FIELD STATION, WY US","    430.4","","     430.4","0","        92","0","        45","0","         2","0","","","        16","0","        33","0","       171","0","        50","0","       147","0","        56","0","         1"," ","         3"," ","  -34.4","0,0125, ","","","   127"," ,0,0416, ","  35.6"," ,0,1001, ","   41.1","0,0723, ","-1.1","0,1007","-2.2","0,1029","-11.7","0,1105","-11.7","0,1105","-11.7","0,1105","-0.6","0,0518","-7.2","0,0417","-7.2","0,0417","-7.2","0,0417","-12.2","0,0412","    3994.7","7","","","","","    3994.7","0","","","","","","","","","","","","","","","","","","","","","","","","","","","    409.5"," ,0","     1157"," ,0","      7.95","0","     15.78","0","      0.12","0","",""
"USC00488160","1941","44.8405","-106.8383","1143.0","SHERIDAN FIELD STATION, WY US","    303.4","","     303.4","0","        88","0","        43","0","         2","0","","","        15","0","        13","0","       185","0","        38","0","       119","0","        33","0","","","         1"," ","  -25.0","0,1228,+","","","   127"," ,0,0927, ","  57.2"," ,0,0414, ","   38.9","0,0805,+","-0.6","0,0922","-2.2","0,0929","-5.6","0,1029","-12.2","0,1030","-12.2","0,1030","-1.1","0,0520","-2.8","0,0423","-6.7","0,0420","-6.7","0,0420","-8.9","0,0318","    3726.8","8","","","","","    3726.8","0","","","","","","","","","","","","","","","","","","","","","","","","","","","    438.6"," ,0","      958"," ,0","      7.90","0","     15.37","0","      0.43","0","",""
"USC00488160","1942","44.8405","-106.8383","1143.0","SHERIDAN FIELD STATION, WY US","    198.9","","     198.9","0","       103","0","        50","0","         2","0","","","        17","0","        26","0","       187","0","        44","0","       130","0","        31","0","         1"," ","         1"," ","  -31.7","0,0107, ","","","   191"," ,0,1120, ","  29.0"," ,0,0530, ","   37.8","0,0722,+","0.0","0,0918","-3.3","0,0926","-4.4","0,1023","-7.8","0,1025","-9.4","0,1105","-1.7","0,0519","-3.9","0,0518","-7.8","0,0331","-7.8","0,0331","-8.9","0,0328","    4225.0","0","","","","","    4225.0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","    481.1"," ,0","     1291"," ,0","      6.90","0","     14.36","0","     -0.56","0","",""
"USC00488160","1943","44.8405","-106.8383","1143.0","SHERIDAN FIELD STATION, WY US","","","","","        73","0","        47","0","         3","0","","","        16","0","        32","0","       176","0","        34","0","       129","0","        30","0","         2"," ","         2"," ","  -32.8","0,0118, ","","","   127"," ,0,0511,+","  44.5"," ,0,0508, ","   37.8","0,0731, ","-1.7","0,0908","-2.2","0,0919","-6.1","0,1015","-9.4","0,1102","-9.4","0,1102","0.0","0,0604","-2.2","0,0513","-5.6","0,0512","-8.9","0,0323","-8.9","0,0323","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    421.9"," ,0","     1030"," ,0","      7.26","0","     15.62","0","     -1.11","0","",""
"USC00488160","1944","44.8405","-106.8383","1143.0","SHERIDAN FIELD STATION, WY US","","","","","        88","0","        50","0","         4","0","","","        16","0","        30","0","       191","0","        51","0","       134","0","        12","0","         1"," ","        10"," ","  -31.7","0,1224, ","","","   178"," ,0,0125, ","  52.1"," ,0,0604, ","   36.7","0,0818, ","0.0","0,0911","-3.9","0,1002","-5.6","0,1007","-6.7","0,1109","-10.6","0,1115","-0.6","0,0508","-3.9","0,0504","-5.0","0,0424","-8.9","0,0330","-8.9","0,0330","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    529.5"," ,0","     1173"," ,0","      6.33","0","     14.15","0","     -1.49","0","",""
"USC00488160","1945","44.8405","-106.8383","1143.0","SHERIDAN FIELD STATION, WY US","    188.6","","     188.6","0","        96","0","        55","0","         0","0","","","        20","0","        24","0","       191","0","        43","0","       111","0","        27","0","         2"," ","         3"," ","  -28.9","0,0305, ","","","   107"," ,0,0215, ","  22.1"," ,0,0917, ","   37.8","0,0725, ","0.0","0,0919","-3.9","0,0928","-4.4","0,1019","-6.7","0,1021","-11.1","0,1108","0.0","0,0522","-2.8","0,0503","-5.6","0,0426","-7.2","0,0418","-10.0","0,0412","    4365.8","8","","","","","    4365.8","0","","","","","","","","","","","","","","","","","","","","","","","","","","","    457.3"," ,0","     1163"," ,0","      6.19","0","     13.84","0","     -1.46","0","",""
"USC00488160","1946","44.8405","-106.8383","1143.0","SHERIDAN FIELD STATION, WY US","","","","","        84","0","        47","0","         3","0","","","        15","0","        18","0","       184","0","        25","0","       125","0","        26","0","","","         5"," ","  -31.7","0,1229, ","","","   343"," ,0,0321, ","  54.1"," ,0,0611, ","   38.3","0,0729, ","0.0","0,0923","-2.2","0,1008","-6.7","0,1017","-6.7","0,1017","-17.8","0,1103","-1.1","0,0520","-5.0","0,0408","-5.0","0,0408","-7.2","0,0325","-12.8","0,0323","    3830.4","4","","","","","    3830.4","0","","","","","","","","","","","","","","","","","","","","","","","","","","","    540.9"," ,0","     1385"," ,0","      7.63","0","     15.22","0","      0.05","0","",""
"USC00488160","1947","44.8405","-106.8383","1143.0","SHERIDAN FIELD STATION, WY US","    261.4","","     261.4","0","        84","0","        46","0","         4","0","","","        23","0","        29","0","       182","0","        57","0","       134","0","        43","0","         6"," ","         2"," ","  -28.9","0,0227, ","","","   132"," ,0,0404, ","  43.7"," ,0,0621, ","   40.0","0,0728, ","-1.7","0,1007","-3.3","0,1013","-4.4","0,1026","-14.4","0,1106","-14.4","0,1106","-2.8","0,0529","-2.8","0,0529","-7.2","0,0416","-7.2","0,0416","-9.4","0,0406","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    462.0"," ,0","     1380"," ,0","      6.75","0","     14.51","0","     -1.02","0","",""
"USC00488160","1948","44.8405","-106.8383","1143.0","SHERIDAN FIELD STATION, WY US","    224.4","","     224.4","0","        93","0","        41","0","         4","0","","","        13","0","        34","0","       190","0","        51","0","       141","0","        26","0","","","","","  -30.0","0,0211,+","","","   140"," ,0,0419, ","  72.4"," ,0,0714, ","   38.9","0,0831, ","0.0","0,1002","-2.2","0,1006","-7.2","0,1007","-7.2","0,1007","-10.6","0,1108","-1.1","0,0516","-2.2","0,0515","-6.7","0,0411","-6.7","0,0411","-9.4","0,0408","    3994.8","8","","","","","    3994.8","0","","","","","","","","","","","","","","","","","","","","","","","","","","","    471.3"," ,0","     1049"," ,0","      6.82","0","     14.64","0","     -1.01","0","",""
"USC00488160","1949","44.8405","-106.8383","1143.0","SHERIDAN FIELD STATION, WY US","    229.3","","     229.3","0","        75","0","        45","0","         3","0","","","","","        48","0","       187","0","        67","0","       139","0","        34","0","         2"," ","         1"," ","  -36.7","0,0125, ","","","","","  32.3"," ,0,0602, ","   40.6","0,0807, ","0.0","0,0912","-2.2","0,0913","-5.6","0,1017","-7.2","0,1020","-9.4","0,1121","-2.8","0,0501","-2.8","0,0501","-6.1","0,0410","-6.7","0,0401","-11.1","0,0318","    4712.0","0","","","","","    4712.0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","    425.1"," ,0","","","      6.05","0","     14.20","0","     -2.09","0","",""
"USC00488160","1950","44.8405","-106.8383","1143.0","SHERIDAN FIELD STATION, WY US","    135.6","","     135.6","0","        95","0","        46","0","         1","0","","","","","        37","0","       201","0","        51","0","       129","0","        21","0","","","","","  -33.3","0,0125, ","","","","","  30.2"," ,0,0618, ","   38.3","0,0905,+","0.0","0,0820","-2.2","0,1002","-5.6","0,1024","-8.9","0,1103","-8.9","0,1103","0.0","0,0608","-2.8","0,0519","-8.9","0,0501","-8.9","0,0501","-8.9","0,0501","    4850.0","0","","","","","    4850.0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","    363.0"," ,0","","","      5.41","0","     13.19","0","     -2.39","0","",""
"USC00488160","1951","44.8405","-106.8383","1143.0","SHERIDAN FIELD STATION, WY US","    213.5","","     213.5","0","       104","0","        39","0","         2","0","","","        26","0","        35","0","       194","0","        59","0","       115","0","        25","0","","","","","  -35.6","0,0129, ","","","   203"," ,0,0320, ","  33.8"," ,0,0611, ","   37.8","0,0725, ","-2.2","0,0915","-2.2","0,0915","-5.0","0,0927","-6.7","0,1016","-15.0","0,1101","-1.1","0,0604","-12.2","0,0422","-12.2","0,0422","-12.2","0,0422","-12.2","0,0422","    4520.3","3","","","","","    4520.3","0","","","","","","","","","","","","","","","","","","","","","","","","","","","    374.9"," ,0","     1484"," ,0","      5.69","0","     12.96","0","     -1.58","0","     58496","0"
"USC00488160","1952","44.8405","-106.8383","1143.0","SHERIDAN FIELD STATION, WY US","    236.7","","     236.7","0","        69","0","        33","0","         4","0","","","","","        35","0","       193","0","        48","0","       157","0","        34","0","","","","","  -30.6","0,0123,+","","","","","  61.0"," ,0,0713, ","   37.8","0,0826, ","-1.1","0,0914","-5.6","0,1005","-5.6","0,1005","-13.9","0,1006","-13.9","0,1006","-3.9","0,0510","-3.9","0,0510","-4.4","0,0423","-9.4","0,0324","-9.4","0,0324","    4620.4","4","","","","","    4620.4","0","","","","","","","","","","","","","","","","","","","","","","","","","","","    398.8"," ,0","","","      7.10","0","     15.62","0","     -1.43","0","     40718","0"
"USC00488160","1953","44.8405","-106.8383","1143.0","SHERIDAN FIELD STATION, WY US","","","","","       103","0","        36","0","         2","0","","","","","         8","0","       183","0","","","","","","","","","","","  -25.0","0,0220, ","","","","","  49.5"," ,0,0802, ","","","-0.6","0,0930","-2.8","0,1003","-5.0","0,1023","-6.7","0,1104","-15.0","0,1119","-1.7","0,0523","-2.8","0,0515","-5.0","0,0514","-6.7","0,0512","-10.6","0,0419","    4037.1","1","","","","","    4037.1","0","","","","","","","","","","","","","","","","","","","","","","","","","","","    397.0"," ,0","","","","","","","      0.69","0","",""
