"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYHF","DYHF_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USW00012863","1948","28.96667","-89.38333","4.0","BURRWOOD WEATHER BUREAU, LA US","   1562.4","","    1562.4","0","       126","0","        84","0","        20","0","        0","","         0","0","         0","0","         3","0","         0","0","       280","0","        26","0","         3"," ","","","        24"," ","   -2.2","0,0124, ","     0"," ,0,1231,+","     0"," ,0,1231,+"," 229.4"," ,0,1101, ","   33.3","0,0803,+","","","-2.2","0,0124","-2.2","0,0124","","","","","","","   1841.6"," ,0","        0"," ,0","     21.26","0","     25.03","0","     17.47","0"
"USW00012863","1949","28.96667","-89.38333","4.0","BURRWOOD WEATHER BUREAU, LA US","","","","","       124","0","        82","0","        21","0","        0","","         0","0","","","","","","","","","","","         1"," ","","","         1"," ","","","     0"," ,0,1231,+","     0"," ,0,1231,+"," 122.9"," ,0,0904, ","","","","","","","","","","","     361.9","9","     361.9","0","   1664.0"," ,0","        0"," ,0","","","","","",""
"USW00012863","1950","28.96667","-89.38333","4.0","BURRWOOD WEATHER BUREAU, LA US","","","","","        94","0","        62","0","        16","0","        0","","         0","0","","","","","","","","","","","        37"," ","","","        27"," ","","","     0"," ,0,1231,+","     0"," ,0,1231,+"," 123.7"," ,0,0927, ","","","","","","","","","","","","","","","   1304.9"," ,0","        0"," ,0","","","","","",""
"USW00012863","1951","28.96667","-89.38333","4.0","BURRWOOD WEATHER BUREAU, LA US","   1660.3","","    1660.3","0","        97","0","        66","0","        10","0","        0","","         0","0","         0","0","         4","0","         1","0","       277","0","        62","0","        57"," ","","","        59"," ","   -5.0","0,0202, ","     0"," ,0,1231,+","     0","T,0,0202, ","  61.2"," ,0,1101, ","   35.0","0,0813,+","","","-1.1","0,0204","-3.3","0,0203","-5.0","0,0202","     636.4","4","     636.4","0","    992.6"," ,0","        0","T,0","     21.18","0","     25.08","0","     17.28","0"
"USW00012863","1952","28.96667","-89.38333","4.0","BURRWOOD WEATHER BUREAU, LA US","   1481.5","","    1481.5","0","       103","0","        65","0","        16","0","        0","","         0","0","         0","0","         0","0","         0","0","       268","0","        41","0","        43"," ","","","        55"," ","    2.8","0,1215,+","     0"," ,0,1231,+","     0"," ,0,1231,+","  76.5"," ,0,0222, ","   34.4","0,0818, ","","","","","","","","","     494.1","1","     494.1","0","   1119.2"," ,0","        0"," ,0","     20.98","0","     24.81","0","     17.16","0"
"USW00012863","1953","28.96667","-89.38333","4.0","BURRWOOD WEATHER BUREAU, LA US","   1690.1","","    1690.1","0","       104","0","        66","0","        20","0","        0","","         0","0","         0","0","         0","0","         0","0","       282","0","        47","0","        56"," ","","","        53"," ","    3.9","0,1224,+","     0"," ,0,1231,+","     0","T,0,1218,+","  82.3"," ,0,0924,+","   34.4","0,0808,+","","","","","","","","","     457.3","3","     457.3","0","   1421.3"," ,0","        0","T,0","     21.75","0","     25.33","0","     18.16","0"
"USW00012863","1954","28.96667","-89.38333","4.0","BURRWOOD WEATHER BUREAU, LA US","   1698.6","","    1698.6","0","        90","0","        49","0","        14","0","        0","","         0","0","         0","0","         0","0","         0","0","       272","0","        53","0","        47"," ","","","        50"," ","    1.7","0,0111, ","     0"," ,0,1231,+","     0"," ,0,1231,+"," 101.1"," ,0,0728, ","   35.0","0,0630, ","","","","","","","","","     509.1","1","     509.1","0","   1185.4"," ,0","        0"," ,0","     21.63","0","     25.26","0","     18.00","0"
"USW00012863","1955","28.96667","-89.38333","4.0","BURRWOOD WEATHER BUREAU, LA US","   1735.0","","    1735.0","0","       108","0","        65","0","        17","0","        0","","         0","0","         0","0","         0","0","         0","0","       284","0","        14","0","        55"," ","","","        62"," ","    1.7","0,1216,+","     0"," ,0,1231,+","     0","T,0,0327,+","  59.7"," ,0,0116, ","   33.9","0,0822, ","","","","","","","","","     509.5","5","     509.5","0","   1174.2"," ,0","        0","T,0","     21.65","0","     25.21","0","     18.09","0"
"USW00012863","1956","28.96667","-89.38333","4.0","BURRWOOD WEATHER BUREAU, LA US","   1663.3","","    1663.3","0","       103","0","        68","0","        14","0","        0","","         0","0","         0","0","         0","0","         0","0","       288","0","        27","0","        50"," ","","","        59"," ","    2.8","0,0113, ","     0"," ,0,1231,+","     0"," ,0,1231,+"," 126.5"," ,0,0612, ","   34.4","0,0809, ","","","","","","","","","     500.5","5","     500.5","0","   1205.6"," ,0","        0"," ,0","     21.64","0","     25.02","0","     18.27","0"
"USW00012863","1957","28.96667","-89.38333","4.0","BURRWOOD WEATHER BUREAU, LA US","   1662.6","","    1662.6","0","       107","0","        74","0","        32","0","        0","","         0","0","         0","0","         0","0","         0","0","       273","0","        20","0","        60"," ","","","        70"," ","    0.6","0,1212, ","     0"," ,0,1231,+","     0"," ,0,1231,+"," 151.4"," ,0,0918, ","   33.9","0,0717,+","","","","","","","","","     336.9","9","     336.9","0","   2175.0"," ,0","        0"," ,0","     21.73","0","     24.64","0","     18.83","0"
"USW00012863","1958","28.96667","-89.38333","4.0","BURRWOOD WEATHER BUREAU, LA US","   1611.1","","    1611.1","0","       103","0","        80","0","        21","0","        0","","         1","0","         0","0","         2","0","         0","0","       235","0","        16","0","        57"," ","","","        58"," ","   -1.7","0,0213, ","     0"," ,0,1231,+","    51"," ,0,0212, "," 105.7"," ,0,0112, ","   32.8","0,0822,+","","","-1.7","0,0213","","","","","     812.6","6","     812.6","0","   1757.5"," ,0","       51"," ,0","     20.55","0","     23.42","0","     17.67","0"
"USW00012863","1959","28.96667","-89.38333","4.0","BURRWOOD WEATHER BUREAU, LA US","   1656.9","","    1656.9","0","       117","0","        81","0","        25","0","        0","","         0","0","         0","0","         0","0","         0","0","       241","0","        12","0","        82"," ","","","        68"," ","    2.2","0,0117, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  92.2"," ,0,0608, ","   32.8","0,0903,+","","","","","","","","","     608.6","6","     608.6","0","   1634.6"," ,0","        0"," ,0","     21.07","0","     23.87","0","     18.27","0"
"USW00012863","1960","28.96667","-89.38333","4.0","BURRWOOD WEATHER BUREAU, LA US","   1649.5","","    1649.5","0","        91","0","        63","0","        16","0","        0","","         0","0","         0","0","         0","0","         0","0","       259","0","        25","0","        65"," ","","","        61"," ","    2.2","0,1222,+","     0"," ,0,1231,+","     0"," ,0,1231,+"," 148.8"," ,0,0504, ","   35.0","0,0724,+","","","","","","","","","     754.3","3","     754.3","0","   1316.2"," ,0","        0"," ,0","     20.90","0","     23.87","0","     17.93","0"
"USW00012863","1961","28.96667","-89.38333","4.0","BURRWOOD WEATHER BUREAU, LA US","   1549.6","","    1549.6","0","        92","0","        71","0","        19","0","        0","","         0","0","         0","0","         1","0","         0","0","       267","0","         9","0","        72"," ","","","        63"," ","    0.0","0,0122, ","     0"," ,0,1231,+","     0","T,0,0128, "," 129.3"," ,0,0319, ","   32.8","0,0802,+","","","0.0","0,0122","","","","","     529.8","8","     529.8","0","   1472.2"," ,0","        0","T,0","     21.13","0","     24.06","0","     18.19","0"
"USW00012863","1962","28.96667","-89.38333","4.0","BURRWOOD WEATHER BUREAU, LA US","   1731.5","","    1731.5","0","        84","0","        58","0","        10","0","        0","","         0","0","         0","0","         6","0","         1","0","       248","0","        43","0","        71"," ","","","        74"," ","   -6.1","0,0111, ","     0"," ,0,1231,+","     0","T,0,0111, "," 104.6"," ,0,1120, ","   33.9","0,0806,+","-1.7","0,1212","0.0","0,0113","-4.4","0,0112","-4.4","0,0112","     581.5","5","     581.5","0","   1013.7"," ,0","        0","T,0","     21.36","0","     24.44","0","     18.28","0"
"USW00012863","1963","28.96667","-89.38333","4.0","BURRWOOD WEATHER BUREAU, LA US","   1772.1","","    1772.1","0","        90","0","        67","0","        12","0","        0","","         0","0","         0","0","         4","0","         0","0","       262","0","        45","0","        66"," ","","","        69"," ","   -5.0","0,0124, ","     0"," ,0,1231,+","     0","T,0,0124, "," 134.4"," ,0,0918, ","   33.9","0,0614, ","-0.6","0,1223","-5.0","0,0124","-5.0","0,0124","-5.0","0,0124","     648.2","2","     648.2","0","   1098.2"," ,0","        0","T,0","     21.22","0","     24.37","0","     18.07","0"
"USW00012863","1964","28.96667","-89.38333","4.0","BURRWOOD WEATHER BUREAU, LA US","","","","","        93","0","        66","0","        10","0","        0","","         0","0","","","","","","","","","","","        81"," ","","","        57"," ","","","     0"," ,0,1231,+","     0"," ,0,1231,+","  80.8"," ,0,1112, ","","","","","","","","","","","     663.9","9","     663.9","0","   1131.8"," ,0","        0"," ,0","","","","","",""
"USW00012863","1965","28.96667","-89.38333","4.0","BURRWOOD WEATHER BUREAU, LA US","","","","","","","","","","","","","","","","","","","","","","","","","        16"," ","         6"," ","         2"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
