"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"ASN00085150","1978","-38.2933","146.3883","85.0","HAZELWOOD SEC, AS","       167","a","        87","a","         3","a","","","","","","","","","","","","","  39.6"," ,a,0520, ","","","","","","","","","","","","","    861.1"," ,a","","","","","",""
"ASN00085150","1979","-38.2933","146.3883","85.0","HAZELWOOD SEC, AS","       161","a","        68","a","         1","a","","","","","","","","","","","","","  27.0"," ,a,0314, ","","","","","","","","","","","","","    623.6"," ,a","","","","","",""
"ASN00085150","1980","-38.2933","146.3883","85.0","HAZELWOOD SEC, AS","       146","a","        63","a","         3","a","","","","","","","","","","","","","  41.8"," ,a,1229, ","","","","","","","","","","","","","    651.4"," ,a","","","","","",""
"ASN00085150","1981","-38.2933","146.3883","85.0","HAZELWOOD SEC, AS","       154","a","        77","a","         2","a","","","","","","","","","","","","","  26.4"," ,a,0128, ","","","","","","","","","","","","","    640.4"," ,a","","","","","",""
"ASN00085150","1982","-38.2933","146.3883","85.0","HAZELWOOD SEC, AS","       114","a","        51","a","         0","a","","","","","","","","","","","","","  23.0"," ,a,0329, ","","","","","","","","","","","","","    436.4"," ,a","","","","","",""
"ASN00085150","1983","-38.2933","146.3883","85.0","HAZELWOOD SEC, AS","       163","a","        72","a","         6","a","","","","","","","","","","","","","  63.3"," ,a,0503, ","","","","","","","","","","","","","    798.8"," ,a","","","","","",""
"ASN00085150","1984","-38.2933","146.3883","85.0","HAZELWOOD SEC, AS","       159","a","        79","a","         1","a","","","","","","","","","","","","","  36.0"," ,a,0421, ","","","","","","","","","","","","","    658.2"," ,a","","","","","",""
"ASN00085150","1985","-38.2933","146.3883","85.0","HAZELWOOD SEC, AS","       169","a","        76","a","         0","a","","","","","","","","","","","","","  25.2"," ,a,0605, ","","","","","","","","","","","","","    797.8"," ,a","","","","","",""
"ASN00085150","1986","-38.2933","146.3883","85.0","HAZELWOOD SEC, AS","       146","a","        70","a","         1","a","","","","","","","","","","","","","  38.0"," ,a,1217, ","","","","","","","","","","","","","    695.1"," ,a","","","","","",""
"ASN00085150","1987","-38.2933","146.3883","85.0","HAZELWOOD SEC, AS","       137","a","        68","a","         1","a","","","","","","","","","","","","","  26.6"," ,a,0816, ","","","","","","","","","","","","","    609.6"," ,a","","","","","",""
"ASN00085150","1988","-38.2933","146.3883","85.0","HAZELWOOD SEC, AS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    698.3"," ,a","","","","","",""
