"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"AR000087078","1990","-24.7","-60.583","130.0","LAS LOMITAS, AR","   2046.1","","    2046.1","G","         0","G","         6","G","         0","G","       316","G","       167","G","   -2.1","G,0722,+","   43.5","G,1115, ","-1.6","G,0621","","","","","","","","","","","     359.1","1","     359.1","G","     23.60","G","     30.29","G","     16.92","G"
"AR000087078","1992","-24.7","-60.583","130.0","LAS LOMITAS, AR","   1950.6","","    1950.6","G","         0","G","         6","G","         0","G","       327","G","       110","G","   -3.2","G,0723, ","   38.3","G,0209, ","-2.3","G,0707","-2.3","G,0707","","","","","","","","","     352.5","5","     352.5","G","     22.27","G","     28.36","G","     16.18","G"
"AR000087078","1993","-24.7","-60.583","130.0","LAS LOMITAS, AR","   1924.2","","    1924.2","G","         0","G","         8","G","         0","G","       314","G","       174","G","   -5.0","G,0731, ","   41.5","G,0906, ","-2.0","G,0618","-2.8","G,0714","-5.0","G,0731","-4.0","G,0801","-4.0","G,0801","","","     348.5","5","     348.5","G","     23.31","G","     30.13","G","     16.49","G"
"AR000087078","1994","-24.7","-60.583","130.0","LAS LOMITAS, AR","   2059.2","","    2059.2","I","         0","I","         6","I","         0","I","       332","I","       162","I","   -4.0","I,0709, ","   43.1","I,0115, ","-1.6","G,0625","-2.5","G,0627","","","","","","","","","     229.2","2","     229.2","I","     23.85","I","     30.32","I","     17.37","I"
"AR000087078","1995","-24.7","-60.583","130.0","LAS LOMITAS, AR","   2157.9","","    2157.9"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AR000087078","1998","-24.7","-60.583","130.0","LAS LOMITAS, AR","   2174.7","","    2174.7","I","         0","G","         1","I","         0","G","       331","G","       124","G","    0.0","I,0710, ","   43.5","G,0117, ","0.0","G,0710","","","","","","","","","","","     270.6","6","     270.6","G","     22.71","I","     29.19","G","     16.23","I"
"AR000087078","1999","-24.7","-60.583","130.0","LAS LOMITAS, AR","   1761.3","","    1761.3","G","         0","G","         3","G","         0","G","       314","G","       158","G","   -1.6","G,0706, ","   41.8","G,1015, ","-0.3","G,0705","","","","","-0.3","G,0815","","","","","     340.0","0","     340.0","G","     22.82","G","     29.58","G","     16.05","G"
"AR000087078","2000","-24.7","-60.583","130.0","LAS LOMITAS, AR","   1961.4","","    1961.4","G","         0","G","         7","G","         0","G","       312","G","       133","G","   -4.6","G,0713, ","   42.4","G,0113, ","-3.0","I,0712","-3.0","I,0712","-4.6","G,0713","","","","","","","     338.2","2","     338.2","G","     22.73","G","     29.35","G","     16.11","G"
"AR000087078","2001","-24.7","-60.583","130.0","LAS LOMITAS, AR","   2000.6","","    2000.6"," ","         0","G","         7","G","         0","G","       317","G","       168","G","   -2.8","G,0621, ","   42.6","G,1121, ","-2.6","G,0620","-2.6","G,0620","","","","","","","","","","","","","     23.77","G","     30.48","G","     17.06","G"
"AR000087078","2003","-24.7","-60.583","130.0","LAS LOMITAS, AR","","","","","         0","G","         1","G","","","","","","","   -0.4","G,0711, ","","","-0.4","G,0711","","","","","","","","","","","","","","","","","","","     16.69","G"
"AR000087078","2020","-24.7","-60.583","130.0","LAS LOMITAS, AR","","","","","         0","S","         1","S","","","","","","","    0.0","S,0821, ","","","","","","","","","0.0","S,0821","","","","","","","","","","","","","     17.68","S"
