"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00045119","1975","36.8749","-120.9386","256.9","LOS BANOS ARBURUA RANCH, CA US","","","","","        51","0","        24","0","         1","0","        0","","         0","0","","","","","","","","","","","","","         4"," ","","","     0"," ,0,1231,+","     0"," ,0,1231,+","  27.9"," ,0,0202, ","","","","","","","","","","","    178.9"," ,0","        0"," ,0","","","","","",""
"USC00045119","1976","36.8749","-120.9386","256.9","LOS BANOS ARBURUA RANCH, CA US","","","","","        41","0","        24","0","         1","0","        0","","         1","0","","","","","","","","","","","","","         4"," ","","","     0"," ,0,1231,+","    25"," ,0,0205, ","  38.4"," ,0,0929, ","","","","","","","","","","","    222.6"," ,0","       38"," ,0","","","","","",""
"USC00045119","1977","36.8749","-120.9386","256.9","LOS BANOS ARBURUA RANCH, CA US","","","","","        39","0","        17","0","         1","0","        0","","         0","0","","","","","","","","","","","","","         1"," ","","","     0"," ,0,1231,+","     0"," ,0,1231,+","  35.3"," ,0,1217, ","","","","","","","","","","","    151.5"," ,0","        0"," ,0","","","","","",""
"USC00045119","1978","36.8749","-120.9386","256.9","LOS BANOS ARBURUA RANCH, CA US","","","","","        58","0","        39","0","         1","0","        0","","         0","0","","","","","","","","","","","","","         4"," ","","","     0"," ,0,1231,+","     0"," ,0,1231,+","  29.5"," ,0,0331, ","","","","","","","","","","","    340.2"," ,0","        0"," ,0","","","","","",""
"USC00045119","1979","36.8749","-120.9386","256.9","LOS BANOS ARBURUA RANCH, CA US","","","","","        56","0","        28","0","         0","0","        0","","         0","0","","","","","","","","","","","","","         1"," ","","","     0"," ,0,1231,+","     0"," ,0,1231,+","  18.8"," ,0,0319, ","","","","","","","","","","","    213.0"," ,0","        0"," ,0","","","","","",""
"USC00045119","1980","36.8749","-120.9386","256.9","LOS BANOS ARBURUA RANCH, CA US","","","","","        54","0","        26","0","         0","0","        0","","         0","0","","","","","","","","","","","","","         2"," ","","","     0"," ,0,1231,+","     0"," ,0,1231,+","  19.8"," ,0,0111, ","","","","","","","","","","","    219.4"," ,0","        0"," ,0","","","","","",""
"USC00045119","1981","36.8749","-120.9386","256.9","LOS BANOS ARBURUA RANCH, CA US","","","","","        55","0","        27","0","         0","0","        0","","         0","0","","","","","","","","","","","","","         2"," ","","","     0"," ,0,1231,+","     0"," ,0,1231,+","  24.6"," ,0,1113, ","","","","","","","","","","","    246.4"," ,0","        0"," ,0","","","","","",""
"USC00045119","1982","36.8749","-120.9386","256.9","LOS BANOS ARBURUA RANCH, CA US","","","","","        64","0","        38","0","         1","0","","","         0","0","","","","","","","","","","","        13"," ","         3"," ","","","","","     0"," ,0,1231,+","  28.7"," ,0,1222, ","","","","","","","","","","","    340.7"," ,0","        0"," ,0","","","","","",""
"USC00045119","1983","36.8749","-120.9386","256.9","LOS BANOS ARBURUA RANCH, CA US","","","","","        87","0","        52","0","         1","0","        0","","         0","0","","","","","","","","","","","        12"," ","         1"," ","","","     0"," ,0,1231,+","     0"," ,0,1231,+","  32.3"," ,0,0930, ","","","","","","","","","","","    446.4"," ,0","        0"," ,0","","","","","",""
"USC00045119","1984","36.8749","-120.9386","256.9","LOS BANOS ARBURUA RANCH, CA US","","","","","        50","0","        16","0","         1","0","","","         0","0","","","","","","","","","","","         9"," ","","","","","","","     0"," ,0,1231,+","  26.9"," ,0,1116, ","","","","","","","","","","","    147.0"," ,0","        0"," ,0","","","","","",""
"USC00045119","1985","36.8749","-120.9386","256.9","LOS BANOS ARBURUA RANCH, CA US","","","","","        44","0","        18","0","         0","0","        0","","         0","0","","","","","","","","","","","        25"," ","","","","","     0"," ,0,1231,+","     0","T,0,1112, ","  16.8"," ,0,1125, ","","","","","","","","","","","    157.4"," ,0","        0","T,0","","","","","",""
"USC00045119","1986","36.8749","-120.9386","256.9","LOS BANOS ARBURUA RANCH, CA US","","","","","        38","0","        21","0","         0","0","        0","","         0","0","","","","","","","","","","","        19"," ","","","","","     0"," ,0,1231,+","     0"," ,0,1231,+","  20.3"," ,0,0315, ","","","","","","","","","","","    172.8"," ,0","        0"," ,0","","","","","",""
"USC00045119","1987","36.8749","-120.9386","256.9","LOS BANOS ARBURUA RANCH, CA US","","","","","        50","0","        26","0","         1","0","        0","","         0","0","","","","","","","","","","","         4"," ","         9"," ","","","     0"," ,0,1231,+","     0"," ,0,1231,+","  34.3"," ,0,0213, ","","","","","","","","","","","    243.2"," ,0","        0"," ,0","","","","","",""
"USC00045119","1988","36.8749","-120.9386","256.9","LOS BANOS ARBURUA RANCH, CA US","","","","","        34","0","        18","0","         0","0","","","","","","","","","","","","","","","         5"," ","         4"," ","","","","","","","  21.6"," ,0,0117, ","","","","","","","","","","","    142.6"," ,0","","","","","","","",""
"USC00045119","1989","36.8749","-120.9386","256.9","LOS BANOS ARBURUA RANCH, CA US","","","","","        26","0","        14","0","         1","0","        0","","         0","0","","","","","","","","","","","         8"," ","         3"," ","","","     0"," ,0,1231,+","     0"," ,0,1231,+","  26.9"," ,0,0929, ","","","","","","","","","","","     99.8"," ,0","        0"," ,0","","","","","",""
"USC00045119","1990","36.8749","-120.9386","256.9","LOS BANOS ARBURUA RANCH, CA US","","","","","        33","0","        17","0","         0","0","        0","","         0","0","","","","","","","","","","","         3"," ","         4"," ","","","     0"," ,0,1231,+","     0"," ,0,1231,+","  16.0"," ,0,0923, ","","","","","","","","","","","    128.8"," ,0","        0"," ,0","","","","","",""
"USC00045119","1991","36.8749","-120.9386","256.9","LOS BANOS ARBURUA RANCH, CA US","","","","","        39","0","        18","0","         0","0","        0","","         0","0","","","","","","","","","","","        12"," ","         1"," ","","","     0"," ,0,1231,+","     0"," ,0,1231,+","  13.5"," ,0,0319, ","","","","","","","","","","","    164.4"," ,0","        0"," ,0","","","","","",""
"USC00045119","1992","36.8749","-120.9386","256.9","LOS BANOS ARBURUA RANCH, CA US","","","","","        36","0","        21","0","         0","0","        0","","         0","0","","","","","","","","","","","        14"," ","         2"," ","","","     0"," ,0,1231,+","     0"," ,0,1231,+","  23.4"," ,0,0212, ","","","","","","","","","","","    194.2"," ,0","        0"," ,0","","","","","",""
"USC00045119","1993","36.8749","-120.9386","256.9","LOS BANOS ARBURUA RANCH, CA US","","","","","        54","0","        30","0","         2","0","        0","","         0","0","","","","","","","","","","","         5"," ","         2"," ","","","     0"," ,0,1231,+","     0"," ,0,1231,+","  36.8"," ,0,0208, ","","","","","","","","","","","    304.4"," ,0","        0"," ,0","","","","","",""
"USC00045119","1994","36.8749","-120.9386","256.9","LOS BANOS ARBURUA RANCH, CA US","","","","","        49","0","        20","0","         0","0","        0","","         0","0","","","","","","","","","","","         8"," ","         3"," ","","","     0"," ,0,1231,+","     0"," ,0,1231,+","  16.8"," ,0,0123, ","","","","","","","","","","","    184.2"," ,0","        0"," ,0","","","","","",""
"USC00045119","1995","36.8749","-120.9386","256.9","LOS BANOS ARBURUA RANCH, CA US","","","","","        68","0","        30","0","         2","0","        0","","         0","0","","","","","","","","","","","        19"," ","         3"," ","","","     0"," ,0,1231,+","     0"," ,0,1231,+","  40.1"," ,0,0310, ","","","","","","","","","","","    301.0"," ,0","        0"," ,0","","","","","",""
"USC00045119","1996","36.8749","-120.9386","256.9","LOS BANOS ARBURUA RANCH, CA US","","","","","        61","0","        36","0","         0","0","        0","","         0","0","","","","","","","","","","","         9"," ","         4"," ","","","     0","T,0,0227,+","     0","T,0,0227,+","  22.4"," ,0,0131, ","","","","","","","","","","","    347.3"," ,0","        0","T,0","","","","","",""
"USC00045119","1997","36.8749","-120.9386","256.9","LOS BANOS ARBURUA RANCH, CA US","","","","","        41","0","        26","0","         2","0","        0","","         0","0","","","","","","","","","","","        10"," ","         2"," ","","","     0"," ,0,1231,+","     0"," ,0,1231,+","  29.2"," ,0,1126, ","","","","","","","","","","","    232.2"," ,0","        0"," ,0","","","","","",""
"USC00045119","1998","36.8749","-120.9386","256.9","LOS BANOS ARBURUA RANCH, CA US","","","","","        78","0","        48","0","         2","0","","","         0","0","","","","","","","","","","","         3"," ","         8"," ","","","","","     0"," ,0,1231,+","  61.2"," ,0,0203, ","","","","","","","","","","","    491.4"," ,0","        0"," ,0","","","","","",""
"USC00045119","1999","36.8749","-120.9386","256.9","LOS BANOS ARBURUA RANCH, CA US","","","","","        48","0","        16","0","         0","0","        0","","         0","0","","","","","","","","","","","         5"," ","","","","","     0"," ,0,1231,+","     0"," ,0,1231,+","  15.5"," ,0,0209, ","","","","","","","","","","","    128.4"," ,0","        0"," ,0","","","","","",""
"USC00045119","2000","36.8749","-120.9386","256.9","LOS BANOS ARBURUA RANCH, CA US","","","","","        55","0","        26","0","         0","0","        0","","         0","0","","","","","","","","","","","         6"," ","         3"," ","","","     0"," ,0,1231,+","     0"," ,0,1231,+","  21.1"," ,0,0123, ","","","","","","","","","","","    237.2"," ,0","        0"," ,0","","","","","",""
"USC00045119","2001","36.8749","-120.9386","256.9","LOS BANOS ARBURUA RANCH, CA US","","","","","        56","0","        26","0","         0","0","        0","","         0","0","","","","","","","","","","","         7"," ","         3"," ","","","     0"," ,0,1231,+","     0"," ,0,1231,+","  19.6"," ,0,0305, ","","","","","","","","","","","    218.5"," ,0","        0"," ,0","","","","","",""
"USC00045119","2002","36.8749","-120.9386","256.9","LOS BANOS ARBURUA RANCH, CA US","","","","","        41","0","        21","0","         0","0","        0","","         0","0","","","","","","","","","","","         2"," ","         1"," ","","","     0"," ,0,1231,+","     0"," ,0,1231,+","  23.4"," ,0,1108, ","","","","","","","","","","","    189.5"," ,0","        0"," ,0","","","","","",""
"USC00045119","2003","36.8749","-120.9386","256.9","LOS BANOS ARBURUA RANCH, CA US","","","","","        48","0","        24","0","         0","0","        0","","         0","0","","","","","","","","","","","         8"," ","         2"," ","","","     0"," ,0,1231,+","     0"," ,0,1231,+","  21.6"," ,0,1225, ","","","","","","","","","","","    208.3"," ,0","        0"," ,0","","","","","",""
"USC00045119","2004","36.8749","-120.9386","256.9","LOS BANOS ARBURUA RANCH, CA US","","","","","        47","0","        22","0","         1","0","        0","","         0","0","","","","","","","","","","","        17"," ","","","","","     0"," ,0,1231,+","     0"," ,0,1231,+","  33.3"," ,0,0218, ","","","","","","","","","","","    238.2"," ,0","        0"," ,0","","","","","",""
"USC00045119","2005","36.8749","-120.9386","256.9","LOS BANOS ARBURUA RANCH, CA US","","","","","        62","0","        22","0","         1","0","        0","","         0","0","","","","","","","","","","","         9"," ","         1"," ","","","     0"," ,0,1231,+","     0"," ,0,1231,+","  30.0"," ,0,0215, ","","","","","","","","","","","    250.8"," ,0","        0"," ,0","","","","","",""
"USC00045119","2006","36.8749","-120.9386","256.9","LOS BANOS ARBURUA RANCH, CA US","","","","","        60","0","        28","0","         1","0","        0","","         0","0","","","","","","","","","","","         3"," ","         4"," ","","","     0"," ,0,1231,+","     0"," ,0,1231,+","  36.1"," ,0,0102, ","","","","","","","","","","","    232.5"," ,0","        0"," ,0","","","","","",""
"USC00045119","2007","36.8749","-120.9386","256.9","LOS BANOS ARBURUA RANCH, CA US","","","","","        37","0","        17","0","         0","0","        0","","         0","0","","","","","","","","","","","","","","","","","     0"," ,0,1231,+","     0"," ,0,1231,+","  16.3"," ,0,0922, ","","","","","","","","","","","    117.0"," ,0","        0"," ,0","","","","","",""
"USC00045119","2008","36.8749","-120.9386","256.9","LOS BANOS ARBURUA RANCH, CA US","","","","","","","","","","","","","","","","","","","","","","","","","         6"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USC00045119","2009","36.8749","-120.9386","256.9","LOS BANOS ARBURUA RANCH, CA US","","","","","","","","","","","","","","","","","","","","","","","","","         3"," ","         1"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USC00045119","2010","36.8749","-120.9386","256.9","LOS BANOS ARBURUA RANCH, CA US","","","","","        79","0","        40","0","         1","0","        0","","         0","0","","","","","","","","","","","         3"," ","","","","","     0"," ,0,1231,+","     0"," ,0,1231,+","  26.7"," ,0,0120, ","","","","","","","","","","","    300.5"," ,0","        0"," ,0","","","","","",""
"USC00045119","2011","36.8749","-120.9386","256.9","LOS BANOS ARBURUA RANCH, CA US","","","","","","","","","","","","","","","","","","","","","","","","","         7"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USC00045119","2013","36.8749","-120.9386","256.9","LOS BANOS ARBURUA RANCH, CA US","","","","","        18","7","         7","7","         0","7","","","","","","","","","","","","","","","","","","","","","","","","","  21.6"," ,7,0106, ","","","","","","","","","","","     64.8"," ,7","","","","","","","",""
"USC00045119","2014","36.8749","-120.9386","256.9","LOS BANOS ARBURUA RANCH, CA US","","","","","        37","7","        17","7","         1","7","","","","","","","","","","","","","","","","","","","","","","","","","  39.4"," ,7,1212, ","","","","","","","","","","","    200.9"," ,7","","","","","","","",""
"USC00045119","2015","36.8749","-120.9386","256.9","LOS BANOS ARBURUA RANCH, CA US","","","","","        28","7","        16","7","         1","7","","","","","","","","","","","","","","","","","","","","","","","","","  42.9"," ,7,1102, ","","","","","","","","","","","    152.9"," ,7","","","","","","","",""
"USC00045119","2016","36.8749","-120.9386","256.9","LOS BANOS ARBURUA RANCH, CA US","","","","","        50","7","        26","7","         1","7","","","","","","","","","","","","","","","","","","","","","","","","","  26.9"," ,7,1028, ","","","","","","","","","","","    290.3"," ,7","","","","","","","",""
"USC00045119","2017","36.8749","-120.9386","256.9","LOS BANOS ARBURUA RANCH, CA US","","","","","        53","7","        30","7","         0","7","","","","","","","","","","","","","","","","","","","","","","","","","  22.4"," ,7,0108, ","","","","","","","","","","","    255.6"," ,7","","","","","","","",""
"USC00045119","2018","36.8749","-120.9386","256.9","LOS BANOS ARBURUA RANCH, CA US","","","","","        36","7","        16","7","         1","7","","","","","","","","","","","","","","","","","","","","","","","","","  43.9"," ,7,0109, ","","","","","","","","","","","    184.3"," ,7","","","","","","","",""
"USC00045119","2019","36.8749","-120.9386","256.9","LOS BANOS ARBURUA RANCH, CA US","","","","","        58","7","        30","7","         1","7","","","","","","","","","","","","","","","","","","","","","","","","","  25.9"," ,7,1201, ","","","","","","","","","","","    277.3"," ,7","","","","","","","",""
"USC00045119","2020","36.8749","-120.9386","256.9","LOS BANOS ARBURUA RANCH, CA US","","","","","        31","7","        18","7","         0","7","","","","","","","","","","","","","","","","","","","","","","","","","  13.5"," ,7,1107, ","","","","","","","","","","","    113.8"," ,7","","","","","","","",""
