"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYHF","DYHF_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES"
"USW00023067","1955","38.04948","-103.51335","1278.7","LA JUNTA MUNICIPAL AIRPORT, CO US","","","    760.3","","     760.3","0","        52","0","        21","0","         3","0","       11","","         5","0","         3","0","       150","0","        16","0","       205","0","        84","0","        33"," ","","","        29"," ","  -18.9","0,0220, ","    51"," ,0,0219, ","    51"," ,0,0219, ","  41.4"," ,0,0518, ","   39.4","0,0709, ","-0.6","0,1007","-3.9","0,1024","-7.8","0,1103","-7.8","0,1103","-13.9","0,1115","0.0","0,0413","-2.2","0,0405","-6.7","0,0328","-6.7","0,0328","-14.4","0,0327","    2802.6","6","    2802.6","0","    283.4"," ,0","      187"," ,0","     12.40","0","     21.15","0","      3.66","0","","","","","","","","","",""
"USW00023067","1956","38.04948","-103.51335","1278.7","LA JUNTA MUNICIPAL AIRPORT, CO US","","","    836.1","","     836.1","0","        50","0","        18","0","         1","0","       29","","         8","0","         6","0","       151","0","        20","0","       201","0","       101","0","        34"," ","","","        50"," ","  -21.7","0,0203, ","   102"," ,0,0315,+","   102"," ,0,0208, ","  28.4"," ,0,0414, ","   38.3","0,0806,+","-1.1","0,1026","-5.6","0,1103","-5.6","0,1103","-8.3","0,1115","-12.2","0,1116","-1.1","0,0429","-2.8","0,0410","-6.1","0,0403","-13.9","0,0316","-13.9","0,0316","    2880.6","6","    2880.6","0","    178.2"," ,0","      434"," ,0","     12.88","0","     21.70","0","      4.06","0","","","","","","","","","",""
"USW00023067","1957","38.04948","-103.51335","1278.7","LA JUNTA MUNICIPAL AIRPORT, CO US","","","    653.0","","     653.0","0","        72","0","        35","0","         3","0","        6","","         5","0","         2","0","       139","0","        13","0","       170","0","        69","0","        60"," ","","","        42"," ","  -18.3","0,0125, ","    51"," ,0,0408, ","    71"," ,0,0407, ","  49.5"," ,0,1008, ","   39.4","0,0707,+","-1.1","0,1025","-4.4","0,1026","-4.4","0,1026","-6.7","0,1119","-10.0","0,1121","-0.6","0,0414","-5.6","0,0412","-5.6","0,0412","-12.2","0,0408","-12.2","0,0408","    2848.0","0","    2848.0","0","    431.5"," ,0","      246"," ,0","     12.20","0","     19.98","0","      4.42","0","","","","","","","","","",""
"USW00023067","1958","38.04948","-103.51335","1278.7","LA JUNTA MUNICIPAL AIRPORT, CO US","","","    745.4","","     745.4","0","        69","0","        25","0","         2","0","       25","","        10","0","         2","0","       148","0","        24","0","       179","0","        68","0","        83"," ","","","        49"," ","  -17.8","0,1128,+","   203"," ,0,0120, ","   193"," ,0,0119, ","  59.9"," ,0,0704, ","   38.9","0,0628, ","-2.2","0,1022","-2.2","0,1022","-4.4","0,1116","-15.0","0,1117","-15.0","0,1117","-1.1","0,0424","-2.8","0,0330","-4.4","0,0320","-8.3","0,0317","-12.2","0,0313","    2919.7","7","    2919.7","0","    313.0"," ,0","      687"," ,0","     12.24","0","     19.68","0","      4.80","0","","","","","","","","","",""
"USW00023067","1959","38.04948","-103.51335","1278.7","LA JUNTA MUNICIPAL AIRPORT, CO US","","","    734.1","","     734.1","0","        56","0","        28","0","         0","0","       26","","        15","0","         6","0","       154","0","        18","0","       178","0","        84","0","        51"," ","","","        21"," ","  -30.0","0,0104, ","   127"," ,0,0122,+","   152"," ,0,0114, ","  21.6"," ,0,0716, ","   39.4","0,0812,+","0.0","0,1004","-2.2","0,1030","-7.2","0,1104","-7.2","0,1104","-9.4","0,1105","-0.6","0,0422","-5.6","0,0413","-5.6","0,0413","-7.2","0,0412","-8.9","0,0316","    2931.5","5","    2931.5","0","    214.7"," ,0","     1070"," ,0","     11.88","0","     19.99","0","      3.77","0","","","","","","","","","",""
"USW00023067","1960","38.04948","-103.51335","1278.7","LA JUNTA MUNICIPAL AIRPORT, CO US","","","    682.5","","     682.5","0","        61","0","        31","0","         2","0","       79","","        21","0","        17","0","       139","0","        39","0","       193","0","        73","0","        65"," ","","","        28"," ","  -27.2","0,0303, ","   457"," ,0,0302,+","   178"," ,0,0214, ","  46.7"," ,0,0413, ","   41.7","0,0727, ","-0.6","0,1020","-2.2","0,1108","-5.0","0,1109","-7.8","0,1128","-10.0","0,1129","0.0","0,0430","-2.8","0,0403","-5.6","0,0315","-6.7","0,0309","-11.7","0,0306","    3320.4","4","    3320.4","0","    314.2"," ,0","     1296"," ,0","     11.10","0","     19.03","0","      3.18","0","","","","","","","","","",""
"USW00023067","1961","38.04948","-103.51335","1278.7","LA JUNTA MUNICIPAL AIRPORT, CO US","","","    606.5","","     606.5","0","        56","0","        35","0","         2","0","       39","","         9","0","         4","0","       155","0","        17","0","       175","0","        64","0","        59"," ","","","        37"," ","  -28.9","0,1212, ","   102"," ,0,0206,+","   102"," ,0,0204, ","  36.8"," ,0,0707, ","   38.9","0,0724,+","-0.6","0,0925","-2.2","0,1023","-7.8","0,1102","-7.8","0,1102","-11.1","0,1103","0.0","0,0427","-4.4","0,0416","-4.4","0,0416","-7.2","0,0309","-9.4","0,0224","    2993.8","8","    2993.8","0","    275.0"," ,0","      418"," ,0","     11.40","0","     19.33","0","      3.48","0","","","","","","","","","",""
"USW00023067","1962","38.04948","-103.51335","1278.7","LA JUNTA MUNICIPAL AIRPORT, CO US","","","    681.5","","     681.5","0","        52","0","        20","0","         1","0","       26","","         4","0","        14","0","       132","0","        18","0","       200","0","        78","0","        37"," ","","","        38"," ","  -28.9","0,0110, ","   127"," ,0,0109, ","   102"," ,0,0108, ","  45.2"," ,0,0516, ","   39.4","0,0817,+","0.0","0,1024","-2.2","0,1105","-5.0","0,1108","-7.8","0,1117","-11.1","0,1118","-0.6","0,0501","-3.3","0,0402","-6.1","0,0331","-7.2","0,0316","-10.0","0,0315","    3093.0","0","    3093.0","0","    224.3"," ,0","      298"," ,0","     12.68","0","     21.20","0","      4.15","0","","","","","","","","","",""
"USW00023067","1963","38.04948","-103.51335","1278.7","LA JUNTA MUNICIPAL AIRPORT, CO US","","","    955.6","","     955.6","0","        51","0","        22","0","         1","0","       25","","         5","0","        13","0","       126","0","        22","0","       221","0","        96","0","        38"," ","","","        46"," ","  -28.9","0,0112, ","   127"," ,0,1222, ","   127"," ,0,1221, ","  32.8"," ,0,0802, ","   41.1","0,0722,+","-2.2","0,1101","-2.2","0,1101","-6.1","0,1123","-6.7","0,1129","-10.6","0,1208","-0.6","0,0423","-3.3","0,0320","-5.0","0,0317","-6.7","0,0315","-15.0","0,0305","    2582.3","3","    2582.3","0","    224.1"," ,0","      357"," ,0","     13.68","0","     22.25","0","      5.11","0","","","","","","","","","",""
"USW00023067","1964","38.04948","-103.51335","1278.7","LA JUNTA MUNICIPAL AIRPORT, CO US","","","    865.7","","     865.7","0","        49","0","        19","0","         1","0","       16","","         7","0","         4","0","       141","0","        12","0","       190","0","        82","0","        41"," ","","","        26"," ","  -20.0","0,1218, ","    76"," ,0,0204,+","    64"," ,0,0203,+","  27.4"," ,0,0530, ","   42.8","0,0705, ","-2.2","0,1019","-2.2","0,1019","-4.4","0,1118","-10.0","0,1128","-10.0","0,1128","0.0","0,0414","-3.3","0,0408","-8.3","0,0405","-8.3","0,0405","-8.9","0,0325","    2862.2","2","    2862.2","0","    169.9"," ,0","      401"," ,0","     12.64","0","     20.76","0","      4.54","0","","","","","","","","","",""
"USW00023067","1965","38.04948","-103.51335","1278.7","LA JUNTA MUNICIPAL AIRPORT, CO US","","","    453.2","","     453.2","0","        77","0","        30","0","         3","0","       38","","        13","0","         6","0","       132","0","        22","0","       182","0","        37","0","        63"," ","        18"," ","        49"," ","  -21.7","0,0224,+","   203"," ,0,0318, ","   152"," ,0,0317,+","  49.5"," ,0,1017, ","   37.8","0,0721, ","-1.1","0,0921","-2.8","0,1104","-6.7","0,1122","-6.7","0,1122","-9.4","0,1129","-1.7","0,0412","-5.0","0,0330","-5.0","0,0330","-14.4","0,0326","-14.4","0,0326","    2902.3","3","    2902.3","0","    389.0"," ,0","     1049"," ,0","     11.28","0","     19.43","0","      3.14","0","","","","","","","","","",""
"USW00023067","1966","38.04948","-103.51335","1278.7","LA JUNTA MUNICIPAL AIRPORT, CO US","","","    651.6","","     651.6","0","        47","0","        23","0","         4","0","       34","","         5","0","        18","0","       159","0","        32","0","       189","0","        67","0","        46"," ","        12"," ","        38"," ","  -25.0","0,0122, ","   152"," ,0,0214, ","   152"," ,0,0213, ","  72.1"," ,0,0722, ","   40.0","0,0704, ","-1.7","0,1014","-4.4","0,1015","-4.4","0,1015","-7.2","0,1102","-10.0","0,1201","-1.1","0,0513","-2.2","0,0421","-7.8","0,0420","-7.8","0,0420","-9.4","0,0323","    3175.1","1","    3175.1","0","    347.3"," ,0","      399"," ,0","     11.08","0","     19.49","0","      2.66","0","","","","","","","","","",""
"USW00023067","1967","38.04948","-103.51335","1278.7","LA JUNTA MUNICIPAL AIRPORT, CO US","","","    447.2","","     447.2","0","        64","0","        24","0","         1","0","       16","","         6","0","         1","0","       148","0","        18","0","       189","0","        49","0","        62"," ","        20"," ","        38"," ","  -20.0","0,1218, ","   127"," ,0,1216,+","   102"," ,0,1212, ","  40.4"," ,0,0526, ","   37.2","0,0524, ","-1.1","0,1016","-2.2","0,1019","-6.1","0,1027","-8.9","0,1103","-8.9","0,1103","-5.6","0,0501","-5.6","0,0501","-5.6","0,0501","-6.7","0,0318","-14.4","0,0308","    2823.1","1","    2823.1","0","    231.9"," ,0","      356"," ,0","     11.49","0","     20.03","0","      2.94","0","","","","","","","","","",""
"USW00023067","1968","38.04948","-103.51335","1278.7","LA JUNTA MUNICIPAL AIRPORT, CO US","","","    622.1","","     622.1","0","        69","0","        17","0","         0","0","       14","","         6","0","         5","0","       150","0","        17","0","       191","0","        68","0","        46"," ","        14"," ","        31"," ","  -22.2","0,1223, ","    76"," ,0,1224,+","    76"," ,0,1221, ","  24.4"," ,0,0727, ","   40.6","0,0628, ","-5.0","0,1018","-5.0","0,1018","-5.0","0,1018","-7.8","0,1109","-8.9","0,1111","-1.7","0,0424","-2.8","0,0423","-5.0","0,0408","-7.8","0,0404","-11.1","0,0312","    3099.8","8","    3099.8","0","    190.1"," ,0","      326"," ,0","     11.83","0","     20.26","0","      3.39","0","","","","","","","","","",""
"USW00023067","1969","38.04948","-103.51335","1278.7","LA JUNTA MUNICIPAL AIRPORT, CO US","","","    657.6","","     657.6","0","        75","0","        30","0","         3","0","       17","","         5","0","         1","0","       154","0","        19","0","       175","0","        62","0","        82"," ","        26"," ","        35"," ","  -18.3","0,0124, ","   152"," ,0,0314, ","   127"," ,0,0302, ","  50.3"," ,0,0821, ","   41.7","0,0703, ","-0.6","0,1006","-10.0","0,1012","-10.0","0,1012","-10.0","0,1012","-10.0","0,1012","0.0","0,0428","-2.2","0,0330","-6.1","0,0326","-9.4","0,0316","-9.4","0,0316","    2994.2","2","    2994.2","0","    355.9"," ,0","      462"," ,0","     11.90","0","     19.87","0","      3.93","0","","","","","","","","","",""
"USW00023067","1970","38.04948","-103.51335","1278.7","LA JUNTA MUNICIPAL AIRPORT, CO US","","","    737.5","","     737.5","0","        53","0","        24","0","         2","0","       10","","        10","0","         4","0","       170","0","        12","0","       176","0","        83","0","        54"," ","        19"," ","        27"," ","  -21.1","0,0108, ","    51"," ,0,1008,+","    89"," ,0,1014, ","  36.8"," ,0,0719, ","   41.1","0,0628,+","0.0","0,0926","-2.8","0,1007","-6.7","0,1104","-6.7","0,1104","-9.4","0,1123","0.0","0,0501","-2.2","0,0416","-5.6","0,0404","-8.3","0,0402","-15.0","0,0328","    3096.0","0","    3096.0","0","    261.7"," ,0","      434"," ,0","     11.75","0","     20.57","0","      2.94","0","","","","","","","","","",""
"USW00023067","1971","38.04948","-103.51335","1278.7","LA JUNTA MUNICIPAL AIRPORT, CO US","","","    683.4","","     683.4","0","        70","0","        25","0","         2","0","       18","","        13","0","         6","0","       157","0","        20","0","       187","0","        72","0","        48"," ","        12"," ","        36"," ","  -26.7","0,0107, ","   102"," ,0,0104,+","    76"," ,0,0220, ","  33.3"," ,0,0819, ","   42.2","0,0712, ","-1.7","0,1019","-2.2","0,1028","-5.6","0,1029","-6.7","0,1106","-11.1","0,1118","0.0","0,0512","-2.2","0,0407","-6.1","0,0406","-6.7","0,0402","-10.6","0,0320","    3079.7","7","    3079.7","0","    298.8"," ,0","      514"," ,0","     11.87","0","     20.44","0","      3.29","0","","","","","","","","","",""
"USW00023067","1972","38.04948","-103.51335","1278.7","LA JUNTA MUNICIPAL AIRPORT, CO US","","","    765.7","","     765.7","0","        70","0","        30","0","         1","0","       62","","        13","0","        15","0","       143","0","        31","0","       199","0","        89","0","        55"," ","        20"," ","        37"," ","  -25.0","0,1206, ","   178"," ,0,1213,+","   203"," ,0,1127, ","  28.7"," ,0,0527, ","   40.6","0,0714,+","-0.6","0,1018","-2.2","0,1024","-4.4","0,1030","-6.7","0,1101","-9.4","0,1102","-2.8","0,0404","-2.8","0,0404","-5.0","0,0331","-7.8","0,0330","-13.9","0,0329","    2747.4","4","    2747.4","0","    300.8"," ,0","     1062"," ,0","     11.84","0","     20.01","0","      3.67","0","","","","","","","","","",""
"USW00023067","1973","38.04948","-103.51335","1278.7","LA JUNTA MUNICIPAL AIRPORT, CO US","","","    689.8","","     689.8","0","        83","0","        38","0","         3","0","       36","","        14","0","         5","0","       139","0","        24","0","       173","0","        76","0","        75"," ","        26"," ","        37"," ","  -21.7","0,1231, ","   152"," ,0,1121,+","   478"," ,0,0330, ","  34.0"," ,0,0313, ","   41.7","0,0706, ","-1.1","0,1028","-3.9","0,1102","-9.4","0,1120","-9.4","0,1120","-9.4","0,1120","-2.2","0,0416","-2.2","0,0416","-5.6","0,0410","-6.7","0,0409","-10.0","0,0209","    3451.4","4","    3451.4","0","    319.8"," ,0","     1378"," ,0","     11.95","0","     19.76","0","      4.14","0","","","","","","","","","",""
"USW00023067","1974","38.04948","-103.51335","1278.7","LA JUNTA MUNICIPAL AIRPORT, CO US","","","    773.4","","     773.4","0","        48","0","        19","0","         0","0","       31","","         9","0","        16","0","       130","0","        22","0","       202","0","        79","0","        38"," ","        10"," ","        26"," ","  -26.7","0,0104, ","   254"," ,0,0206, ","   239"," ,0,0310, ","  23.6"," ,0,1012, ","   41.1","0,0702,+","-2.2","0,1031","-2.2","0,1031","-4.4","0,1112","-6.7","0,1127","-10.6","0,1129","-1.1","0,0416","-3.3","0,0405","-5.6","0,0325","-9.4","0,0324","-9.4","0,0324","    2783.4","4","    2783.4","0","    203.9"," ,0","      920"," ,0","     12.74","0","     21.17","0","      4.31","0","","","","","","","","","",""
"USW00023067","1975","38.04948","-103.51335","1278.7","LA JUNTA MUNICIPAL AIRPORT, CO US","","","    834.0","","     834.0","0","        53","0","        18","0","         0","0","       41","","        11","0","         7","0","       152","0","        20","0","       201","0","        92","0","        43"," ","        13"," ","        28"," ","  -21.7","0,0206, ","   178"," ,0,1119, ","   102"," ,0,1119,+","  20.6"," ,0,0709, ","   40.6","0,0807,+","0.0","0,1023","-3.9","0,1024","-7.8","0,1025","-7.8","0,1025","-9.4","0,1112","-0.6","0,0419","-2.2","0,0414","-6.7","0,0409","-6.7","0,0409","-9.4","0,0403","    2938.1","1","    2938.1","0","    153.2"," ,0","      706"," ,0","     12.52","0","     21.14","0","      3.90","0","","","","","","","","","",""
"USW00023067","1976","38.04948","-103.51335","1278.7","LA JUNTA MUNICIPAL AIRPORT, CO US","","","    744.1","","     744.1","0","        55","0","        24","0","         2","0","       16","","         9","0","         5","0","       142","0","        18","0","       200","0","        84","0","        40"," ","         6"," ","        31"," ","  -23.9","0,1128, ","    76"," ,0,0305, ","   140"," ,0,1026, ","  47.0"," ,0,0720, ","   41.1","0,0718, ","0.0","0,1008","-2.2","0,1018","-4.4","0,1019","-6.7","0,1115","-9.4","0,1126","0.0","0,0401","-2.8","0,0330","-4.4","0,0322","-7.8","0,0313","-12.8","0,0306","    2560.9","9","    2560.9","0","    254.5"," ,0","      548"," ,0","     13.04","0","     21.85","0","      4.22","0","","","","","","","","","",""
"USW00023067","1977","38.04948","-103.51335","1278.7","LA JUNTA MUNICIPAL AIRPORT, CO US","","","    790.8","","     790.8","0","        55","0","        26","0","         4","0","        5","","         4","0","         4","0","       151","0","         9","0","       210","0","        80","0","        42"," ","         9"," ","        51"," ","  -20.6","0,0109, ","   102"," ,0,0225, ","    97"," ,0,0225, ","  53.6"," ,0,0818, ","   41.1","0,0615, ","0.0","0,1010","-3.9","0,1011","-4.4","0,1012","-6.7","0,1102","-9.4","0,1109","-2.2","0,0405","-2.2","0,0405","-4.4","0,0404","-8.3","0,0306","-10.0","0,0226","    2796.4","4","    2796.4","0","    359.0"," ,0","      288"," ,0","     13.04","0","     22.07","0","      4.01","0","","","","","","","","","",""
"USW00023067","1978","38.04948","-103.51335","1278.7","LA JUNTA MUNICIPAL AIRPORT, CO US","","","    789.5","","     789.5","0","        53","0","        27","0","         1","0","       50","","        11","0","        10","0","       139","0","        44","0","       201","0","        89","0","        83"," ","        25"," ","        37"," ","  -27.8","0,1209, ","   102"," ,0,1208,+","    74"," ,0,1206, ","  62.7"," ,0,0829, ","   42.2","0,0625, ","-1.7","0,1026","-5.6","0,1106","-5.6","0,1106","-7.2","0,1117","-15.6","0,1202","-2.8","0,0423","-2.8","0,0423","-7.2","0,0316","-7.2","0,0316","-16.7","0,0304","    3107.5","5","    3107.5","0","    263.8"," ,0","      500"," ,0","     11.59","0","     19.95","0","      3.22","0","","","","","","","","","",""
