"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"IN006031000","1935","29.167","75.733","221.0","HISSAR, IN","        56","I","        35","I","         4","I","","","","","","","","","","","","","  70.4"," ,I,0916, ","","","","","","","    455.8"," ,I","","","","","",""
"IN006031000","1936","29.167","75.733","221.0","HISSAR, IN","        52","I","        26","I","         1","I","","","","","","","","","","","","","  25.9"," ,I,0729, ","","","","","","","    234.4"," ,I","","","","","",""
"IN006031000","1937","29.167","75.733","221.0","HISSAR, IN","        47","I","        26","I","         9","I","","","","","","","","","","","","","  59.7"," ,I,0712, ","","","","","","","    574.4"," ,I","","","","","",""
"IN006031000","1938","29.167","75.733","221.0","HISSAR, IN","        35","I","        17","I","         1","I","","","","","","","","","","","","","  26.2"," ,I,0101, ","","","","","","","    158.1"," ,I","","","","","",""
"IN006031000","1939","29.167","75.733","221.0","HISSAR, IN","        34","I","        19","I","         3","I","","","","","","","","","","","","","  69.1"," ,I,0615, ","","","","","","","    249.3"," ,I","","","","","",""
"IN006031000","1940","29.167","75.733","221.0","HISSAR, IN","        39","I","        20","I","         3","I","","","","","","","","","","","","","  91.9"," ,I,0819, ","","","","","","","    330.2"," ,I","","","","","",""
"IN006031000","1941","29.167","75.733","221.0","HISSAR, IN","        35","I","        23","I","         2","I","","","","","","","","","","","","","  32.0"," ,I,0117, ","","","","","","","    265.7"," ,I","","","","","",""
"IN006031000","1942","29.167","75.733","221.0","HISSAR, IN","        52","I","        34","I","         8","I","","","","","","","","","","","","","  71.6"," ,I,0802, ","","","","","","","    600.8"," ,I","","","","","",""
"IN006031000","1943","29.167","75.733","221.0","HISSAR, IN","        35","I","        21","I","         2","I","","","","","","","","","","","","","  26.9"," ,I,0705, ","","","","","","","    259.9"," ,I","","","","","",""
"IN006031000","1944","29.167","75.733","221.0","HISSAR, IN","        53","I","        33","I","         4","I","","","","","","","","","","","","","  88.9"," ,I,0815, ","","","","","","","    504.9"," ,I","","","","","",""
"IN006031000","1945","29.167","75.733","221.0","HISSAR, IN","        40","I","        31","I","         8","I","","","","","","","","","","","",""," 123.2"," ,I,0925, ","","","","","","","    698.7"," ,I","","","","","",""
"IN006031000","1946","29.167","75.733","221.0","HISSAR, IN","        30","I","        24","I","         4","I","","","","","","","","","","","","","  46.5"," ,I,0829, ","","","","","","","    320.0"," ,I","","","","","",""
"IN006031000","1948","29.167","75.733","221.0","HISSAR, IN","        38","I","        29","I","         6","I","","","","","","","","","","","","","  78.2"," ,I,0722, ","","","","","","","    527.8"," ,I","","","","","",""
"IN006031000","1949","29.167","75.733","221.0","HISSAR, IN","        30","I","        22","I","         4","I","","","","","","","","","","","","","  92.2"," ,I,0709, ","","","","","","","    376.7"," ,I","","","","","",""
"IN006031000","1950","29.167","75.733","221.0","HISSAR, IN","        36","I","        25","I","         5","I","","","","","","","","","","","","","  44.7"," ,I,0718, ","","","","","","","    350.5"," ,I","","","","","",""
"IN006031000","1951","29.167","75.733","221.0","HISSAR, IN","        22","I","        17","I","         1","I","","","","","","","","","","","","","  35.1"," ,I,0729, ","","","","","","","    207.5"," ,I","","","","","",""
"IN006031000","1952","29.167","75.733","221.0","HISSAR, IN","        39","I","        26","I","         2","I","","","","","","","","","","","","","  64.3"," ,I,0812, ","","","","","","","    369.7"," ,I","","","","","",""
"IN006031000","1953","29.167","75.733","221.0","HISSAR, IN","        30","I","        19","I","         6","I","","","","","","","","","","","","","  49.5"," ,I,0115, ","","","","","","","    356.8"," ,I","","","","","",""
"IN006031000","1954","29.167","75.733","221.0","HISSAR, IN","        37","I","        28","I","         5","I","","","","","","","","","","","","","  47.8"," ,I,0810, ","","","","","","","    434.8"," ,I","","","","","",""
"IN006031000","1955","29.167","75.733","221.0","HISSAR, IN","        57","I","        40","I","         4","I","","","","","","","","","","","","","  67.8"," ,I,1005, ","","","","","","","    536.3"," ,I","","","","","",""
"IN006031000","1956","29.167","75.733","221.0","HISSAR, IN","        46","I","        31","I","         4","I","","","","","","","","","","","","","  96.0"," ,I,0703, ","","","","","","","    565.7"," ,I","","","","","",""
"IN006031000","1957","29.167","75.733","221.0","HISSAR, IN","        54","I","        41","I","         5","I","","","","","","","","","","","","","  68.1"," ,I,0906, ","","","","","","","    600.9"," ,I","","","","","",""
"IN006031000","1958","29.167","75.733","221.0","HISSAR, IN","        49","I","        30","I","         7","I","","","","","","","","","","","",""," 101.9"," ,I,0709, ","","","","","","","    566.3"," ,I","","","","","",""
"IN006031000","1959","29.167","75.733","221.0","HISSAR, IN","        37","I","        25","I","         7","I","","","","","","","","","","","","","  95.6"," ,I,0707, ","","","","","","","    613.9"," ,I","","","","","",""
"IN006031000","1960","29.167","75.733","221.0","HISSAR, IN","        45","I","        28","I","         8","I","","","","","","","","","","","",""," 102.0"," ,I,0712, ","","","","","","","    649.7"," ,I","","","","","",""
"IN006031000","1961","29.167","75.733","221.0","HISSAR, IN","        46","I","        32","I","         4","I","","","","","","","","","","","","","  66.6"," ,I,0717, ","","","","","","","    490.4"," ,I","","","","","",""
"IN006031000","1962","29.167","75.733","221.0","HISSAR, IN","        36","I","        24","I","         6","I","","","","","","","","","","","","","  75.4"," ,I,0819, ","","","","","","","    456.7"," ,I","","","","","",""
"IN006031000","1963","29.167","75.733","221.0","HISSAR, IN","        38","I","        24","I","         8","I","","","","","","","","","","","","","  79.3"," ,I,0831, ","","","","","","","    590.7"," ,I","","","","","",""
"IN006031000","1964","29.167","75.733","221.0","HISSAR, IN","        42","I","        29","I","         4","I","","","","","","","","","","","",""," 120.6"," ,I,0728, ","","","","","","","    497.7"," ,I","","","","","",""
"IN006031000","1965","29.167","75.733","221.0","HISSAR, IN","        34","I","        21","I","         3","I","","","","","","","","","","","",""," 159.6"," ,I,0903, ","","","","","","","    393.7"," ,I","","","","","",""
"IN006031000","1966","29.167","75.733","221.0","HISSAR, IN","        45","I","        30","I","         8","I","","","","","","","","","","","",""," 144.0"," ,I,0816, ","","","","","","","    672.5"," ,I","","","","","",""
"IN006031000","1967","29.167","75.733","221.0","HISSAR, IN","        50","I","        37","I","         8","I","","","","","","","","","","","","","  67.6"," ,I,0816, ","","","","","","","    667.1"," ,I","","","","","",""
"IN006031000","1968","29.167","75.733","221.0","HISSAR, IN","        36","I","        19","I","         1","I","","","","","","","","","","","","","  27.4"," ,I,0723, ","","","","","","","    195.7"," ,I","","","","","",""
"IN006031000","1969","29.167","75.733","221.0","HISSAR, IN","        48","I","        32","I","         7","I","","","","","","","","","","","","","  94.5"," ,I,0911, ","","","","","","","    618.8"," ,I","","","","","",""
"IN006031000","1970","29.167","75.733","221.0","HISSAR, IN","        42","I","        33","I","         3","I","","","","","","","","","","","","","  75.1"," ,I,0630, ","","","","","","","    525.9"," ,I","","","","","",""
"IN006031000","1991","29.167","75.733","221.0","HISSAR, IN","","","","","","","","","","","         0","S","       309","S","       193","S","","","","","   44.9","S,0701,+","","","","","","","","","     32.95","S","",""
"IN006031000","1994","29.167","75.733","221.0","HISSAR, IN","","","","","","","","","","","         0","S","       330","S","       209","S","","","","","   47.6","S,0608,+","","","","","","","","","     33.05","S","",""
"IN006031000","1995","29.167","75.733","221.0","HISSAR, IN","","","","","","","","","","","         0","S","       312","S","       183","S","","","","","   47.7","S,0612,+","","","","","","","","","     32.68","S","",""
"IN006031000","1996","29.167","75.733","221.0","HISSAR, IN","","","","","","","","","","","         0","S","       336","S","       213","S","","","","","   47.2","S,0604,+","","","","","","","","","     33.51","S","",""
