"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"TUM00017050","1995","41.667","26.567","51.0","EDIRNE, TU","","","","","","","","","","","         3","S","       161","S","        20","S","","","","","   34.7","S,0615, ","","","","","","","","","","","","","","","","","","","","","","","     19.54","S","",""
"TUM00017050","1996","41.667","26.567","51.0","EDIRNE, TU","","","","","","","","","","","         9","S","       159","S","        37","S","","","","","   38.4","S,0709, ","","","","","","","","","","","","","","","","","","","","","","","     18.85","S","",""
"TUM00017050","1997","41.667","26.567","51.0","EDIRNE, TU","","","","","","","","","","","         3","S","       158","S","        24","S","","","","","   38.6","S,0706, ","","","","","","","","","","","","","","","","","","","","","","","     18.82","S","",""
"TUM00017050","1999","41.667","26.567","51.0","EDIRNE, TU","","","","","","","","","","","         2","S","       177","S","        41","S","","","","","   38.4","S,0820, ","","","","","","","","","","","","","","","","","","","","","","","     20.40","S","",""
"TUM00017050","2000","41.667","26.567","51.0","EDIRNE, TU","","","","","","","","","","","         2","S","       177","S","        60","S","","","","","   42.2","S,0727, ","","","","","","","","","","","","","","","","","","","","","","","     21.06","S","",""
"TUM00017050","2002","41.667","26.567","51.0","EDIRNE, TU","","","","","","","","","","","         7","S","       167","S","        39","S","","","","","   38.3","S,0716, ","","","","","","","","","","","","","","","","","","","","","","","     20.22","S","",""
"TUM00017050","2008","41.667","26.567","51.0","EDIRNE, TU","        89","S","        38","S","         3","S","","","","","         7","S","       171","S","        64","S","","","  41.4"," ,S,0926, ","   38.6","S,0816, ","","","","","","","","","","","","","","","","","","","    399.5"," ,S","","","     20.71","S","",""
"TUM00017050","2009","41.667","26.567","51.0","EDIRNE, TU","       124","S","        56","S","         6","S","","","","","","","","","","","","","  62.5"," ,S,0712, ","","","","","","","","","","","","","","","","","","","","","    791.4"," ,S","","","","","",""
"TUM00017050","2010","41.667","26.567","51.0","EDIRNE, TU","       142","S","        73","S","         4","S","","","","","         6","S","       173","S","        49","S","","","  45.7"," ,S,0709, ","   39.1","S,0812, ","","","","","","","","","","","","","","","","","","","    766.4"," ,S","","","     20.58","S","",""
"TUM00017050","2011","41.667","26.567","51.0","EDIRNE, TU","        96","S","        43","S","         4","S","","","","","         1","S","       163","S","        67","S","","","  47.5"," ,S,1011, ","   38.1","S,0719, ","","","","","","","","","","","","","","","","","","","    495.8"," ,S","","","     19.88","S","",""
"TUM00017050","2012","41.667","26.567","51.0","EDIRNE, TU","       105","S","        44","S","         6","S","","","","","        11","S","       202","S","        84","S","","","  38.6"," ,S,1210, ","   41.9","S,0807, ","","","","","","","","","","","","","","","","","","","    584.3"," ,S","","","     21.43","S","",""
"TUM00017050","2013","41.667","26.567","51.0","EDIRNE, TU","       100","S","        48","S","         2","S","","","","","","","","","","","","","  25.9"," ,S,0126, ","","","","","","","","","","","","","","","","","","","","","    556.9"," ,S","","","","","",""
"TUM00017050","2014","41.667","26.567","51.0","EDIRNE, TU","       137","S","        76","S","         8","S","","","","","","","","","","","","","  48.0"," ,S,1204, ","","","","","","","","","","","","","","","","","","","","","    964.0"," ,S","","","","","",""
"TUM00017050","2015","41.667","26.567","51.0","EDIRNE, TU","        96","S","        52","S","         6","S","","","","","","","","","","","","","  61.5"," ,S,0618, ","","","","","","","","","","","","","","","","","","","","","    664.3"," ,S","","","","","",""
"TUM00017050","2016","41.667","26.567","51.0","EDIRNE, TU","        96","S","        44","S","         7","S","","","","","","","","","","","","","  62.5"," ,S,0117, ","","","","","","","","","","","","","","","","","","","","","    632.3"," ,S","","","","","",""
"TUM00017050","2017","41.667","26.567","51.0","EDIRNE, TU","       118","S","        68","S","         9","S","","","","","         7","S","       195","S","        74","S","","","  52.1"," ,S,0603, ","   41.0","S,0701, ","","","","","","","","","","","","","","","","","","","    864.8"," ,S","","","     21.55","S","",""
