"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"ASN00074077","1949","-36.0167","144.9","105.2","MOIRA STATE FOREST, AS","        90","a","        45","a","         3","a","","","","","","","  53.6"," ,a,0221, ","","","","","","","    515.0"," ,a","",""
"ASN00074077","1950","-36.0167","144.9","105.2","MOIRA STATE FOREST, AS","        80","a","        43","a","         4","a","","","","","","","  85.9"," ,a,0319, ","","","","","","","    570.7"," ,a","",""
"ASN00074077","1951","-36.0167","144.9","105.2","MOIRA STATE FOREST, AS","       100","a","        38","a","         2","a","","","","","","","  66.8"," ,a,0220, ","","","","","","","    446.7"," ,a","",""
"ASN00074077","1952","-36.0167","144.9","105.2","MOIRA STATE FOREST, AS","       115","a","        51","a","         3","a","","","","","","","  30.7"," ,a,0731, ","","","","","","","    527.1"," ,a","",""
"ASN00074077","1953","-36.0167","144.9","105.2","MOIRA STATE FOREST, AS","        95","a","        42","a","         1","a","","","","","","","  37.6"," ,a,1021, ","","","","","","","    403.5"," ,a","",""
"ASN00074077","1954","-36.0167","144.9","105.2","MOIRA STATE FOREST, AS","        79","a","        40","a","         6","a","","","","","","","  77.2"," ,a,0130, ","","","","","","","    606.8"," ,a","",""
"ASN00074077","1955","-36.0167","144.9","105.2","MOIRA STATE FOREST, AS","        95","a","        59","a","         4","a","","","","","","","  46.2"," ,a,0212, ","","","","","","","    610.2"," ,a","",""
"ASN00074077","1956","-36.0167","144.9","105.2","MOIRA STATE FOREST, AS","       119","a","        61","a","         3","a","","","","","","","  35.1"," ,a,0120, ","","","","","","","    739.3"," ,a","",""
"ASN00074077","1957","-36.0167","144.9","105.2","MOIRA STATE FOREST, AS","        75","a","        32","a","         0","a","","","","","","","  18.8"," ,a,0710, ","","","","","","","    284.7"," ,a","",""
"ASN00074077","1958","-36.0167","144.9","105.2","MOIRA STATE FOREST, AS","        97","a","        47","a","         5","a","","","","","","","  47.0"," ,a,0815, ","","","","","","","    531.7"," ,a","",""
"ASN00074077","1959","-36.0167","144.9","105.2","MOIRA STATE FOREST, AS","        76","a","        39","a","         2","a","","","","","","","  29.0"," ,a,1224, ","","","","","","","    401.6"," ,a","",""
"ASN00074077","1960","-36.0167","144.9","105.2","MOIRA STATE FOREST, AS","       116","a","        52","a","         1","a","","","","","","","  39.4"," ,a,0501, ","","","","","","","    534.9"," ,a","",""
"ASN00074077","1961","-36.0167","144.9","105.2","MOIRA STATE FOREST, AS","        75","a","        36","a","         0","a","","","","","","","  22.9"," ,a,1118,+","","","","","","","    339.0"," ,a","",""
"ASN00074077","1962","-36.0167","144.9","105.2","MOIRA STATE FOREST, AS","        97","a","        44","a","         1","a","","","","","","","  39.1"," ,a,0915, ","","","","","","","    437.1"," ,a","",""
"ASN00074077","1963","-36.0167","144.9","105.2","MOIRA STATE FOREST, AS","       103","a","        55","a","         3","a","","","","","","","  44.5"," ,a,0323, ","","","","","","","    563.4"," ,a","",""
"ASN00074077","1964","-36.0167","144.9","105.2","MOIRA STATE FOREST, AS","       107","a","        49","a","         1","a","","","","","","","  46.7"," ,a,0911, ","","","","","","","    456.0"," ,a","",""
"ASN00074077","1965","-36.0167","144.9","105.2","MOIRA STATE FOREST, AS","        85","a","        31","a","         2","a","","","","","","","  47.0"," ,a,0905, ","","","","","","","    340.0"," ,a","",""
"ASN00074077","1966","-36.0167","144.9","105.2","MOIRA STATE FOREST, AS","        83","a","        48","a","         1","a","","","","","","","  36.3"," ,a,0930, ","","","","","","","    449.5"," ,a","",""
"ASN00074077","1967","-36.0167","144.9","105.2","MOIRA STATE FOREST, AS","        58","a","        26","a","         1","a","","","","","","","  30.5"," ,a,0519, ","","","","","","","    221.5"," ,a","",""
"ASN00074077","1968","-36.0167","144.9","105.2","MOIRA STATE FOREST, AS","       115","a","        43","a","         4","a","         0","a","        26","a","   -3.3","a,0725,+","  39.6"," ,a,1216, ","0.0","a,0516","-2.2","a,0713","-1.1","a,1002","    484.9"," ,a","      8.72","a"
"ASN00074077","1969","-36.0167","144.9","105.2","MOIRA STATE FOREST, AS","        88","a","        38","a","         3","a","","","","","","","  35.6"," ,a,0312, ","","","","","","","    459.2"," ,a","",""
"ASN00074077","1970","-36.0167","144.9","105.2","MOIRA STATE FOREST, AS","        88","a","        42","a","         2","a","","","","","","","  46.0"," ,a,0423, ","","","","","","","    471.6"," ,a","",""
"ASN00074077","1971","-36.0167","144.9","105.2","MOIRA STATE FOREST, AS","        87","a","        52","a","         4","a","","","","","","","  40.6"," ,a,0131, ","","","","","","","    517.8"," ,a","",""
"ASN00074077","1972","-36.0167","144.9","105.2","MOIRA STATE FOREST, AS","        55","a","        28","a","         2","a","","","","","","","  30.2"," ,a,0217, ","","","","","","","    304.9"," ,a","",""
