"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYHF","DYHF_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES"
"SPW00013025","1971","36.65","-6.35","25.6","ROTA NAS, SP","","","    466.0","","     466.0","X","        77","X","        45","X","         3","X","        0","","         0","X","         0","X","         2","X","         0","X","       178","X","        22","X","        61"," ","        17"," ","        11"," ","   -2.2","X,0102, ","     0"," ,X,1231,+","     0"," ,X,1231,+","  46.2"," ,X,0130, ","   36.7","X,0627, ","0.0","X,1113","","","-2.2","X,0102","-2.2","X,0102","    1162.6","6","    1162.6","X","    463.2"," ,X","        0"," ,X","     16.27","X","     21.44","X","     11.09","X","       260","X","      21.6","X"
"SPW00013025","1972","36.65","-6.35","25.6","ROTA NAS, SP","","","    401.4","","     401.4","X","        88","X","        59","X","         5","X","        0","","         0","X","         0","X","         1","X","         0","X","       178","X","        15","X","        84"," ","        12"," ","        20"," ","    0.0","X,0124, ","     0"," ,X,1231,+","     0"," ,X,1231,+","  51.1"," ,X,1208, ","   35.0","X,0818, ","","","","","0.0","X,0124","","","    1273.0","0","    1273.0","X","    748.6"," ,X","        0"," ,X","     16.20","X","     20.96","X","     11.44","X","       310","X","      22.6","X"
"SPW00013025","1973","36.65","-6.35","25.6","ROTA NAS, SP","","","    595.0","","     595.0","X","        59","X","        33","X","         5","X","        0","","         0","X","         0","X","         0","X","         0","X","       224","X","        24","X","       101"," ","        17"," ","        10"," ","    1.1","X,1204,+","     0"," ,X,1231,+","     0"," ,X,1231,+","  31.8"," ,X,1105,+","   40.6","X,0820, ","","","","","","","","","    1002.3","3","    1002.3","X","    368.6"," ,X","        0"," ,X","     17.18","X","     22.62","X","     11.74","X","       260","X","      22.6","X"
"SPW00013025","1974","36.65","-6.35","25.6","ROTA NAS, SP","","","    670.9","","     670.9","X","        53","X","        30","X","         2","X","        0","","         0","X","         0","X","         0","X","         0","X","       183","X","        34","X","        79"," ","        17"," ","        14"," ","    2.8","X,1219,+","     0"," ,X,1231,+","     0"," ,X,1231,+","  49.5"," ,X,1103, ","   37.8","X,0729, ","","","","","","","","","    1046.5","5","    1046.5","X","    339.0"," ,X","        0"," ,X","     17.20","X","     22.27","X","     12.13","X","       280","X","      24.2","X"
"SPW00013025","1975","36.65","-6.35","25.6","ROTA NAS, SP","","","    613.3","","     613.3","X","        66","X","        39","X","         6","X","        0","","         0","X","         0","X","         0","X","         0","X","       164","X","        22","X","        84"," ","        14"," ","        17"," ","    1.7","X,1119, ","     0"," ,X,1231,+","     0"," ,X,1231,+","  45.7"," ,X,0206, ","   42.2","X,0715, ","","","","","","","","","    1122.9","9","    1122.9","X","    468.3"," ,X","        0"," ,X","     16.91","X","     21.75","X","     12.07","X","       230","X","      26.2","X"
"SPW00013025","1976","36.65","-6.35","25.6","ROTA NAS, SP","","","    725.4","","     725.4","X","        87","X","        51","X","         6","X","        0","","         0","X","         0","X","         3","X","         0","X","       175","X","        30","X","       108"," ","        16"," ","        17"," ","   -1.1","X,0126, ","     0"," ,X,1231,+","     0"," ,X,1231,+","  41.4"," ,X,1029, ","   41.1","X,0808, ","","","","","-0.6","X,0128","","","    1115.1","1","    1115.1","X","    637.4"," ,X","        0"," ,X","     17.28","X","     22.14","X","     12.42","X","","","",""
"SPW00013025","1977","36.65","-6.35","25.6","ROTA NAS, SP","","","    532.9","","     532.9","X","        83","X","        46","X","         5","X","        0","","         0","X","         0","X","         0","X","         0","X","       221","X","        16","X","       121"," ","        18"," ","        20"," ","    1.1","X,1126, ","     0"," ,X,1231,+","     0"," ,X,1231,+","  44.2"," ,X,1207, ","   34.4","X,0906, ","","","","","","","","","     897.4","4","     897.4","X","    574.6"," ,X","        0"," ,X","     17.71","X","     22.38","X","     13.05","X","       320","X","      28.3","X"
"SPW00013025","1978","36.65","-6.35","25.6","ROTA NAS, SP","","","    713.6","","     713.6","X","        74","X","        40","X","         3","X","        0","","         0","X","         0","X","         1","X","         0","X","       208","X","        24","X","        95"," ","        11"," ","        18"," ","   -0.6","X,0115, ","     0"," ,X,1231,+","     0"," ,X,1231,+","  66.5"," ,X,1130, ","   38.9","X,0723, ","","","","","-0.6","X,0115","","","     807.4","4","     807.4","X","    504.6"," ,X","        0"," ,X","     18.20","X","     22.69","X","     13.72","X","       220","X","      19.5","X"
"SPW00013025","1979","36.65","-6.35","25.6","ROTA NAS, SP","","","    731.4","","     731.4","X","        71","X","        44","X","         4","X","        0","","         0","X","         0","X","         2","X","         0","X","       206","X","        29","X","       107"," ","        24"," ","        23"," ","   -2.8","X,1222, ","     0"," ,X,1231,+","     0"," ,X,1231,+","  34.8"," ,X,1009, ","   37.8","X,0730, ","-1.1","X,1221","-2.8","X,1222","","","","","     678.1","1","     678.1","X","    475.5"," ,X","        0"," ,X","     17.99","X","     22.82","X","     13.16","X","","","",""
"SPW00013025","1980","36.65","-6.35","25.6","ROTA NAS, SP","","","    821.7","","     821.7","X","        52","X","        27","X","         4","X","        0","","         0","X","         0","X","         3","X","         0","X","       224","X","        43","X","        18"," ","         1"," ","         1"," ","   -1.1","X,1202,+","     0"," ,X,1231,+","     0"," ,X,1231,+","  77.2"," ,X,1111, ","   40.0","X,0829, ","-1.1","X,1201","","","","","","","     883.0","0","     883.0","X","    499.9"," ,X","        0"," ,X","     18.05","X","     23.08","X","     13.02","X","       120","X","      21.1","X"
"SPW00013025","1981","36.65","-6.35","25.6","ROTA NAS, SP","","","    831.9","","     831.9","X","        54","X","        31","X","         1","X","        0","","         0","X","         0","X","         3","X","         0","X","       244","X","        47","X","","","","","","","   -1.1","X,0112, ","     0"," ,X,1231,+","     0"," ,X,1231,+","  26.9"," ,X,1221, ","   41.1","X,0613, ","","","","","0.0","X,0114","","","     989.0","0","     989.0","X","    318.6"," ,X","        0"," ,X","     18.57","X","     23.78","X","     13.36","X","","","",""
"SPW00013025","1982","36.65","-6.35","25.6","ROTA NAS, SP","","","    919.2","","     919.2","X","        48","X","        26","X","         4","X","        0","","         0","X","         0","X","         0","X","         0","X","       264","X","        47","X","","","","","","","    3.9","X,1226, ","     0"," ,X,1231,+","     0"," ,X,1231,+","  36.1"," ,X,0111, ","   47.2","X,0819, ","","","","","","","","","     423.1","1","     423.1","X","    360.9"," ,X","        0"," ,X","     19.24","X","     24.40","X","     14.08","X","       220","X","      21.1","X"
"SPW00013025","1983","36.65","-6.35","25.6","ROTA NAS, SP","","","    827.5","","     827.5","X","        62","X","        39","X","         3","X","        0","","         0","X","         0","X","         1","X","         0","X","       261","X","        31","X","","","","","","","    0.0","X,0211, ","     0"," ,X,1231,+","     0"," ,X,1231,+","  49.0"," ,X,1112, ","   40.0","X,0926, ","","","","","0.0","X,0211","","","     695.6","6","     695.6","X","    448.3"," ,X","        0"," ,X","     18.90","X","     23.94","X","     13.86","X","","","",""
"SPW00013025","1984","36.65","-6.35","25.6","ROTA NAS, SP","","","    689.7","","     689.7","X","        68","X","        43","X","         5","X","        0","","         0","X","         0","X","         0","X","         0","X","       198","X","        29","X","","","","","","","    1.1","X,1231,+","     0"," ,X,1231,+","     0"," ,X,1231,+","  38.6"," ,X,1109, ","   37.2","X,0729, ","","","","","","","","","     873.7","7","     873.7","X","    516.1"," ,X","        0"," ,X","     17.60","X","     22.41","X","     12.79","X","","","",""
"SPW00013025","1985","36.65","-6.35","25.6","ROTA NAS, SP","","","    845.3","","     845.3","X","        65","X","        40","X","         3","X","        0","","         0","X","         0","X","         3","X","         0","X","       235","X","        31","X","","","","","","","   -1.1","X,0116, ","     0"," ,X,1231,+","     0"," ,X,1231,+","  35.3"," ,X,1125, ","   37.8","X,0723, ","","","","","-1.1","X,0116","","","     776.0","0","     776.0","X","    493.2"," ,X","        0"," ,X","     18.52","X","     23.36","X","     13.69","X","","","",""
"SPW00013025","1986","36.65","-6.35","25.6","ROTA NAS, SP","","","    828.7","","     828.7","X","        66","X","        33","X","         2","X","        0","","         0","X","         0","X","         0","X","         0","X","       205","X","        35","X","        57"," ","         2"," ","         5"," ","    1.1","X,1231,+","     0"," ,X,1231,+","     0"," ,X,1231,+","  41.9"," ,X,1111, ","   37.2","X,0821,+","","","","","","","","","     931.0","0","     931.0","X","    358.5"," ,X","        0"," ,X","     17.88","X","     22.73","X","     13.03","X","","","",""
"SPW00013025","1987","36.65","-6.35","25.6","ROTA NAS, SP","       3.6","X","    867.6","","     867.6","X","        81","X","        49","X","         4","X","        0","","         0","X","         0","X","         2","X","         0","X","       230","X","        37","X","       111"," ","","","        10"," ","    0.0","X,1122,+","     0"," ,X,1231,+","     0","T,X,1204, ","  45.2"," ,X,1027, ","   38.9","X,0906, ","0.0","X,1122","","","0.0","X,0118","","","     821.0","0","     821.0","X","    659.6"," ,X","        0","T,X","     18.65","X","     23.22","X","     14.08","X","","","",""
"SPW00013025","1988","36.65","-6.35","25.6","ROTA NAS, SP","","","    963.1","","     963.1","X","        65","X","        35","X","         2","X","        0","","         0","X","         0","X","         0","X","         0","X","       242","X","        53","X","       107"," ","","","         1"," ","    1.1","X,1216,+","     0"," ,X,1231,+","     0"," ,X,1231,+","  54.1"," ,X,1014, ","   38.9","X,0907, ","","","","","","","","","     601.9","9","     601.9","X","    399.8"," ,X","        0"," ,X","     19.14","X","     23.96","X","     14.33","X","       220","X","      20.6","X"
"SPW00013025","1989","36.65","-6.35","25.6","ROTA NAS, SP","       3.5","X","    953.4","","     953.4","X","        75","X","        51","X","         6","X","        0","","         0","X","         0","X","         0","X","         0","X","       253","X","        47","X","       152"," ","","","        18"," ","    2.8","X,0106,+","     0"," ,X,1231,+","     0","T,X,0404, ","  60.2"," ,X,1119, ","   37.8","X,0801, ","","","","","","","","","     735.2","2","     735.2","X","    797.0"," ,X","        0","T,X","     19.22","X","     24.13","X","     14.32","X","       220","X","      26.2","X"
"SPW00013025","1990","36.65","-6.35","25.6","ROTA NAS, SP","       3.5","X","    846.0","","     846.0","X","        56","X","        32","X","         5","X","        0","","         0","X","         0","X","         0","X","         0","X","       250","X","        43","X","       158"," ","         2"," ","         6"," ","    2.2","X,1210,+","     0"," ,X,1231,+","     0"," ,X,1231,+","  46.5"," ,X,0401, ","   37.8","X,0803,+","","","","","","","","","     639.6","6","     639.6","X","    441.8"," ,X","        0"," ,X","     18.42","X","     23.59","X","     13.25","X","        90","X","      21.1","X"
"SPW00013025","1991","36.65","-6.35","25.6","ROTA NAS, SP","       3.5","X","    802.3","","     802.3","X","        71","X","        42","X","         5","X","        0","","         0","X","         0","X","         1","X","         0","X","       201","X","        43","X","         4"," ","         4"," ","         3"," ","    0.0","X,0114, ","     0"," ,X,1231,+","     0","T,X,0322,+","  98.3"," ,X,1010, ","   41.1","X,0820, ","","","","","0.0","X,0114","","","    1036.5","5","    1036.5","X","    615.4"," ,X","        0","T,X","     17.69","X","     22.86","X","     12.52","X","       230","X","      21.6","X"
"SPW00013025","1992","36.65","-6.35","25.6","ROTA NAS, SP","       3.4","X","    674.8","","     674.8","X","        61","X","        32","X","         4","X","        0","","         0","X","         0","X","         3","X","         0","X","       239","X","        42","X","       155"," ","         4"," ","         9"," ","   -2.2","X,0205, ","     0"," ,X,1231,+","     0"," ,X,1231,+","  40.4"," ,X,1016, ","   40.0","X,0824,+","","","","","-2.2","X,0205","-2.2","X,0205","     946.7","7","     946.7","X","    416.9"," ,X","        0"," ,X","     17.72","X","     23.39","X","     12.04","X","       250","X","      19.5","X"
"SPW00013025","1993","36.65","-6.35","25.6","ROTA NAS, SP","       3.7","X","    589.2","","     589.2","X","        68","X","        36","X","         4","X","        0","","         0","X","         0","X","         0","X","         0","X","       184","X","        20","X","       173"," ","         4"," ","        16"," ","    1.1","X,1224,+","     0"," ,X,1231,+","     0"," ,X,1231,+","  57.2"," ,X,0504, ","   36.1","X,0804,+","","","","","","","","","     944.3","3","     944.3","X","    490.3"," ,X","        0"," ,X","     16.80","X","     21.58","X","     12.01","X","       290","X","      22.6","X"
"SPW00013025","1994","36.65","-6.35","25.6","ROTA NAS, SP","       3.7","X","    698.6","","     698.6","X","        49","X","        32","X","         1","X","        0","","         0","X","         0","X","         2","X","         0","X","       246","X","        20","X","       127"," ","        15"," ","        13"," ","    0.0","X,1227,+","     0"," ,X,1231,+","     0"," ,X,1231,+","  28.2"," ,X,1109, ","   37.2","X,0826, ","0.0","X,1224","","","","","","","    1050.7","7","    1050.7","X","    325.7"," ,X","        0"," ,X","     17.96","X","     22.70","X","     13.22","X","       300","X","      23.6","X"
"SPW00013025","1995","36.65","-6.35","25.6","ROTA NAS, SP","       3.4","X","    775.3","","     775.3","X","        63","X","        33","X","         4","X","        0","","         0","X","         0","X","         0","X","         0","X","       237","X","        26","X","       109"," ","         4"," ","        22"," ","    1.1","X,0207,+","     0"," ,X,1231,+","     0","T,X,0210, ","  48.8"," ,X,0210, ","   38.9","X,0723,+","","","","","","","","","     762.4","4","     762.4","X","    449.7"," ,X","        0","T,X","     18.52","X","     23.06","X","     13.99","X","        20","X","      72.0","X"
"SPW00013025","1996","36.65","-6.35","25.6","ROTA NAS, SP","       4.1","X","    683.3","","     683.3","X","        92","X","        69","X","        13","X","        0","","         0","X","         0","X","         1","X","         0","X","       218","X","        24","X","       142"," ","         4"," ","        24"," ","    0.0","X,0223, ","     0"," ,X,1231,+","     0","T,X,1228, "," 108.2"," ,X,1113, ","   36.1","X,0720, ","","","","","0.0","X,0223","","","     660.2","2","     660.2","X","   1227.9"," ,X","        0","T,X","     18.15","X","     22.43","X","     13.86","X","       200","X","      30.8","X"
"SPW00013025","1997","36.65","-6.35","25.6","ROTA NAS, SP","       4.3","X","    758.4","","     758.4","X","        78","X","        52","X","         5","X","        0","","         0","X","         0","X","         0","X","         0","X","       266","X","        26","X","       188"," ","         7"," ","        17"," ","    5.6","X,1225,+","     0"," ,X,1231,+","     0","T,X,1218, "," 111.8"," ,X,0929, ","   35.0","X,0814, ","","","","","","","","","     549.3","3","     549.3","X","    753.8"," ,X","        0","T,X","     19.06","X","     23.49","X","     14.62","X","       270","X","      28.3","X"
"SPW00013025","1998","36.65","-6.35","25.6","ROTA NAS, SP","       4.5","X","    810.7","","     810.7","X","        56","X","        33","X","         1","X","        0","","         0","X","         0","X","         0","X","         0","X","       227","X","        33","X","        78"," ","         4"," ","        13"," ","    1.7","X,1208,+","     0"," ,X,1231,+","     0"," ,X,1231,+","  43.4"," ,X,1229, ","   38.9","X,0823, ","","","","","","","","","     598.6","6","     598.6","X","    336.1"," ,X","        0"," ,X","     18.57","X","     23.17","X","     13.97","X","       170","X","      24.6","X"
"SPW00013025","2000","36.65","-6.35","25.6","ROTA NAS, SP","","","","","","","","","","","","","","","","","","","","","","","","","","","         4"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SPW00013025","2001","36.65","-6.35","25.6","ROTA NAS, SP","       4.4","X","    665.6","","     665.6","X","        72","X","        36","X","         3","X","        0","","         0","X","         0","X","         0","X","         0","X","       199","X","        22","X","        20"," ","","","        17"," ","    1.1","X,1229, ","     0"," ,X,1231,+","     0"," ,X,1231,+","  40.4"," ,X,1019, ","   36.1","X,0804, ","","","","","","","","","","","","","    423.3"," ,X","        0"," ,X","     17.65","X","     22.00","X","     13.30","X","       120","X","      25.0","X"
"SPW00013025","2002","36.65","-6.35","25.6","ROTA NAS, SP","       4.2","X","","","","","        67","Z","        41","Z","         5","Z","        0","","         0","Z","","","","","","","","","","","        29"," ","","","        10"," ","","","     0"," ,Z,1231,+","     0"," ,Z,1231,+","  87.1"," ,Z,1119, ","","","","","","","","","","","     925.3","3","     925.3","X","    600.1"," ,Z","        0"," ,Z","","","","","","","       210","X","      37.1","X"
