"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES"
"NOE00111255","1942","65.8167","13.9","380.0","TUSTERVATNET, NO","       173","E","        99","E","         3","E","      196","","  1090"," ,E,0404, ","  55.8"," ,E,0911, ","   1008.3"," ,E"
"NOE00111255","1943","65.8167","13.9","380.0","TUSTERVATNET, NO","       194","E","       125","E","         7","E","      211","","  2160"," ,E,0419,+","  43.1"," ,E,1226, ","   1339.3"," ,E"
"NOE00111255","1944","65.8167","13.9","380.0","TUSTERVATNET, NO","       183","E","        92","E","         3","E","      206","","  1320"," ,E,0305, ","  57.7"," ,E,0115, ","    914.8"," ,E"
"NOE00111255","1945","65.8167","13.9","380.0","TUSTERVATNET, NO","       172","E","       107","E","         0","E","      204","","  1610"," ,E,0301, ","  24.0"," ,E,0724, ","    864.3"," ,E"
"NOE00111255","1946","65.8167","13.9","380.0","TUSTERVATNET, NO","       196","E","       104","E","         2","E","      197","","  1190"," ,E,0401, ","  43.4"," ,E,0403, ","    888.6"," ,E"
"NOE00111255","1947","65.8167","13.9","380.0","TUSTERVATNET, NO","       167","E","        89","E","         2","E","      208","","   990"," ,E,1228, ","  33.4"," ,E,1019, ","    834.6"," ,E"
"NOE00111255","1948","65.8167","13.9","380.0","TUSTERVATNET, NO","       208","E","       130","E","         4","E","      202","","  1140"," ,E,0225, ","  46.0"," ,E,1001, ","   1183.9"," ,E"
"NOE00111255","1949","65.8167","13.9","380.0","TUSTERVATNET, NO","       220","E","       143","E","         5","E","      187","","  1530"," ,E,0327, ","  71.0"," ,E,1002, ","   1341.4"," ,E"
"NOE00111255","1950","65.8167","13.9","380.0","TUSTERVATNET, NO","       180","E","        98","E","         1","E","      204","","  1450"," ,E,0308, ","  28.9"," ,E,0726, ","    828.5"," ,E"
"NOE00111255","1951","65.8167","13.9","380.0","TUSTERVATNET, NO","       166","E","        92","E","         2","E","      214","","   960"," ,E,1211, ","  33.0"," ,E,0907,+","    847.9"," ,E"
"NOE00111255","1952","65.8167","13.9","380.0","TUSTERVATNET, NO","       167","E","        84","E","         2","E","      197","","  1600"," ,E,0405, ","  37.0"," ,E,0828, ","    856.7"," ,E"
"NOE00111255","1953","65.8167","13.9","380.0","TUSTERVATNET, NO","       208","E","       129","E","         4","E","      198","","  1470"," ,E,0420, ","  77.9"," ,E,0325, ","   1360.8"," ,E"
"NOE00111255","1954","65.8167","13.9","380.0","TUSTERVATNET, NO","       165","E","        87","E","         0","E","      209","","   960"," ,E,0423, ","  22.9"," ,E,0105, ","    773.0"," ,E"
"NOE00111255","1955","65.8167","13.9","380.0","TUSTERVATNET, NO","       196","E","       115","E","         2","E","      245","","  1730"," ,E,0401, ","  28.0"," ,E,0930, ","    942.9"," ,E"
"NOE00111255","1956","65.8167","13.9","380.0","TUSTERVATNET, NO","       179","E","        94","E","         1","E","      205","","  1300"," ,E,0307,+","  26.6"," ,E,1019, ","    787.0"," ,E"
