"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"ASN00054036","1964","-29.2443","150.8923","440.0","WALLANGRA WALLANGRA STATION, AS","","","","","        76","a","        49","a","         5","a","","","","","","","  40.6"," ,a,0929, ","","","","","","","","","","","","","    653.5"," ,a","",""
"ASN00054036","1965","-29.2443","150.8923","440.0","WALLANGRA WALLANGRA STATION, AS","","","","","        60","a","        42","a","         4","a","         0","a","        38","a","   -6.7","a,0713,+","  44.5"," ,a,1215, ","-1.1","a,0518","-2.2","a,0519","-6.7","a,0712","-6.7","a,0712","-1.1","a,0823","-3.9","a,0810","    431.2"," ,a","     10.06","a"
"ASN00054036","1966","-29.2443","150.8923","440.0","WALLANGRA WALLANGRA STATION, AS","","","","","        63","a","        43","a","        11","a","","","","","","","  58.7"," ,a,1108, ","","","","","","","","","","","","","    668.2"," ,a","",""
"ASN00054036","1967","-29.2443","150.8923","440.0","WALLANGRA WALLANGRA STATION, AS","    610.0","","     610.0","a","        68","a","        36","a","         4","a","","","","","","","  63.8"," ,a,0303, ","","","","","","","","","","","","","    557.7"," ,a","",""
"ASN00054036","1968","-29.2443","150.8923","440.0","WALLANGRA WALLANGRA STATION, AS","","","","","        85","a","        48","a","         4","a","","","","","","","  69.1"," ,a,0107, ","","","","","","","","","","","","","    674.9"," ,a","",""
"ASN00054036","1969","-29.2443","150.8923","440.0","WALLANGRA WALLANGRA STATION, AS","","","","","        90","a","        57","a","         8","a","","","","","","","  69.9"," ,a,0103, ","","","","","","","","","","","","","    780.3"," ,a","",""
"ASN00054036","1970","-29.2443","150.8923","440.0","WALLANGRA WALLANGRA STATION, AS","","","","","        82","a","        55","a","        16","a","","","","","","","  87.1"," ,a,1209, ","","","","","","","","","","","","","   1022.8"," ,a","",""
"ASN00054036","1971","-29.2443","150.8923","440.0","WALLANGRA WALLANGRA STATION, AS","","","","","        80","a","        57","a","         7","a","","","","","","","  57.4"," ,a,0716, ","","","","","","","","","","","","","    858.5"," ,a","",""
"ASN00054036","1972","-29.2443","150.8923","440.0","WALLANGRA WALLANGRA STATION, AS","","","","","        87","a","        54","a","         8","a","","","","","","","  51.6"," ,a,0930, ","","","","","","","","","","","","","    718.2"," ,a","",""
"ASN00054036","1974","-29.2443","150.8923","440.0","WALLANGRA WALLANGRA STATION, AS","","","","","        93","a","        52","a","         5","a","","","","","","","  36.0"," ,a,1119, ","","","","","","","","","","","","","    583.2"," ,a","",""
"ASN00054036","1975","-29.2443","150.8923","440.0","WALLANGRA WALLANGRA STATION, AS","","","","","        84","a","        56","a","         9","a","","","","","","","  86.4"," ,a,0329, ","","","","","","","","","","","","","    968.5"," ,a","",""
"ASN00054036","1976","-29.2443","150.8923","440.0","WALLANGRA WALLANGRA STATION, AS","","","","","        83","a","        56","a","        11","a","","","","","",""," 190.6"," ,a,0211, ","","","","","","","","","","","","","   1004.4"," ,a","",""
"ASN00054036","1977","-29.2443","150.8923","440.0","WALLANGRA WALLANGRA STATION, AS","","","","","        70","a","        47","a","         7","a","","","","","",""," 115.6"," ,a,0222, ","","","","","","","","","","","","","    722.2"," ,a","",""
"ASN00054036","1978","-29.2443","150.8923","440.0","WALLANGRA WALLANGRA STATION, AS","","","","","       115","a","        75","a","         9","a","","","","","","","  78.2"," ,a,0128, ","","","","","","","","","","","","","   1067.2"," ,a","",""
"ASN00054036","1979","-29.2443","150.8923","440.0","WALLANGRA WALLANGRA STATION, AS","","","","","        70","a","        38","a","         9","a","","","","","","","  35.2"," ,a,1020, ","","","","","","","","","","","","","    560.2"," ,a","",""
"ASN00054036","1980","-29.2443","150.8923","440.0","WALLANGRA WALLANGRA STATION, AS","","","","","        60","a","        42","a","         8","a","","","","","","","  75.2"," ,a,1215, ","","","","","","","","","","","","","    650.6"," ,a","",""
"ASN00054036","1981","-29.2443","150.8923","440.0","WALLANGRA WALLANGRA STATION, AS","","","","","        85","a","        47","a","         7","a","","","","","","","  77.0"," ,a,0601, ","","","","","","","","","","","","","    741.4"," ,a","",""
"ASN00054036","1982","-29.2443","150.8923","440.0","WALLANGRA WALLANGRA STATION, AS","","","","","        78","a","        49","a","         9","a","","","","","","","  53.2"," ,a,0302, ","","","","","","","","","","","","","    658.4"," ,a","",""
"ASN00054036","1983","-29.2443","150.8923","440.0","WALLANGRA WALLANGRA STATION, AS","","","","","       108","a","        73","a","        12","a","","","","","","","  97.8"," ,a,0503, ","","","","","","","","","","","","","   1153.8"," ,a","",""
"ASN00054036","1984","-29.2443","150.8923","440.0","WALLANGRA WALLANGRA STATION, AS","","","","","        90","a","        70","a","         9","a","","","","","","","  43.6"," ,a,1211, ","","","","","","","","","","","","","    904.0"," ,a","",""
"ASN00054036","1985","-29.2443","150.8923","440.0","WALLANGRA WALLANGRA STATION, AS","","","","","        86","a","        60","a","         7","a","","","","","","","  59.6"," ,a,1126, ","","","","","","","","","","","","","    724.8"," ,a","",""
"ASN00054036","1986","-29.2443","150.8923","440.0","WALLANGRA WALLANGRA STATION, AS","","","","","        83","a","        47","a","         7","a","","","","","","","  69.2"," ,a,1130, ","","","","","","","","","","","","","    719.8"," ,a","",""
"ASN00054036","1987","-29.2443","150.8923","440.0","WALLANGRA WALLANGRA STATION, AS","","","","","        86","a","        53","a","         6","a","","","","","","","  57.8"," ,a,0303, ","","","","","","","","","","","","","    758.4"," ,a","",""
"ASN00054036","1988","-29.2443","150.8923","440.0","WALLANGRA WALLANGRA STATION, AS","","","","","        85","a","        53","a","        13","a","","","","","","","  99.0"," ,a,0401, ","","","","","","","","","","","","","    988.6"," ,a","",""
"ASN00054036","1989","-29.2443","150.8923","440.0","WALLANGRA WALLANGRA STATION, AS","","","","","        92","a","        63","a","        11","a","","","","","","","  55.4"," ,a,0327, ","","","","","","","","","","","","","    808.4"," ,a","",""
"ASN00054036","1990","-29.2443","150.8923","440.0","WALLANGRA WALLANGRA STATION, AS","","","","","        92","a","        59","a","         7","a","","","","","","","  56.6"," ,a,0421, ","","","","","","","","","","","","","    673.8"," ,a","",""
"ASN00054036","1991","-29.2443","150.8923","440.0","WALLANGRA WALLANGRA STATION, AS","","","","","        69","a","        41","a","         8","a","","","","","","","  63.4"," ,a,0106, ","","","","","","","","","","","","","    709.8"," ,a","",""
"ASN00054036","1992","-29.2443","150.8923","440.0","WALLANGRA WALLANGRA STATION, AS","","","","","        87","a","        56","a","         6","a","","","","","","","  75.0"," ,a,0201, ","","","","","","","","","","","","","    709.2"," ,a","",""
"ASN00054036","1993","-29.2443","150.8923","440.0","WALLANGRA WALLANGRA STATION, AS","","","","","        72","a","        43","a","         6","a","","","","","","","  68.8"," ,a,1208, ","","","","","","","","","","","","","    663.0"," ,a","",""
"ASN00054036","1994","-29.2443","150.8923","440.0","WALLANGRA WALLANGRA STATION, AS","","","","","        71","a","        47","a","         7","a","","","","","","","  55.0"," ,a,0212, ","","","","","","","","","","","","","    616.8"," ,a","",""
"ASN00054036","1995","-29.2443","150.8923","440.0","WALLANGRA WALLANGRA STATION, AS","","","","","        81","a","        57","a","         7","a","","","","","","","  51.2"," ,a,0120, ","","","","","","","","","","","","","    806.0"," ,a","",""
"ASN00054036","1996","-29.2443","150.8923","440.0","WALLANGRA WALLANGRA STATION, AS","","","","","        87","a","        57","a","        12","a","","","","","",""," 178.0"," ,a,0122, ","","","","","","","","","","","","","   1206.6"," ,a","",""
"ASN00054036","1997","-29.2443","150.8923","440.0","WALLANGRA WALLANGRA STATION, AS","","","","","        86","a","        55","a","         6","a","","","","","","","  46.0"," ,a,0215, ","","","","","","","","","","","","","    739.2"," ,a","",""
"ASN00054036","1998","-29.2443","150.8923","440.0","WALLANGRA WALLANGRA STATION, AS","","","","","        99","a","        59","a","        11","a","","","","","","","  58.0"," ,a,0728, ","","","","","","","","","","","","","    909.5"," ,a","",""
"ASN00054036","1999","-29.2443","150.8923","440.0","WALLANGRA WALLANGRA STATION, AS","","","","","        82","a","        58","a","        10","a","","","","","","","  71.0"," ,a,0303, ","","","","","","","","","","","","","    853.0"," ,a","",""
"ASN00054036","2000","-29.2443","150.8923","440.0","WALLANGRA WALLANGRA STATION, AS","","","","","        76","a","        53","a","        11","a","","","","","","","  76.0"," ,a,1214, ","","","","","","","","","","","","","    876.9"," ,a","",""
"ASN00054036","2001","-29.2443","150.8923","440.0","WALLANGRA WALLANGRA STATION, AS","","","","","        79","a","        50","a","         8","a","","","","","","","  54.0"," ,a,1107, ","","","","","","","","","","","","","    839.7"," ,a","",""
"ASN00054036","2002","-29.2443","150.8923","440.0","WALLANGRA WALLANGRA STATION, AS","","","","","        53","a","        36","a","         6","a","","","","","","","  47.0"," ,a,0328, ","","","","","","","","","","","","","    440.8"," ,a","",""
"ASN00054036","2003","-29.2443","150.8923","440.0","WALLANGRA WALLANGRA STATION, AS","","","","","        76","a","        46","a","         6","a","","","","","","","  69.5"," ,a,1002, ","","","","","","","","","","","","","    684.6"," ,a","",""
"ASN00054036","2004","-29.2443","150.8923","440.0","WALLANGRA WALLANGRA STATION, AS","","","","","        75","a","        42","a","         9","a","","","","","","","  94.0"," ,a,0114, ","","","","","","","","","","","","","    870.7"," ,a","",""
"ASN00054036","2005","-29.2443","150.8923","440.0","WALLANGRA WALLANGRA STATION, AS","","","","","        63","a","        34","a","         6","a","","","","","","","  38.5"," ,a,1122, ","","","","","","","","","","","","","    554.5"," ,a","",""
"ASN00054036","2006","-29.2443","150.8923","440.0","WALLANGRA WALLANGRA STATION, AS","","","","","        69","a","        38","a","         5","a","","","","","","","  36.5"," ,a,0119, ","","","","","","","","","","","","","    512.0"," ,a","",""
"ASN00054036","2007","-29.2443","150.8923","440.0","WALLANGRA WALLANGRA STATION, AS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    585.4"," ,a","",""
"ASN00054036","2008","-29.2443","150.8923","440.0","WALLANGRA WALLANGRA STATION, AS","","","","","        70","a","        43","a","        11","a","","","","","",""," 107.0"," ,a,1228, ","","","","","","","","","","","","","    803.7"," ,a","",""
"ASN00054036","2011","-29.2443","150.8923","440.0","WALLANGRA WALLANGRA STATION, AS","","","","","        88","a","        61","a","        11","a","","","","","","","  50.0"," ,a,0120, ","","","","","","","","","","","","","    874.9"," ,a","",""
"ASN00054036","2013","-29.2443","150.8923","440.0","WALLANGRA WALLANGRA STATION, AS","","","","","        68","a","        43","a","         3","a","","","","","","","  97.7"," ,a,0128, ","","","","","","","","","","","","","    609.9"," ,a","",""
"ASN00054036","2014","-29.2443","150.8923","440.0","WALLANGRA WALLANGRA STATION, AS","","","","","        70","a","        46","a","         5","a","","","","","","","  64.2"," ,a,0320, ","","","","","","","","","","","","","    659.5"," ,a","",""
"ASN00054036","2015","-29.2443","150.8923","440.0","WALLANGRA WALLANGRA STATION, AS","","","","","        91","a","        55","a","        12","a","","","","","","","  64.0"," ,a,0121, ","","","","","","","","","","","","","    927.9"," ,a","",""
"ASN00054036","2016","-29.2443","150.8923","440.0","WALLANGRA WALLANGRA STATION, AS","","","","","        99","a","        58","a","         7","a","","","","","","","  43.6"," ,a,0106, ","","","","","","","","","","","","","    765.4"," ,a","",""
