"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00021353","1980","33.9826","-112.3628","606.6","CASTLE HOT SPRINGS, AZ US","   1646.3","","    1646.3","0","        36","0","        29","0","         6","0","        0","","         0","0","         0","0","         0","0","         0","0","       283","0","       143","0","         7"," ","    0.6","0,0123, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  62.2"," ,0,0214, ","   43.9","0,0716,+","","","","","","","","","","","","","","","","","","","    514.3"," ,0","        0"," ,0","     20.89","0","     28.79","0","     12.99","0"
"USC00021353","1981","33.9826","-112.3628","606.6","CASTLE HOT SPRINGS, AZ US","","","","","        32","0","        26","0","         3","0","        0","","         0","0","","","","","","","","","","","         1"," ","","","     0"," ,0,1231,+","     0"," ,0,1231,+","  41.1"," ,0,1127, ","","","","","","","","","","","","","","","","","     601.4","4","     601.4","0","    333.7"," ,0","        0"," ,0","","","","","",""
"USC00021353","1982","33.9826","-112.3628","606.6","CASTLE HOT SPRINGS, AZ US","   1507.3","","    1507.3","0","        64","0","        39","0","         5","0","        0","","         0","0","         0","0","         5","0","         0","0","       272","0","       126","0","        19"," ","   -2.2","0,0228, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  51.6"," ,0,1130, ","   42.2","0,0820,+","0.0","0,1229","","","","","-2.2","0,0228","-2.2","0,0228","","","","","","","","","    551.5"," ,0","        0"," ,0","     20.16","0","     27.30","0","     13.02","0"
"USC00021353","1983","33.9826","-112.3628","606.6","CASTLE HOT SPRINGS, AZ US","   1588.7","","    1588.7","0","        62","0","        51","0","         5","0","        0","","         0","0","         0","0","         2","0","         0","0","       253","0","       122","0","         1"," ","   -1.1","0,0121,+","     0"," ,0,1231,+","     0"," ,0,1231,+","  79.0"," ,0,0816, ","   43.9","0,0705, ","","","","","","","-1.1","0,0121","","","","","","","     946.5","5","     946.5","0","    617.5"," ,0","        0"," ,0","     20.16","0","     27.16","0","     13.16","0"
"USC00021353","1984","33.9826","-112.3628","606.6","CASTLE HOT SPRINGS, AZ US","   1624.2","","    1624.2","0","        47","0","        35","0","         4","0","","","         0","0","         0","0","         4","0","         0","0","       283","0","       140","0","","","   -2.2","0,0118, ","","","     0"," ,0,1231,+","  38.6"," ,0,1227, ","   42.2","0,0528, ","0.0","0,1214","","","","","0.0","0,0122","-2.2","0,0118","","","","","     737.1","1","     737.1","0","    420.9"," ,0","        0"," ,0","     20.66","0","     27.98","0","     13.35","0"
"USC00021353","1985","33.9826","-112.3628","606.6","CASTLE HOT SPRINGS, AZ US","   1721.5","","    1721.5","0","        45","0","        27","0","         2","0","","","         1","0","         0","0","        14","0","         0","0","       271","0","       134","0","","","   -4.4","0,0201, ","","","   152"," ,0,0202, ","  50.8"," ,0,1125, ","   43.9","0,0707,+","-1.7","0,1119","-2.2","0,1210","","","0.0","0,0303","-2.2","0,0205","-4.4","0,0201","","","     879.6","6","     879.6","0","    356.7"," ,0","      152"," ,0","     20.63","0","     27.95","0","     13.31","0"
"USC00021353","1986","33.9826","-112.3628","606.6","CASTLE HOT SPRINGS, AZ US","   1715.5","","    1715.5","0","        45","0","        31","0","         1","0","","","         0","0","         0","0","         4","0","         0","0","       301","0","       140","0","","","   -1.7","0,0207, ","","","     0"," ,0,1231,+","  25.9"," ,0,0311, ","   43.3","0,0731, ","-0.6","0,1211","","","","","-0.6","0,0210","","","","","","","     627.7","7","     627.7","0","    275.7"," ,0","        0"," ,0","     21.40","0","     28.62","0","     14.18","0"
"USC00021353","1987","33.9826","-112.3628","606.6","CASTLE HOT SPRINGS, AZ US","   1803.7","","    1803.7","0","        49","0","        32","0","         3","0","","","","","         0","0","        17","0","         0","0","       279","0","       160","0","         4"," ","   -4.4","0,0118, ","","","","","  27.2"," ,0,1101, ","   42.8","0,0714, ","0.0","0,1213","-2.2","0,1214","","","0.0","0,0225","-4.4","0,0118","-4.4","0,0118","","","     775.3","3","     775.3","0","    331.6"," ,0","","","     20.82","0","     28.17","0","     13.47","0"
"USC00021353","1988","33.9826","-112.3628","606.6","CASTLE HOT SPRINGS, AZ US","   1896.1","","    1896.1","0","        37","0","        26","0","         2","0","        0","","         0","0","         0","0","         8","0","         0","0","       287","0","       161","0","","","   -3.3","0,1228,+","     0"," ,0,1231,+","     0"," ,0,1231,+","  30.0"," ,0,0422, ","   44.4","0,0623, ","-1.1","0,1226","-3.3","0,1227","","","0.0","0,0120","","","","","","","     848.0","0","     848.0","0","    296.8"," ,0","        0"," ,0","     21.28","0","     28.83","0","     13.72","0"
"USC00021353","1989","33.9826","-112.3628","606.6","CASTLE HOT SPRINGS, AZ US","   1926.1","","    1926.1","0","        24","0","        18","0","         3","0","        0","","         0","0","         0","0","         8","0","         0","0","       307","0","       170","0","         3"," ","   -2.2","0,0206, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  48.5"," ,0,0104, ","   45.0","0,0704, ","-1.1","0,1212","","","","","-1.1","0,0207","-2.2","0,0206","","","","","     739.8","8","     739.8","0","    270.7"," ,0","        0"," ,0","     21.80","0","     29.67","0","     13.93","0"
