"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYHF","DYHF_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDF1","WDF1_ATTRIBUTES","WSF1","WSF1_ATTRIBUTES"
"USC00041194","1950","34.1866","-118.348","199.6","BURBANK VALLEY PUMP PLANT, CA US","    518.2","","     518.2","0","        33","0","        15","0","         0","0","        0","","         0","0","         0","0","         9","0","         0","0","       252","0","        35","0","       139"," ","","","         3"," ","   -2.2","0,0104, ","     0","T,0,0124, ","    13"," ,0,0325, ","  25.1"," ,0,0108, ","   39.4","0,1013,+","","","","","","","0.0","0,0201","-2.2","0,0104","","","     998.3","3","     998.3","0","    196.0"," ,0","       13"," ,0","     17.29","0","     23.93","0","     10.64","0","","","",""
"USC00041194","1951","34.1866","-118.348","199.6","BURBANK VALLEY PUMP PLANT, CA US","    548.0","","     548.0","0","        43","0","        26","0","         3","0","        0","","         0","0","         0","0","         1","0","         0","0","       234","0","        36","0","        98"," ","","","         5"," ","    0.0","0,0228, ","     0"," ,0,1231,+","     0","T,0,1212,+","  46.0"," ,0,1229, ","   38.3","0,0917, ","","","","","","","0.0","0,0228","","","","","     845.7","7","     845.7","0","    339.7"," ,0","        0","T,0","     17.02","0","     23.54","0","     10.49","0","","","",""
"USC00041194","1952","34.1866","-118.348","199.6","BURBANK VALLEY PUMP PLANT, CA US","    628.4","","     628.4","0","        50","0","        31","0","         8","0","        0","","         0","0","         0","0","         6","0","         0","0","       227","0","        48","0","       109"," ","","","         8"," ","   -1.1","0,0104,+","     0"," ,0,1231,+","     3"," ,0,0313, "," 115.6"," ,0,0115, ","   38.3","0,0907,+","","","","","","","0.0","0,0109","","","","","    1112.8","8","    1112.8","0","    764.0"," ,0","        3"," ,0","     16.96","0","     23.56","0","     10.36","0","","","",""
"USC00041194","1953","34.1866","-118.348","199.6","BURBANK VALLEY PUMP PLANT, CA US","    599.9","","     599.9","0","        20","0","        10","0","         1","0","        0","","         0","0","         0","0","         0","0","         0","0","       260","0","        43","0","        68"," ","","","         1"," ","    0.6","0,1225,+","     0"," ,0,1231,+","     0"," ,0,1231,+","  26.4"," ,0,1114, ","   38.9","0,0910, ","","","","","","","","","","","","","     998.8","8","     998.8","0","     98.2"," ,0","        0"," ,0","     17.57","0","     24.73","0","     10.41","0","","","",""
"USC00041194","1954","34.1866","-118.348","199.6","BURBANK VALLEY PUMP PLANT, CA US","    629.4","","     629.4","0","        37","0","        21","0","         3","0","        0","","         0","0","         0","0","         1","0","         0","0","       263","0","        43","0","        95"," ","","","         1"," ","   -0.6","0,1229, ","     0"," ,0,1231,+","     0","T,0,0316,+","  55.4"," ,0,0119, ","   40.0","0,0707, ","-0.6","0,1229","","","","","","","","","","","     815.1","1","     815.1","0","    345.4"," ,0","        0","T,0","     17.76","0","     24.57","0","     10.96","0","","","",""
"USC00041194","1955","34.1866","-118.348","199.6","BURBANK VALLEY PUMP PLANT, CA US","    640.7","","     640.7","0","        43","X","        27","X","         3","X","        0","","         0","0","         0","0","         1","0","         0","0","       234","0","        53","0","        61"," ","","","         5"," ","    0.0","0,0220, ","     0"," ,0,1231,+","     3"," ,0,0316, ","  37.1"," ,X,0430, ","   43.9","0,0906,+","","","","","","","0.0","0,0220","","","","","     978.7","7","     978.7","0","    306.2"," ,X","        3"," ,0","     17.23","0","     23.81","0","     10.64","0","","","",""
"USC00041194","1956","34.1866","-118.348","199.6","BURBANK VALLEY PUMP PLANT, CA US","    628.1","","     628.1","0","        24","0","        13","0","         3","0","        0","","         0","0","         0","0","         1","0","         0","0","       252","0","        49","0","        83"," ","","","         2"," ","    0.0","0,0217, ","     0"," ,0,1231,+","     0"," ,0,1231,+"," 103.1"," ,0,0126, ","   41.1","0,0823, ","","","","","","","0.0","0,0217","","","","","    1006.7","7","    1006.7","0","    312.8"," ,0","        0"," ,0","     17.63","0","     24.60","0","     10.67","0","","","",""
"USC00041194","1957","34.1866","-118.348","199.6","BURBANK VALLEY PUMP PLANT, CA US","    696.0","","     696.0","0","        52","0","        30","0","         5","0","        0","","         0","0","         0","0","         2","0","         0","0","       241","0","        49","0","        73"," ","","","         3"," ","   -2.2","0,0128, ","     0"," ,0,1231,+","     0","T,0,0127, ","  42.7"," ,0,0112, ","   40.6","0,0703, ","","","","","","","-2.2","0,0128","-2.2","0,0128","","","     783.3","3","     783.3","0","    432.2"," ,0","        0","T,0","     17.89","0","     24.14","0","     11.64","0","","","",""
"USC00041194","1958","34.1866","-118.348","199.6","BURBANK VALLEY PUMP PLANT, CA US","    822.8","","     822.8","0","        41","0","        22","0","         5","0","        0","","         0","0","         0","0","         1","0","         0","0","       262","0","        54","0","        64"," ","","","         8"," ","    0.0","0,1117, ","     0"," ,0,1231,+","     0","T,0,1115, ","  63.8"," ,0,0219, ","   39.4","0,1016, ","0.0","0,1117","","","","","","","","","","","     779.6","6","     779.6","0","    396.1"," ,0","        0","T,0","     18.63","0","     25.31","0","     11.96","0","","","",""
"USC00041194","1959","34.1866","-118.348","199.6","BURBANK VALLEY PUMP PLANT, CA US","    720.7","","     720.7","0","        23","0","        12","0","         5","0","        0","","         0","0","         0","0","         0","0","         0","0","       279","0","        40","0","        55"," ","","","         2"," ","    1.1","0,0222, ","     0"," ,0,1231,+","     0","T,0,0208, ","  48.3"," ,0,0211, ","   40.0","0,0710, ","","","","","","","","","","","","","     617.4","4","     617.4","0","    272.9"," ,0","        0","T,0","     18.61","0","     25.11","0","     12.10","0","","","",""
"USC00041194","1960","34.1866","-118.348","199.6","BURBANK VALLEY PUMP PLANT, CA US","    763.5","","     763.5","0","        29","0","        18","0","         1","0","        0","","         0","0","         0","0","         2","0","         0","0","       260","0","        50","0","        46"," ","","","         3"," ","   -1.7","0,0102, ","     0"," ,0,1231,+","     0","T,0,0115, ","  28.2"," ,0,1105, ","   39.4","0,0720,+","","","","","","","-0.6","0,0103","","","","","     732.9","9","     732.9","0","    249.0"," ,0","        0","T,0","     18.13","0","     24.77","0","     11.49","0","","","",""
"USC00041194","1961","34.1866","-118.348","199.6","BURBANK VALLEY PUMP PLANT, CA US","    638.9","","     638.9","0","        23","0","        11","0","         3","0","        0","","         0","0","         0","0","         0","0","         0","0","       253","0","        38","0","        52"," ","","","         1"," ","    2.8","0,1213, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  38.1"," ,0,0126, ","   38.3","0,1015, ","","","","","","","","","","","","","     693.0","0","     693.0","0","    189.2"," ,0","        0"," ,0","     18.01","0","     24.42","0","     11.59","0","","","",""
"USC00041194","1962","34.1866","-118.348","199.6","BURBANK VALLEY PUMP PLANT, CA US","    529.8","","     529.8","0","        29","0","        19","0","         6","0","        0","","         0","0","         0","0","         1","0","         0","0","       227","0","        36","0","       115"," ","","","         3"," ","    0.0","0,1228, ","     0"," ,0,1231,+","     0","T,0,0219,+"," 110.5"," ,0,0210, ","   36.1","0,0814,+","0.0","0,1228","","","","","","","","","","","    1018.3","3","    1018.3","0","    445.8"," ,0","        0","T,0","     17.14","0","     23.42","0","     10.86","0","","","",""
"USC00041194","1963","34.1866","-118.348","199.6","BURBANK VALLEY PUMP PLANT, CA US","    543.0","","     543.0","0","        43","0","        27","0","         2","0","        0","","         0","0","         0","0","         1","0","         0","0","       225","0","        22","0","        72"," ","","","         6"," ","   -1.1","0,0114, ","     0"," ,0,1231,+","     3"," ,0,0317, ","  77.5"," ,0,0209, ","   41.1","0,0928,+","","","","","","","-1.1","0,0114","","","","","     925.7","7","     925.7","0","    334.1"," ,0","        3"," ,0","     17.31","0","     23.47","0","     11.15","0","","","",""
"USC00041194","1964","34.1866","-118.348","199.6","BURBANK VALLEY PUMP PLANT, CA US","    598.0","","     598.0","0","        34","0","        19","0","         2","0","        0","","         0","0","         0","0","         0","0","         0","0","       227","0","        50","0","        83"," ","","","         1"," ","    1.1","0,1229,+","     0"," ,0,1231,+","     0","T,0,1117, ","  33.8"," ,0,0121, ","   37.8","0,1006,+","","","","","","","","","","","","","    1040.8","8","    1040.8","0","    214.0"," ,0","        0","T,0","     16.84","0","     23.69","0","      9.99","0","","","",""
"USC00041194","1965","34.1866","-118.348","199.6","BURBANK VALLEY PUMP PLANT, CA US","    600.2","","     600.2","0","        53","0","        34","0","         8","0","        0","","         0","0","         0","0","         1","0","         0","0","       222","0","        47","0","        78"," ","        15"," ","         8"," ","    0.0","0,0212, ","     0"," ,0,1231,+","     0"," ,0,1231,+"," 134.6"," ,0,1229, ","   41.1","0,0809, ","","","","","","","0.0","0,0212","","","","","    1066.2","2","    1066.2","0","    668.2"," ,0","        0"," ,0","     17.21","0","     23.63","0","     10.78","0","       120","X","      13.0","X"
"USC00041194","1966","34.1866","-118.348","199.6","BURBANK VALLEY PUMP PLANT, CA US","","","","","","","","","","","","","","","","","","","","","","","","","        51"," ","         9"," ","         2"," ","","","","","","","","","","","","","","","","","","","","","","","     813.5","5","     813.5"," ","","","","","","","","","","","","","",""
"USC00041194","1967","34.1866","-118.348","199.6","BURBANK VALLEY PUMP PLANT, CA US","    824.9","","     824.9","0","        34","0","        27","0","         8","0","        0","","         0","0","         0","0","         3","0","         0","0","       258","0","        71","0","","","","","         8"," ","   -1.1","0,1220, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  66.0"," ,0,1121, ","   42.8","0,0830, ","-1.1","0,1220","","","","","0.0","0,0110","","","","","","","","","    532.4"," ,0","        0"," ,0","     17.91","0","     25.35","0","     10.48","0","","","",""
"USC00041194","1968","34.1866","-118.348","199.6","BURBANK VALLEY PUMP PLANT, CA US","","","","","        30","0","        17","0","         1","0","        0","","         0","0","         0","0","         9","0","","","","","","","","","","","         1"," ","   -3.9","0,1222, ","     0"," ,0,1231,+","     0","T,0,1220, ","  47.0"," ,0,0308, ","","","-3.3","0,1221","-3.3","0,1221","","","0.0","0,0130","","","","","","","","","    156.5"," ,0","        0","T,0","","","","","     10.37","0","","","",""
"USC00041194","1969","34.1866","-118.348","199.6","BURBANK VALLEY PUMP PLANT, CA US","","","","","        36","0","        26","0","        10","0","        0","","         0","0","         0","0","         4","0","","","","","","","","","","","         2"," ","   -1.7","0,0130, ","     0"," ,0,1231,+","     0"," ,0,1231,+"," 109.0"," ,0,0125, ","","","-0.6","0,1231","","","","","0.0","0,0201","","","","","     956.1","1","     956.1"," ","    678.0"," ,0","        0"," ,0","","","","","     10.47","0","","","",""
"USC00041194","1970","34.1866","-118.348","199.6","BURBANK VALLEY PUMP PLANT, CA US","    694.5","","     694.5","0","        28","0","        24","0","         6","0","        0","","         0","0","         0","0","         5","0","         0","0","       270","0","        80","0","","","","","         3"," ","   -2.2","0,0104,+","     0"," ,0,1231,+","     0","T,0,1221, "," 134.1"," ,0,1129, ","   41.7","0,0807, ","","","","","","","0.0","0,0106","-2.2","0,0104","","","","","","","    501.0"," ,0","        0","T,0","     17.88","0","     25.78","0","      9.98","0","","","",""
"USC00041194","1971","34.1866","-118.348","199.6","BURBANK VALLEY PUMP PLANT, CA US","    767.0","","     767.0","0","        24","0","        16","0","         2","0","        0","","         0","0","         0","0","        13","0","         0","0","       235","0","        73","0","","","","","         2"," ","   -2.8","0,0105, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  58.2"," ,0,1224, ","   45.0","0,0912, ","-0.6","0,1120","","","","","-1.7","0,0302","-2.8","0,0105","","","    1009.0","0","    1009.0","0","    252.0"," ,0","        0"," ,0","     17.28","0","     24.98","0","      9.58","0","","","",""
"USC00041194","1972","34.1866","-118.348","199.6","BURBANK VALLEY PUMP PLANT, CA US","    771.1","","     771.1","0","        15","0","        10","0","         1","0","        0","","         0","0","         0","0","        16","0","         0","0","       289","0","        63","0","","","","","","","   -2.8","0,1212,+","     0"," ,0,1231,+","     0"," ,0,1231,+","  25.4"," ,0,1204, ","   42.2","0,0728, ","-0.6","0,1206","-2.8","0,1209","","","-0.6","0,0203","-2.2","0,0105","","","     975.4","4","     975.4","0","    127.7"," ,0","        0"," ,0","     18.01","0","     25.84","0","     10.19","0","","","",""
"USC00041194","1973","34.1866","-118.348","199.6","BURBANK VALLEY PUMP PLANT, CA US","    620.4","","     620.4","0","        35","0","        26","0","         3","0","        0","","         0","0","         0","0","         6","0","         0","0","       256","0","        58","0","","","","","         1"," ","   -3.3","0,0106, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  76.2"," ,0,0211, ","   42.2","0,0621, ","0.0","0,1127","","","","","0.0","0,0121","-2.8","0,0107","","","    1027.1","1","    1027.1","0","    453.2"," ,0","        0"," ,0","     17.31","0","     24.85","0","      9.76","0","","","",""
"USC00041194","1974","34.1866","-118.348","199.6","BURBANK VALLEY PUMP PLANT, CA US","    685.5","","     685.5","0","        32","0","        20","0","         7","0","        0","","         0","0","         0","0","         9","0","         0","0","       282","0","        81","0","","","","","         1"," ","   -2.8","0,0102, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  78.0"," ,0,0107, ","   40.0","0,0718, ","0.0","0,1224","-2.2","0,1230","","","0.0","0,0304","-2.8","0,0102","","","     981.3","3","     981.3","0","    495.9"," ,0","        0"," ,0","     17.40","0","     25.94","0","      8.86","0","","","",""
"USC00041194","1975","34.1866","-118.348","199.6","BURBANK VALLEY PUMP PLANT, CA US","    581.8","","     581.8","0","        34","0","        18","0","         3","0","        0","","         0","0","         0","0","        14","0","         0","0","       276","0","        60","0","","","","","         1"," ","   -2.2","0,1215,+","     0"," ,0,1231,+","     0"," ,0,1231,+","  45.7"," ,0,0306, ","   40.6","0,0924,+","-1.7","0,1130","-2.2","0,1215","","","-1.7","0,0317","-2.2","0,0131","","","    1045.9","9","    1045.9","0","    245.5"," ,0","        0"," ,0","     17.06","0","     25.44","0","      8.69","0","","","",""
"USC00041194","1977","34.1866","-118.348","199.6","BURBANK VALLEY PUMP PLANT, CA US","    703.5","","     703.5","0","        34","0","        19","0","         7","0","        0","","         0","0","         0","0","         9","0","         0","0","       292","0","        79","0","","","","","         1"," ","   -1.7","0,1216,+","     0"," ,0,1231,+","     0"," ,0,1231,+","  72.6"," ,0,0817, ","   40.6","0,0726, ","-1.1","0,1212","","","","","-1.7","0,0318","","","","","     808.7","7","     808.7","0","    473.6"," ,0","        0"," ,0","     18.05","0","     26.66","0","      9.43","0","","","",""
"USC00041194","1978","34.1866","-118.348","199.6","BURBANK VALLEY PUMP PLANT, CA US","    861.1","","     861.1","0","        57","0","        43","0","        10","0","        0","","         0","0","         0","0","        20","0","         0","0","       267","0","        95","0","","","","","         1"," ","   -5.6","0,1208, ","     0"," ,0,1231,+","     0"," ,0,1231,+"," 111.8"," ,0,0304, ","   42.8","0,0925, ","-0.6","0,1116","-5.6","0,1208","-5.6","0,1208","0.0","0,0405","-2.8","0,0215","","","     858.7","7","     858.7","0","    892.6"," ,0","        0"," ,0","     17.84","0","     26.40","0","      9.27","0","","","",""
"USC00041194","1980","34.1866","-118.348","199.6","BURBANK VALLEY PUMP PLANT, CA US","","","","","        39","0","        27","0","        11","0","        0","","         0","0","","","","","         0","0","       299","0","        81","0","","","","","         1"," ","","","     0"," ,0,1231,+","     0"," ,0,1231,+"," 105.4"," ,0,0216, ","   43.9","0,0930, ","","","","","","","","","","","","","","","","","    767.0"," ,0","        0"," ,0","","","     27.02","0","","","","","",""
"USC00041194","1981","34.1866","-118.348","199.6","BURBANK VALLEY PUMP PLANT, CA US","","","","","        31","0","        22","0","         6","0","        0","","         0","0","","","","","         0","0","       309","0","        94","0","","","","","         2"," ","","","     0"," ,0,1231,+","     0"," ,0,1231,+","  42.9"," ,0,0302, ","   43.3","0,0827, ","","","","","","","","","","","","","     572.0","0","     572.0","0","    355.9"," ,0","        0"," ,0","","","     27.39","0","","","","","",""
"USC00041194","1982","34.1866","-118.348","199.6","BURBANK VALLEY PUMP PLANT, CA US","    702.6","","     702.6","0","        49","0","        27","0","         5","0","","","         0","0","         0","0","         5","0","         0","0","       275","0","        69","0","","","","","","","   -5.0","0,0123, ","","","     0"," ,0,1231,+","  50.8"," ,0,1130, ","   43.9","0,0902, ","0.0","0,1226","","","","","-5.0","0,0123","-5.0","0,0123","-5.0","0,0123","","","","","    453.6"," ,0","        0"," ,0","     17.83","0","     25.47","0","     10.18","0","","","",""
"USC00041194","1983","34.1866","-118.348","199.6","BURBANK VALLEY PUMP PLANT, CA US","    841.2","","     841.2","0","        77","0","        54","0","        10","0","        0","","         0","0","         0","0","         3","0","         0","0","       256","0","        76","0","","","","","","","   -1.7","0,0102, ","     0"," ,0,1231,+","     0"," ,0,1231,+"," 138.4"," ,0,0301, ","   43.3","0,0912, ","","","","","","","-0.6","0,0103","","","","","     853.7","7","     853.7","0","   1010.4"," ,0","        0"," ,0","     18.54","0","     25.91","0","     11.17","0","","","",""
"USC00041194","1984","34.1866","-118.348","199.6","BURBANK VALLEY PUMP PLANT, CA US","   1073.7","","    1073.7","0","        25","0","        18","0","         2","0","        0","","         0","0","         0","0","         3","0","         0","0","       297","0","       101","0","","","","","","","   -0.6","0,0115, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  45.7"," ,0,1227, ","   43.3","0,0904, ","0.0","0,1217","","","","","-0.6","0,0115","","","","","     629.4","4","     629.4","0","    236.7"," ,0","        0"," ,0","     19.30","0","     27.25","0","     11.35","0","","","",""
"USC00041194","1985","34.1866","-118.348","199.6","BURBANK VALLEY PUMP PLANT, CA US","","","","","        33","0","        13","0","         3","0","","","         0","0","         0","0","        11","0","","","","","","","","","","","","","   -5.0","0,0306, ","","","     0"," ,0,1231,+","  30.2"," ,0,0209, ","","","-0.6","0,1212","","","","","0.0","0,0328","-5.0","0,0306","-5.0","0,0306","     989.4","4","     989.4"," ","    171.5"," ,0","        0"," ,0","","","","","     10.45","0","","","",""
"USC00041194","1986","34.1866","-118.348","199.6","BURBANK VALLEY PUMP PLANT, CA US","","","","","        36","0","        25","0","         3","0","        0","","         0","0","         0","0","         0","0","","","","","","","","","","","","","    1.1","0,0210, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  72.4"," ,0,0130, ","","","","","","","","","","","","","","","","","","","    409.3"," ,0","        0"," ,0","","","","","     11.51","0","","","",""
"USC00041194","1987","34.1866","-118.348","199.6","BURBANK VALLEY PUMP PLANT, CA US","","","","","        42","0","        24","0","         4","0","        0","","         0","0","         0","0","         6","0","","","","","","","","","","","","","   -2.8","0,1226, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  35.8"," ,0,1031, ","","","-2.8","0,1226","-2.8","0,1226","","","0.0","0,0121","","","","","","","","","    322.1"," ,0","        0"," ,0","","","","","     11.23","0","","","",""
"USC00041194","1988","34.1866","-118.348","199.6","BURBANK VALLEY PUMP PLANT, CA US","","","","","        31","0","        24","0","         3","0","        0","","         0","0","         0","0","         3","0","","","","","","","","","","","","","   -1.1","0,1227, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  49.8"," ,0,0117, ","","","-1.1","0,1227","","","","","","","","","","","","","","","    313.4"," ,0","        0"," ,0","","","","","     11.76","0","","","",""
"USC00041194","1989","34.1866","-118.348","199.6","BURBANK VALLEY PUMP PLANT, CA US","","","","","        26","0","        14","0","         1","0","        0","","         0","0","         0","0","         3","0","","","","","","","","","","","","","    0.0","0,0114,+","     0"," ,0,1231,+","     0"," ,0,1231,+","  32.3"," ,0,0209, ","","","","","","","","","0.0","0,0114","","","","","","","","","    125.3"," ,0","        0"," ,0","","","","","     11.57","0","","","",""
"USC00041194","1990","34.1866","-118.348","199.6","BURBANK VALLEY PUMP PLANT, CA US","","","","","        28","0","        18","0","         1","0","        0","","         0","0","         0","0","         5","0","","","","","","","","","","","","","   -3.9","0,1223, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  48.3"," ,0,0217, ","","","-2.8","0,1222","-2.8","0,1222","","","0.0","0,0216","","","","","","","","","    193.4"," ,0","        0"," ,0","","","","","     11.62","0","","","",""
