"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00272136","1962","42.91667","-72.06667","454.2","DUBLIN, NH US","        92","0","        75","0","         8","0","        15","0","","","","","","","","","","","        29"," ","        14"," ","","","   330"," ,0,0215, ","  76.7"," ,0,1006, ","","","","","","","","","","","","","","","","","","","","","","","   1015.5"," ,0","     2320"," ,0","","","","","",""
"USC00272136","1963","42.91667","-72.06667","454.2","DUBLIN, NH US","","","","","","","        22","0","","","","","","","","","","","        14"," ","        21"," ","","","   368"," ,0,0220, ","","","","","","","","","","","","","","","","","","","","","","","","","    864.3"," ,0","     2104"," ,0","","","","","",""
"USC00272136","1964","42.91667","-72.06667","454.2","DUBLIN, NH US","        86","0","        59","0","         7","0","        18","0","","","","","","","","","","","","","        16"," ","","","   267"," ,0,0207, ","  55.4"," ,0,0207, ","","","","","","","","","","","","","","","","","","","","","","","    888.7"," ,0","     2081"," ,0","","","","","",""
"USC00272136","1965","42.91667","-72.06667","454.2","DUBLIN, NH US","       107","0","        75","0","         4","0","        24","0","","","","","","","","","","","","","        21"," ","","","   140"," ,0,0330, ","  50.3"," ,0,0811, ","","","","","","","","","","","","","","","","","","","","","","","    764.5"," ,0","     1607"," ,0","","","","","",""
"USC00272136","1966","42.91667","-72.06667","454.2","DUBLIN, NH US","       105","0","        62","0","         8","0","        24","0","","","","","","","","","","","","","        19"," ","","","   457"," ,0,0124, ","  58.7"," ,0,0922, ","","","","","","","","","","","","","","","","","","","","","","","    878.4"," ,0","     2999"," ,0","","","","","",""
"USC00272136","1967","42.91667","-72.06667","454.2","DUBLIN, NH US","       128","0","        80","0","         9","0","        31","0","","","","","","","","","","","","","        19"," ","","","   406"," ,0,1229, ","  98.3"," ,0,1229, ","","","","","","","","","","","","","","","","","","","","","","","   1189.5"," ,0","     3585"," ,0","","","","","",""
"USC00272136","1968","42.91667","-72.06667","454.2","DUBLIN, NH US","       100","0","        65","0","         8","0","        22","0","","","","","","","","","","","","","        20"," ","","","   318"," ,0,1111, ","  39.6"," ,0,0425, ","","","","","","","","","","","","","","","","","","","","","","","   1023.5"," ,0","     1754"," ,0","","","","","",""
"USC00272136","1969","42.91667","-72.06667","454.2","DUBLIN, NH US","","","","","","","","","","","","","","","","","","","","","        21"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USC00272136","1970","42.91667","-72.06667","454.2","DUBLIN, NH US","","","","","","","        20","0","","","","","","","","","","","","","        21"," ","","","   127"," ,0,0321, ","","","","","","","","","","","","","","","","","","","","","","","","","   1014.9"," ,0","     2058"," ,0","","","","","",""
"USC00272136","1971","42.91667","-72.06667","454.2","DUBLIN, NH US","","","","","","","","","","","","","","","","","","","","","        10"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    986.4"," ,0","     2457"," ,0","","","","","",""
"USC00272136","1972","42.91667","-72.06667","454.2","DUBLIN, NH US","","","","","","","        29","0","","","","","","","","","","","","","        13"," ","","","   333"," ,0,1115, ","","","","","","","","","","","","","","","","","","","","","","","","","   1329.5"," ,0","     3149"," ,0","","","","","",""
"USC00272136","1973","42.91667","-72.06667","454.2","DUBLIN, NH US","       131","0","        99","0","        15","0","        14","0","","","","","","","","","","","","","        16"," ","","","   300"," ,0,0129, ","  60.7"," ,0,1221, ","","","","","","","","","","","","","","","","","","","","","","","   1491.5"," ,0","     1508"," ,0","","","","","",""
"USC00272136","1974","42.91667","-72.06667","454.2","DUBLIN, NH US","","","","","","","        20","0","","","","","","","","","","","","","        18"," ","","","   165"," ,0,0410, ","","","","","","","","","","","","","","","","","","","","","","","","","","","     1527"," ,0","","","","","",""
"USC00272136","1975","42.91667","-72.06667","454.2","DUBLIN, NH US","","","","","","","","","","","","","","","","","","","","","         9"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USC00272136","1976","42.91667","-72.06667","454.2","DUBLIN, NH US","","","","","","","","","","","","","","","","","","","","","         2"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
