"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00027751","1918","32.86667","-113.21667","210.0","SENTINEL, AZ US","   1952.9","","    1952.9","0","        21","0","        16","0","         2","0","        0","","         0","0","         0","0","        34","0","         0","0","       319","0","       186","0","","","   -5.6","0,0120,+","     0"," ,0,1231,+","     0"," ,0,1231,+","  40.6"," ,0,0618, ","   48.9","0,0802, ","0.0","0,1126","-3.3","0,1129","0.0","0,0219","-2.8","0,0202","-5.6","0,0120","","","","","    233.2"," ,0","        0"," ,0","     21.89","0","     32.47","0","     11.30","0"
"USC00027751","1950","32.86667","-113.21667","210.0","SENTINEL, AZ US","","","","","        11","0","         3","0","         0","0","        0","","         0","0","","","","","","","","","","","","","","","     0"," ,0,1231,+","     0"," ,0,1231,+","   7.6"," ,0,0907, ","","","","","","","","","","","","","","","","","     36.0"," ,0","        0"," ,0","","","","","",""
"USC00027751","1951","32.86667","-113.21667","210.0","SENTINEL, AZ US","","","","","        28","0","        15","0","         2","0","        0","","         0","0","","","","","","","","","","","","","","","     0"," ,0,1231,+","     0"," ,0,1231,+","  53.8"," ,0,0827, ","","","","","","","","","","","","","","","","","    180.2"," ,0","        0"," ,0","","","","","",""
"USC00027751","1952","32.86667","-113.21667","210.0","SENTINEL, AZ US","","","","","        29","0","        17","0","         0","0","        0","","         0","0","","","","","","","","","","","","","","","     0"," ,0,1231,+","     0","T,0,0706, ","  15.2"," ,0,1221,+","","","","","","","","","","","","","","","","","    139.7"," ,0","        0","T,0","","","","","",""
"USC00027751","1953","32.86667","-113.21667","210.0","SENTINEL, AZ US","","","","","        12","0","         7","0","         0","0","        0","","         0","0","","","","","","","","","","","","","","","     0"," ,0,1231,+","     0"," ,0,1231,+","  18.3"," ,0,0224, ","","","","","","","","","","","","","","","","","     80.9"," ,0","        0"," ,0","","","","","",""
"USC00027751","1954","32.86667","-113.21667","210.0","SENTINEL, AZ US","","","","","        17","0","        10","0","         1","0","        0","","         0","0","","","","","","","","","","","","","","","     0"," ,0,1231,+","     0","T,0,0911, ","  33.0"," ,0,0120, ","","","","","","","","","","","","","","","","","    138.8"," ,0","        0","T,0","","","","","",""
"USC00027751","1955","32.86667","-113.21667","210.0","SENTINEL, AZ US","","","","","        19","0","        13","0","         1","0","        0","","         0","0","","","","","","","","","","","","","","","     0"," ,0,1231,+","     0","T,0,0117, ","  29.0"," ,0,0913, ","","","","","","","","","","","","","","","","","    162.5"," ,0","        0","T,0","","","","","",""
"USC00027751","1956","32.86667","-113.21667","210.0","SENTINEL, AZ US","","","","","         6","0","         3","0","         0","0","        0","","         0","0","","","","","","","","","","","","","","","     0"," ,0,1231,+","     0"," ,0,1231,+","  20.6"," ,0,0629, ","","","","","","","","","","","","","","","","","     56.7"," ,0","        0"," ,0","","","","","",""
"USC00027751","1957","32.86667","-113.21667","210.0","SENTINEL, AZ US","","","","","","","","","","","","","","","","","","","","","","","","","         8"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USC00027751","1959","32.86667","-113.21667","210.0","SENTINEL, AZ US","","","","","        27","0","        18","0","         2","0","        0","","         0","0","","","","","","","","","","","         1"," ","","","     0"," ,0,1231,+","     0"," ,0,1231,+","  41.9"," ,0,0803, ","","","","","","","","","","","","","","","","","    252.6"," ,0","        0"," ,0","","","","","",""
