"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES"
"USC00518805","1925","21.3","-158.1","3.0","U S MAGNETIC OBSERVA, HI US","   2003.0","","    2003.0","6","        66","6","        27","6","         2","6","","","","","         0","6","         0","6","         0","6","       365","6","         4","6","","","   12.8","6,1226, ","","","","","  39.9"," ,6,1105, ","   32.2","6,0916,+","","","       0.0","0","       0.0","6","    277.7"," ,6","","","     23.81","6","     28.43","6","     19.19","6","",""
"USC00518805","1950","21.3","-158.1","3.0","U S MAGNETIC OBSERVA, HI US","","","","","        66","0","        33","0","         5","0","        0","","         0","0","         0","0","         0","0","","","","","","","","","   11.1","0,1220, ","     0"," ,0,1231,+","     0"," ,0,1231,+"," 126.0"," ,0,0107, ","","","","","","","","","    649.8"," ,0","        0"," ,0","","","","","     18.26","0","",""
"USC00518805","1951","21.3","-158.1","3.0","U S MAGNETIC OBSERVA, HI US","   1933.4","","    1933.4","0","        89","0","        36","0","        13","0","        0","","         0","0","         0","0","         0","0","         0","0","       364","0","         2","0","","","    8.9","0,0210,+","     0"," ,0,1231,+","     0"," ,0,1231,+"," 114.8"," ,0,0313, ","   32.2","0,1006,+","","","       1.4","4","       1.4","0","    874.5"," ,0","        0"," ,0","     23.64","0","     28.84","0","     18.44","0","",""
"USC00518805","1952","21.3","-158.1","3.0","U S MAGNETIC OBSERVA, HI US","","","","","","","","","","","        0","","         0","0","","","","","","","","","","","         1"," ","","","     0"," ,0,1231,+","     0"," ,0,1231,+","","","","","","","","","","","","","        0"," ,0","","","","","","","",""
"USC00518805","1953","21.3","-158.1","3.0","U S MAGNETIC OBSERVA, HI US","   1925.5","","    1925.5","0","        46","0","        15","0","         1","0","        0","","         0","0","         0","0","         0","0","         0","0","       363","0","         1","0","         6"," ","   11.7","0,1230,+","     0"," ,0,1231,+","     0"," ,0,1231,+","  46.0"," ,0,1219, ","   32.2","0,0828, ","","","       0.0","0","       0.0","0","    191.9"," ,0","        0"," ,0","     23.66","0","     28.94","0","     18.38","0","",""
"USC00518805","1954","21.3","-158.1","3.0","U S MAGNETIC OBSERVA, HI US","   1999.0","","    1999.0","0","        79","0","        29","0","         6","0","        0","","         0","0","         0","0","         0","0","         0","0","       365","0","        12","0","         2"," ","    9.4","0,1218, ","     0"," ,0,1231,+","     0"," ,0,1231,+"," 201.2"," ,0,1129, ","   32.8","0,1004, ","","","       1.2","2","       1.2","0","    618.2"," ,0","        0"," ,0","     23.80","0","     29.06","0","     18.54","0","",""
"USC00518805","1955","21.3","-158.1","3.0","U S MAGNETIC OBSERVA, HI US","   1734.0","","    1734.0","0","        64","0","        27","0","         9","0","        0","","         0","0","         0","0","         0","0","         0","0","       365","0","         0","0","         2"," ","   10.0","0,0317, ","     0"," ,0,1231,+","     0"," ,0,1231,+"," 166.9"," ,0,0224, ","   31.7","0,0916, ","","","       3.3","3","       3.3","0","    812.6"," ,0","        0"," ,0","     23.07","0","     27.87","0","     18.28","0","",""
"USC00518805","1956","21.3","-158.1","3.0","U S MAGNETIC OBSERVA, HI US","   2030.6","","    2030.6","0","        65","0","        30","0","         6","0","        0","","         0","0","         0","0","         0","0","         0","0","       365","0","         1","0","","","   12.8","0,1205, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  78.7"," ,0,1117, ","   32.2","0,0925, ","    1873.4","0","       0.5","5","       0.5","0","    528.8"," ,0","        0"," ,0","     23.87","0","     28.70","0","     19.05","0","     28381","0"
"USC00518805","1957","21.3","-158.1","3.0","U S MAGNETIC OBSERVA, HI US","   2021.5","","    2021.5","0","        68","0","        20","0","         7","0","        0","","         0","0","         0","0","         0","0","         0","0","       364","0","         6","0","","","   10.6","0,0327,+","     0"," ,0,1231,+","     0"," ,0,1231,+"," 124.7"," ,0,0121, ","   32.2","0,0925,+","","","       0.0","0","       0.0","0","    594.6"," ,0","        0"," ,0","     23.87","0","     28.82","0","     18.91","0","     31208","0"
"USC00518805","1958","21.3","-158.1","3.0","U S MAGNETIC OBSERVA, HI US","   1942.3","","    1942.3","0","        72","0","        25","0","         4","0","        0","","         0","0","         0","0","         0","0","         0","0","       364","0","        11","0","","","   10.0","0,0422,+","     0"," ,0,1231,+","     0"," ,0,1231,+"," 254.0"," ,0,0306, ","   33.3","0,0907, ","","","       3.3","3","       3.3","0","    605.5"," ,0","        0"," ,0","     23.65","0","     28.77","0","     18.52","0","     29493","0"
"USC00518805","1959","21.3","-158.1","3.0","U S MAGNETIC OBSERVA, HI US","   2128.4","","    2128.4","0","        57","0","        21","0","         4","0","        0","","         0","0","         0","0","         0","0","         0","0","       364","0","        13","0","","","    8.9","0,0116, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  63.5"," ,0,0213, ","   33.3","0,0716, ","","","       2.0","0","       2.0","0","    332.5"," ,0","        0"," ,0","     24.16","0","     29.19","0","     19.12","0","     29270","0"
