"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","MXPN","MXPN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES"
"USC00315420","1960","34.83333","-77.3","11.9","HOFMANN FOREST, NC US","","","","","       102","0","        81","0","        16","0","","","         4","0","         0","0","        98","0","","","","","","","  -12.8","0,1214, ","","","   114"," ,0,0312, "," 127.5"," ,0,0912, ","","","","","-1.7","0,1023","-3.9","0,1025","-7.2","0,1108","-7.2","0,1108","-11.7","0,1203","-0.6","0,0420","-4.4","0,0411","-4.4","0,0411","-10.6","0,0314","-10.6","0,0314","    1870.2","2","    1870.2","0","","","   1433.6"," ,0","      292"," ,0","","","","","      7.90","0","",""
"USC00315420","1961","34.83333","-77.3","11.9","HOFMANN FOREST, NC US","","","","","       107","0","        82","0","        17","0","","","","","         0","0","        84","0","","","","","","","  -11.1","0,0126,+","","","","","  69.1"," ,0,0914, ","","","","","0.0","0,1016","-3.3","0,1027","-4.4","0,1110","-7.2","0,1122","-8.9","0,1129","-2.2","0,0430","-2.2","0,0430","-5.6","0,0317","-6.7","0,0311","-9.4","0,0206","","","","","","","   1337.9"," ,0","","","","","","","      8.31","0","",""
"USC00315420","1962","34.83333","-77.3","11.9","HOFMANN FOREST, NC US","    733.6","","     733.6","0","       115","0","        87","0","        18","0","","","","","         0","0","        90","0","         2","0","       226","0","        17","0","  -15.0","0,1213, ","","","",""," 121.9"," ,0,0704, ","   35.0","0,0716,+","","","-3.9","0,1025","-3.9","0,1025","-4.4","0,1026","-8.9","0,1027","-8.9","0,1027","-1.7","0,0421","-2.2","0,0418","-4.4","0,0416","-7.2","0,0211","-10.0","0,0207","    1743.9","9","    1743.9","0","","","   1589.5"," ,0","","","     15.28","0","     22.35","0","      8.21","0","",""
"USC00315420","1963","34.83333","-77.3","11.9","HOFMANN FOREST, NC US","    602.9","","     602.9","0","       110","0","        80","0","        17","0","        0","","         0","0","         0","0","        96","0","         1","0","       223","0","        28","0","  -13.3","0,0129, ","     0"," ,0,1231,+","    18"," ,0,0227, ","  69.3"," ,0,0811, ","   34.4","0,0611,+","","","-3.9","0,1031","-3.9","0,1031","-4.4","0,1104","-7.2","0,1202","-8.9","0,1216","-0.6","0,0503","-4.4","0,0502","-4.4","0,0502","-8.9","0,0228","-8.9","0,0228","    1921.9","9","    1921.9","0","","","   1253.9"," ,0","       18"," ,0","     14.48","0","     21.81","0","      7.15","0","     20697","0"
"USC00315420","1964","34.83333","-77.3","11.9","HOFMANN FOREST, NC US","    665.2","","     665.2","0","       116","0","        81","0","        19","0","        0","","         0","0","         0","0","        89","0","         0","0","       225","0","         9","0","  -12.2","0,0115, ","     0","T,0,0114, ","     0","T,0,1201,+"," 132.1"," ,0,0913, ","   35.0","0,0611, ","","","0.0","0,1011","-2.8","0,1024","-4.4","0,1025","-6.7","0,1123","-10.6","0,1202","0.0","0,0411","-4.4","0,0402","-4.4","0,0402","-8.3","0,0331","-10.6","0,0204","    1956.0","0","    1956.0","0","     28.07","0","   1624.7"," ,0","        0","T,0","     15.45","0","     22.46","0","      8.44","0","",""
"USC00315420","1965","34.83333","-77.3","11.9","HOFMANN FOREST, NC US","    863.2","","     863.2","0","       107","0","        79","0","        13","0","","","         2","0","         0","0","        85","0","         0","0","       219","0","        26","0","  -16.7","0,0201, ","","","   140"," ,0,0131, ","  66.0"," ,0,0626, ","   36.1","0,0828, ","    1209.4","0","0.0","0,1006","-5.6","0,1030","-5.6","0,1030","-8.3","0,1202","-10.6","0,1208","-1.7","0,0405","-5.6","0,0403","-5.6","0,0403","-11.1","0,0322","-11.1","0,0322","    1789.5","5","    1789.5","0","     24.53","0","   1178.9"," ,0","      191"," ,0","     15.74","0","     22.36","0","      9.12","0","",""
"USC00315420","1966","34.83333","-77.3","11.9","HOFMANN FOREST, NC US","    781.7","","     781.7","0","       108","0","        95","0","        24","0","        1","","         2","0","         0","0","        76","0","         1","0","       220","0","        30","0","  -10.6","0,0131, ","   102"," ,0,0127, ","   127"," ,0,0126, "," 114.3"," ,0,0804, ","   34.4","0,0820,+","","","-2.2","0,1031","-2.2","0,1031","-5.6","0,1201","-6.7","0,1216","","","-1.7","0,0511","-2.8","0,0403","-5.6","0,0329","-8.3","0,0206","-10.6","0,0131","    1802.2","2","    1802.2","0","","","   1638.6"," ,0","      165"," ,0","     15.42","0","     21.68","0","      9.16","0","",""
"USC00315420","1967","34.83333","-77.3","11.9","HOFMANN FOREST, NC US","    768.7","","     768.7","0","       107","0","        76","0","        14","0","        0","","         0","0","         0","0","        72","0","         1","0","       238","0","        19","0","  -11.1","0,0225, ","     0"," ,0,1231,+","     0"," ,0,1231,+"," 107.2"," ,0,0910, ","   35.0","0,0530, ","","","0.0","0,1020","-3.9","0,1106","-8.9","0,1108","-8.9","0,1108","-8.9","0,1108","-1.1","0,0429","-2.8","0,0323","-5.6","0,0320","-7.8","0,0319","-10.0","0,0227","    1553.3","3","    1553.3","0","","","   1278.7"," ,0","        0"," ,0","     16.03","0","     22.64","0","      9.41","0","",""
"USC00315420","1968","34.83333","-77.3","11.9","HOFMANN FOREST, NC US","   1003.3","","    1003.3","0","        85","0","        69","0","        14","0","        0","","         1","0","         0","0","        95","0","         0","0","       240","0","        48","0","  -12.2","0,0214,+","     0"," ,0,1231,+","    76"," ,0,0225, ","  76.7"," ,0,1020, ","   36.7","0,0824,+","","","-1.1","0,1027","-2.2","0,1030","-6.1","0,1121","-7.8","0,1209","-8.9","0,1212","0.0","0,0508","-3.3","0,0325","-4.4","0,0314","-6.7","0,0308","-8.9","0,0227","    1787.3","3","    1787.3","0","","","   1090.1"," ,0","       76"," ,0","     16.23","0","     22.98","0","      9.47","0","",""
"USC00315420","1969","34.83333","-77.3","11.9","HOFMANN FOREST, NC US","    955.5","","     955.5","0","        95","0","        73","0","        16","0","        0","","         0","0","         0","0","        86","0","         0","0","       227","0","        39","0","   -9.4","0,0214, ","     0"," ,0,1231,+","    23"," ,0,0105, ","  96.5"," ,0,1102,+","   36.7","0,0725,+","","","-1.7","0,1024","-2.2","0,1115","-6.7","0,1116","-6.7","0,1116","-8.9","0,1205","0.0","0,0425","-4.4","0,0328","-4.4","0,0328","-6.7","0,0228","-9.4","0,0214","    1745.5","5","    1745.5","0","","","   1355.5"," ,0","       23"," ,0","     16.02","0","     22.46","0","      9.58","0","     22148","0"
"USC00315420","1970","34.83333","-77.3","11.9","HOFMANN FOREST, NC US","   1027.7","","    1027.7","0","       113","0","        84","0","        15","0","        0","","         2","0","         0","0","        68","0","         4","0","       252","0","        59","0","  -14.4","0,0122, ","     0"," ,0,1231,+","    76"," ,0,1230, ","  71.6"," ,0,0711, ","   36.7","0,0620, ","","","-1.7","0,1018","-6.7","0,1124","-6.7","0,1124","-6.7","0,1124","-8.9","0,1125","-1.1","0,0408","-6.7","0,0317","-6.7","0,0317","-6.7","0,0317","-11.1","0,0227","    1694.5","5","    1694.5","0","","","   1330.4"," ,0","      132"," ,0","     16.79","0","     23.62","0","      9.95","0","     21223","0"
"USC00315420","1971","34.83333","-77.3","11.9","HOFMANN FOREST, NC US","   1017.6","","    1017.6","0","       125","0","       100","0","        28","0","        0","","         0","0","         0","0","        65","0","         1","0","       253","0","        35","0","  -11.1","0,0202,+","     0"," ,0,1231,+","    13"," ,0,0326, "," 136.9"," ,0,1023, ","   34.4","0,0627, ","","","-2.2","0,1108","-2.2","0,1108","-5.6","0,1123","-7.2","0,1219","","","-0.6","0,0415","-2.2","0,0331","-4.4","0,0325","-8.9","0,0211","-8.9","0,0211","    1570.4","4","    1570.4","0","","","   1837.7"," ,0","       13"," ,0","     17.17","0","     23.54","0","     10.80","0","     22069","0"
"USC00315420","1972","34.83333","-77.3","11.9","HOFMANN FOREST, NC US","    791.8","","     791.8","0","       130","0","        93","0","        19","0","        0","","         0","0","         0","0","        51","0","         1","0","       256","0","        35","0","  -12.8","0,0117, ","     0"," ,0,1231,+","     8"," ,0,0326, ","  85.6"," ,0,0712, ","   35.6","0,0804, ","","","-1.1","0,1021","-2.2","0,1116","-4.4","0,1123","-6.7","0,1124","-10.6","0,1218","-1.1","0,0427","-4.4","0,0410","-4.4","0,0410","-6.7","0,0205","-12.8","0,0117","    1228.1","1","    1228.1","0","     24.39","0","   1570.4"," ,0","        8"," ,0","     16.75","0","     23.65","0","      9.85","0","     21715","0"
"USC00315420","1973","34.83333","-77.3","11.9","HOFMANN FOREST, NC US","    896.9","","     896.9","0","       123","0","        82","0","        18","0","","","         4","0","         0","0","        81","0","         3","0","       252","0","        42","0","  -15.6","0,0213, ","","","   229"," ,0,0211, ","  85.9"," ,0,0613, ","   34.4","0,0830, ","","","0.0","0,1018","-2.8","0,1106","-5.6","0,1107","-8.3","0,1111","-10.0","0,1112","-1.7","0,0415","-2.8","0,0414","-6.1","0,0301","-9.4","0,0219","-9.4","0,0219","    1442.7","7","    1442.7","0","","","   1418.4"," ,0","      587"," ,0","     16.54","0","     24.08","0","      9.00","0","     19703","0"
"USC00315420","1974","34.83333","-77.3","11.9","HOFMANN FOREST, NC US","    689.0","","     689.0","0","       131","0","        94","0","        16","0","        0","","         0","0","         0","0","        64","0","         0","0","       254","0","        31","0","  -12.2","0,0227, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  71.6"," ,0,0527, ","   35.0","0,0710, ","","","-1.7","0,1003","-3.9","0,1004","-4.4","0,1020","-6.7","0,1022","","","-1.7","0,0426","-3.9","0,0411","-5.6","0,0407","-6.7","0,0314","-12.2","0,0227","    1362.3","3","    1362.3","0","","","   1493.5"," ,0","        0"," ,0","     16.13","0","     24.03","0","      8.24","0","",""
"USC00315420","1975","34.83333","-77.3","11.9","HOFMANN FOREST, NC US","","","","","       141","0","       102","0","        24","0","        0","","         0","0","","","","","         0","0","       258","0","        50","0","","","     0"," ,0,1231,+","     0"," ,0,1231,+","  73.7"," ,0,1018, ","   36.1","0,0817, ","","","","","","","","","","","","","","","","","","","","","","","    1501.1","1","    1501.1","0","","","   1800.4"," ,0","        0"," ,0","","","     24.10","0","","","     19727","0"
"USC00315420","1976","34.83333","-77.3","11.9","HOFMANN FOREST, NC US","    593.6","","     593.6","0","       117","0","        74","0","        19","0","        0","","         0","0","         0","0","        89","0","         0","0","       238","0","        25","0","  -15.0","0,0119, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  97.3"," ,0,0803, ","   36.1","0,0716, ","","","-1.7","0,1022","-6.1","0,1029","-6.1","0,1029","-8.3","0,1114","-12.2","0,1222","-1.1","0,0429","-4.4","0,0413","-4.4","0,0413","-9.4","0,0208","-9.4","0,0208","","","","","","","   1460.0"," ,0","        0"," ,0","     15.27","0","     23.43","0","      7.11","0","",""
"USC00315420","1977","34.83333","-77.3","11.9","HOFMANN FOREST, NC US","    907.5","","     907.5","0","       112","0","        71","0","        16","0","        0","","         0","0","         0","0","        82","0","         1","0","       243","0","        65","0","  -15.6","0,0117, ","     0"," ,0,1231,+","     0","T,0,0130, ","  83.8"," ,0,1026, ","   38.3","0,0720, ","","","-1.7","0,1018","-2.8","0,1113","-6.7","0,1114","-6.7","0,1114","-10.6","0,1227","-0.6","0,0511","-2.8","0,0309","-5.6","0,0222","-9.4","0,0218","-9.4","0,0218","    1945.3","3","    1945.3","0","","","   1367.5"," ,0","        0","T,0","     16.12","0","     23.64","0","      8.60","0","",""
"USC00315420","1978","34.83333","-77.3","11.9","HOFMANN FOREST, NC US","    796.4","","     796.4","0","       109","0","        77","0","        15","0","        0","","         0","0","         0","0","        62","0","         0","0","       242","0","        54","0","  -11.1","0,0211, ","     0"," ,0,1231,+","     0","T,0,0222, ","  73.2"," ,0,1224, ","   36.7","0,0628, ","","","-1.1","0,1126","-5.0","0,1211","-5.0","0,1211","-6.7","0,1215","","","0.0","0,0423","-2.2","0,0319","-5.6","0,0306","-7.2","0,0305","-10.0","0,0223","    1743.5","5","    1743.5","0","","","   1248.9"," ,0","        0","T,0","     16.04","0","     23.17","0","      8.92","0","",""
"USC00315420","1979","34.83333","-77.3","11.9","HOFMANN FOREST, NC US","    966.5","","     966.5","0","       124","0","        86","0","        16","0","        0","","         0","0","         0","0","        60","0","         0","0","       245","0","        33","0","  -11.1","0,0210, ","     0"," ,0,1231,+","     0"," ,0,1231,+"," 114.3"," ,0,0905, ","   36.1","0,0811,+","","","-1.1","0,1115","-3.3","0,1130","-6.7","0,1201","-6.7","0,1201","","","0.0","0,0327","-2.2","0,0318","-5.6","0,0220","-6.7","0,0218","-11.1","0,0210","    1366.6","6","    1366.6","0","","","   1429.0"," ,0","        0"," ,0","     17.01","0","     23.21","0","     10.81","0","",""
"USC00315420","1980","34.83333","-77.3","11.9","HOFMANN FOREST, NC US","   1126.2","","    1126.2","0","       110","0","        77","0","        17","0","","","         4","0","         0","0","        64","0","         3","0","       231","0","        68","0","  -11.1","0,0203, ","","","   508"," ,0,0303, ","  92.2"," ,0,1228, ","   36.7","0,0804,+","","","-1.1","0,1112","-3.9","0,1120","-4.4","0,1205","-6.7","0,1221","-8.9","0,1226","0.0","0,0417","-7.8","0,0304","-7.8","0,0304","-7.8","0,0304","-9.4","0,0218","    1530.7","7","    1530.7","0","","","   1339.8"," ,0","      634"," ,0","     16.86","0","     23.20","0","     10.53","0","     11465","0"
