"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HN01","HN01_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","HX01","HX01_ATTRIBUTES","LN01","LN01_ATTRIBUTES","LX01","LX01_ATTRIBUTES","MN01","MN01_ATTRIBUTES","MX01","MX01_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES"
"USC00411880","2014","28.7156","-97.1742","36.0","COLETO CREEK RESERVOIR, TX US","   1589.0","","    1589.0","7","        91","7","        43","7","         7","7","","","","","         0","7","        22","7","         0","7","       283","7","        94","7","         7"," ","","","   -4.4","7,0107, ","","","","","  47.8"," ,7,0514, ","   37.8","7,0826, ","    1248.7","7","0.0","7,1225","","","","","","","0.0","7,0305","-2.8","7,0304","-4.4","7,0107","","","     990.1","1","      29.4","7,5,2","     990.1","7","      30.0","7,5,2","      10.6","7,5,2","      11.1","7,5,2","      20.9","7,5,2","      21.4","7,5,2","    593.8"," ,7","","","     20.24","7","     25.88","7","     14.59","7","",""
"USC00411880","2015","28.7156","-97.1742","36.0","COLETO CREEK RESERVOIR, TX US","   1645.0","","    1645.0","7","        93","7","        58","7","        10","7","","","","","         0","7","        10","7","         0","7","       292","7","        82","7","        11"," ","         1"," ","   -2.2","7,0109, ","","","","","  82.6"," ,7,1025, ","   38.9","7,0812, ","    1079.5","7","","","","","","","","","-0.6","7,0307","-2.2","7,0109","","","","","     844.9","9","      29.4","7,5,2","     844.9","7","      31.1","7,5,2","       8.9","7,5,2","      10.6","7,5,2","      21.6","7,5,2","      22.2","7,5,2","    888.6"," ,7","","","     20.78","7","     25.96","7","     15.59","7","",""
"USC00411880","2016","28.7156","-97.1742","36.0","COLETO CREEK RESERVOIR, TX US","   1791.7","","    1791.7","7","        99","7","        53","7","        10","7","","","","","         0","7","         8","7","         0","7","       310","7","       107","7","        10"," ","         1"," ","   -2.2","7,1220,+","","","",""," 106.2"," ,7,0310, ","   38.9","7,0812, ","     889.2","7","-2.2","7,1219","-2.2","7,1219","","","","","-1.1","7,0208","","","","","","","     578.0","0","","","     578.0","7","      32.8","7,5,2","","","      12.8","7,5,2","","","      23.2","7,5,2","    920.9"," ,7","","","     21.68","7","     27.40","7","     15.96","7","",""
"USC00411880","2017","28.7156","-97.1742","36.0","COLETO CREEK RESERVOIR, TX US","   1771.8","","    1771.8","7","        91","7","        57","7","         9","7","        1","","         1","7","         0","7","         5","7","         0","7","       314","7","        93","7","        11"," ","         1"," ","   -6.7","7,0108, ","    76"," ,7,1208, ","    76"," ,7,1208, "," 232.7"," ,7,0826, ","   38.9","7,0730, ","     757.9","7","-0.6","7,1208","","","","","","","-5.0","7,0109","-5.0","7,0109","-5.0","7,0109","-6.7","7,0108","     378.8","8","      30.0","7,5,2","     378.8","7","      31.1","7,5,2","      12.2","7,5,2","      12.8","7,5,2","      22.4","7,5,2","      23.0","7,5,2","   1071.6"," ,7","       76"," ,7","     21.87","7","     27.71","7","     16.03","7","",""
"USC00411880","2018","28.7156","-97.1742","36.0","COLETO CREEK RESERVOIR, TX US","   1687.5","","    1687.5","7","       106","7","        67","7","        11","7","        0","","         0","7","         0","7","        12","7","         0","7","       288","7","       113","7","        20"," ","","","   -5.6","7,0118, ","     0"," ,7,1231,+","     0"," ,7,1231,+"," 127.0"," ,7,0915, ","   37.8","7,0823, ","    1192.7","7","-1.1","7,1114","","","","","","","0.0","7,0125","-5.6","7,0118","-5.6","7,0118","","","     700.2","2","      29.4","7,5,2","     700.2","7","      30.0","7,5,2","      11.1","7,5,2","      11.1","7,5,2","      21.8","7,5,2","      22.2","7,5,2","   1152.1"," ,7","        0"," ,7","     20.88","7","     26.40","7","     15.35","7","",""
"USC00411880","2019","28.7156","-97.1742","36.0","COLETO CREEK RESERVOIR, TX US","   1775.4","","    1775.4","7","        97","7","        50","7","         5","7","        0","","         0","7","         0","7","        10","7","         0","7","       283","7","       126","7","        24"," ","         1"," ","   -2.8","7,1220,+","     0"," ,7,1231,+","     0"," ,7,1231,+","  47.8"," ,7,0617, ","   37.8","7,0816, ","    1231.6","7","0.0","7,1113","-2.8","7,1219","","","","","0.0","7,0307","","","","","","","     754.7","7","      28.9","7,5,2","     754.7","7","      29.4","7,5,2","      13.9","7,5,2","      13.9","7,5,2","      22.3","7,5,2","      22.6","7,5,2","    667.8"," ,7","        0"," ,7","     21.12","7","     26.77","7","     15.47","7","",""
"USC00411880","2020","28.7156","-97.1742","36.0","COLETO CREEK RESERVOIR, TX US","   1854.5","","    1854.5","7","        91","7","        51","7","         8","7","        0","","         0","7","         0","7","         4","7","         0","7","       315","7","       118","7","        37"," ","         6"," ","   -2.8","7,0228,+","     0"," ,7,1231,+","     0"," ,7,1231,+","  63.8"," ,7,1128, ","   38.9","7,0820, ","    1371.8","7","-1.1","7,1201","","","","","","","-2.8","7,0228","-2.8","7,0228","","","","","     628.3","3","","","     628.3","7","","","","","","","","","","","    685.5"," ,7","        0"," ,7","     21.90","7","     27.94","7","     15.85","7","",""
"USC00411880","2021","28.7156","-97.1742","36.0","COLETO CREEK RESERVOIR, TX US","   1700.1","","    1700.1","7","       105","7","        61","7","        13","7","        0","","         0","7","         0","7","        11","7","         1","7","       310","7","        82","7","        49"," ","        19"," ","   -8.3","7,0216,+","     0"," ,7,1231,+","     0"," ,7,1231,+"," 133.9"," ,7,0709, ","   35.6","7,0906, ","","","","","","","","","","","-0.6","7,0221","-2.2","7,0220","-7.2","7,0217","-7.2","7,0217","     694.9","9","","","     694.9","7","","","","","","","","","","","   1243.2"," ,7","        0"," ,7","     21.32","7","     26.49","7","     16.14","7","",""
"USC00411880","2022","28.7156","-97.1742","36.0","COLETO CREEK RESERVOIR, TX US","   1908.8","","    1908.8","7","        76","7","        44","7","         5","7","        0","","         0","7","         0","7","        22","7","         0","7","       293","7","       126","7","        45"," ","        11"," ","   -8.3","7,1223, ","     0"," ,7,1231,+","     0"," ,7,1231,+","  53.3"," ,7,0905, ","   37.8","7,0711,+","","","-8.3","7,1223","-8.3","7,1223","-8.3","7,1223","-8.3","7,1223","-2.2","7,0314","-2.2","7,0314","-4.4","7,0204","","","     678.4","4","","","     678.4","7","","","","","","","","","","","    637.3"," ,7","        0"," ,7","     21.16","7","     26.99","7","     15.33","7","",""
"USC00411880","2023","28.7156","-97.1742","36.0","COLETO CREEK RESERVOIR, TX US","   2065.1","","    2065.1","7","        76","7","        37","7","         7","7","        0","","         0","7","         0","7","         2","7","         0","7","       303","7","       122","7","        34"," ","        10"," ","   -0.6","7,1212,+","     0"," ,7,1231,+","     0"," ,7,1231,+","  52.6"," ,7,0510, ","   40.6","7,0828,+","","","-0.6","7,1211","","","","","","","","","","","","","","","     618.8","8","","","     618.8","7","","","","","","","","","","","    546.5"," ,7","        0"," ,7","     22.48","7","     27.93","7","     17.03","7","",""
"USC00411880","2024","28.7156","-97.1742","36.0","COLETO CREEK RESERVOIR, TX US","   2041.2","","    2041.2","7","        83","7","        51","7","        13","7","        0","","         0","7","         0","7","         7","7","         1","7","       314","7","       118","7","        34"," ","         9"," ","   -7.8","7,0117, ","     0"," ,7,1231,+","     0"," ,7,1231,+","  80.0"," ,7,0620, ","   37.8","7,0822, ","","","","","","","","","","","-1.1","7,0121","-7.2","7,0118","-7.2","7,0118","-7.2","7,0118","     587.2","2","","","     587.2","7","","","","","","","","","","","   1014.8"," ,7","        0"," ,7","     22.60","7","     27.65","7","     17.55","7","",""
"USC00411880","2025","28.7156","-97.1742","36.0","COLETO CREEK RESERVOIR, TX US","","","","","","","","","","","","","","","","","","","","","","","","","         9"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
