"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES"
"USW00094051","2009","47.325928","-106.948724","801.0","JORDAN AIRPORT, MT US","","","","","","","        94","W","        35","W","         0","W","","","","","","","","","","","","","","","","","  24.1"," ,W,1019, ","","","","","","","","","","","","","","","","","","","","","","","    4701.8","8","    4701.8","W","    304.3"," ,W","","","","","","","","","","","","","",""
"USW00094051","2010","47.325928","-106.948724","801.0","JORDAN AIRPORT, MT US","       3.4","W","    196.4","","     196.4","W","        99","W","        44","W","         4","W","","","        53","W","       188","W","        77","W","       127","W","        26","W","  -37.7","W,0107, ","","","  33.0"," ,W,0830, ","   40.0","W,0821, ","0.0","W,1012","-4.3","W,1016","-6.0","W,1018","-8.8","W,1028","-11.0","W,1111","0.0","W,0523","-4.9","W,0508","-4.9","W,0508","-8.2","W,0405","-12.1","W,0306","","","","","    446.3"," ,W","      5.24","W","     12.78","W","     -2.31","W","       270","W","       270","W","      23.3","W","      30.9","W"
"USW00094051","2011","47.325928","-106.948724","801.0","JORDAN AIRPORT, MT US","","","","","","","        98","W","        39","W","         4","W","","","","","","","","","","","","","","","","","  44.5"," ,W,0714, ","","","","","","","","","","","","","","","","","","","","","","","    5156.0","0","    5156.0","W","    419.6"," ,W","","","","","","","","","","","","","",""
"USW00094051","2012","47.325928","-106.948724","801.0","JORDAN AIRPORT, MT US","       3.7","W","    394.3","","     394.3","W","        75","W","        25","W","         0","W","        0","","        18","W","       183","W","        35","W","       150","W","        51","W","  -27.7","W,1226,+","     0"," ,W,1231,+","  16.5"," ,W,0526, ","   41.1","W,0703, ","-0.5","W,0913","-4.9","W,1005","-4.9","W,1005","-7.1","W,1006","-14.3","W,1110","0.0","W,0529","-3.2","W,0525","-4.9","W,0420","-8.2","W,0410","-9.9","W,0307","","","","","    209.5"," ,W","      8.30","W","     16.54","W","      0.06","W","       310","W","       290","W","      21.9","W","      26.8","W"
"USW00094051","2013","47.325928","-106.948724","801.0","JORDAN AIRPORT, MT US","       3.6","W","    279.2","","     279.2","W","       114","W","        43","W","         3","W","        0","","        33","W","       199","W","        51","W","       130","W","        31","W","  -41.0","W,1207, ","     0"," ,W,1231,+","  52.1"," ,W,0529, ","   37.2","W,0905, ","-0.5","W,0920","-6.0","W,1004","-6.0","W,1004","-8.8","W,1005","-11.6","W,1104","-3.2","W,0511","-3.2","W,0511","-6.6","W,0502","-8.8","W,0501","-12.7","W,0418","    4321.2","2","    4321.2","W","    455.1"," ,W","      6.53","W","     14.11","W","     -1.05","W","       310","W","       330","W","      20.1","W","      25.5","W"
"USW00094051","2014","47.325928","-106.948724","801.0","JORDAN AIRPORT, MT US","       4.0","W","    243.3","","     243.3","W","        88","W","        25","W","         3","W","        0","","        39","W","       191","W","        62","W","       128","W","        25","W","  -34.3","W,0207, ","     0"," ,W,1231,+","  87.4"," ,W,0823, ","   37.8","W,0731, ","-0.5","W,0915","-4.3","W,1002","-5.5","W,1003","-8.2","W,1109","-18.2","W,1110","0.0","W,0607","-3.8","W,0508","-11.0","W,0414","-11.0","W,0414","-11.0","W,0414","    4781.2","2","    4781.2","W","    349.4"," ,W","      6.22","W","     13.75","W","     -1.31","W","       320","W","       270","W","      21.0","W","      25.9","W"
"USW00094051","2015","47.325928","-106.948724","801.0","JORDAN AIRPORT, MT US","       3.7","W","    290.8","","     290.8","W","        87","W","        33","W","         3","W","        0","","        28","W","       180","W","        50","W","       142","W","        38","W","  -31.6","W,0109, ","     0"," ,W,1231,+","  38.1"," ,W,0602, ","   41.1","W,0814, ","-1.0","W,0823","-4.3","W,1016","-6.0","W,1028","-7.1","W,1029","-9.3","W,1119","-1.0","W,0521","-3.8","W,0518","-4.9","W,0511","-7.7","W,0308","-10.5","W,0305","    4181.0","0","    4181.0","W","    367.5"," ,W","      7.91","W","     15.94","W","     -0.12","W","       300","W","       300","W","      19.7","W","      26.4","W"
"USW00094051","2016","47.325928","-106.948724","801.0","JORDAN AIRPORT, MT US","       3.8","W","    254.8","","     254.8","W","        95","W","        34","W","         1","W","        0","","        22","W","       183","W","        39","W","       140","W","        33","W","  -38.8","W,1217, ","     0"," ,W,1231,+","  26.7"," ,W,0510, ","   38.3","W,0719, ","-2.7","W,0913","-2.7","W,0913","-5.5","W,1007","-7.1","W,1117","-9.3","W,1123","-1.0","W,0515","-4.3","W,0514","-8.2","W,0411","-8.2","W,0411","-9.9","W,0326","    3958.8","8","    3958.8","W","    380.0"," ,W","      8.02","W","     15.87","W","      0.17","W","       320","W","       320","W","      28.6","W","      40.7","W"
"USW00094051","2017","47.325928","-106.948724","801.0","JORDAN AIRPORT, MT US","       3.9","W","    345.3","","     345.3","W","        80","W","        23","W","         0","W","        0","","        27","W","       187","W","        58","W","       143","W","        45","W","  -36.0","W,1231,+","     0"," ,W,1231,+","  20.8"," ,W,0915, ","   40.0","W,0708, ","-1.6","W,0925","-4.9","W,1004","-4.9","W,1004","-7.7","W,1026","-17.1","W,1104","0.0","W,0523","-3.8","W,0519","-6.0","W,0417","-8.2","W,0314","-12.1","W,0313","    4238.7","7","    4238.7","W","    183.3"," ,W","      7.40","W","     15.43","W","     -0.64","W","       270","W","       300","W","      21.9","W","      28.6","W"
"USW00094051","2018","47.325928","-106.948724","801.0","JORDAN AIRPORT, MT US","       3.4","W","    244.0","","     244.0","W","       105","W","        41","W","         0","W","        0","","        44","W","       197","W","        69","W","       126","W","        28","W","  -38.2","W,0101, ","     0"," ,W,1231,+","  24.9"," ,W,0806,+","   40.6","W,0811, ","-2.7","W,0928","-2.7","W,0928","-6.0","W,1012","-12.7","W,1106","-12.7","W,1106","-2.1","W,0424","-3.2","W,0415","-6.0","W,0414","-7.1","W,0413","-13.8","W,0406","    4940.5","5","    4940.5","W","    433.2"," ,W","      5.39","W","     12.89","W","     -2.10","W","       310","W","       320","W","      25.9","W","      42.0","W"
"USW00094051","2019","47.325928","-106.948724","801.0","JORDAN AIRPORT, MT US","       3.7","W","    257.7","","     257.7","W","       120","W","        47","W","         2","W","        0","","        41","W","       194","W","        68","W","       116","W","        28","W","  -36.0","W,0207, ","     0"," ,W,1231,+","  61.5"," ,W,0911, ","   38.9","W,0724, ","-1.0","W,0930","-3.8","W,1009","-7.1","W,1010","-7.1","W,1010","-9.3","W,1027","0.0","W,0520","-4.9","W,0509","-4.9","W,0509","-8.8","W,0413","-9.9","W,0318","    4911.7","7","    4911.7","W","    489.0"," ,W","      5.35","W","     12.56","W","     -1.87","W","       310","W","        90","W","      22.8","W","      42.0","W"
"USW00094051","2020","47.325928","-106.948724","801.0","JORDAN AIRPORT, MT US","       3.9","W","    339.4","","     339.4","W","        87","W","        31","W","         0","W","","","        14","W","       191","W","        38","W","       152","W","        49","W","  -29.3","W,0114, ","","","  22.9"," ,W,0907, ","   39.4","W,0817,+","-1.0","W,0908","-4.3","W,1001","-9.9","W,1017","-9.9","W,1017","-9.9","W,1017","-5.5","W,0511","-5.5","W,0511","-5.5","W,0511","-9.9","W,0414","-9.9","W,0414","    4216.0","0","    4216.0","W","    252.8"," ,W","      8.27","W","     16.34","W","      0.20","W","       310","W","","","      23.7","W","",""
"USW00094051","2021","47.325928","-106.948724","801.0","JORDAN AIRPORT, MT US","       3.9","W","    490.8","","     490.8","W","       106","W","        26","W","         0","W","","","        28","W","       188","W","        36","W","       153","W","        65","W","  -38.2","W,0214, ","","","  22.6"," ,W,0709, ","   43.3","W,0615, ","-0.5","W,0930","-4.9","W,1019","-4.9","W,1019","-8.2","W,1020","-9.9","W,1031","-2.1","W,0511","-2.7","W,0510","-7.7","W,0421","-7.7","W,0421","-11.6","W,0331","    4076.3","3","    4076.3","W","    227.6"," ,W","      8.40","W","     17.12","W","     -0.32","W","       290","W","       290","W","      24.1","W","      34.0","W"
"USW00094051","2022","47.325928","-106.948724","801.0","JORDAN AIRPORT, MT US","       4.3","W","    476.8","","     476.8","W","        97","W","        35","W","         1","W","","","        34","W","       177","W","        61","W","       142","W","        52","W","  -36.6","W,1223,+","","","  32.3"," ,W,0706, ","   41.1","W,0907, ","-0.5","W,1016","-3.2","W,1026","-5.5","W,1103","-9.9","W,1106","-9.9","W,1106","-2.7","W,0522","-2.7","W,0522","-6.0","W,0421","-13.8","W,0416","-13.8","W,0416","    3989.6","6","    3989.6","W","    318.1"," ,W","      7.69","W","     15.30","W","      0.07","W","       300","W","","","      24.1","W","",""
"USW00094051","2023","47.325928","-106.948724","801.0","JORDAN AIRPORT, MT US","       3.5","W","    352.4","","     352.4","W","       101","W","        33","W","         2","W","","","        12","W","       178","W","        45","W","       151","W","        32","W","  -32.7","W,0224, ","","","  28.4"," ,W,0922,+","   40.6","W,0724, ","-4.9","W,1006","-4.9","W,1006","-4.9","W,1006","-10.5","W,1025","-10.5","W,1025","-0.5","W,0519","-6.6","W,0423","-6.6","W,0423","-8.2","W,0405","-12.1","W,0328","    4454.1","1","    4454.1","W","    339.5"," ,W","      8.34","W","     15.51","W","      1.16","W","       250","W","","","      21.5","W","",""
"USW00094051","2024","47.325928","-106.948724","801.0","JORDAN AIRPORT, MT US","","","    370.9","","     370.9","W","        99","W","        35","W","         3","W","","","        15","W","       181","W","        49","W","       153","W","        41","W","  -41.6","W,0114, ","","","  48.8"," ,W,0816, ","   42.8","W,0724, ","0.0","W,1001","-3.2","W,1013","-4.9","W,1023","-9.3","W,1030","-9.3","W,1030","0.0","W,0531","-4.9","W,0504","-4.9","W,0504","-9.3","W,0420","-9.3","W,0420","    3945.8","8","    3945.8","W","    372.5"," ,W","      8.51","W","     16.25","W","      0.77","W","","","","","","","",""
