"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USW00094015","1991","38.67833","-104.75667","1779.4","FORT CARSON BUTTS ARMY AIR FIELD, CO US","","","","","","","","","","","","","","","        29"," ","        55"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USW00094015","1992","38.67833","-104.75667","1779.4","FORT CARSON BUTTS ARMY AIR FIELD, CO US","","","","","","","","","","","","","","","        22"," ","        54"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USW00094015","1993","38.67833","-104.75667","1779.4","FORT CARSON BUTTS ARMY AIR FIELD, CO US","","","","","","","","","","","","","","","        33"," ","        30"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USW00094015","1994","38.67833","-104.75667","1779.4","FORT CARSON BUTTS ARMY AIR FIELD, CO US","","","","","","","       20","","","","","","","","        12"," ","        31"," ","","","   102"," ,0,0127,+","","","","","","","","","","","","","","","","","","","","","","","","","    457.4"," ,0","      587"," ,0","",""
"USW00094015","1995","38.67833","-104.75667","1779.4","FORT CARSON BUTTS ARMY AIR FIELD, CO US","","","","","","","","","","","","","","","        25"," ","         7"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    484.2"," ,0","","","",""
"USW00094015","1996","38.67833","-104.75667","1779.4","FORT CARSON BUTTS ARMY AIR FIELD, CO US","","","","","","","","","","","","","","","        32"," ","        54"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USW00094015","1997","38.67833","-104.75667","1779.4","FORT CARSON BUTTS ARMY AIR FIELD, CO US","","","","","","","","","","","","","","","        42"," ","        48"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","      925"," ,0","",""
"USW00094015","1998","38.67833","-104.75667","1779.4","FORT CARSON BUTTS ARMY AIR FIELD, CO US","","","","","","","","","","","","","","","        36"," ","        41"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    449.7"," ,0","      863"," ,0","",""
"USW00094015","1999","38.67833","-104.75667","1779.4","FORT CARSON BUTTS ARMY AIR FIELD, CO US","","","","","","","","","         3","0","","","","","        13"," ","        33"," ","","","","","    51"," ,0,0423,+","","","","","","","","","","","","","","","","","","","","","","","    400.6"," ,0","      295"," ,0","",""
"USW00094015","2000","38.67833","-104.75667","1779.4","FORT CARSON BUTTS ARMY AIR FIELD, CO US","","","","","","","","","","","","","","","        11"," ","        32"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USW00094015","2001","38.67833","-104.75667","1779.4","FORT CARSON BUTTS ARMY AIR FIELD, CO US","","","","","","","","","","","","","","","        25"," ","        34"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USW00094015","2002","38.67833","-104.75667","1779.4","FORT CARSON BUTTS ARMY AIR FIELD, CO US","","","","","","","        6","","         5","0","","","","","         5"," ","        15"," ","","","    51"," ,0,0131,+","    69"," ,0,0102, ","","","","","","","","","","","","","","","","","","","","","","","","","      280"," ,0","",""
"USW00094015","2003","38.67833","-104.75667","1779.4","FORT CARSON BUTTS ARMY AIR FIELD, CO US","","","","","","","","","         3","0","","","","","        12"," ","        31"," ","","","","","   216"," ,0,0206, ","","","","","","","","","","","","","","","","","","","","","","","","","      277"," ,0","",""
