"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00048163","1986","40.03306","-124.07278","75.0","SHELTER COVE AVIATION, CA US","     39.7","","      39.7","0","       103","0","        87","0","        18","0","        0","","         0","0","         0","0","         0","0","         0","0","        63","0","         2","0","       177"," ","         2"," ","    5.0","0,1209,+","     0"," ,0,1231,+","     0"," ,0,1231,+","  81.3"," ,0,0307, ","   34.4","0,0609, ","","","","","","","   1704.0"," ,0","        0"," ,0","     13.29","0","     16.99","0","      9.60","0"
"USC00048163","1987","40.03306","-124.07278","75.0","SHELTER COVE AVIATION, CA US","","","","","","","","","","","","","","","","","","","","","","","","","       140"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USC00048163","1988","40.03306","-124.07278","75.0","SHELTER COVE AVIATION, CA US","     88.3","","      88.3","0","        97","0","        67","0","        20","0","","","         0","0","         0","0","         0","0","         0","0","        81","0","         3","0","       148"," ","","","    1.7","0,1226,+","","","     0"," ,0,1231,+","  76.2"," ,0,1122, ","   37.2","0,0717, ","","","    1865.2","2","    1865.2","0","   1330.5"," ,0","        0"," ,0","     13.26","0","     17.69","0","      8.82","0"
"USC00048163","1989","40.03306","-124.07278","75.0","SHELTER COVE AVIATION, CA US","     74.0","","      74.0","0","        88","0","        66","0","        13","0","        0","","         1","0","         0","0","         4","0","         0","0","        84","0","         3","0","       160"," ","","","   -1.1","0,0204, ","     0"," ,0,1231,+","    33"," ,0,0204, ","  58.4"," ,0,0309, ","   35.0","0,0622, ","-0.6","0,0206","    2022.6","6","    2022.6","0","   1205.0"," ,0","       43"," ,0","     12.98","0","     17.28","0","      8.66","0"
"USC00048163","1990","40.03306","-124.07278","75.0","SHELTER COVE AVIATION, CA US","","","","","","","","","","","","","","","","","","","","","","","","","        91"," ","","","","","","","","","","","","","","","    1979.8","8","    1979.8"," ","","","","","","","","","",""
"USC00048163","1991","40.03306","-124.07278","75.0","SHELTER COVE AVIATION, CA US","","","","","","","","","","","","","","","","","","","","","","","","","        53"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USC00048163","1992","40.03306","-124.07278","75.0","SHELTER COVE AVIATION, CA US","","","","","","","","","","","","","","","","","","","","","","","","","        60"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USC00048163","1993","40.03306","-124.07278","75.0","SHELTER COVE AVIATION, CA US","","","","","","","","","","","","","","","","","","","","","","","","","        39"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USC00048163","1994","40.03306","-124.07278","75.0","SHELTER COVE AVIATION, CA US","","","","","","","","","","","","","","","","","","","","","","","","","         8"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USC00048163","1995","40.03306","-124.07278","75.0","SHELTER COVE AVIATION, CA US","","","","","","","","","","","","","","","","","","","","","","","","","         1"," ","         5"," ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USC00048163","1996","40.03306","-124.07278","75.0","SHELTER COVE AVIATION, CA US","","","","","       103","0","        88","0","        32","0","        0","","         0","0","","","","","","","","","","","         2"," ","         3"," ","","","     0"," ,0,1231,+","     0"," ,0,1231,+","  73.7"," ,0,1204, ","","","","","","","","","   1957.5"," ,0","        0"," ,0","","","","","",""
"USC00048163","1997","40.03306","-124.07278","75.0","SHELTER COVE AVIATION, CA US","","","","","","","","","","","        0","","         0","0","","","","","","","","","","","","","         3"," ","","","     0"," ,0,1231,+","     0"," ,0,1231,+","","","","","","","","","","","","","        0"," ,0","","","","","",""
"USC00048163","1998","40.03306","-124.07278","75.0","SHELTER COVE AVIATION, CA US","","","","","       120","0","       104","0","        29","0","","","         0","0","","","","","","","","","","","","","","","","","","","     0"," ,0,1231,+"," 114.0"," ,0,0322, ","","","","","","","","","   2364.6"," ,0","        0"," ,0","","","","","",""
"USC00048163","1999","40.03306","-124.07278","75.0","SHELTER COVE AVIATION, CA US","","","","","        86","0","        66","0","        19","0","","","","","         0","0","         0","0","","","","","","","","","         4"," ","    0.6","0,0408,+","","","","","  73.4"," ,0,0324,+","","","","","","","","","   1415.0"," ,0","","","","","","","      9.25","0"
"USC00048163","2000","40.03306","-124.07278","75.0","SHELTER COVE AVIATION, CA US","","","","","       100","0","        79","0","        16","0","        0","","         0","0","         0","0","         0","0","","","","","","","","","","","    3.3","0,0103, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  48.3"," ,0,0226, ","","","","","","","","","   1195.6"," ,0","        0"," ,0","","","","","      9.97","0"
"USC00048163","2001","40.03306","-124.07278","75.0","SHELTER COVE AVIATION, CA US","","","","","        88","0","        73","0","        23","0","        0","","         0","0","         0","0","         0","0","","","","","","","","","         2"," ","    3.3","0,0408,+","     0"," ,0,1231,+","     0"," ,0,1231,+","  72.1"," ,0,1214, ","","","","","","","","","   1559.0"," ,0","        0"," ,0","","","","","      9.60","0"
"USC00048163","2002","40.03306","-124.07278","75.0","SHELTER COVE AVIATION, CA US","","","","","        74","0","        64","0","        21","0","        0","","         0","0","         0","0","         1","0","","","","","","","","","         3"," ","   -1.1","0,0125, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  98.0"," ,0,1228, ","","","-1.1","0,0125","","","","","   1618.1"," ,0","        0"," ,0","","","","","      9.67","0"
"USC00048163","2003","40.03306","-124.07278","75.0","SHELTER COVE AVIATION, CA US","","","","","       102","0","        88","0","        22","0","        0","","         0","0","","","","","","","","","","","","","         3"," ","","","     0"," ,0,1231,+","     0"," ,0,1231,+","  75.9"," ,0,1229, ","","","","","","","","","   1675.1"," ,0","        0"," ,0","","","","","",""
"USC00048163","2004","40.03306","-124.07278","75.0","SHELTER COVE AVIATION, CA US","","","","","","","","","","","","","         0","0","","","","","","","","","","","","","         1"," ","","","","","     0"," ,0,1231,+","","","","","","","","","","","","","        0"," ,0","","","","","",""
"USC00048163","2005","40.03306","-124.07278","75.0","SHELTER COVE AVIATION, CA US","","","","","        93","0","        78","0","        31","0","        0","","         0","0","         0","0","         0","0","","","","","","","","","         1"," ","    2.8","0,0108, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  76.7"," ,0,0618, ","","","","","","","","","   1827.0"," ,0","        0"," ,0","","","","","      9.56","0"
"USC00048163","2006","40.03306","-124.07278","75.0","SHELTER COVE AVIATION, CA US","","","","","        99","0","        92","0","        28","0","        0","","         0","0","         0","0","         0","0","","","","","","","","","         6"," ","    1.7","0,0312,+","     0"," ,0,1231,+","     0"," ,0,1231,+"," 129.5"," ,0,1226, ","","","","","","","","","   1998.0"," ,0","        0"," ,0","","","","","      9.27","0"
