"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"SP000006155","1976","36.6667","-4.4881","7.0","MALAGA AEROPUERTO, SP","    712.2","","     712.2","E","        70","E","        46","E","         7","E","         0","E","         0","E","         0","E","       183","E","        19","E","    1.6","E,0129, ","  76.6"," ,E,1229, ","   42.6","E,0809, ","","","","","","","    1075.2","2","    1075.2","E","    689.0"," ,E","     17.27","E","     22.03","E","     12.52","E"
"SP000006155","1977","36.6667","-4.4881","7.0","MALAGA AEROPUERTO, SP","    571.7","","     571.7","E","        54","E","        34","E","         5","E","         0","E","         0","E","         0","E","       223","E","        13","E","    3.0","E,0107, ","  48.4"," ,E,1129, ","   37.0","E,0725, ","","","","","","","     900.5","5","     900.5","E","    434.4"," ,E","     17.74","E","     22.67","E","     12.82","E"
"SP000006155","1978","36.6667","-4.4881","7.0","MALAGA AEROPUERTO, SP","    639.3","","     639.3","E","        51","E","        33","E","         5","E","         0","E","         0","E","         0","E","       218","E","        13","E","    0.6","E,0114, ","  93.8"," ,E,1110, ","   44.2","E,0718, ","","","","","","","     822.3","3","     822.3","E","    490.1"," ,E","     17.73","E","     22.84","E","     12.63","E"
"SP000006155","1979","36.6667","-4.4881","7.0","MALAGA AEROPUERTO, SP","    726.6","","     726.6","E","        57","E","        39","E","         4","E","         0","E","         1","E","         0","E","       202","E","        13","E","   -0.8","E,1222, "," 121.5"," ,E,0118, ","   38.6","E,0807, ","-0.8","E,1222","","","","","     855.5","5","     855.5","E","    611.6"," ,E","     17.82","E","     22.68","E","     12.95","E"
"SP000006155","1980","36.6667","-4.4881","7.0","MALAGA AEROPUERTO, SP","    761.5","","     761.5","E","        49","E","        30","E","         6","E","         0","E","         1","E","         0","E","       195","E","        19","E","    0.0","E,1202, ","  59.2"," ,E,0318, ","   41.6","E,0823, ","0.0","E,1202","","","","","     918.8","8","     918.8","E","    515.0"," ,E","     17.81","E","     22.87","E","     12.76","E"
"SP000006155","1981","36.6667","-4.4881","7.0","MALAGA AEROPUERTO, SP","    692.3","","     692.3","E","        46","E","        29","E","         2","E","         0","E","         1","E","         0","E","       230","E","        12","E","   -1.8","E,0112, ","  34.2"," ,E,0415, ","   39.6","E,0718, ","","","-1.8","E,0112","","","     952.5","5","     952.5","E","    314.1"," ,E","     17.96","E","     23.18","E","     12.75","E"
"SP000006155","1982","36.6667","-4.4881","7.0","MALAGA AEROPUERTO, SP","    736.4","","     736.4","E","        47","E","        25","E","         7","E","         0","E","         0","E","         0","E","       192","E","        23","E","    2.4","E,1223,+"," 147.1"," ,E,1106, ","   41.6","E,0727, ","","","","","","","     783.4","4","     783.4","E","    557.9"," ,E","     17.80","E","     22.64","E","     12.97","E"
"SP000006155","1983","36.6667","-4.4881","7.0","MALAGA AEROPUERTO, SP","    843.6","","     843.6","E","        36","E","        19","E","         6","E","         0","E","         2","E","         0","E","       226","E","        28","E","   -1.6","E,0211, ","  82.9"," ,E,1103, ","   41.0","E,0612, ","","","-1.0","E,0213","","","     963.7","7","     963.7","E","    410.8"," ,E","     18.31","E","     23.42","E","     13.19","E"
"SP000006155","1984","36.6667","-4.4881","7.0","MALAGA AEROPUERTO, SP","    642.7","","     642.7","E","        52","E","        24","E","         6","E","         0","E","         0","E","         0","E","       203","E","        16","E","    0.4","E,1231, "," 126.6"," ,E,0227, ","   36.2","E,0910, ","","","","","","","     863.2","2","     863.2","E","    508.3"," ,E","     17.59","E","     22.61","E","     12.56","E"
"SP000006155","1985","36.6667","-4.4881","7.0","MALAGA AEROPUERTO, SP","    795.2","","     795.2","E","        51","E","        29","E","         2","E","         0","E","         1","E","         0","E","       225","E","        16","E","   -2.6","E,0116, ","  28.7"," ,E,0220, ","   40.8","E,0709, ","","","-2.6","E,0116","-2.6","E,0116","     876.2","2","     876.2","E","    266.4"," ,E","     18.06","E","     23.22","E","     12.90","E"
"SP000006155","1986","36.6667","-4.4881","7.0","MALAGA AEROPUERTO, SP","    792.7","","     792.7","E","        47","E","        31","E","         4","E","         0","E","         0","E","         0","E","       205","E","        21","E","    1.8","E,0203, ","  62.8"," ,E,1014, ","   39.2","E,0823, ","","","","","","","     896.8","8","     896.8","E","    460.1"," ,E","     18.02","E","     22.98","E","     13.07","E"
"SP000006155","1987","36.6667","-4.4881","7.0","MALAGA AEROPUERTO, SP","    881.9","","     881.9","E","        58","E","        39","E","         7","E","         0","E","         0","E","         0","E","       214","E","        25","E","    0.6","E,0220, ","  73.4"," ,E,1107, ","   39.0","E,0817, ","","","","","","","     811.6","6","     811.6","E","    618.5"," ,E","     18.48","E","     23.26","E","     13.70","E"
"SP000006155","1988","36.6667","-4.4881","7.0","MALAGA AEROPUERTO, SP","    804.5","","     804.5","E","        58","E","        32","E","         4","E","         0","E","         0","E","         0","E","       221","E","        15","E","    1.8","E,1210, ","  38.6"," ,E,0216, ","   42.0","E,0803, ","","","","","","","     802.8","8","     802.8","E","    441.7"," ,E","     18.31","E","     23.10","E","     13.52","E"
"SP000006155","1989","36.6667","-4.4881","7.0","MALAGA AEROPUERTO, SP","    881.6","","     881.6","E","        69","E","        45","E","        13","E","         0","E","         0","E","         0","E","       216","E","        30","E","    2.4","E,0217, "," 140.2"," ,E,1114, ","   41.8","E,0702, ","","","","","","","     875.7","7","     875.7","E","   1092.9"," ,E","     18.59","E","     23.34","E","     13.83","E"
"SP000006155","1990","36.6667","-4.4881","7.0","MALAGA AEROPUERTO, SP","    920.9","","     920.9","E","        53","E","        30","E","         1","E","         0","E","         0","E","         0","E","       204","E","        21","E","    1.6","E,1130, ","  36.6"," ,E,0102, ","   38.4","E,0815,+","","","","","","","     664.3","3","     664.3","E","    334.4"," ,E","     18.64","E","     23.28","E","     13.99","E"
"SP000006155","1991","36.6667","-4.4881","7.0","MALAGA AEROPUERTO, SP","    784.2","","     784.2","E","        58","E","        29","E","         6","E","         0","E","         0","E","         0","E","       188","E","        22","E","    1.0","E,0114, ","  57.2"," ,E,0306, ","   40.6","E,0714, ","","","","","","","     987.5","5","     987.5","E","    470.2"," ,E","     17.72","E","     22.60","E","     12.84","E"
"SP000006155","1992","36.6667","-4.4881","7.0","MALAGA AEROPUERTO, SP","    756.7","","     756.7","E","        39","E","        25","E","         2","E","         0","E","         1","E","         0","E","       208","E","        20","E","   -0.2","E,0125, ","  37.2"," ,E,1016, ","   38.2","E,0827, ","","","-0.2","E,0125","","","     955.5","5","     955.5","E","    328.9"," ,E","     17.88","E","     22.78","E","     12.99","E"
"SP000006155","1993","36.6667","-4.4881","7.0","MALAGA AEROPUERTO, SP","    748.4","","     748.4","E","        54","E","        31","E","         4","E","         0","E","         1","E","         0","E","       186","E","        21","E","   -1.2","E,0302, ","  32.6"," ,E,0313, ","   39.2","E,0808, ","","","-1.2","E,0302","","","     972.6","6","     972.6","E","    431.5"," ,E","     17.54","E","     22.37","E","     12.71","E"
"SP000006155","1994","36.6667","-4.4881","7.0","MALAGA AEROPUERTO, SP","    875.0","","     875.0","E","        35","E","        22","E","         2","E","         0","E","         0","E","         0","E","       224","E","        28","E","    1.4","E,1226, ","  97.3"," ,E,0215, ","   44.0","E,0705, ","","","","","","","     925.0","0","     925.0","E","    298.9"," ,E","     18.55","E","     23.41","E","     13.70","E"
"SP000006155","1995","36.6667","-4.4881","7.0","MALAGA AEROPUERTO, SP","    923.8","","     923.8","E","        40","E","        25","E","         4","E","         0","E","         0","E","         0","E","       248","E","        27","E","    1.2","E,0114,+","  63.6"," ,E,1214, ","   39.8","E,0817, ","","","","","","","     624.1","1","     624.1","E","    372.8"," ,E","     19.17","E","     24.01","E","     14.33","E"
"SP000006155","1996","36.6667","-4.4881","7.0","MALAGA AEROPUERTO, SP","    697.4","","     697.4","E","        75","E","        55","E","        19","E","         0","E","         0","E","         0","E","       200","E","        19","E","    0.6","E,0223, ","  66.3"," ,E,0121, ","   39.4","E,0811, ","","","","","","","     744.9","9","     744.9","E","   1155.0"," ,E","     17.92","E","     22.41","E","     13.44","E"
"SP000006155","1997","36.6667","-4.4881","7.0","MALAGA AEROPUERTO, SP","    875.2","","     875.2","E","        78","E","        52","E","        10","E","         0","E","         0","E","         0","E","       225","E","        20","E","    4.2","E,1206, ","  83.0"," ,E,0927, ","   36.4","E,0614, ","","","","","","","     731.1","1","     731.1","E","    894.2"," ,E","     18.87","E","     23.52","E","     14.23","E"
"SP000006155","1998","36.6667","-4.4881","7.0","MALAGA AEROPUERTO, SP","    840.3","","     840.3","E","        45","E","        30","E","         3","E","         0","E","         0","E","         0","E","       232","E","        26","E","    1.4","E,1201, ","  92.2"," ,E,0203, ","   38.4","E,0827,+","","","","","","","     694.5","5","     694.5","E","    440.5"," ,E","     18.48","E","     23.55","E","     13.41","E"
"SP000006155","1999","36.6667","-4.4881","7.0","MALAGA AEROPUERTO, SP","    924.6","","     924.6","E","        44","E","        25","E","         2","E","         0","E","         0","E","         0","E","       225","E","        29","E","    1.0","E,0120, ","  41.4"," ,E,0324, ","   39.8","E,0703, ","","","","","","","     851.7","7","     851.7","E","    287.2"," ,E","     18.56","E","     23.47","E","     13.64","E"
"SP000006155","2000","36.6667","-4.4881","7.0","MALAGA AEROPUERTO, SP","    832.7","","     832.7","E","        62","E","        41","E","         2","E","         0","E","         0","E","         0","E","       207","E","        25","E","    2.4","E,0125, ","  77.9"," ,E,1223, ","   41.0","E,0803, ","","","","","","","     834.8","8","     834.8","E","    455.4"," ,E","     18.28","E","     23.22","E","     13.34","E"
"SP000006155","2001","36.6667","-4.4881","7.0","MALAGA AEROPUERTO, SP","   1045.5","","    1045.5","E","        59","E","        38","E","         3","E","         0","E","         0","E","         0","E","       225","E","        33","E","    3.2","E,1229,+","  53.5"," ,E,1104, ","   40.0","E,0626, ","","","","","","","     702.4","4","     702.4","E","    422.6"," ,E","     19.25","E","     23.86","E","     14.65","E"
"SP000006155","2002","36.6667","-4.4881","7.0","MALAGA AEROPUERTO, SP","    953.4","","     953.4","E","        55","E","        34","E","         4","E","         0","E","         0","E","         0","E","       226","E","        18","E","    4.0","E,0202, ","  69.4"," ,E,1114, ","   38.8","E,0628, ","","","","","","","     757.0","0","     757.0","E","    500.6"," ,E","     19.12","E","     23.72","E","     14.51","E"
"SP000006155","2003","36.6667","-4.4881","7.0","MALAGA AEROPUERTO, SP","   1025.3","","    1025.3","E","        68","E","        38","E","        10","E","         0","E","         0","E","         0","E","       203","E","        43","E","    1.6","E,0202, ","  84.9"," ,E,1204, ","   40.5","E,0727, ","","","","","","","     702.5","5","     702.5","E","    776.2"," ,E","     18.98","E","     23.50","E","     14.45","E"
"SP000006155","2004","36.6667","-4.4881","7.0","MALAGA AEROPUERTO, SP","    902.3","","     902.3","E","        46","E","        27","E","         8","E","         0","E","         0","E","         0","E","       206","E","        24","E","    2.0","E,0120, "," 102.1"," ,E,0327, ","   38.2","E,0816, ","","","","","","","     754.1","1","     754.1","E","    683.9"," ,E","     18.69","E","     23.24","E","     14.13","E"
"SP000006155","2005","36.6667","-4.4881","7.0","MALAGA AEROPUERTO, SP","    989.7","","     989.7","E","        41","E","        18","E","         2","E","         0","E","         1","E","         0","E","       224","E","        29","E","   -0.2","E,0127, ","  37.0"," ,E,0228, ","   40.4","E,0717, ","","","-0.2","E,0127","","","     886.8","8","     886.8","E","    296.2"," ,E","     18.56","E","     23.38","E","     13.75","E"
"SP000006155","2006","36.6667","-4.4881","7.0","MALAGA AEROPUERTO, SP","    982.0","","     982.0","E","        52","E","        32","E","         5","E","         0","E","         0","E","         0","E","       234","E","        21","E","    2.2","E,0129, ","  91.8"," ,E,1107, ","   42.0","E,0801, ","","","","","","","     775.7","7","     775.7","E","    556.8"," ,E","     18.97","E","     23.57","E","     14.38","E"
"SP000006155","2007","36.6667","-4.4881","7.0","MALAGA AEROPUERTO, SP","    972.1","","     972.1","E","        56","E","        32","E","         3","E","         0","E","         0","E","         0","E","       231","E","        30","E","    1.0","E,0127, ","  46.1"," ,E,1222, ","   38.2","E,0704, ","","","","","","","     726.0","0","     726.0","E","    392.7"," ,E","     18.96","E","     23.88","E","     14.04","E"
"SP000006155","2008","36.6667","-4.4881","7.0","MALAGA AEROPUERTO, SP","    995.1","","     995.1","E","        58","E","        33","E","         2","E","         0","E","         0","E","         0","E","       224","E","        25","E","    3.4","E,1211, "," 109.4"," ,E,1031, ","   40.0","E,0812,+","","","","","","","     634.9","9","     634.9","E","    437.9"," ,E","     18.99","E","     23.54","E","     14.45","E"
"SP000006155","2009","36.6667","-4.4881","7.0","MALAGA AEROPUERTO, SP","   1061.3","","    1061.3","E","        50","E","        29","E","         6","E","         0","E","         0","E","         0","E","       234","E","        28","E","    0.8","E,0110, ","  79.3"," ,E,1221, ","   41.8","E,0724, ","","","","","","","     917.5","5","     917.5","E","    597.8"," ,E","     19.19","E","     23.87","E","     14.50","E"
"SP000006155","2010","36.6667","-4.4881","7.0","MALAGA AEROPUERTO, SP","    976.5","","     976.5","E","        78","E","        54","E","        17","E","         0","E","         0","E","         0","E","       216","E","        19","E","    2.0","E,0109, "," 132.7"," ,E,1218, ","   39.8","E,0824, ","","","","","","","     663.3","3","     663.3","E","   1207.0"," ,E","     18.91","E","     23.19","E","     14.63","E"
