"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"USC00512960","1996","21.3753","-157.8222","277.4","KALIHI RES SITE 777, HI US","       255","0","       166","0","        31","0","        0","","         0","0","     0"," ,0,1231,+","     0"," ,0,1231,+"," 204.7"," ,0,1112, ","","","","","   3226.4"," ,0","        0"," ,0"
"USC00512960","1997","21.3753","-157.8222","277.4","KALIHI RES SITE 777, HI US","       292","0","       198","0","        51","0","        0","","         0","0","     0"," ,0,1231,+","     0"," ,0,1231,+"," 126.0"," ,0,0103, ","","","","","   4019.0"," ,0","        0"," ,0"
"USC00512960","1998","21.3753","-157.8222","277.4","KALIHI RES SITE 777, HI US","       267","0","       183","0","        23","0","","","         0","0","","","     0"," ,0,1231,+","  64.0"," ,0,0117, ","","","","","   2369.6"," ,0","        0"," ,0"
"USC00512960","1999","21.3753","-157.8222","277.4","KALIHI RES SITE 777, HI US","       286","0","       189","0","        23","0","        0","","         0","0","     0"," ,0,1231,+","     0"," ,0,1231,+"," 129.0"," ,0,0107, ","","","","","   2832.6"," ,0","        0"," ,0"
"USC00512960","2000","21.3753","-157.8222","277.4","KALIHI RES SITE 777, HI US","       261","0","       162","0","        24","0","        0","","         0","0","     0"," ,0,1231,+","     0"," ,0,1231,+"," 229.1"," ,0,0820, ","","","","","   2817.8"," ,0","        0"," ,0"
"USC00512960","2001","21.3753","-157.8222","277.4","KALIHI RES SITE 777, HI US","       270","0","       169","0","        18","0","        0","","         0","0","     0"," ,0,1231,+","     0"," ,0,1231,+"," 146.8"," ,0,0916, ","","","","","   2340.7"," ,0","        0"," ,0"
"USC00512960","2002","21.3753","-157.8222","277.4","KALIHI RES SITE 777, HI US","       242","0","       139","0","        24","0","        0","","         0","0","     0"," ,0,1231,+","     0"," ,0,1231,+"," 276.6"," ,0,0506, ","","","","","   2643.4"," ,0","        0"," ,0"
"USC00512960","2003","21.3753","-157.8222","277.4","KALIHI RES SITE 777, HI US","       264","0","       165","0","        27","0","        0","","         0","0","     0"," ,0,1231,+","     0"," ,0,1231,+"," 293.4"," ,0,1129, ","","","","","   3133.7"," ,0","        0"," ,0"
"USC00512960","2004","21.3753","-157.8222","277.4","KALIHI RES SITE 777, HI US","       298","0","       216","0","        39","0","        0","","         0","0","     0"," ,0,1231,+","     0"," ,0,1231,+"," 188.5"," ,0,0207, ","","","","","   4072.8"," ,0","        0"," ,0"
"USC00512960","2005","21.3753","-157.8222","277.4","KALIHI RES SITE 777, HI US","       273","0","       175","0","        34","0","        0","","         0","0","     0"," ,0,1231,+","     0"," ,0,1231,+"," 128.3"," ,0,1001, ","","","","","   3092.4"," ,0","        0"," ,0"
