"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00142972","1916","37.966667","-100.866667","864.4","GARDEN CITY, KS US","    739.9","","     739.9","6","        56","6","        40","6","         3","6","       23","","        12","6","        15","6","       153","6","        25","6","       205","6","        80","6","","","  -26.1","6,0113, ","    76"," ,6,0131,+","    76"," ,6,0406, ","  43.2"," ,6,0815, ","   40.0","6,0803, ","-7.8","6,1019","-7.8","6,1019","-7.8","6,1019","-7.8","6,1019","-10.6","6,1020","0.0","6,0503","-2.2","6,0427","-5.6","6,0409","-6.7","6,0408","-16.7","6,0303","    2752.5","5","    2752.5","6","    385.9"," ,6","      632"," ,6","     12.12","6","     20.85","6","      3.39","6"
"USC00142972","1917","37.966667","-100.866667","864.4","GARDEN CITY, KS US","","","","","        56","6","        38","6","         3","6","","","","","        10","6","       155","6","","","","","","","","","  -22.8","6,0201, ","","","","","  39.4"," ,6,0418, ","","","-2.2","6,1008","-2.2","6,1008","-4.4","6,1012","-6.7","6,1019","-12.2","6,1023","-1.7","6,0507","-4.4","6,0408","-4.4","6,0408","-12.2","6,0327","-12.2","6,0327","","","","","    462.7"," ,6","","","","","","","      2.88","6"
"USC00142972","1918","37.966667","-100.866667","864.4","GARDEN CITY, KS US","    791.2","","     791.2","6","        62","6","        47","6","         7","6","","","         9","6","        11","6","       131","6","        23","6","       202","6","        84","6","","","  -30.0","6,0111, ","","","   254"," ,6,1223, ","  50.8"," ,6,1018, ","   41.7","6,0803, ","0.0","6,1026","-2.8","6,1031","-6.7","6,1119","-6.7","6,1119","-10.0","6,1123","-2.2","6,0430","-2.2","6,0430","-7.8","6,0316","-7.8","6,0316","-8.9","6,0301","    2842.2","2","    2842.2","6","    644.2"," ,6","      914"," ,6","     12.68","6","     20.92","6","      4.44","6"
"USC00142972","1919","37.966667","-100.866667","864.4","GARDEN CITY, KS US","    752.9","","     752.9","6","        58","6","        48","6","         3","6","","","        13","6","        12","6","       149","6","        23","6","       173","6","        70","6","","","  -24.4","6,1209, ","","","   203"," ,6,0409, ","  88.4"," ,6,0918, ","   40.0","6,0812, ","-1.1","6,1010","-2.8","6,1026","-6.7","6,1028","-6.7","6,1028","-12.8","6,1112","-1.7","6,0417","-2.2","6,0411","-5.6","6,0410","-6.7","6,0305","-9.4","6,0304","    3065.8","8","    3065.8","6","    533.5"," ,6","      864"," ,6","     11.43","6","     18.80","6","      4.06","6"
"USC00142972","1920","37.966667","-100.866667","864.4","GARDEN CITY, KS US","    588.4","","     588.4","6","        63","6","        46","6","         6","6","        6","","         9","6","         0","6","       148","6","        10","6","       190","6","        59","6","","","  -16.7","6,1227,+","    76"," ,6,0404, ","   127"," ,6,1129, ","  41.9"," ,6,0604, ","   38.9","6,0730,+","-2.8","6,0930","-2.8","6,0930","-5.0","6,1103","-7.2","6,1111","-14.4","6,1112","-1.1","6,0427","-2.8","6,0423","-5.0","6,0405","-9.4","6,0404","-9.4","6,0404","    2993.5","5","    2993.5","6","    548.5"," ,6","      430"," ,6","     12.15","6","     20.28","6","      4.01","6"
"USC00142972","1921","37.966667","-100.866667","864.4","GARDEN CITY, KS US","    758.1","","     758.1","6","        51","6","        36","6","         6","6","","","","","         1","6","       139","6","         8","6","       203","6","        59","6","","","  -17.8","6,1224, ","","","","","  52.3"," ,6,0603, ","   40.0","6,0903,+","-0.6","6,1020","-3.3","6,1031","-6.1","6,1110","-12.8","6,1119","-12.8","6,1119","-2.2","6,0428","-2.2","6,0428","-7.2","6,0410","-7.2","6,0410","-9.4","6,0328","    2522.7","7","    2522.7","6","    545.3"," ,6","","","     13.35","6","     21.47","6","      5.22","6"
"USC00142972","1922","37.966667","-100.866667","864.4","GARDEN CITY, KS US","","","","","        40","6","        31","6","         4","6","","","","","","","","","","","","","","","","","","","","","","","  49.5"," ,6,0423, ","","","","","","","","","","","","","","","","","","","","","","","    2796.7","7","    2796.7","6","    434.3"," ,6","","","","","","","",""
"USC00142972","1923","37.966667","-100.866667","864.4","GARDEN CITY, KS US","","","","","        70","6","        53","6","        12","6","","","","","         3","6","       157","6","","","","","","","","","  -20.6","6,1231, ","","","","","  88.9"," ,6,0917, ","","","-1.1","6,1019","-2.8","6,1021","-5.6","6,1030","-8.3","6,1129","-10.0","6,1205","-0.6","6,0516","-3.9","6,0421","-4.4","6,0408","-7.8","6,0331","-10.6","6,0322","","","","","    884.2"," ,6","","","","","","","      4.00","6"
"USC00142972","1924","37.966667","-100.866667","864.4","GARDEN CITY, KS US","","","","","        52","6","        42","6","         2","6","","","        17","6","","","","","        25","6","       187","6","        76","6","","","","","","","   279"," ,6,0316, ","  27.9"," ,6,0919, ","   41.7","6,0618, ","","","","","","","","","","","","","","","","","","","","","    3122.0","0","    3122.0","6","    358.7"," ,6","     1407"," ,6","","","     20.16","6","",""
"USC00142972","1925","37.966667","-100.866667","864.4","GARDEN CITY, KS US","    907.0","","     907.0","6","        42","6","        36","6","         3","6","","","","","         2","6","       133","6","        11","6","       188","6","        89","6","","","  -22.8","6,0101, ","","","","","  32.3"," ,6,0515, ","   42.8","6,0718, ","0.0","6,1017","-2.2","6,1019","-11.1","6,1028","-11.1","6,1028","-11.1","6,1028","-1.7","6,0501","-2.8","6,0429","-6.1","6,0327","-10.6","6,0314","-10.6","6,0314","","","","","    351.0"," ,6","","","     13.32","6","     21.66","6","      4.99","6"
