"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00294728","1927","36.95","-104.38333","2119.9","LAKE ALICE NEAR, NM US","        66","6","        60","6","         1","6","       27","","        18","6","","","","","","","","","","","","","","","","","   406"," ,6,0311, ","   356"," ,6,0311, ","  30.5"," ,6,0913, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    495.3"," ,6","     1244"," ,6","","","","","",""
"USC00294728","1928","36.95","-104.38333","2119.9","LAKE ALICE NEAR, NM US","        78","6","        69","6","         7","6","       69","","        28","6","","","","","","","","","","","","","","","","","   559"," ,6,1118, ","   508"," ,6,1118, ","  53.3"," ,6,0817, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    676.4"," ,6","     2917"," ,6","","","","","",""
"USC00294728","1929","36.95","-104.38333","2119.9","LAKE ALICE NEAR, NM US","        70","6","        54","6","         4","6","","","        25","6","","","","","","","","","","","","","","","","","","","   203"," ,6,0303, ","  98.0"," ,6,0521, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    644.6"," ,6","     1312"," ,6","","","","","",""
"USC00294728","1930","36.95","-104.38333","2119.9","LAKE ALICE NEAR, NM US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    3487.2","2","    3487.2","6","","","","","","","","","",""
"USC00294728","1931","36.95","-104.38333","2119.9","LAKE ALICE NEAR, NM US","        67","6","        44","6","         3","6","","","        23","6","","","","","         6","6","       137","6","         4","6","","","","","","","","","   109"," ,6,0520, ","  48.0"," ,6,0915, ","   33.3","6,0726, ","","","","","","","","","","","","","","","","","","","","","","","","","    444.9"," ,6","     1357"," ,6","","","     17.66","6","",""
"USC00294728","1932","36.95","-104.38333","2119.9","LAKE ALICE NEAR, NM US","        65","6","        43","6","         2","6","","","","","         8","6","       162","6","         6","6","       138","6","         4","6","","","","","  -23.3","6,0312, ","","","","","  28.7"," ,6,0923, ","   33.3","6,0709, ","-2.2","6,1004","-2.2","6,1004","-5.6","6,1005","-7.2","6,1025","-12.2","6,1108","0.0","6,0509","-2.8","6,0429","-9.4","6,0428","-9.4","6,0428","-9.4","6,0428","    3045.0","0","    3045.0","6","    416.7"," ,6","","","      8.78","6","     17.94","6","     -0.39","6"
"USC00294728","1933","36.95","-104.38333","2119.9","LAKE ALICE NEAR, NM US","        54","6","        37","6","         1","6","","","        18","6","","","","","","","","","","","","","","","","","","","   356"," ,6,0504, ","  45.7"," ,6,0504, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    335.4"," ,6","     1279"," ,6","","","","","",""
"USC00294728","1934","36.95","-104.38333","2119.9","LAKE ALICE NEAR, NM US","        34","6","        31","6","         4","6","","","        13","6","","","","","","","","","","","","","","","","","","","   203"," ,6,0210, ","  50.8"," ,6,0521, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    335.8"," ,6","     1143"," ,6","","","","","",""
"USC00294728","1937","36.95","-104.38333","2119.9","LAKE ALICE NEAR, NM US","","","","","","","","","        14","6","","","","","","","","","","","","","","","","","","","   229"," ,6,0303, ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","     1145"," ,6","","","","","",""
"USC00294728","1938","36.95","-104.38333","2119.9","LAKE ALICE NEAR, NM US","","","","","","","","","","","","","","","","","","","","","         1"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USC00294728","1940","36.95","-104.38333","2119.9","LAKE ALICE NEAR, NM US","        58","6","        35","6","         3","6","","","","","","","","","","","","","","","","","","","","","","","","","  66.0"," ,6,0807, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    459.3"," ,6","","","","","","","",""
