"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES"
"USC00510840","1920","20.1","-155.46667","140.5","HAINA 214, HI US","   1719.2","","    1719.2","6","","","","","","","","","","","         0","6","         0","6","         0","6","       364","6","         2","6","   11.7","6,0124, ","","","","","","","   32.2","6,0418,+","       3.0","0","       3.0","6","","","","","     23.02","6","     28.03","6","     18.01","6","",""
"USC00510840","1921","20.1","-155.46667","140.5","HAINA 214, HI US","   1726.1","","    1726.1","6","       176","6","       106","6","        30","6","","","","","         0","6","         0","6","         0","6","       364","6","         0","6","   14.4","6,0306,+","","","",""," 203.5"," ,6,1121, ","   31.1","6,0815,+","       0.0","0","       0.0","6","   2274.7"," ,6","","","     23.07","6","     28.32","6","     17.81","6","",""
"USC00510840","1922","20.1","-155.46667","140.5","HAINA 214, HI US","   1744.2","","    1744.2","6","       148","6","        79","6","        16","6","","","","","         0","6","         0","6","         0","6","       365","6","         0","6","   13.3","6,0214, ","","","",""," 159.0"," ,6,0310, ","   31.1","6,1009,+","       0.0","0","       0.0","6","   1485.2"," ,6","","","     23.10","6","     28.28","6","     17.93","6","",""
"USC00510840","1923","20.1","-155.46667","140.5","HAINA 214, HI US","   1727.4","","    1727.4","6","       179","6","       103","6","        25","6","","","","","         0","6","         0","6","         0","6","       364","6","         0","6","   12.2","6,0204, ","","","",""," 168.7"," ,6,0819, ","   31.1","6,1011,+","       0.0","0","       0.0","6","   2330.5"," ,6","","","     23.06","6","     28.57","6","     17.55","6","",""
"USC00510840","1924","20.1","-155.46667","140.5","HAINA 214, HI US","   1640.8","","    1640.8","6","","","","","","","","","","","         0","6","         0","6","         0","6","       365","6","         0","6","   13.3","6,0318, ","","","","","","","   30.6","6,0926,+","       0.0","0","       0.0","6","","","","","     22.81","6","     26.99","6","     18.64","6","",""
"USC00510840","1925","20.1","-155.46667","140.5","HAINA 214, HI US","   1737.9","","    1737.9","6","       186","6","       100","6","         9","6","","","","","         0","6","         0","6","         0","6","       365","6","         0","6","   14.4","6,0126, ","","","","","  67.3"," ,6,0108, ","   31.7","6,1220,+","       0.0","0","       0.0","6","   1164.2"," ,6","","","     23.09","6","     27.54","6","     18.63","6","    103529","6"
"USC00510840","1926","20.1","-155.46667","140.5","HAINA 214, HI US","   1882.1","","    1882.1","6","       131","6","        68","6","        12","6","","","","","         0","6","         0","6","         0","6","       363","6","         1","6","   15.0","6,1230,+","","","",""," 109.0"," ,6,1114, ","   32.2","6,1027, ","       0.0","0","       0.0","6","   1087.2"," ,6","","","     23.48","6","     28.13","6","     18.83","6","",""
"USC00510840","1927","20.1","-155.46667","140.5","HAINA 214, HI US","   1847.2","","    1847.2","6","       162","6","        83","6","        16","6","","","","","         0","6","         0","6","         0","6","       364","6","         4","6","   14.4","6,0212, ","","","",""," 160.3"," ,6,1117, ","   32.2","6,1211,+","       0.5","5","       0.5","6","   1543.7"," ,6","","","     23.39","6","     27.85","6","     18.93","6","",""
"USC00510840","1928","20.1","-155.46667","140.5","HAINA 214, HI US","   1542.7","","    1542.7","6","       199","6","        98","6","        12","6","","","","","         0","6","         0","6","         0","6","       366","6","         0","6","   14.4","6,0214, ","","","","","  41.9"," ,6,1205, ","   30.6","6,0613,+","       0.0","0","       0.0","6","   1200.3"," ,6","","","     22.54","6","     26.59","6","     18.50","6","",""
"USC00510840","1929","20.1","-155.46667","140.5","HAINA 214, HI US","   1623.7","","    1623.7","6","       163","6","       108","6","        29","6","","","","","         0","6","         0","6","         0","6","       363","6","         0","6","   10.6","6,0205, ","","","",""," 121.9"," ,6,0122, ","   30.0","6,1104,+","       0.0","0","       0.0","6","   2292.7"," ,6","","","     22.77","6","     26.54","6","     19.00","6","",""
"USC00510840","1930","20.1","-155.46667","140.5","HAINA 214, HI US","   1439.1","","    1439.1","6","       220","6","       135","6","        23","6","","","","","         0","6","         0","6","         0","6","       365","6","         0","6","   13.9","6,0114, ","","","",""," 196.3"," ,6,1118, ","   31.1","6,0601,+","       0.0","0","       0.0","6","   2259.9"," ,6","","","     22.28","6","     25.67","6","     18.88","6","",""
"USC00510840","1931","20.1","-155.46667","140.5","HAINA 214, HI US","   1175.1","","    1175.1","6","","","","","","","","","","","         0","6","         0","6","         0","6","       360","6","         0","6","   14.4","6,1208,+","","","","","","","   29.4","6,0904, ","       1.6","6","       1.6","6","","","","","     21.54","6","     25.03","6","     18.04","6","",""
"USC00510840","1932","20.1","-155.46667","140.5","HAINA 214, HI US","   1269.4","","    1269.4","6","","","","","","","","","","","         0","6","         0","6","         0","6","       362","6","         0","6","   13.9","6,0311,+","","","","","","","   31.1","6,0222,+","       5.5","5","       5.5","6","","","","","     21.79","6","     25.53","6","     18.05","6","",""
"USC00510840","1933","20.1","-155.46667","140.5","HAINA 214, HI US","   1171.5","","    1171.5","6","","","","","","","","","","","         0","6","         0","6","         0","6","       363","6","         0","6","   13.3","6,0405, ","","","","","","","   30.6","6,1223,+","       0.5","5","       0.5","6","","","","","     21.53","6","     25.72","6","     17.35","6","",""
"USC00510840","1934","20.1","-155.46667","140.5","HAINA 214, HI US","   1497.2","","    1497.2","6","       164","6","       100","6","        21","6","","","","","         0","6","         0","6","         0","6","       363","6","         4","6","   13.3","6,0207, ","","","","","  89.4"," ,6,0201, ","   35.0","6,0308, ","       1.6","6","       1.6","6","   1613.5"," ,6","","","     22.42","6","     26.91","6","     17.93","6","",""
"USC00510840","1935","20.1","-155.46667","140.5","HAINA 214, HI US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","       0.0","0","       0.0","6","","","","","","","","","","","",""
"USC00510840","1938","20.1","-155.46667","140.5","HAINA 214, HI US","   1477.1","","    1477.1","6","","","","","","","","","","","         0","6","         0","6","         0","6","       364","6","         1","6","   15.0","6,0221, ","","","","","","","   32.8","6,0929, ","","","","","","","","","     22.38","6","     26.35","6","     18.41","6","",""
"USC00510840","1940","20.1","-155.46667","140.5","HAINA 214, HI US","   1646.7","","    1646.7","6","       165","6","        98","6","        14","6","","","         0","6","         0","6","         0","6","         0","6","       366","6","         0","6","   10.0","6,0111, ","","","     0"," ,6,1231,+"," 126.5"," ,6,0812, ","   31.7","6,1010, ","       0.5","5","       0.5","6","   1803.4"," ,6","        0"," ,6","     22.83","6","     27.21","6","     18.44","6","",""
"USC00510840","1942","20.1","-155.46667","140.5","HAINA 214, HI US","   1442.7","","    1442.7","6","","","","","","","","","         0","6","         0","6","         0","6","         0","6","       365","6","         1","6","   11.7","6,0226, ","","","     0"," ,6,1231,+","","","   32.8","6,1103, ","       3.3","3","       3.3","6","","","        0"," ,6","     22.27","6","     26.84","6","     17.70","6","",""
"USC00510840","1943","20.1","-155.46667","140.5","HAINA 214, HI US","   1522.5","","    1522.5","6","       169","6","        93","6","        16","6","","","","","         0","6","         0","6","         0","6","       365","6","         0","6","   12.2","6,0226, ","","","",""," 121.2"," ,6,0414, ","   31.7","6,0923,+","       0.3","3","       0.3","6","   1429.1"," ,6","","","     22.50","6","     27.26","6","     17.72","6","",""
"USC00510840","1944","20.1","-155.46667","140.5","HAINA 214, HI US","   1531.7","","    1531.7","6","       183","6","       103","6","         8","6","","","","","         0","6","         0","6","         0","6","       366","6","         0","6","   11.1","6,0224, ","","","","","  72.1"," ,6,0222, ","   31.1","6,0721,+","       0.0","0","       0.0","6","   1169.4"," ,6","","","     22.51","6","     27.09","6","     17.93","6","",""
"USC00510840","1945","20.1","-155.46667","140.5","HAINA 214, HI US","   1482.2","","    1482.2","6","       140","6","        78","6","        13","6","","","","","         0","6","         0","6","         0","6","       365","6","         0","6","   15.6","6,1229,+","","","",""," 145.5"," ,6,1203, ","   29.4","6,0807,+","       0.0","0","       0.0","6","   1345.3"," ,6","","","     22.39","6","     26.21","6","     18.57","6","",""
"USC00510840","1946","20.1","-155.46667","140.5","HAINA 214, HI US","   1532.9","","    1532.9","6","       189","6","       112","6","        21","6","","","","","         0","6","         0","6","         0","6","       363","6","         0","6","   15.6","6,0228,+","","","",""," 105.4"," ,6,1220, ","   31.7","6,0820, ","       0.0","0","       0.0","6","   1763.2"," ,6","","","     22.53","6","     26.07","6","     18.99","6","",""
"USC00510840","1948","20.1","-155.46667","140.5","HAINA 214, HI US","   1427.6","","    1427.6","6","       187","6","       123","6","        26","6","","","","","         0","6","         0","6","         0","6","       363","6","         0","6","   14.4","6,0210, ","","","","","  77.5"," ,6,0126, ","   31.7","6,0715, ","       0.3","3","       0.3","6","   2068.4"," ,6","","","     22.25","6","     26.03","6","     18.48","6","",""
"USC00510840","1949","20.1","-155.46667","140.5","HAINA 214, HI US","   1379.3","","    1379.3","0","       174","0","        85","0","         6","0","","","","","         0","0","         0","0","         0","0","       363","0","         0","0","   12.8","0,0319, ","","","",""," 113.8"," ,0,1127, ","   30.6","0,0517, ","       1.7","7","       1.7","0","    985.9"," ,0","","","     22.10","0","     26.32","0","     17.88","0","",""
"USC00510840","1950","20.1","-155.46667","140.5","HAINA 214, HI US","   1467.4","","    1467.4","0","       195","0","       105","0","        20","0","        0","","         0","0","         0","0","         0","0","         0","0","       361","0","         1","0","   14.4","0,0403,+","     0"," ,0,1231,+","     0"," ,0,1231,+"," 220.2"," ,0,1207, ","   32.2","0,0816, ","       0.3","3","       0.3","0","   1867.0"," ,0","        0"," ,0","     22.36","0","     26.38","0","     18.34","0","",""
"USC00510840","1951","20.1","-155.46667","140.5","HAINA 214, HI US","   1454.8","","    1454.8","0","       149","0","        75","0","        17","0","        0","","         0","0","         0","0","         0","0","         0","0","       358","0","         0","0","   13.3","0,0211,+","     0"," ,0,1231,+","     0"," ,0,1231,+","  89.2"," ,0,1120, ","   30.0","0,0922,+","       0.3","3","       0.3","0","   1247.6"," ,0","        0"," ,0","     22.36","0","     26.02","0","     18.70","0","",""
"USC00510840","1952","20.1","-155.46667","140.5","HAINA 214, HI US","   1190.0","","    1190.0","0","       210","0","       125","0","        13","0","        0","","         0","0","         0","0","         0","0","         0","0","       362","0","         0","0","   14.4","0,0109, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  94.5"," ,0,1020, ","   29.4","0,1016,+","       0.8","8","       0.8","0","   1718.4"," ,0","        0"," ,0","     21.58","0","     24.88","0","     18.28","0","",""
"USC00510840","1953","20.1","-155.46667","140.5","HAINA 214, HI US","   1329.1","","    1329.1","0","       147","0","        67","0","         7","0","        0","","         0","0","         0","0","         0","0","         0","0","       357","0","         0","0","   13.3","0,0110,+","     0"," ,0,1231,+","     0"," ,0,1231,+"," 109.7"," ,0,1117, ","   28.9","0,0126, ","       0.2","2","       0.2","0","    990.5"," ,0","        0"," ,0","     21.99","0","     25.55","0","     18.44","0","",""
"USC00510840","1954","20.1","-155.46667","140.5","HAINA 214, HI US","   1414.1","","    1414.1","0","       172","0","       108","0","        13","0","        0","","         0","0","         0","0","         0","0","         0","0","       357","0","         0","0","   13.3","0,0306, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  83.8"," ,0,1210,+","   31.1","0,1129, ","       3.9","9","       3.9","0","   1590.0"," ,0","        0"," ,0","     22.22","0","     25.69","0","     18.76","0","",""
"USC00510840","1955","20.1","-155.46667","140.5","HAINA 214, HI US","   1111.0","","    1111.0","0","       159","0","        86","0","        12","0","        0","","         0","0","         0","0","         0","0","         0","0","       356","0","         0","0","   13.3","0,0317,+","     0"," ,0,1231,+","     0"," ,0,1231,+","  85.6"," ,0,0210, ","   29.4","0,1110, ","       4.5","5","       4.5","0","   1074.4"," ,0","        0"," ,0","     21.38","0","     24.96","0","     17.80","0","",""
"USC00510840","1957","20.1","-155.46667","140.5","HAINA 214, HI US","   1378.2","","    1378.2","0","       162","0","        89","0","        24","0","        0","","         0","0","         0","0","         0","0","         0","0","       363","0","         0","0","   13.9","0,0327,+","     0"," ,0,1231,+","     0"," ,0,1231,+"," 152.4"," ,0,1023, ","   30.6","0,1026, ","       0.8","8","       0.8","0","   2038.6"," ,0","        0"," ,0","     22.10","0","     25.83","0","     18.38","0","",""
"USC00510840","1958","20.1","-155.46667","140.5","HAINA 214, HI US","","","","","","","","","","","        0","","         0","0","","","","","","","","","","","","","     0"," ,0,1231,+","     0"," ,0,1231,+","","","","","","","","","   2100.4"," ,0","        0"," ,0","","","","","","","",""
"USC00510840","1959","20.1","-155.46667","140.5","HAINA 214, HI US","","","","","","","","","","","        0","","         0","0","","","","","","","","","","","","","     0"," ,0,1231,+","     0"," ,0,1231,+","","","","","","","","","   1454.2"," ,0","        0"," ,0","","","","","","","",""
"USC00510840","1960","20.1","-155.46667","140.5","HAINA 214, HI US","","","","","","","","","","","        0","","         0","0","","","","","","","","","","","","","     0"," ,0,1231,+","     0"," ,0,1231,+","","","","","","","","","   1705.4"," ,0","        0"," ,0","","","","","","","",""
"USC00510840","1961","20.1","-155.46667","140.5","HAINA 214, HI US","","","","","","","","","","","        0","","         0","0","","","","","","","","","","","","","     0"," ,0,1231,+","     0"," ,0,1231,+","","","","","","","","","   1192.2"," ,0","        0"," ,0","","","","","","","",""
"USC00510840","1962","20.1","-155.46667","140.5","HAINA 214, HI US","","","","","","","","","","","        0","","         0","0","","","","","","","","","","","","","     0"," ,0,1231,+","     0"," ,0,1231,+","","","","","","","","","    612.8"," ,0","        0"," ,0","","","","","","","",""
"USC00510840","1963","20.1","-155.46667","140.5","HAINA 214, HI US","","","","","       166","0","       100","0","        14","0","        0","","         0","0","","","","","","","","","","","","","     0"," ,0,1231,+","     0"," ,0,1231,+"," 115.1"," ,0,0516, ","","","","","","","   1441.4"," ,0","        0"," ,0","","","","","","","",""
"USC00510840","1964","20.1","-155.46667","140.5","HAINA 214, HI US","   1420.3","","    1420.3","0","       188","0","       116","0","        17","0","        0","","         0","0","         0","0","         0","0","         0","0","       364","0","         0","0","   14.4","0,1117,+","     0"," ,0,1231,+","     0"," ,0,1231,+","  75.7"," ,0,0520, ","   30.6","0,0829,+","       1.4","4","       1.4","0","   1773.6"," ,0","        0"," ,0","     22.21","0","     26.41","0","     18.01","0","",""
"USC00510840","1965","20.1","-155.46667","140.5","HAINA 214, HI US","   1448.6","","    1448.6","0","       153","0","        88","0","        17","0","        0","","         0","0","         0","0","         0","0","         0","0","       353","0","         3","0","   12.2","0,0228,+","     0"," ,0,1231,+","     0"," ,0,1231,+"," 168.1"," ,0,0405, ","   32.8","0,0920, ","      15.0","0","      15.0","0","   1582.5"," ,0","        0"," ,0","     22.23","0","     26.76","0","     17.71","0","",""
"USC00510840","1966","20.1","-155.46667","140.5","HAINA 214, HI US","   1252.1","","    1252.1","0","       201","0","       122","0","        15","0","        0","","         0","0","         0","0","         0","0","         0","0","       348","0","         0","0","   12.8","0,0219, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  77.5"," ,0,1208, ","   31.1","0,1124,+","      28.9","9","      28.9","0","   1637.4"," ,0","        0"," ,0","     21.68","0","     26.07","0","     17.28","0","",""
"USC00510840","1967","20.1","-155.46667","140.5","HAINA 214, HI US","   1493.6","","    1493.6","0","       187","0","       100","0","        17","0","        0","","         0","0","         0","0","         0","0","         0","0","       354","0","         0","0","   11.1","0,0112, ","     0"," ,0,1231,+","     0"," ,0,1231,+"," 115.6"," ,0,0803, ","   31.7","0,0721, ","      16.2","2","      16.2","0","   1894.7"," ,0","        0"," ,0","     22.37","0","     27.00","0","     17.75","0","",""
"USC00510840","1968","20.1","-155.46667","140.5","HAINA 214, HI US","   1659.5","","    1659.5","0","       167","0","        98","0","        26","0","        0","","         0","0","         0","0","         0","0","         0","0","       364","0","         0","0","   13.3","0,0210,+","     0"," ,0,1231,+","     0"," ,0,1231,+"," 147.6"," ,0,0319, ","   31.7","0,1002, ","       0.3","3","       0.3","0","   1983.1"," ,0","        0"," ,0","     22.86","0","     27.58","0","     18.15","0","",""
"USC00510840","1969","20.1","-155.46667","140.5","HAINA 214, HI US","   1384.8","","    1384.8","0","       218","0","       142","0","        28","0","        0","","         0","0","         0","0","         0","0","         0","0","       360","0","         0","0","   11.7","0,0121, ","     0"," ,0,1231,+","     0"," ,0,1231,+"," 158.5"," ,0,0215, ","   29.4","0,1027,+","       2.8","8","       2.8","0","   2595.0"," ,0","        0"," ,0","     22.15","0","     26.67","0","     17.64","0","",""
"USC00510840","1970","20.1","-155.46667","140.5","HAINA 214, HI US","   1475.7","","    1475.7","0","       240","0","       147","0","        24","0","        0","","         0","0","         0","0","         0","0","         0","0","       361","0","         0","0","   13.9","0,1229, ","     0"," ,0,1231,+","     0"," ,0,1231,+"," 156.2"," ,0,0826, ","   29.4","0,1019,+","       1.1","1","       1.1","0","   2458.2"," ,0","        0"," ,0","     22.37","0","     26.44","0","     18.29","0","",""
"USC00510840","1971","20.1","-155.46667","140.5","HAINA 214, HI US","   1483.6","","    1483.6","0","       150","0","        71","0","         6","0","        0","","         0","0","         0","0","         0","0","         0","0","       363","0","         0","0","   15.0","0,1231,+","     0"," ,0,1231,+","     0"," ,0,1231,+"," 146.3"," ,0,0326, ","   30.0","0,0918, ","       0.3","3","       0.3","0","   1001.4"," ,0","        0"," ,0","     22.40","0","     26.50","0","     18.29","0","",""
"USC00510840","1972","20.1","-155.46667","140.5","HAINA 214, HI US","   1474.6","","    1474.6","0","       185","0","        96","0","        15","0","        0","","         0","0","         0","0","         0","0","         0","0","       362","0","         0","0","   13.9","0,1220, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  61.2"," ,0,0726, ","   31.1","0,0206, ","       0.6","6","       0.6","0","   1429.5"," ,0","        0"," ,0","     22.35","0","     26.14","0","     18.56","0","",""
"USC00510840","1973","20.1","-155.46667","140.5","HAINA 214, HI US","   1483.8","","    1483.8","0","       205","0","        99","0","        14","0","        0","","         0","0","         0","0","         0","0","         0","0","       361","0","         0","0","   13.3","0,0122, ","     0"," ,0,1231,+","     0"," ,0,1231,+"," 213.9"," ,0,1113, ","   31.1","0,1005, ","       3.9","9","       3.9","0","   1623.5"," ,0","        0"," ,0","     22.38","0","     26.11","0","     18.64","0","",""
"USC00510840","1974","20.1","-155.46667","140.5","HAINA 214, HI US","   1754.7","","    1754.7","0","       141","0","        65","0","        13","0","        0","","         0","0","         0","0","         0","0","         0","0","       365","0","         0","0","   14.4","0,0203, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  95.5"," ,0,0423, ","   30.6","0,0919, ","       0.0","0","       0.0","0","   1270.5"," ,0","        0"," ,0","     23.13","0","     27.21","0","     19.05","0","",""
"USC00510840","1975","20.1","-155.46667","140.5","HAINA 214, HI US","","","","","","","","","","","        0","","         0","0","","","","","","","","","","","","","     0"," ,0,1231,+","     0"," ,0,1231,+","","","","","","","","","   1226.8"," ,0","        0"," ,0","","","","","","","",""
"USC00510840","1976","20.1","-155.46667","140.5","HAINA 214, HI US","","","","","","","","","","","        0","","         0","0","","","","","","","","","","","","","     0"," ,0,1231,+","     0"," ,0,1231,+","","","","","","","","","   1684.3"," ,0","        0"," ,0","","","","","","","",""
"USC00510840","1977","20.1","-155.46667","140.5","HAINA 214, HI US","","","","","","","","","","","        0","","         0","0","","","","","","","","","","","","","     0"," ,0,1231,+","     0"," ,0,1231,+","","","","","","","","","   1525.8"," ,0","        0"," ,0","","","","","","","",""
"USC00510840","1978","20.1","-155.46667","140.5","HAINA 214, HI US","","","","","","","","","","","        0","","         0","0","","","","","","","","","","","","","     0"," ,0,1231,+","     0"," ,0,1231,+","","","","","","","","","   2241.9"," ,0","        0"," ,0","","","","","","","",""
"USC00510840","1979","20.1","-155.46667","140.5","HAINA 214, HI US","","","","","","","","","","","        0","","         0","0","","","","","","","","","","","","","     0"," ,0,1231,+","     0"," ,0,1231,+","","","","","","","","","   2645.9"," ,0","        0"," ,0","","","","","","","",""
"USC00510840","1980","20.1","-155.46667","140.5","HAINA 214, HI US","","","","","       166","0","       109","0","        28","0","        0","","         0","0","","","","","","","","","","","","","     0"," ,0,1231,+","     0"," ,0,1231,+"," 138.9"," ,0,0324, ","","","","","","","   2338.1"," ,0","        0"," ,0","","","","","","","",""
"USC00510840","1981","20.1","-155.46667","140.5","HAINA 214, HI US","","","","","       118","0","        75","0","        12","0","        0","","         0","0","","","","","","","","","","","","","     0"," ,0,1231,+","     0"," ,0,1231,+","  61.0"," ,0,0501, ","","","","","","","   1098.3"," ,0","        0"," ,0","","","","","","","",""
"USC00510840","1982","20.1","-155.46667","140.5","HAINA 214, HI US","","","","","       206","0","       135","0","        33","0","        0","","         0","0","","","","","","","","","","","","","     0"," ,0,1231,+","     0"," ,0,1231,+"," 154.4"," ,0,0109, ","","","","","","","   3001.9"," ,0","        0"," ,0","","","","","","","",""
"USC00510840","1983","20.1","-155.46667","140.5","HAINA 214, HI US","","","","","       177","0","       108","0","        12","0","        0","","         0","0","","","","","","","","","","","","","     0"," ,0,1231,+","     0"," ,0,1231,+"," 134.6"," ,0,1214, ","","","","","","","   1453.2"," ,0","        0"," ,0","","","","","","","",""
"USC00510840","1984","20.1","-155.46667","140.5","HAINA 214, HI US","","","","","","","","","","","        0","","         0","0","","","","","","","","","","","","","     0"," ,0,1231,+","     0"," ,0,1231,+","","","","","","","","","","","        0"," ,0","","","","","","","",""
"USC00510840","1985","20.1","-155.46667","140.5","HAINA 214, HI US","","","","","","","","","","","        0","","         0","0","","","","","","","","","","","","","     0"," ,0,1231,+","     0"," ,0,1231,+","","","","","","","","","","","        0"," ,0","","","","","","","",""
"USC00510840","1986","20.1","-155.46667","140.5","HAINA 214, HI US","","","","","       171","0","       114","0","        27","0","        0","","         0","0","","","","","","","","","","","","","     0"," ,0,1231,+","     0"," ,0,1231,+"," 142.2"," ,0,0411, ","","","","","","","   2331.4"," ,0","        0"," ,0","","","","","","","",""
"USC00510840","1987","20.1","-155.46667","140.5","HAINA 214, HI US","","","","","","","","","","","        0","","         0","0","","","","","","","","","","","","","     0"," ,0,1231,+","     0"," ,0,1231,+","","","","","","","","","   2511.1"," ,0","        0"," ,0","","","","","","","",""
"USC00510840","1988","20.1","-155.46667","140.5","HAINA 214, HI US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","   1878.0"," ,0","","","","","","","","","",""
"USC00510840","1989","20.1","-155.46667","140.5","HAINA 214, HI US","","","","","       172","0","       133","0","        41","0","        0","","         0","0","","","","","","","","","","","","","     0"," ,0,1231,+","     0"," ,0,1231,+"," 180.3"," ,0,0429, ","","","","","","","   3254.4"," ,0","        0"," ,0","","","","","","","",""
